Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-5],OUT[5],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395852,0.017505,0.191461,0.004864,0.115684,0.082466,0.063394,0.264776,0.014753,0.000480,0.001440,0.001632,0.000352,0.900699
0.422636,0.017377,0.191718,0.004832,0.116451,0.090531,0.064994,0.274920,0.014848,0.000512,0.001472,0.001152,0.000352,0.937756
0.395692,0.017632,0.191494,0.004864,0.110339,0.087587,0.067810,0.268616,0.014752,0.000449,0.001472,0.001120,0.000320,0.903771
0.394828,0.017601,0.191685,0.004897,0.116099,0.081986,0.062594,0.263783,0.015009,0.000512,0.001568,0.001152,0.000416,0.898555
0.395084,0.017537,0.191813,0.004865,0.108419,0.081634,0.077443,0.270728,0.014368,0.000544,0.001504,0.001120,0.000352,0.904507
0.395883,0.017505,0.191653,0.004897,0.113411,0.082914,0.060770,0.260039,0.014369,0.000576,0.001504,0.001088,0.000288,0.894266
0.395212,0.017441,0.191045,0.004833,0.118755,0.082179,0.064225,0.268583,0.015264,0.000544,0.001568,0.001216,0.000288,0.904091
0.396012,0.017537,0.191269,0.004864,0.110692,0.079522,0.062178,0.255816,0.015552,0.000512,0.001505,0.001120,0.000288,0.892347
0.410637,0.017600,0.191494,0.004896,0.116579,0.086179,0.067266,0.274568,0.015265,0.000544,0.001536,0.001120,0.000288,0.924924
0.396140,0.017473,0.191365,0.004896,0.115236,0.082210,0.062402,0.263048,0.014977,0.000512,0.001504,0.001120,0.000288,0.898459
0.395116,0.017601,0.191589,0.004896,0.109700,0.079586,0.061954,0.254504,0.014624,0.000544,0.001600,0.001056,0.000320,0.888827
0.395436,0.017376,0.191910,0.004832,0.116835,0.082115,0.091107,0.293193,0.014944,0.000512,0.001536,0.001088,0.000288,0.928091
0.395756,0.017504,0.191462,0.004864,0.115268,0.082850,0.062146,0.263720,0.015168,0.000480,0.001505,0.001184,0.000352,0.899963
0.396459,0.017441,0.191558,0.004832,0.111363,0.082819,0.062145,0.259207,0.015329,0.000512,0.001504,0.001216,0.000384,0.895578
0.395243,0.017600,0.191558,0.004832,0.110563,0.082627,0.063426,0.259784,0.015136,0.000544,0.001536,0.001088,0.000384,0.894394
0.414156,0.017505,0.191557,0.004801,0.110147,0.091939,0.062337,0.267623,0.015937,0.000576,0.001536,0.001088,0.000352,0.921723
0.395339,0.017505,0.191526,0.004864,0.113891,0.083555,0.060449,0.261031,0.015553,0.000512,0.001568,0.000992,0.000320,0.896154
0.396011,0.017504,0.191430,0.004832,0.114979,0.086531,0.061346,0.266152,0.015520,0.000544,0.001472,0.001120,0.000896,0.904090
0.395116,0.017376,0.191494,0.004832,0.114692,0.098531,0.076290,0.293065,0.014432,0.000544,0.001472,0.001056,0.000352,0.926427
0.395435,0.017441,0.191302,0.004864,0.113571,0.082947,0.062721,0.262280,0.015264,0.000512,0.001568,0.001216,0.000384,0.897370
0.395339,0.017441,0.191141,0.004897,0.109091,0.089026,0.067073,0.268552,0.015296,0.000544,0.001440,0.001120,0.000320,0.902170
0.395180,0.017345,0.191301,0.005024,0.119684,0.088291,0.064418,0.275785,0.014624,0.000512,0.001504,0.001152,0.000448,0.910043
0.412012,0.017441,0.191685,0.004833,0.115299,0.088259,0.064418,0.271080,0.015872,0.000512,0.001440,0.001056,0.000320,0.922971
0.395276,0.017344,0.191333,0.004800,0.112900,0.087618,0.062274,0.265672,0.014721,0.000544,0.001536,0.001152,0.000416,0.899163
0.395180,0.017408,0.191174,0.004896,0.110372,0.081858,0.060898,0.256040,0.014976,0.000480,0.001504,0.001024,0.000352,0.889530
0.395243,0.017473,0.191558,0.004864,0.106339,0.104867,0.080706,0.294824,0.014657,0.000512,0.001408,0.000992,0.000352,0.928027
0.395212,0.017601,0.191429,0.004801,0.119907,0.082979,0.062049,0.268007,0.015361,0.000544,0.001536,0.001088,0.000320,0.903163
0.395435,0.017505,0.191430,0.004832,0.117891,0.082051,0.062113,0.265064,0.015104,0.000448,0.001472,0.001024,0.000352,0.900410
0.395052,0.017377,0.191461,0.004800,0.113540,0.082210,0.066594,0.265448,0.014465,0.000480,0.001504,0.001056,0.000352,0.897755
0.411500,0.017633,0.192006,0.004832,0.115875,0.084643,0.066786,0.270632,0.014816,0.000512,0.001600,0.001248,0.000384,0.922844
0.395404,0.017568,0.192198,0.004832,0.113443,0.082403,0.061538,0.260648,0.014720,0.000480,0.001536,0.001056,0.000320,0.895034
0.394667,0.017568,0.191366,0.004896,0.131172,0.083490,0.059970,0.277672,0.014433,0.000512,0.001504,0.001024,0.000320,0.910331
0.395212,0.017568,0.191302,0.004800,0.112836,0.098947,0.101955,0.317162,0.014208,0.000544,0.001472,0.001088,0.000352,0.950108
0.394636,0.017473,0.191301,0.004864,0.105572,0.082402,0.060770,0.251784,0.014464,0.000512,0.001536,0.001056,0.000384,0.884155
0.395084,0.017280,0.191782,0.004800,0.107299,0.083299,0.064802,0.258504,0.015168,0.000480,0.001504,0.000992,0.000352,0.892346
0.396267,0.017281,0.191366,0.004832,0.111171,0.082882,0.061954,0.259079,0.014913,0.000480,0.001504,0.001024,0.000352,0.893466
0.414925,0.017696,0.191750,0.004896,0.119204,0.093154,0.067137,0.282665,0.015584,0.000512,0.001504,0.001120,0.000448,0.939772
0.395435,0.017569,0.191366,0.004896,0.111459,0.083362,0.062689,0.260551,0.015425,0.000576,0.001536,0.001088,0.000448,0.895738
0.395948,0.017569,0.191077,0.004864,0.105155,0.082530,0.062594,0.253127,0.014400,0.000544,0.001440,0.000992,0.000352,0.886811
0.396972,0.017568,0.192326,0.004896,0.112324,0.086210,0.088419,0.290249,0.014528,0.000544,0.001600,0.001248,0.000385,0.927324
0.395436,0.017440,0.191718,0.004800,0.134436,0.083075,0.061345,0.282120,0.014881,0.000448,0.001504,0.000992,0.000384,0.916123
0.395212,0.017505,0.191653,0.004865,0.110403,0.083874,0.060546,0.258151,0.015009,0.000512,0.001536,0.000992,0.000384,0.892251
0.395340,0.017601,0.191685,0.004800,0.118756,0.081282,0.062658,0.265608,0.014273,0.000576,0.001472,0.000992,0.000352,0.899291
0.412748,0.017569,0.191397,0.004800,0.111683,0.085282,0.067906,0.268007,0.014785,0.000480,0.001472,0.001024,0.000352,0.919419
0.395308,0.017312,0.191430,0.004800,0.108708,0.080194,0.071074,0.262728,0.014113,0.000448,0.001472,0.000960,0.000352,0.895419
0.395212,0.017600,0.191462,0.004960,0.108259,0.080227,0.065474,0.257032,0.014336,0.000480,0.001408,0.000960,0.000320,0.890234
0.395627,0.017344,0.191142,0.004896,0.110307,0.079426,0.084034,0.278024,0.015777,0.000512,0.001408,0.001056,0.000352,0.914331
0.395180,0.017441,0.191493,0.004800,0.115331,0.082498,0.065634,0.266568,0.014561,0.000512,0.001344,0.001184,0.000352,0.901435
0.395212,0.017377,0.191269,0.005344,0.116131,0.081986,0.064546,0.265736,0.015041,0.000480,0.001440,0.001088,0.000384,0.899867
0.396716,0.017664,0.191238,0.004800,0.121092,0.081602,0.063458,0.269192,0.014720,0.000480,0.001504,0.001184,0.000352,0.904731
0.415276,0.017408,0.191526,0.004800,0.115139,0.083459,0.067650,0.269416,0.014368,0.000512,0.001376,0.000992,0.000448,0.922683
0.395372,0.017344,0.191654,0.004896,0.117699,0.081507,0.062754,0.264936,0.014272,0.000544,0.001376,0.000992,0.000320,0.898042
0.395756,0.017312,0.191270,0.004896,0.110211,0.080675,0.062721,0.256551,0.014144,0.000480,0.001440,0.000992,0.000352,0.888858
0.395148,0.017377,0.191013,0.004801,0.114979,0.081538,0.071426,0.287336,0.014592,0.000448,0.001441,0.001088,0.000352,0.920252
0.395116,0.017472,0.191142,0.004864,0.115588,0.081986,0.062978,0.263624,0.014624,0.000512,0.001473,0.001152,0.000416,0.897371
0.394988,0.017344,0.191334,0.004832,0.111043,0.082883,0.064898,0.261928,0.014528,0.000480,0.001472,0.001152,0.000384,0.895546
0.395564,0.017504,0.191206,0.004864,0.114180,0.081762,0.061858,0.260680,0.014432,0.000448,0.001536,0.001152,0.000416,0.894299
0.411596,0.017409,0.191397,0.004801,0.120323,0.087843,0.071234,0.282376,0.014112,0.000480,0.001440,0.001120,0.000416,0.932059
0.395275,0.017408,0.191430,0.004800,0.114531,0.093571,0.068770,0.279944,0.014977,0.000480,0.001472,0.000992,0.000352,0.914075
0.396268,0.017376,0.191654,0.004864,0.111620,0.091906,0.064450,0.271080,0.014625,0.000512,0.001408,0.001120,0.000384,0.906459
0.395467,0.017505,0.191462,0.004800,0.108739,0.097571,0.080898,0.290536,0.015009,0.000480,0.001408,0.000960,0.000352,0.924635
0.395212,0.017345,0.191461,0.004832,0.117316,0.082018,0.064194,0.266696,0.015105,0.000480,0.001408,0.001088,0.000416,0.901019
0.395883,0.017313,0.191109,0.004768,0.115843,0.087363,0.065474,0.271720,0.014368,0.000512,0.001408,0.000992,0.000352,0.904922
0.395243,0.017504,0.191238,0.004800,0.110691,0.083523,0.063682,0.260968,0.015008,0.000512,0.001504,0.001088,0.000416,0.894426
0.411917,0.017472,0.191142,0.004832,0.113315,0.086915,0.077890,0.280904,0.014017,0.000480,0.001504,0.001056,0.000256,0.929116
0.395404,0.017441,0.191429,0.004896,0.109796,0.086658,0.062434,0.261832,0.014977,0.000512,0.001472,0.001056,0.000256,0.897243
0.395436,0.017377,0.191109,0.004864,0.101315,0.081987,0.060194,0.246568,0.014304,0.000480,0.001472,0.000992,0.000256,0.879130
0.395660,0.017376,0.191237,0.004864,0.119428,0.101443,0.087778,0.312042,0.014784,0.000512,0.001568,0.001056,0.000384,0.947004
0.396363,0.017473,0.191430,0.004896,0.108739,0.085987,0.067202,0.265192,0.014880,0.000480,0.001472,0.001216,0.000608,0.901146
0.395147,0.017473,0.191110,0.004864,0.108611,0.081954,0.064578,0.258055,0.014657,0.000512,0.001472,0.001120,0.000416,0.891386
0.395404,0.017473,0.190981,0.004832,0.110596,0.082274,0.061634,0.257320,0.014272,0.000448,0.001472,0.000960,0.000320,0.889531
0.412332,0.017601,0.191205,0.004800,0.112420,0.088034,0.068802,0.272648,0.014753,0.000448,0.001472,0.000992,0.000352,0.922331
0.394604,0.017408,0.191238,0.004896,0.110083,0.081091,0.061666,0.255752,0.014144,0.000512,0.001440,0.000992,0.000320,0.887290
0.396076,0.017601,0.190917,0.004832,0.114116,0.080290,0.063522,0.260616,0.014113,0.000512,0.001472,0.000960,0.000352,0.893595
0.396652,0.017440,0.191110,0.004832,0.111043,0.079939,0.082914,0.277768,0.015585,0.000512,0.001472,0.000992,0.000288,0.913883
0.395596,0.017568,0.191718,0.004896,0.115108,0.081122,0.063138,0.262184,0.014336,0.000480,0.001440,0.000960,0.000384,0.897147
0.395596,0.017536,0.191238,0.004832,0.117892,0.091139,0.065473,0.277481,0.014976,0.000512,0.001472,0.001024,0.000352,0.913115
0.396044,0.017312,0.191174,0.004800,0.115779,0.081891,0.063138,0.263560,0.014976,0.000544,0.001408,0.000992,0.000320,0.897370
0.413484,0.017472,0.191238,0.004800,0.105859,0.079299,0.063426,0.251784,0.014688,0.000512,0.001472,0.001024,0.000448,0.905178
0.394667,0.017505,0.191174,0.004832,0.118499,0.087107,0.062818,0.271400,0.014176,0.000512,0.001376,0.001024,0.000384,0.903322
0.395180,0.017441,0.191013,0.004801,0.121283,0.087267,0.067458,0.278984,0.014048,0.000480,0.001472,0.001088,0.000288,0.911611
0.395371,0.017440,0.191174,0.004832,0.110147,0.082691,0.085186,0.281096,0.014561,0.000480,0.001408,0.001056,0.000288,0.914427
0.395692,0.017408,0.191302,0.004800,0.114467,0.081315,0.062754,0.261256,0.014528,0.000512,0.001408,0.001056,0.000288,0.894522
0.395083,0.017409,0.191334,0.004800,0.114755,0.088387,0.063234,0.269256,0.014784,0.000512,0.001376,0.001056,0.000288,0.902234
0.395276,0.017345,0.191461,0.004832,0.109476,0.079106,0.061858,0.253352,0.014176,0.000512,0.001344,0.001024,0.000289,0.886011
0.413484,0.017409,0.191621,0.004800,0.120899,0.087683,0.063842,0.275208,0.014560,0.000480,0.001504,0.001120,0.000320,0.927707
0.395659,0.017280,0.191078,0.004800,0.122148,0.083010,0.063714,0.271784,0.014720,0.000480,0.001536,0.001153,0.000448,0.906651
0.396332,0.017537,0.191525,0.004865,0.114723,0.081410,0.063938,0.263079,0.014305,0.000480,0.001472,0.001088,0.000320,0.897435
0.396172,0.017345,0.191589,0.004800,0.114756,0.087938,0.086211,0.292073,0.014497,0.000480,0.001472,0.001376,0.000320,0.927548
0.395404,0.017376,0.191014,0.004864,0.120676,0.079874,0.061858,0.265608,0.014112,0.000512,0.001408,0.001120,0.000288,0.897978
0.395404,0.017505,0.191237,0.004801,0.116483,0.081026,0.062242,0.263047,0.014401,0.000480,0.001440,0.001088,0.000352,0.896027
0.395212,0.017472,0.191142,0.004832,0.134340,0.080738,0.067394,0.285256,0.014689,0.000512,0.001440,0.001056,0.000288,0.918523
0.412556,0.017601,0.191717,0.004897,0.119971,0.081475,0.063969,0.268424,0.014624,0.000512,0.001504,0.000960,0.000288,0.919579
0.395116,0.017568,0.191206,0.004800,0.118148,0.080610,0.061506,0.263592,0.015393,0.000512,0.001440,0.000960,0.000288,0.897019
0.394860,0.017472,0.191014,0.004832,0.115172,0.087170,0.062850,0.268072,0.014272,0.000513,0.001472,0.001120,0.000288,0.899835
0.396524,0.017569,0.191077,0.004928,0.119620,0.085155,0.063457,0.271272,0.014913,0.000545,0.001632,0.001216,0.000416,0.926268
0.396172,0.017600,0.191462,0.004960,0.116516,0.085954,0.064610,0.270056,0.014753,0.000480,0.001440,0.001152,0.000864,0.906523
0.399979,0.018624,0.195782,0.005312,0.156933,0.092066,0.070371,0.322762,0.017152,0.000704,0.001824,0.002432,0.000576,0.975036
0.396428,0.017792,0.192582,0.004800,0.114531,0.085251,0.064066,0.267048,0.016224,0.000512,0.001793,0.001376,0.000320,0.906331
0.409932,0.017632,0.192262,0.004768,0.110115,0.086019,0.065474,0.265128,0.015328,0.000480,0.001664,0.001120,0.000288,0.915163
0.396364,0.017440,0.191718,0.004864,0.112739,0.083107,0.064322,0.263304,0.014240,0.000480,0.001472,0.000992,0.000256,0.897563
0.395372,0.017536,0.192134,0.004768,0.113187,0.086627,0.070178,0.273032,0.014080,0.000512,0.001473,0.001088,0.000288,0.906491
0.395756,0.017344,0.192102,0.004864,0.130212,0.090403,0.069122,0.292905,0.018624,0.000512,0.001472,0.000993,0.000288,0.931676
0.396364,0.017568,0.191174,0.004800,0.114052,0.081698,0.061570,0.260456,0.014176,0.000512,0.001504,0.000928,0.000321,0.894107
0.396428,0.017344,0.191142,0.004832,0.112291,0.080099,0.062786,0.258216,0.017504,0.000512,0.001536,0.001056,0.000320,0.895834
0.396748,0.017568,0.191942,0.004800,0.115107,0.082691,0.073314,0.274280,0.014177,0.000512,0.001504,0.000992,0.000288,0.910203
0.434668,0.017921,0.192454,0.004768,0.131684,0.089698,0.067298,0.291880,0.015681,0.000512,0.001408,0.001248,0.000384,0.969180
0.396299,0.017793,0.191622,0.004864,0.112035,0.087555,0.068706,0.272968,0.017120,0.000480,0.001536,0.000928,0.000480,0.910810
0.396556,0.017697,0.191814,0.004960,0.109699,0.082498,0.061826,0.257223,0.015521,0.000512,0.001600,0.001248,0.000384,0.895259
0.396876,0.018209,0.191557,0.004832,0.115172,0.083010,0.061506,0.263208,0.015137,0.000544,0.001472,0.000960,0.000384,0.899867
0.395531,0.017569,0.191302,0.004832,0.107587,0.085475,0.060225,0.256423,0.014721,0.000448,0.001440,0.000832,0.000288,0.890266
0.396940,0.017632,0.192038,0.004768,0.114468,0.087682,0.065186,0.270632,0.014881,0.000416,0.001472,0.000832,0.000352,0.907259
0.396172,0.017504,0.192422,0.004800,0.109539,0.086467,0.064738,0.264104,0.015360,0.000480,0.001536,0.000800,0.000384,0.900186
0.409676,0.017473,0.192006,0.004800,0.115075,0.085955,0.062178,0.266280,0.015840,0.000512,0.001600,0.000992,0.000320,0.915899
0.395340,0.017280,0.191366,0.004832,0.106787,0.081346,0.062882,0.254152,0.014656,0.000544,0.001472,0.000832,0.000288,0.887546
0.395403,0.017633,0.191685,0.004801,0.116099,0.084899,0.063169,0.267560,0.016448,0.000512,0.001536,0.001024,0.000288,0.903899
0.395852,0.017344,0.191526,0.004928,0.123940,0.099811,0.077954,0.305033,0.015169,0.000544,0.001536,0.000960,0.000320,0.940508
0.396076,0.017857,0.192133,0.004833,0.118659,0.091011,0.071682,0.284360,0.015680,0.000448,0.001536,0.001312,0.000576,0.922492
0.396300,0.018081,0.194502,0.004864,0.119235,0.083267,0.066466,0.271976,0.016032,0.000736,0.001664,0.001632,0.000384,0.916796
0.395724,0.017888,0.192390,0.004800,0.122948,0.090146,0.062946,0.279208,0.014241,0.000448,0.001536,0.000864,0.000352,0.913371
0.407084,0.017600,0.192006,0.004992,0.099171,0.080899,0.090754,0.273544,0.014049,0.000480,0.001408,0.000896,0.000416,0.918427
0.394603,0.017345,0.191526,0.004832,0.105795,0.090787,0.061377,0.260967,0.014209,0.000416,0.001504,0.000800,0.000352,0.892282
0.394315,0.017985,0.191494,0.004800,0.119267,0.083779,0.062402,0.268712,0.014560,0.000480,0.001536,0.001024,0.000384,0.902778
0.395948,0.017792,0.191174,0.004864,0.135908,0.096323,0.063778,0.299593,0.014656,0.000512,0.001536,0.000960,0.000352,0.933883
0.395020,0.017440,0.191302,0.004928,0.112035,0.086883,0.067234,0.269192,0.014272,0.000512,0.001600,0.001088,0.000352,0.902458
0.394796,0.017536,0.191558,0.004800,0.122532,0.087650,0.070338,0.283689,0.014304,0.000512,0.001504,0.000992,0.000320,0.917723
0.394860,0.017344,0.191558,0.004832,0.122596,0.085826,0.064290,0.275784,0.014337,0.000576,0.001440,0.000992,0.000224,0.909499
0.413453,0.017408,0.191718,0.004800,0.117635,0.081987,0.062978,0.266984,0.014816,0.000480,0.001472,0.000928,0.000352,0.918971
0.394763,0.017665,0.191334,0.004832,0.109379,0.082435,0.061249,0.256071,0.014785,0.000512,0.001440,0.000960,0.000352,0.890522
0.394764,0.017377,0.191653,0.004833,0.107523,0.081090,0.061090,0.252743,0.014464,0.000480,0.001377,0.001056,0.000352,0.885723
0.393835,0.017569,0.191238,0.004800,0.132804,0.086562,0.060546,0.283432,0.014881,0.000544,0.001408,0.000960,0.000288,0.915451
0.393996,0.017312,0.191046,0.004800,0.114083,0.080579,0.061666,0.259208,0.014592,0.000736,0.001376,0.000896,0.000288,0.890650
0.395371,0.017441,0.191173,0.004801,0.115971,0.082050,0.062177,0.263175,0.013985,0.000512,0.001440,0.000928,0.000256,0.895674
0.394444,0.017312,0.191558,0.004800,0.113604,0.082050,0.062530,0.261192,0.014592,0.000480,0.001440,0.001056,0.000288,0.893723
0.409068,0.017376,0.191622,0.004800,0.117668,0.086722,0.069986,0.277448,0.014273,0.000480,0.001376,0.000832,0.000288,0.923227
0.395948,0.017664,0.192326,0.004864,0.118340,0.081602,0.060770,0.264168,0.014944,0.000480,0.001568,0.001216,0.000448,0.901914
0.395980,0.017793,0.191909,0.004833,0.122243,0.081315,0.062242,0.268968,0.014432,0.000544,0.001568,0.001152,0.000320,0.904891
0.396139,0.017568,0.191686,0.004832,0.141476,0.090435,0.064866,0.300521,0.015232,0.000512,0.001568,0.001120,0.000320,0.936891
0.395147,0.017633,0.191590,0.004832,0.116259,0.092643,0.064482,0.276552,0.015104,0.000736,0.001696,0.001216,0.000352,0.912731
0.394156,0.017473,0.191333,0.004897,0.116387,0.082850,0.063842,0.266311,0.014849,0.000512,0.001504,0.001152,0.000256,0.899387
0.394507,0.017536,0.191686,0.004896,0.112099,0.081571,0.062081,0.258760,0.014944,0.000512,0.001568,0.001120,0.000288,0.892762
0.412876,0.017505,0.191493,0.004864,0.116356,0.081698,0.065250,0.266344,0.014145,0.000480,0.001536,0.001088,0.000288,0.918043
0.394348,0.017441,0.191781,0.004992,0.114979,0.081858,0.064322,0.264103,0.015041,0.000448,0.001568,0.001056,0.000320,0.897915
