Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.394956,0.017184,0.202374,0.005088,0.047522,0.000608,0.098339,0.049665,0.059618,0.210854,0.883674
0.394796,0.017473,0.191621,0.004832,0.047330,0.000512,0.103203,0.065538,0.064098,0.236231,0.897403
0.394699,0.017409,0.191462,0.004800,0.047009,0.000576,0.101571,0.064866,0.067266,0.237351,0.898074
0.395212,0.017344,0.191814,0.004992,0.047137,0.000576,0.086754,0.053026,0.062658,0.205286,0.866842
0.406476,0.017569,0.191621,0.004832,0.047042,0.000608,0.104003,0.061986,0.064098,0.233671,0.906555
0.399084,0.017504,0.191302,0.005056,0.047042,0.000640,0.107939,0.050785,0.061474,0.223686,0.890234
0.394316,0.017504,0.191878,0.004832,0.047106,0.000544,0.104067,0.066818,0.059010,0.232807,0.893371
0.394603,0.017313,0.191237,0.004864,0.047041,0.000544,0.114179,0.080323,0.067682,0.265256,0.925371
0.394347,0.017345,0.191494,0.004864,0.046913,0.000576,0.094147,0.052290,0.064738,0.215623,0.876058
0.394444,0.017376,0.192006,0.004832,0.046817,0.000608,0.089731,0.055810,0.058145,0.206759,0.867706
0.398956,0.017536,0.192134,0.004800,0.047042,0.000608,0.101443,0.051617,0.062658,0.218662,0.886170
0.394668,0.017504,0.204935,0.005120,0.047009,0.000640,0.103491,0.065730,0.062690,0.235335,0.910267
0.394027,0.017248,0.191910,0.004864,0.047041,0.000608,0.088163,0.053378,0.061825,0.206278,0.866329
0.394604,0.017472,0.191302,0.005024,0.047010,0.000576,0.133860,0.052545,0.063234,0.252647,0.913115
0.394732,0.017344,0.191750,0.004832,0.046978,0.000576,0.117987,0.063298,0.062946,0.247591,0.908411
0.412012,0.017313,0.191334,0.004896,0.046977,0.000576,0.108739,0.067586,0.064962,0.244455,0.923131
0.394060,0.017344,0.191173,0.004800,0.047234,0.000512,0.093955,0.050561,0.059298,0.207942,0.867770
0.394636,0.017472,0.191590,0.004832,0.047298,0.000480,0.089858,0.068194,0.066562,0.227878,0.889626
0.394731,0.017409,0.191813,0.004897,0.047009,0.000608,0.114819,0.065953,0.058114,0.242023,0.903610
0.394572,0.017537,0.191493,0.004833,0.047137,0.000544,0.091395,0.068834,0.060514,0.223815,0.884891
0.395659,0.017345,0.191302,0.005088,0.047105,0.000576,0.094755,0.058626,0.062978,0.219303,0.881690
0.394795,0.017409,0.191493,0.005057,0.047073,0.000576,0.092931,0.066786,0.059106,0.222247,0.883578
0.410733,0.017280,0.191910,0.004896,0.047105,0.000608,0.093443,0.048258,0.060801,0.205191,0.882331
0.394091,0.017377,0.192006,0.005056,0.047201,0.000576,0.088483,0.051137,0.059330,0.201606,0.862585
0.394700,0.017408,0.191494,0.004864,0.047105,0.000608,0.107780,0.049473,0.061250,0.221479,0.883098
0.395596,0.017376,0.191814,0.004832,0.047650,0.000640,0.116707,0.052642,0.074754,0.247175,0.911739
0.395692,0.017633,0.191589,0.004897,0.047137,0.000608,0.110403,0.052802,0.084322,0.250887,0.913787
0.395372,0.017537,0.191333,0.004896,0.047010,0.000576,0.105795,0.051842,0.061761,0.222438,0.885210
0.395275,0.017345,0.191973,0.004993,0.047137,0.000576,0.109667,0.051650,0.061282,0.225479,0.888314
0.394667,0.036193,0.192165,0.004864,0.047042,0.000640,0.106659,0.052194,0.062305,0.224071,0.905979
0.394956,0.017601,0.192069,0.004929,0.047137,0.000864,0.110371,0.051970,0.062594,0.227751,0.891835
0.395404,0.017312,0.191494,0.004896,0.047042,0.000640,0.105731,0.052289,0.062658,0.223462,0.886362
0.394892,0.017600,0.191750,0.004896,0.047170,0.000576,0.112483,0.052289,0.062594,0.230246,0.892538
0.399724,0.017600,0.191270,0.004896,0.047554,0.000608,0.104099,0.051681,0.062402,0.221190,0.888954
