Layer[0],Layer[1],TEE[2-9],Layer[10],classifier
0.415473,0.017793,0.774238,0.000832,1.214224
0.416176,0.017696,0.729469,0.000608,1.168590
0.416336,0.017729,0.756734,0.000768,1.198639
0.416177,0.017728,0.785406,0.000672,1.225136
0.415632,0.017601,0.749149,0.000768,1.189006
0.416432,0.017633,0.768734,0.000800,1.208495
0.434801,0.017729,0.744925,0.000704,1.202543
0.416112,0.017504,0.746398,0.000704,1.185711
0.415601,0.017568,0.748189,0.000672,1.186991
0.433809,0.017825,0.734973,0.000608,1.192143
0.415504,0.017473,0.747805,0.000640,1.185902
0.416400,0.017473,0.731645,0.000768,1.170958
0.417776,0.017665,0.755262,0.000800,1.198575
0.415985,0.017600,0.747966,0.000608,1.187215
0.417873,0.017504,0.766654,0.000704,1.209520
0.416369,0.017760,0.718717,0.000672,1.158926
0.416208,0.017761,0.751966,0.000704,1.192431
0.417137,0.017761,0.777374,0.000608,1.218544
0.416081,0.017728,0.747518,0.000672,1.187247
0.416144,0.017536,0.755390,0.000704,1.195151
0.448434,0.017569,0.749661,0.000704,1.222096
0.416561,0.017632,0.739422,0.000864,1.181135
0.416272,0.017697,0.754973,0.000640,1.195215
0.433585,0.017857,0.751261,0.000768,1.209679
0.415984,0.017793,0.747773,0.000768,1.188814
0.415953,0.017729,0.771262,0.000672,1.211152
0.416016,0.017249,0.751646,0.000672,1.191503
0.416433,0.017729,0.746749,0.000672,1.186831
0.416432,0.017377,0.742717,0.000768,1.182158
0.416049,0.017728,0.741278,0.000576,1.180783
0.416401,0.017376,0.736861,0.000736,1.175566
0.416976,0.017537,0.763902,0.000736,1.205455
0.416433,0.017568,0.711196,0.000512,1.150061
0.415792,0.017985,0.746045,0.000640,1.186254
0.436722,0.017632,0.751934,0.000736,1.213488
0.416048,0.017760,0.752030,0.000672,1.192559
0.416112,0.017569,0.733533,0.000672,1.173870
0.431537,0.017377,0.746333,0.000672,1.202287
0.417073,0.018465,0.737629,0.000736,1.180495
0.415665,0.017761,0.771646,0.000896,1.211888
0.415825,0.017280,0.751998,0.000704,1.191663
0.417073,0.017729,0.763614,0.000672,1.207120
0.416145,0.017569,0.774590,0.000640,1.214608
0.416496,0.017953,0.755582,0.000640,1.197423
0.415889,0.017665,0.751293,0.000768,1.192239
0.416496,0.017505,0.772191,0.000672,1.213008
0.417296,0.017505,0.753917,0.000768,1.195919
0.415984,0.017600,0.755006,0.000832,1.195087
0.432209,0.017793,0.771358,0.000608,1.228464
0.416144,0.017729,0.752861,0.000704,1.193295
0.415632,0.017697,0.770206,0.000608,1.209904
0.416400,0.018017,0.741021,0.000736,1.183150
0.417361,0.017728,0.755358,0.000640,1.197359
0.417968,0.017377,0.778911,0.000704,1.221296
0.416657,0.017953,0.752477,0.000640,1.193807
0.416784,0.017985,0.741917,0.000864,1.183758
0.415728,0.017697,0.817248,0.000832,1.257201
0.417104,0.017569,0.750621,0.000864,1.191854
