Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394411,0.017377,0.192038,0.004832,0.047105,0.107907,0.048706,0.063682,0.224231,0.000736,0.002144,0.001120,0.000352,0.891610
0.394636,0.017632,0.191942,0.004864,0.047041,0.118212,0.055202,0.067458,0.244584,0.000832,0.005216,0.001216,0.000416,0.916283
0.394347,0.017665,0.191717,0.004993,0.047265,0.110915,0.048450,0.068418,0.231751,0.000704,0.001952,0.001152,0.000288,0.899322
0.395947,0.017633,0.192038,0.004896,0.047361,0.115876,0.048577,0.065506,0.234119,0.000704,0.002240,0.001280,0.000352,0.905274
0.395819,0.017344,0.211590,0.005025,0.047393,0.111971,0.048962,0.063234,0.227271,0.000704,0.002016,0.001536,0.000416,0.917211
0.394540,0.017504,0.191334,0.004864,0.047362,0.109251,0.048257,0.068354,0.229670,0.000672,0.002145,0.001440,0.000416,0.898235
0.395115,0.017313,0.191942,0.004832,0.047105,0.109924,0.048225,0.060258,0.221991,0.000640,0.001952,0.001472,0.000384,0.889274
0.393867,0.017249,0.191782,0.004864,0.047105,0.110083,0.048130,0.060162,0.221511,0.000672,0.001888,0.001184,0.000416,0.886938
0.395340,0.017280,0.191814,0.004800,0.047266,0.117667,0.046658,0.061761,0.230118,0.000640,0.001953,0.001152,0.000352,0.897659
0.395755,0.017793,0.192422,0.004864,0.049569,0.123460,0.050785,0.064610,0.242375,0.001088,0.002336,0.001376,0.000416,0.915195
0.395820,0.017504,0.191590,0.004832,0.049217,0.108995,0.049409,0.062370,0.224838,0.000928,0.002080,0.001376,0.000384,0.895674
0.411116,0.017761,0.191942,0.005248,0.049217,0.115076,0.047329,0.060130,0.226759,0.000704,0.002176,0.001088,0.000352,0.914171
0.394763,0.017473,0.191750,0.005440,0.049537,0.109635,0.049249,0.063234,0.226087,0.001056,0.002400,0.001216,0.000416,0.898330
0.395339,0.017665,0.191718,0.005152,0.050209,0.112964,0.048065,0.060162,0.224935,0.000736,0.002240,0.001120,0.000384,0.896346
0.395308,0.017537,0.191653,0.005344,0.049634,0.110595,0.048962,0.085122,0.249383,0.001152,0.003232,0.001280,0.000416,0.924700
0.394572,0.017472,0.191526,0.005152,0.048130,0.112227,0.045857,0.058914,0.220422,0.000768,0.002048,0.001056,0.000352,0.887994
0.394732,0.017440,0.191814,0.005024,0.047586,0.112611,0.048450,0.096514,0.261223,0.000672,0.002017,0.001216,0.000320,0.928732
0.394860,0.017440,0.191366,0.004864,0.047746,0.111427,0.048161,0.060930,0.224422,0.000800,0.002048,0.001088,0.000352,0.891834
0.413164,0.017409,0.191781,0.004800,0.047394,0.108483,0.046114,0.059009,0.217734,0.000640,0.002016,0.001088,0.000320,0.903259
0.395147,0.017569,0.191398,0.004832,0.047329,0.108195,0.048578,0.064034,0.224359,0.000768,0.002272,0.001152,0.000320,0.891738
0.395083,0.017313,0.191558,0.005024,0.047521,0.107907,0.046338,0.059041,0.216839,0.000672,0.002080,0.001312,0.000384,0.884474
0.394892,0.017440,0.191846,0.004800,0.047810,0.116579,0.063650,0.073698,0.258983,0.000768,0.002337,0.001184,0.000384,0.929788
0.395020,0.017473,0.191493,0.004928,0.047170,0.111523,0.048802,0.063330,0.227911,0.000896,0.002528,0.001216,0.000384,0.896347
0.394796,0.017600,0.191558,0.005088,0.047106,0.112515,0.048513,0.064449,0.229926,0.000673,0.002176,0.001056,0.000384,0.898203
0.394124,0.017536,0.191846,0.004864,0.047329,0.108932,0.056449,0.074531,0.243208,0.000768,0.002144,0.001280,0.000416,0.911131
0.410156,0.017345,0.191846,0.004864,0.047169,0.114084,0.048961,0.062306,0.228871,0.000672,0.002080,0.001184,0.000320,0.911067
0.394316,0.017313,0.191973,0.004897,0.047073,0.108131,0.056194,0.065666,0.234983,0.000832,0.002528,0.001184,0.000320,0.902875
0.394283,0.017601,0.191654,0.004864,0.047393,0.114052,0.046049,0.063618,0.227559,0.000736,0.005120,0.001376,0.000448,0.898618
0.395147,0.017409,0.191686,0.004832,0.047521,0.122724,0.055201,0.065666,0.249479,0.000897,0.002592,0.001344,0.000384,0.920411
0.394732,0.017728,0.191782,0.004832,0.047554,0.109219,0.048897,0.061026,0.223174,0.000768,0.002400,0.001216,0.000384,0.891546
0.394476,0.017856,0.191974,0.004864,0.047554,0.117507,0.048514,0.063842,0.233703,0.000864,0.002272,0.001216,0.000448,0.904251
0.395083,0.017697,0.191589,0.004993,0.047137,0.111491,0.048994,0.061058,0.225383,0.000736,0.002304,0.001280,0.000448,0.894266
0.412429,0.017408,0.191462,0.004992,0.046913,0.111971,0.054913,0.066849,0.237416,0.000768,0.002048,0.001088,0.000384,0.921756
0.394732,0.017504,0.191622,0.004928,0.047426,0.109315,0.046337,0.061826,0.221318,0.000672,0.002048,0.001184,0.000352,0.888858
0.395020,0.017792,0.191462,0.004864,0.047234,0.115747,0.048065,0.061281,0.229318,0.000736,0.002176,0.001248,0.000352,0.899515
0.398092,0.017856,0.212198,0.005345,0.047809,0.114979,0.059265,0.071362,0.249319,0.000704,0.002337,0.001280,0.000384,0.943036
0.395884,0.017920,0.192966,0.004864,0.048354,0.114627,0.048066,0.063490,0.230919,0.000768,0.002272,0.001248,0.000352,0.904283
0.399372,0.017440,0.192294,0.005216,0.050466,0.113635,0.049026,0.064610,0.230919,0.000800,0.002368,0.001440,0.000448,0.907387
0.394348,0.017344,0.191974,0.005024,0.049186,0.105059,0.044577,0.058242,0.211878,0.000736,0.002304,0.001376,0.000352,0.881722
0.395212,0.017728,0.191942,0.005280,0.049730,0.112131,0.048738,0.060129,0.224902,0.000736,0.002048,0.001345,0.000384,0.896667
0.399884,0.017633,0.191845,0.005248,0.049474,0.141668,0.050274,0.067778,0.263880,0.000832,0.003328,0.001056,0.000416,0.942588
0.394732,0.017408,0.191910,0.005152,0.049858,0.111299,0.049505,0.060706,0.225062,0.000832,0.002400,0.001088,0.000352,0.895994
0.399532,0.017312,0.210950,0.005249,0.049537,0.113219,0.049730,0.061410,0.227975,0.001024,0.002176,0.000992,0.000448,0.922971
0.399724,0.017664,0.192166,0.005216,0.049506,0.111523,0.048449,0.064801,0.228518,0.000992,0.002592,0.000960,0.000320,0.904795
0.395467,0.017281,0.191910,0.005280,0.050721,0.114724,0.048961,0.060034,0.228135,0.000864,0.002048,0.001024,0.000448,0.900538
0.395083,0.017857,0.191686,0.005024,0.050753,0.109603,0.045569,0.057858,0.216871,0.000704,0.002240,0.001120,0.000384,0.888378
0.394956,0.017825,0.192869,0.004929,0.050529,0.114659,0.048321,0.061346,0.228551,0.000768,0.001984,0.001152,0.000416,0.901051
0.399468,0.017345,0.192325,0.005121,0.050145,0.113187,0.048545,0.062850,0.228391,0.000672,0.002144,0.001120,0.000384,0.903899
0.399468,0.017472,0.192294,0.005088,0.048898,0.110083,0.045825,0.061314,0.221638,0.000768,0.002400,0.001280,0.000416,0.899098
0.396011,0.017505,0.209062,0.005344,0.049378,0.112899,0.057314,0.065602,0.240327,0.000736,0.002144,0.001088,0.000416,0.928667
0.399660,0.017441,0.192165,0.005441,0.050209,0.113988,0.046401,0.075970,0.240999,0.000800,0.005312,0.001088,0.000416,0.923932
0.395340,0.017632,0.192262,0.005088,0.049538,0.112163,0.048609,0.070978,0.236071,0.000800,0.002464,0.001248,0.000384,0.907291
0.395372,0.017696,0.192614,0.005280,0.049730,0.119811,0.049570,0.065250,0.238695,0.000896,0.002112,0.001024,0.000384,0.912059
0.394988,0.017632,0.191654,0.005088,0.048994,0.114403,0.049762,0.061729,0.229638,0.000768,0.002113,0.001536,0.000416,0.899995
0.400940,0.017793,0.192453,0.004833,0.048609,0.115619,0.050626,0.063970,0.234311,0.000704,0.002240,0.001312,0.000608,0.911771
0.396108,0.017601,0.191909,0.004897,0.048993,0.113635,0.049666,0.060098,0.227527,0.000768,0.002240,0.001312,0.000416,0.898811
0.410637,0.017792,0.191910,0.005312,0.049634,0.112163,0.057538,0.064674,0.238247,0.001152,0.002112,0.001056,0.000384,0.925340
0.399724,0.017664,0.192294,0.004832,0.048930,0.109635,0.046529,0.058402,0.218342,0.000768,0.002112,0.001088,0.000384,0.892570
0.400075,0.017632,0.192134,0.005280,0.050593,0.111684,0.049633,0.060962,0.225991,0.000768,0.002176,0.001504,0.000416,0.904090
0.399244,0.017408,0.191590,0.005216,0.049665,0.112068,0.048705,0.084355,0.249000,0.000640,0.002080,0.001120,0.000416,0.923355
0.399788,0.017600,0.191622,0.005024,0.048642,0.114403,0.049282,0.061505,0.229222,0.000769,0.003296,0.001312,0.000416,0.906011
0.400108,0.017537,0.191909,0.005089,0.049057,0.108387,0.048450,0.060353,0.221127,0.000768,0.002016,0.000992,0.000416,0.895899
0.394635,0.017376,0.191558,0.005312,0.048321,0.112964,0.047681,0.061314,0.225543,0.000736,0.002048,0.001056,0.000352,0.894202
0.417164,0.017761,0.191814,0.004864,0.049697,0.111779,0.055585,0.067522,0.240039,0.000736,0.002080,0.000960,0.000352,0.932507
0.398987,0.017664,0.191910,0.005248,0.049889,0.111588,0.048065,0.060834,0.224487,0.000768,0.002208,0.001152,0.000384,0.900250
0.399691,0.017665,0.192326,0.004800,0.049537,0.114436,0.048129,0.061602,0.227783,0.000864,0.002400,0.000992,0.000608,0.904474
0.399628,0.017408,0.192070,0.005280,0.049858,0.130147,0.047362,0.059106,0.242599,0.000768,0.005184,0.001152,0.000608,0.924731
