Layer[0],Layer[1],Layer[2],IN[3],INFER[3-10],OUT[10],TEE[3-10],classifier
0.395212,0.017792,0.191494,0.129188,0.104483,0.062850,0.300329,0.910107
0.395819,0.017888,0.192006,0.140836,0.108963,0.066242,0.319593,0.931259
0.432365,0.017889,0.192134,0.126371,0.115748,0.069410,0.315177,0.963325
0.394924,0.017600,0.191718,0.137476,0.108643,0.066562,0.316361,0.926011
0.395532,0.017729,0.191525,0.120868,0.106243,0.063618,0.294601,0.904859
0.395051,0.017632,0.191558,0.136932,0.144036,0.107235,0.394219,1.004349
0.395340,0.017825,0.191429,0.133604,0.108195,0.066050,0.311465,0.921179
0.394796,0.017857,0.191301,0.115364,0.106531,0.068770,0.294313,0.903355
0.394444,0.017729,0.191621,0.129444,0.105123,0.063554,0.301417,0.910075
0.413932,0.017857,0.191813,0.170789,0.116836,0.069154,0.360267,0.988701
0.395404,0.017568,0.191558,0.124100,0.116227,0.067842,0.311881,0.921531
0.395244,0.017696,0.191750,0.135460,0.107971,0.065186,0.312233,0.922651
0.395308,0.017568,0.204422,0.138628,0.116132,0.069762,0.328266,0.951612
0.395531,0.017665,0.191493,0.119396,0.106787,0.066498,0.296073,0.905562
0.395372,0.017632,0.191974,0.136580,0.114276,0.064834,0.319402,0.929564
0.395115,0.017664,0.191430,0.137188,0.105091,0.065442,0.311433,0.921211
0.394859,0.017473,0.191302,0.133636,0.110115,0.065218,0.312457,0.920955
0.395788,0.017824,0.191558,0.138916,0.106979,0.063234,0.312649,0.922715
0.394699,0.017697,0.191814,0.134756,0.106435,0.065666,0.310377,0.919835
0.413613,0.017920,0.191878,0.129092,0.113923,0.064738,0.311049,0.939484
0.395052,0.017472,0.191654,0.113411,0.108259,0.062210,0.287560,0.897146
0.395276,0.017824,0.192038,0.133668,0.104323,0.064354,0.306569,0.917147
0.395179,0.017537,0.191910,0.135588,0.127843,0.092066,0.360074,0.969852
0.394988,0.017856,0.191846,0.119427,0.109540,0.064514,0.296969,0.906619
0.395180,0.017568,0.191654,0.134180,0.114467,0.067522,0.319497,0.928284
0.395532,0.017632,0.192006,0.124772,0.108739,0.065922,0.304617,0.914971
0.410540,0.017792,0.192038,0.136164,0.106787,0.065954,0.312457,0.937691
0.395371,0.017569,0.191685,0.130148,0.107428,0.070946,0.311722,0.920700
0.395180,0.017632,0.191526,0.132356,0.115075,0.070370,0.321482,0.930524
0.395276,0.017537,0.191589,0.153349,0.127268,0.067682,0.351883,0.960701
0.395884,0.017696,0.192870,0.130500,0.105603,0.062914,0.302377,0.913595
0.395532,0.017664,0.191526,0.142340,0.108867,0.068066,0.323305,0.933627
0.395148,0.017760,0.191846,0.136484,0.105795,0.066146,0.312169,0.922555
0.411532,0.017537,0.191270,0.132995,0.112035,0.063938,0.312681,0.938204
0.395500,0.017665,0.191461,0.120996,0.105411,0.068514,0.298217,0.907547
0.394571,0.017665,0.191302,0.129539,0.109059,0.063362,0.305641,0.914459
0.395435,0.017728,0.209158,0.137860,0.123396,0.065986,0.330442,0.958396
0.394796,0.017792,0.192134,0.128868,0.113539,0.064002,0.309897,0.919067
0.394732,0.017601,0.191781,0.120484,0.106403,0.066210,0.296809,0.905531
0.394956,0.017665,0.191749,0.134500,0.108228,0.067138,0.313514,0.922556
0.394892,0.017761,0.191397,0.134308,0.107619,0.064098,0.309961,0.919259
0.394828,0.017568,0.191494,0.139556,0.108996,0.065826,0.317994,0.927388
0.395084,0.017633,0.191461,0.131428,0.107203,0.066498,0.309129,0.918779
0.410636,0.017568,0.191942,0.141188,0.123396,0.064482,0.332938,0.958237
0.396396,0.017409,0.191333,0.126884,0.107939,0.063906,0.302153,0.912795
0.395116,0.017633,0.191493,0.136356,0.109156,0.065186,0.314282,0.924380
0.394763,0.017537,0.191686,0.137220,0.126243,0.068259,0.335946,0.945148
0.394796,0.017665,0.191781,0.125220,0.109059,0.064898,0.302697,0.912059
0.394604,0.017824,0.191750,0.127268,0.105411,0.062370,0.299113,0.908443
0.394699,0.017601,0.191494,0.143940,0.106627,0.063810,0.317961,0.926683
0.413772,0.017857,0.191557,0.137829,0.116035,0.069634,0.327082,0.955196
0.394636,0.017600,0.191782,0.128132,0.105699,0.065570,0.303465,0.912699
0.395371,0.017761,0.191686,0.133412,0.107299,0.065698,0.310249,0.920667
0.395052,0.017760,0.191846,0.143652,0.113955,0.065601,0.326889,0.937084
0.395244,0.017536,0.191558,0.125252,0.107907,0.064034,0.300617,0.910331
0.395596,0.017792,0.191622,0.142372,0.115236,0.073282,0.334730,0.945980
0.397228,0.017761,0.191653,0.139332,0.108932,0.064450,0.316490,0.928092
0.395851,0.017857,0.191654,0.137956,0.107459,0.063650,0.312841,0.923099
0.396107,0.017825,0.191686,0.132868,0.108355,0.063298,0.308425,0.919035
0.394956,0.017665,0.191429,0.119812,0.111043,0.068130,0.302313,0.911003
0.395308,0.017856,0.207110,0.126724,0.114115,0.072578,0.316810,0.942140
0.395275,0.017793,0.191686,0.133027,0.107075,0.065282,0.308905,0.919611
0.395500,0.017696,0.191366,0.134052,0.107299,0.067714,0.312873,0.922619
0.394988,0.017696,0.191366,0.135684,0.115267,0.094403,0.348938,0.957788
0.394764,0.017792,0.191622,0.126468,0.106787,0.067010,0.303369,0.912315
0.395084,0.017601,0.191205,0.131300,0.105827,0.062498,0.303273,0.912379
0.394892,0.017536,0.191462,0.133060,0.115843,0.080131,0.332234,0.940988
0.413996,0.017825,0.191461,0.138148,0.115940,0.069058,0.326730,0.955388
0.394796,0.017601,0.191429,0.134564,0.107203,0.064834,0.310121,0.918747
0.397324,0.017824,0.191398,0.135620,0.116196,0.068546,0.323530,0.935068
0.395180,0.017600,0.191110,0.160901,0.138148,0.067714,0.370827,0.979741
0.396651,0.017696,0.191398,0.136388,0.115779,0.070146,0.325481,0.936571
0.395372,0.017824,0.191654,0.137156,0.109443,0.065698,0.315849,0.925531
0.396844,0.017889,0.191589,0.139140,0.107587,0.065250,0.315978,0.927868
0.396172,0.017793,0.191237,0.135876,0.105795,0.065922,0.311113,0.921371
0.394636,0.017921,0.191525,0.135172,0.116036,0.063714,0.318250,0.927324
0.395916,0.017569,0.191301,0.123076,0.104259,0.064866,0.295721,0.905147
0.395051,0.017793,0.209734,0.118148,0.113571,0.068130,0.303465,0.931355
0.401932,0.017761,0.191621,0.117092,0.105411,0.065378,0.291401,0.907739
0.396972,0.017696,0.191782,0.123428,0.108259,0.067074,0.302537,0.913851
0.395211,0.017792,0.191558,0.141572,0.109635,0.072738,0.327849,0.938172
0.395947,0.017665,0.192166,0.126915,0.113028,0.063522,0.306921,0.917563
0.395276,0.017633,0.191813,0.136100,0.108388,0.069346,0.317706,0.927612
0.395020,0.017985,0.191557,0.128420,0.108323,0.063778,0.303881,0.912923
0.412332,0.017889,0.191749,0.128676,0.115140,0.069122,0.316522,0.943996
0.394764,0.017665,0.191877,0.134052,0.107620,0.063778,0.309002,0.918076
0.397292,0.017537,0.192101,0.135332,0.107428,0.067874,0.314090,0.925948
0.395468,0.017473,0.191333,0.121156,0.135780,0.072578,0.333546,0.942748
0.395179,0.017729,0.191718,0.135044,0.105923,0.064098,0.308681,0.917787
0.398124,0.017633,0.191334,0.137444,0.112867,0.064482,0.318185,0.930588
0.395372,0.017760,0.191590,0.137988,0.116515,0.067778,0.325833,0.935836
0.411212,0.017697,0.191301,0.138756,0.120836,0.066434,0.329770,0.955708
0.396043,0.017857,0.191462,0.136132,0.107107,0.065346,0.311945,0.922811
0.398028,0.017888,0.191814,0.140580,0.109219,0.066786,0.320489,0.934171
0.396364,0.017697,0.207974,0.137508,0.116931,0.065186,0.323593,0.951484
0.395916,0.017728,0.192134,0.126340,0.105251,0.063650,0.298793,0.909211
0.395340,0.017825,0.191973,0.123908,0.106627,0.062114,0.296009,0.906171
0.396971,0.017824,0.191846,0.123107,0.106884,0.062177,0.295529,0.907099
0.395083,0.017697,0.191686,0.132675,0.105123,0.062978,0.304233,0.914075
0.396492,0.017664,0.191654,0.134404,0.106499,0.065730,0.310089,0.920923
0.394507,0.017888,0.192326,0.134180,0.112803,0.064642,0.315177,0.925307
0.396364,0.017536,0.236615,0.122244,0.116259,0.066850,0.309193,0.965693
0.396588,0.017825,0.191525,0.115620,0.107651,0.065346,0.292073,0.903739
0.395628,0.017792,0.191558,0.132868,0.107171,0.063714,0.307401,0.917179
0.396172,0.017825,0.191461,0.136708,0.107076,0.067394,0.314826,0.926044
0.395660,0.017664,0.191846,0.125444,0.107235,0.064034,0.300393,0.911099
0.397356,0.017472,0.192134,0.118852,0.104131,0.064418,0.290505,0.901819
0.395020,0.017569,0.191973,0.133828,0.111364,0.063265,0.312105,0.920956
0.415180,0.017441,0.191461,0.131204,0.117380,0.066370,0.318186,0.946748
0.395468,0.017504,0.191590,0.151684,0.105571,0.062306,0.322730,0.931580
0.395692,0.017376,0.191558,0.135556,0.103971,0.062466,0.305321,0.914971
0.396268,0.017601,0.192133,0.133860,0.126436,0.077314,0.342058,0.953308
0.395052,0.017697,0.192549,0.129828,0.112164,0.104419,0.349451,0.959517
0.396268,0.017569,0.192901,0.120356,0.105475,0.070594,0.299593,0.911355
0.394635,0.017633,0.191526,0.132836,0.107811,0.070210,0.314601,0.923675
0.409676,0.017632,0.191622,0.138116,0.120740,0.066754,0.329034,0.952540
