Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-9],OUT[9],TEE[9-9],Layer[10],classifier
0.415043,0.017344,0.202593,0.004864,0.046913,0.000608,0.013312,0.000384,0.001408,0.095233,0.035136,0.054432,0.187777,0.000544,0.897222
0.415235,0.017440,0.202753,0.004960,0.046753,0.000512,0.013376,0.000384,0.001408,0.094689,0.039360,0.056896,0.194369,0.000544,0.903814
0.416003,0.017280,0.202882,0.004992,0.046784,0.000576,0.013344,0.000416,0.001440,0.120737,0.032192,0.055905,0.211746,0.000544,0.922855
0.417251,0.017536,0.203106,0.004896,0.047040,0.000608,0.013376,0.000416,0.001376,0.103585,0.038944,0.058081,0.203298,0.000608,0.916231
0.415427,0.017536,0.203073,0.005088,0.046848,0.000576,0.013441,0.000384,0.001440,0.097760,0.033185,0.056192,0.190113,0.000512,0.901926
0.415587,0.017376,0.204353,0.004864,0.046817,0.000544,0.013408,0.000384,0.001376,0.105121,0.036864,0.059136,0.204033,0.000448,0.915942
0.432035,0.017280,0.203074,0.004896,0.046784,0.000544,0.013344,0.000384,0.001504,0.105153,0.037408,0.058113,0.203490,0.000576,0.931239
0.417699,0.017440,0.202401,0.004832,0.047009,0.000576,0.013376,0.000416,0.001472,0.104000,0.035169,0.058848,0.201729,0.000512,0.914502
0.414979,0.017408,0.203137,0.004864,0.046880,0.000608,0.013408,0.000416,0.001472,0.102785,0.036256,0.058976,0.201025,0.000416,0.911430
0.416259,0.017216,0.203426,0.004928,0.046784,0.000576,0.013408,0.000384,0.001472,0.120385,0.035456,0.058337,0.218690,0.000512,0.930887
0.415939,0.017408,0.203073,0.004864,0.046849,0.000576,0.013376,0.000416,0.001440,0.104704,0.037729,0.058816,0.204065,0.000512,0.916518
0.416451,0.017536,0.202850,0.004864,0.047232,0.000608,0.013664,0.000448,0.001504,0.110209,0.034528,0.057857,0.205730,0.000544,0.919559
0.417731,0.017569,0.205025,0.004864,0.048960,0.000544,0.014177,0.000416,0.001504,0.108256,0.038913,0.058912,0.209601,0.000576,0.928359
0.436355,0.017792,0.203618,0.004896,0.048576,0.000576,0.014112,0.000384,0.001472,0.103937,0.037472,0.057921,0.202402,0.000576,0.937927
0.416707,0.017280,0.203649,0.004864,0.049921,0.000576,0.013792,0.000384,0.001504,0.103392,0.038305,0.059360,0.204033,0.000512,0.920582
0.416291,0.017216,0.203265,0.004801,0.048512,0.000576,0.013632,0.000416,0.001504,0.100545,0.039040,0.058944,0.201409,0.000448,0.915110
0.416195,0.017248,0.223650,0.005056,0.048384,0.000576,0.013504,0.000384,0.001504,0.108353,0.037665,0.059296,0.208514,0.000480,0.943591
0.416227,0.017248,0.203073,0.004960,0.047713,0.000608,0.013504,0.000416,0.001504,0.105633,0.042784,0.061600,0.213153,0.000416,0.925638
0.415363,0.017248,0.203362,0.004864,0.047136,0.000576,0.013440,0.000352,0.001472,0.108289,0.034176,0.059457,0.205026,0.000416,0.916647
0.416099,0.017217,0.203105,0.004928,0.047520,0.000608,0.013376,0.000384,0.001440,0.103265,0.034304,0.057601,0.198178,0.000576,0.910823
0.415971,0.017248,0.203713,0.004896,0.047873,0.000576,0.013824,0.000416,0.001504,0.110369,0.039008,0.057472,0.210081,0.000512,0.924454
0.415619,0.017376,0.203138,0.004928,0.048256,0.000576,0.013536,0.000448,0.001568,0.109729,0.041440,0.060321,0.214754,0.000672,0.929383
0.416547,0.017312,0.202593,0.004864,0.048833,0.000608,0.014528,0.000352,0.001536,0.107969,0.041216,0.061376,0.213697,0.000576,0.929126
0.431683,0.022848,0.202498,0.004928,0.050240,0.000576,0.014528,0.000352,0.006752,0.103937,0.037665,0.057888,0.202658,0.000512,0.945255
0.416131,0.017568,0.203073,0.004896,0.049153,0.000544,0.013472,0.000384,0.001472,0.101921,0.037376,0.058688,0.201025,0.000608,0.915238
0.416355,0.017536,0.202946,0.004832,0.047264,0.000576,0.013408,0.000384,0.001536,0.098785,0.035872,0.058401,0.196162,0.000544,0.908295
0.416739,0.017473,0.203297,0.004832,0.047264,0.000576,0.013376,0.000448,0.001440,0.102849,0.052385,0.063328,0.222018,0.000672,0.935655
0.416035,0.017600,0.202625,0.004864,0.046881,0.000576,0.013344,0.000352,0.001472,0.100961,0.038912,0.056992,0.200033,0.000448,0.911398
0.416355,0.017536,0.202690,0.004896,0.047072,0.000608,0.013376,0.000384,0.001440,0.102273,0.039840,0.057953,0.203138,0.000480,0.915751
0.416131,0.017536,0.204385,0.004832,0.047553,0.000576,0.013472,0.000352,0.001408,0.116161,0.036800,0.059104,0.215457,0.000608,0.930790
0.436899,0.017569,0.203297,0.004896,0.048768,0.000544,0.013408,0.000416,0.001505,0.103584,0.037025,0.059840,0.203489,0.000576,0.938791
0.416323,0.017472,0.203361,0.004896,0.049793,0.000576,0.013440,0.000352,0.001568,0.111265,0.044064,0.062784,0.221185,0.000609,0.937991
0.415363,0.017472,0.202466,0.004864,0.048992,0.000512,0.013984,0.000384,0.001440,0.103297,0.037664,0.058913,0.202722,0.000608,0.915079
0.415043,0.017248,0.202466,0.004896,0.060960,0.000640,0.013568,0.000384,0.001376,0.092033,0.037760,0.055521,0.188130,0.000544,0.911719
0.415843,0.017120,0.202786,0.004864,0.047264,0.000480,0.013344,0.000384,0.001440,0.090081,0.035328,0.055137,0.183266,0.000512,0.893511
0.415714,0.017280,0.203777,0.004864,0.047200,0.000576,0.013377,0.000320,0.001472,0.105888,0.036641,0.058592,0.204193,0.000576,0.916774
0.415459,0.017568,0.204833,0.004993,0.046944,0.000544,0.013408,0.000352,0.001408,0.104193,0.037056,0.058464,0.202593,0.000416,0.916006
