Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395883,0.017729,0.191974,0.135332,0.035137,0.059553,0.233479,0.048065,0.000896,0.013632,0.000384,0.001408,0.001249,0.000352,0.912539
0.396811,0.017793,0.192262,0.134724,0.035649,0.058753,0.232198,0.047906,0.001056,0.013632,0.000352,0.001472,0.001152,0.000320,0.912538
0.415789,0.017792,0.191558,0.135940,0.044513,0.060162,0.243687,0.049506,0.001088,0.013664,0.000416,0.001440,0.000992,0.000384,0.944924
0.396172,0.017536,0.192134,0.133444,0.035457,0.059170,0.231623,0.048161,0.001088,0.013601,0.000384,0.001440,0.001152,0.000384,0.911291
0.398731,0.017761,0.204198,0.114979,0.044801,0.059298,0.222407,0.047649,0.001184,0.013601,0.000384,0.001536,0.001248,0.000352,0.917083
0.397739,0.017665,0.192518,0.158820,0.048834,0.060258,0.271144,0.049025,0.001088,0.013633,0.000384,0.001472,0.001056,0.000320,0.953724
0.396107,0.017856,0.192614,0.137444,0.035681,0.061538,0.237735,0.049313,0.000864,0.013569,0.000352,0.001504,0.001440,0.000352,0.920475
0.395916,0.017536,0.191878,0.142916,0.035329,0.058562,0.240007,0.052130,0.000864,0.013600,0.000352,0.001408,0.001120,0.000352,0.922619
0.396652,0.017664,0.191429,0.123780,0.035457,0.057986,0.220551,0.052001,0.000832,0.013697,0.000384,0.001440,0.000992,0.000352,0.904123
0.396364,0.017729,0.191589,0.140005,0.045825,0.065090,0.254728,0.049281,0.001056,0.013697,0.000384,0.001504,0.001024,0.000320,0.936060
0.396075,0.017664,0.192166,0.128548,0.035489,0.060321,0.227878,0.052097,0.000864,0.013600,0.000416,0.001376,0.001024,0.000352,0.911451
0.396076,0.017985,0.191685,0.137028,0.035617,0.063617,0.239496,0.049793,0.000896,0.013568,0.000352,0.001441,0.001088,0.000384,0.920508
0.398668,0.017377,0.206982,0.136708,0.044897,0.060610,0.246503,0.047906,0.001088,0.013888,0.000352,0.001472,0.001120,0.000384,0.943612
0.395596,0.017504,0.192390,0.132324,0.036129,0.058690,0.230087,0.048321,0.001056,0.013569,0.000384,0.001408,0.001088,0.000416,0.909947
0.397868,0.018080,0.193830,0.134244,0.035777,0.058850,0.231943,0.048289,0.000864,0.013601,0.000384,0.001440,0.001280,0.000352,0.916347
0.396588,0.017664,0.192678,0.137860,0.036097,0.064066,0.241447,0.050562,0.000864,0.013600,0.000384,0.001408,0.000992,0.000352,0.924475
0.395883,0.017601,0.192037,0.131779,0.043490,0.057825,0.236678,0.048705,0.000896,0.013600,0.000384,0.001472,0.001153,0.000416,0.916092
0.396108,0.017793,0.191685,0.133796,0.035489,0.059202,0.232135,0.051970,0.001088,0.013600,0.000352,0.001344,0.001088,0.000416,0.915163
0.395980,0.017632,0.191654,0.135428,0.036097,0.059906,0.234631,0.048001,0.000928,0.013569,0.000384,0.001440,0.001184,0.000448,0.913019
0.414956,0.017793,0.191845,0.130372,0.034465,0.057826,0.226087,0.047777,0.000832,0.013633,0.000384,0.001408,0.001376,0.000352,0.924123
0.397964,0.017536,0.191558,0.138884,0.033921,0.056930,0.233191,0.048001,0.001120,0.013665,0.000352,0.001408,0.001472,0.000352,0.914171
0.396780,0.017536,0.191846,0.136420,0.034753,0.059138,0.233767,0.051585,0.000800,0.013473,0.000384,0.001504,0.001120,0.000352,0.917083
0.395403,0.017824,0.191974,0.135396,0.052385,0.069570,0.260487,0.052034,0.000608,0.013536,0.000385,0.001504,0.001152,0.000384,0.942748
0.396332,0.017856,0.191686,0.131460,0.033313,0.058370,0.226279,0.050977,0.000896,0.013537,0.000352,0.001440,0.001088,0.000416,0.908507
0.400268,0.017888,0.191622,0.134980,0.033857,0.058658,0.231015,0.049249,0.000864,0.013825,0.000384,0.001536,0.001184,0.000352,0.916187
0.395979,0.017601,0.191654,0.136068,0.034497,0.063618,0.237447,0.049569,0.001024,0.013537,0.000384,0.001536,0.001088,0.000576,0.917915
0.414956,0.018017,0.191621,0.141540,0.044705,0.064994,0.254184,0.049121,0.000833,0.013536,0.000384,0.001504,0.001280,0.000384,0.954108
0.396044,0.017888,0.191686,0.138116,0.034305,0.058434,0.234311,0.049089,0.000832,0.013600,0.000352,0.001728,0.001248,0.000352,0.914747
0.395436,0.017921,0.192005,0.138244,0.035201,0.060033,0.236871,0.048738,0.000928,0.013856,0.000416,0.001568,0.001152,0.000384,0.916635
0.396012,0.017793,0.207942,0.136676,0.051393,0.062178,0.253383,0.048162,0.001088,0.013856,0.000384,0.001504,0.001248,0.000384,0.949532
0.396428,0.017857,0.192709,0.130052,0.035137,0.062082,0.230631,0.048098,0.001120,0.013632,0.000352,0.001536,0.001472,0.000384,0.912283
0.395916,0.017857,0.191397,0.149381,0.043585,0.059490,0.255432,0.048801,0.001024,0.013665,0.000384,0.001504,0.001440,0.000352,0.935644
0.396332,0.017792,0.191366,0.142692,0.035809,0.059490,0.241255,0.048578,0.000864,0.013632,0.000384,0.001472,0.001248,0.000384,0.921659
0.396939,0.017601,0.192038,0.139716,0.036609,0.059234,0.238727,0.049121,0.000832,0.013665,0.000384,0.001440,0.001504,0.000352,0.920731
0.397356,0.017984,0.192966,0.139172,0.039457,0.067554,0.249895,0.049282,0.000832,0.013600,0.000384,0.001536,0.001536,0.000384,0.934363
0.396875,0.017857,0.191622,0.125891,0.037153,0.060002,0.226598,0.048930,0.000864,0.013600,0.000384,0.001440,0.001536,0.000352,0.907994
