Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.397899,0.017760,0.193030,0.005280,0.047969,0.000832,0.112228,0.056929,0.075074,0.247400,0.000864,0.001952,0.001216,0.000672,0.922843
0.396684,0.017729,0.192997,0.004896,0.049410,0.000800,0.110115,0.051042,0.065410,0.229639,0.000768,0.002016,0.001248,0.000576,0.904699
0.396779,0.017953,0.192102,0.004992,0.048513,0.000736,0.109956,0.056929,0.086915,0.257224,0.001248,0.002304,0.001280,0.000640,0.931291
0.396108,0.017760,0.192261,0.005376,0.048578,0.000768,0.106403,0.048449,0.067074,0.224838,0.000801,0.002048,0.001248,0.000896,0.898299
0.395884,0.017824,0.191878,0.004992,0.047585,0.000832,0.109860,0.056129,0.061282,0.230439,0.000864,0.002048,0.001280,0.000800,0.901787
0.396332,0.017568,0.191878,0.005024,0.047681,0.000832,0.102435,0.050625,0.058178,0.214375,0.000640,0.001984,0.001216,0.000512,0.885242
0.413996,0.017792,0.192198,0.005120,0.047137,0.000832,0.114308,0.047361,0.065538,0.230535,0.001088,0.002272,0.001216,0.000736,0.921691
0.395883,0.017664,0.191846,0.005248,0.047009,0.000800,0.105347,0.049762,0.066210,0.224391,0.001248,0.002208,0.001184,0.000448,0.895162
0.396748,0.017632,0.191878,0.004832,0.047233,0.000769,0.105155,0.047265,0.063138,0.218694,0.000832,0.001856,0.001280,0.000512,0.889946
0.395916,0.017760,0.191878,0.005344,0.047138,0.000992,0.105827,0.051873,0.084483,0.245287,0.001248,0.002240,0.001280,0.000928,0.917179
0.398283,0.017697,0.191526,0.005248,0.047137,0.000960,0.108483,0.050753,0.061730,0.223943,0.000832,0.002080,0.001216,0.000800,0.896986
0.397356,0.017825,0.192645,0.005089,0.047169,0.000768,0.110851,0.054050,0.061954,0.230183,0.000960,0.002304,0.001216,0.000896,0.904603
0.397067,0.017665,0.191686,0.004896,0.047009,0.000800,0.104515,0.046402,0.062401,0.216711,0.000992,0.002144,0.001280,0.000416,0.888762
0.411180,0.017793,0.192165,0.004897,0.047361,0.000864,0.111651,0.047106,0.060898,0.223111,0.001472,0.002208,0.001152,0.000384,0.909691
0.395820,0.017632,0.191718,0.004832,0.047297,0.000960,0.099587,0.047074,0.060834,0.210471,0.000864,0.001952,0.001120,0.000384,0.879898
0.397004,0.017888,0.192038,0.004864,0.047234,0.000832,0.144260,0.049057,0.068674,0.265095,0.001152,0.005025,0.001312,0.000448,0.940028
0.396876,0.017664,0.192134,0.005088,0.047682,0.000864,0.131556,0.054273,0.060898,0.250439,0.001216,0.002560,0.001312,0.000480,0.925755
0.396139,0.017793,0.192134,0.004896,0.047841,0.000864,0.105187,0.057666,0.063362,0.229287,0.000896,0.002144,0.001344,0.000896,0.902010
