IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.156389,1.576623,0.084354,1.824086,0.001280,0.015393,0.000672,0.001568,0.001088,0.000416,1.848279
0.157476,1.565871,0.072130,1.803189,0.000896,0.015201,0.000672,0.001632,0.001152,0.000576,1.827222
0.155300,1.577519,0.093154,1.834198,0.000896,0.015009,0.000640,0.001600,0.001472,0.000352,1.858999
0.154629,1.557070,0.069955,1.789366,0.000960,0.015968,0.000416,0.001856,0.001184,0.000320,1.813782
0.156388,1.579279,0.080195,1.823926,0.000928,0.015200,0.000576,0.001537,0.001024,0.000384,1.848055
0.155556,1.559022,0.068386,1.790837,0.000768,0.015329,0.000416,0.001440,0.001120,0.000384,1.813974
0.153733,1.571151,0.087427,1.818263,0.001248,0.015392,0.000448,0.001824,0.001152,0.000416,1.842615
0.141509,1.566990,0.066306,1.780949,0.000864,0.015649,0.000384,0.001504,0.001024,0.000576,1.804790
0.152164,1.573710,0.086946,1.821238,0.000800,0.015713,0.000384,0.001696,0.001152,0.000416,1.845687
0.176485,1.561551,0.069474,1.817782,0.001408,0.017344,0.000640,0.001760,0.002465,0.000576,1.846199
0.153317,1.563438,0.071299,1.794678,0.000832,0.016992,0.000640,0.001568,0.001536,0.000384,1.820630
0.147045,1.554382,0.064578,1.771637,0.000800,0.016448,0.000384,0.001600,0.000960,0.000416,1.795734
0.149284,1.559598,0.065218,1.780725,0.000768,0.015072,0.000384,0.001568,0.001216,0.000384,1.803926
0.142020,1.565038,0.064802,1.778517,0.000736,0.015073,0.000384,0.001632,0.001120,0.000416,1.801430
0.144132,1.551566,0.063458,1.764084,0.000704,0.015809,0.000416,0.001664,0.001248,0.000608,1.788021
0.149765,1.553486,0.065858,1.776661,0.000800,0.015649,0.000416,0.001632,0.000992,0.000384,1.800086
0.145796,1.553903,0.066114,1.771989,0.000800,0.015328,0.000416,0.001600,0.001248,0.000608,1.795381
0.164836,1.550894,0.084674,1.806293,0.001088,0.015425,0.000416,0.001952,0.001184,0.000416,1.830198
0.139236,1.557135,0.068642,1.772405,0.001280,0.015904,0.000416,0.001568,0.001184,0.000416,1.797110
0.150468,1.576751,0.074307,1.809334,0.001184,0.014944,0.000640,0.001536,0.001120,0.000384,1.834038
0.147845,1.563470,0.070690,1.788373,0.000896,0.014880,0.000416,0.001568,0.001312,0.000320,1.811414
0.148613,1.572622,0.084450,1.813270,0.001152,0.015841,0.000416,0.001696,0.001152,0.000384,1.838551
0.141252,1.556206,0.066690,1.770324,0.000832,0.015392,0.000416,0.001888,0.000960,0.000608,1.794069
0.146276,1.570830,0.075075,1.799830,0.001152,0.015488,0.000640,0.001568,0.001280,0.000384,1.825334
0.132932,1.554511,0.067874,1.761749,0.000832,0.015584,0.000416,0.001536,0.001056,0.000384,1.785109
0.152100,1.569263,0.074274,1.803637,0.001056,0.015137,0.000416,0.001536,0.001120,0.000384,1.827318
0.142660,1.559119,0.067842,1.776917,0.000960,0.015424,0.000384,0.001568,0.001248,0.000384,1.800566
0.132772,1.570094,0.080227,1.790870,0.001120,0.015328,0.000448,0.001536,0.001248,0.000352,1.815959
0.152485,1.556110,0.068802,1.784373,0.000832,0.014720,0.000384,0.001568,0.001440,0.000384,1.807574
0.132324,1.569326,0.072675,1.779733,0.001120,0.015360,0.000416,0.001536,0.001088,0.000352,1.803445
0.171589,1.551438,0.064993,1.793365,0.000673,0.015264,0.000416,0.001536,0.001312,0.000384,1.816598
0.147204,1.568623,0.074210,1.797557,0.000864,0.015360,0.000384,0.001472,0.001056,0.000448,1.822070
0.148740,1.554319,0.069666,1.778805,0.000928,0.015552,0.000384,0.001600,0.001056,0.000352,1.802261
0.147013,1.569806,0.075683,1.798038,0.000992,0.015168,0.000416,0.001504,0.001248,0.000384,1.821526
0.147556,1.556526,0.068258,1.779669,0.001120,0.015233,0.000608,0.001696,0.001568,0.000448,1.804182
0.148612,1.567503,0.093539,1.816278,0.001152,0.015552,0.000384,0.001536,0.001024,0.000384,1.839990
0.147525,1.553294,0.070978,1.778645,0.001344,0.015233,0.000416,0.001536,0.000960,0.000384,1.802102
0.155909,1.574895,0.104387,1.843447,0.001216,0.015488,0.000416,0.001568,0.001024,0.000416,1.868440
0.152709,1.554862,0.068514,1.783253,0.000961,0.015136,0.000416,0.001824,0.001184,0.000384,1.806806
0.146853,1.575759,0.079522,1.810486,0.001280,0.016833,0.000640,0.001568,0.000992,0.000384,1.836983
0.147076,1.555246,0.066178,1.774644,0.000737,0.015392,0.000384,0.001600,0.001280,0.000384,1.798197
0.147812,1.575151,0.081827,1.812342,0.000704,0.015456,0.000416,0.001600,0.001121,0.000352,1.836823
0.146660,1.554639,0.065186,1.773493,0.000832,0.015552,0.000448,0.001536,0.001344,0.000384,1.797173
0.178853,1.590704,0.066722,1.842551,0.000768,0.015232,0.000448,0.001473,0.001024,0.000320,1.865240
0.149029,1.555662,0.066434,1.778261,0.000864,0.014465,0.000416,0.001440,0.001152,0.000352,1.800406
0.148165,1.553998,0.066690,1.775605,0.000864,0.014721,0.000448,0.001472,0.001088,0.000320,1.797878
0.182118,1.553550,0.063810,1.805142,0.000768,0.014817,0.000384,0.001536,0.000992,0.000320,1.827447
0.135236,1.556238,0.067266,1.765940,0.001280,0.015392,0.000672,0.001504,0.001056,0.000384,1.789845
0.152357,1.558254,0.088131,1.805014,0.001216,0.015488,0.000416,0.001408,0.001024,0.000384,1.828758
0.149829,1.554702,0.066914,1.777973,0.000800,0.014753,0.000416,0.001568,0.001088,0.000352,1.800278
0.150852,1.575791,0.074083,1.808598,0.000800,0.014528,0.000416,0.001536,0.000992,0.000384,1.831222
0.149061,1.554510,0.066306,1.775701,0.000800,0.014945,0.000416,0.001536,0.000896,0.000384,1.798038
0.144677,1.569038,0.073699,1.793526,0.001280,0.015488,0.000416,0.001504,0.001056,0.000384,1.817238
0.147460,1.550670,0.063202,1.766836,0.000800,0.014721,0.000384,0.001568,0.000896,0.000384,1.788981
0.152452,1.570447,0.078178,1.809813,0.001248,0.015040,0.000640,0.001472,0.000960,0.000448,1.834518
0.147428,1.554927,0.077122,1.786293,0.000800,0.014400,0.000384,0.001504,0.001025,0.000384,1.808502
0.151589,1.567855,0.083938,1.810806,0.000768,0.014817,0.000384,0.001504,0.000992,0.000384,1.834103
0.149125,1.553166,0.067426,1.776373,0.000800,0.014433,0.000640,0.001536,0.001088,0.000352,1.798742
0.149636,1.569647,0.086563,1.812022,0.000768,0.014784,0.000672,0.001472,0.001024,0.000384,1.834742
0.133380,1.556398,0.065602,1.761940,0.000800,0.014817,0.000416,0.001568,0.001024,0.000448,1.784853
0.147909,1.572399,0.080418,1.807734,0.000832,0.014721,0.000608,0.001472,0.001056,0.000352,1.831511
0.148484,1.554383,0.066274,1.775989,0.000832,0.014368,0.000384,0.001568,0.001152,0.000384,1.798485
0.142180,1.571695,0.078754,1.800437,0.001248,0.015456,0.000352,0.001536,0.001056,0.000416,1.824950
0.147908,1.552974,0.066594,1.774037,0.000768,0.014336,0.000384,0.001600,0.000992,0.000352,1.795861
0.150212,1.575919,0.077506,1.811254,0.001120,0.015552,0.000384,0.001472,0.001024,0.000416,1.835286
0.153924,1.556142,0.068930,1.786645,0.000768,0.014561,0.000448,0.001568,0.001088,0.000384,1.808950
0.147780,1.577999,0.079523,1.813814,0.001184,0.015424,0.000416,0.001536,0.001152,0.000384,1.838742
