Layer[0],IN[1],INFER[1-4],OUT[4],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416675,0.179394,0.590660,0.068352,0.842726,0.000992,0.016128,0.000640,0.001696,0.001088,0.000352,1.286857
0.416707,0.206306,0.590756,0.069152,0.870918,0.001120,0.015616,0.000384,0.001696,0.000992,0.000384,1.313929
0.420163,0.186337,0.609861,0.076416,0.877382,0.001024,0.016032,0.000384,0.001792,0.001088,0.000384,1.324457
0.417699,0.185281,0.599973,0.072992,0.863718,0.000960,0.015744,0.000416,0.001792,0.001472,0.000576,1.309961
0.417859,0.177793,0.600677,0.070816,0.854374,0.001056,0.015168,0.000384,0.001728,0.001088,0.000544,1.298729
0.435203,0.189410,0.598628,0.070144,0.865254,0.001088,0.014752,0.000384,0.001664,0.000960,0.000352,1.327562
0.416003,0.168833,0.591460,0.075520,0.840294,0.001216,0.016224,0.000416,0.001728,0.001056,0.000384,1.283593
0.417763,0.182081,0.607045,0.075680,0.869798,0.001440,0.015808,0.000384,0.001760,0.001056,0.000576,1.316553
0.416131,0.182145,0.591812,0.070817,0.849830,0.000960,0.015968,0.000416,0.001504,0.001088,0.000352,1.292681
0.416195,0.184929,0.591492,0.070913,0.852358,0.001088,0.015776,0.000352,0.001728,0.001088,0.000576,1.296393
0.433795,0.170081,0.590468,0.067841,0.832454,0.001056,0.015392,0.000352,0.001760,0.001472,0.000384,1.293129
0.416610,0.170401,0.589028,0.066656,0.830245,0.001184,0.018081,0.000384,0.002144,0.001056,0.000384,1.276105
0.419971,0.180450,0.605892,0.077984,0.869158,0.000960,0.015297,0.000352,0.001760,0.001088,0.000352,1.315530
0.417315,0.173953,0.588933,0.066688,0.833606,0.001088,0.015840,0.000640,0.001792,0.000992,0.000384,1.277449
0.418595,0.162593,0.587524,0.071649,0.825734,0.001312,0.015584,0.000640,0.001504,0.001024,0.000576,1.270793
0.416259,0.204417,0.599332,0.068417,0.876742,0.000736,0.015808,0.000576,0.001536,0.001088,0.000384,1.319049
0.416387,0.187810,0.587300,0.065792,0.845030,0.000832,0.014433,0.000416,0.001504,0.001024,0.000320,1.285482
0.416739,0.166721,0.590661,0.073760,0.835430,0.001152,0.014464,0.000608,0.001536,0.001120,0.000576,1.278569
