Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.396460,0.017568,0.191558,0.005344,0.102883,0.097571,0.061410,0.265544,0.001280,0.000416,0.883578
0.397484,0.017536,0.210535,0.005472,0.114403,0.102851,0.065090,0.285672,0.001280,0.000416,0.924603
0.396011,0.017537,0.191846,0.005312,0.116419,0.100323,0.067650,0.287592,0.001280,0.000384,0.905786
0.396652,0.017793,0.192037,0.005216,0.116004,0.102211,0.065698,0.287113,0.001408,0.000416,0.906139
0.396780,0.017376,0.191878,0.005280,0.110115,0.102308,0.063041,0.278600,0.001312,0.000385,0.896795
0.398252,0.017601,0.191493,0.005249,0.107907,0.103171,0.063490,0.278216,0.001408,0.000416,0.898651
0.397900,0.017952,0.191910,0.005312,0.119364,0.101155,0.065026,0.289289,0.001280,0.000384,0.910043
0.397548,0.017856,0.191782,0.005280,0.113828,0.101891,0.063394,0.282825,0.001408,0.000384,0.902779
0.396332,0.017536,0.211911,0.005440,0.118563,0.110116,0.065410,0.298249,0.001760,0.000416,0.938812
0.395820,0.017569,0.191429,0.005280,0.116452,0.111075,0.064578,0.295721,0.001472,0.000480,0.913467
0.397612,0.017600,0.191590,0.005344,0.113507,0.103139,0.063458,0.283720,0.001472,0.000448,0.903578
0.397676,0.017536,0.191782,0.005280,0.115556,0.100579,0.063394,0.283273,0.001504,0.000448,0.903227
0.396940,0.017569,0.191909,0.005057,0.111619,0.103395,0.063554,0.282248,0.001472,0.000448,0.901755
0.400396,0.017601,0.191558,0.005312,0.118915,0.101923,0.065154,0.289832,0.001504,0.000384,0.912411
0.397548,0.017664,0.192134,0.005088,0.114468,0.101411,0.065602,0.284937,0.001472,0.000448,0.905051
0.414253,0.017664,0.192006,0.005472,0.119332,0.109699,0.067682,0.300137,0.001536,0.000416,0.937436
0.397739,0.017889,0.191654,0.005312,0.117187,0.102115,0.066082,0.289544,0.001568,0.000480,0.910938
0.396588,0.017600,0.191654,0.005312,0.115524,0.103779,0.067266,0.290345,0.001536,0.000448,0.909211
0.396907,0.017569,0.192230,0.005056,0.115747,0.104547,0.083811,0.308233,0.001664,0.000416,0.928411
0.397388,0.018049,0.192229,0.005473,0.111715,0.105635,0.067970,0.289416,0.001472,0.000448,0.910235
0.396108,0.017472,0.192518,0.005280,0.119012,0.102051,0.065666,0.290249,0.001472,0.000416,0.909307
0.397772,0.017601,0.191973,0.005345,0.117283,0.111491,0.067330,0.299880,0.001504,0.000416,0.920219
0.413164,0.017633,0.192006,0.005280,0.117827,0.101411,0.066338,0.289000,0.001568,0.000480,0.925051
