IN[0],INFER[0-6],OUT[6],TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.145316,1.563695,0.066210,1.782229,0.000736,0.003744,0.001088,0.000448,1.791061
0.136644,1.578255,0.076578,1.798165,0.000800,0.002400,0.001024,0.000384,1.805749
0.136932,1.561998,0.064289,1.769748,0.001025,0.005344,0.001056,0.000352,1.780213
0.135748,1.578351,0.073123,1.792790,0.001024,0.005440,0.001280,0.000480,1.804054
0.137636,1.562671,0.064002,1.770901,0.000672,0.002400,0.001056,0.000384,1.778005
0.136581,1.576814,0.088130,1.806870,0.001056,0.005184,0.001120,0.000384,1.817302
0.140196,1.560622,0.062402,1.769812,0.000672,0.002560,0.001088,0.000352,1.777141
0.137412,1.579535,0.079267,1.803606,0.001024,0.002656,0.001152,0.000448,1.812502
0.137221,1.563566,0.062978,1.770453,0.000704,0.002528,0.001056,0.000352,1.777813
0.171782,1.587695,0.104771,1.874840,0.001632,0.004768,0.002272,0.000577,1.887193
0.136356,1.578255,0.063746,1.784437,0.001216,0.002816,0.001600,0.000352,1.793333
0.161893,1.584207,0.074819,1.826743,0.001216,0.002528,0.001312,0.000416,1.835127
0.128100,1.564270,0.063393,1.761172,0.000768,0.002400,0.001120,0.000416,1.768661
0.135524,1.580559,0.084355,1.807574,0.000832,0.002368,0.001120,0.000384,1.814934
0.170181,1.566255,0.071074,1.813558,0.000736,0.002368,0.001088,0.000448,1.820854
0.215462,1.578319,0.065026,1.868407,0.001440,0.004768,0.002144,0.000576,1.880408
0.142757,1.564846,0.068002,1.783093,0.001216,0.003425,0.001696,0.000576,1.793110
0.138916,1.565935,0.065794,1.778389,0.001024,0.003104,0.001088,0.000448,1.786901
0.132548,1.561294,0.078755,1.779413,0.001088,0.002976,0.001120,0.000416,1.788501
0.125348,1.562958,0.068482,1.762932,0.001056,0.002753,0.001024,0.000384,1.771253
0.141828,1.564046,0.080322,1.792373,0.001024,0.005312,0.001184,0.000352,1.803798
0.135876,1.563342,0.062402,1.766484,0.000736,0.002368,0.000992,0.000384,1.773652
0.156324,1.576143,0.067522,1.805141,0.001024,0.002784,0.001152,0.000320,1.813398
0.136740,1.562958,0.062498,1.768308,0.000992,0.002752,0.001056,0.000384,1.776564
0.160933,1.578191,0.082562,1.827382,0.000992,0.005344,0.000960,0.000352,1.837686
0.133732,1.561198,0.064130,1.766196,0.001024,0.002944,0.000992,0.000352,1.775189
0.169733,1.578895,0.070434,1.826614,0.000704,0.004832,0.001120,0.000320,1.837238
0.133380,1.561775,0.063298,1.765269,0.000672,0.002304,0.000992,0.000352,1.772309
0.161221,1.579471,0.075619,1.823063,0.001056,0.003424,0.000960,0.000352,1.832471
0.146277,1.567214,0.064577,1.785461,0.000800,0.005280,0.001152,0.000352,1.795830
0.135620,1.578862,0.074050,1.793974,0.001056,0.003040,0.001120,0.000480,1.802774
0.126404,1.562319,0.062081,1.756852,0.000736,0.002272,0.000928,0.000384,1.763957
0.163621,1.576687,0.079618,1.826806,0.001120,0.002912,0.001088,0.000352,1.835863
0.136740,1.569998,0.070115,1.782965,0.001024,0.002944,0.001088,0.000416,1.791029
0.134948,1.574927,0.066722,1.781813,0.001056,0.002976,0.001153,0.000384,1.790550
0.126884,1.562702,0.062882,1.759476,0.000704,0.002400,0.000960,0.000448,1.766708
0.161381,1.580847,0.067746,1.815222,0.000992,0.005472,0.001152,0.000448,1.826358
0.139876,1.576399,0.072930,1.796949,0.001120,0.003040,0.001280,0.000416,1.807510
0.136068,1.582767,0.085475,1.811286,0.001056,0.002976,0.001120,0.000320,1.820694
0.151108,1.564911,0.066146,1.788917,0.000992,0.005440,0.001184,0.000416,1.799893
0.158053,1.582351,0.079778,1.826038,0.000736,0.003072,0.001152,0.000320,1.834454
0.141284,1.563758,0.065474,1.776340,0.000896,0.002401,0.001056,0.000320,1.783829
0.170661,1.580335,0.075331,1.832727,0.000896,0.003136,0.001120,0.000384,1.843127
0.123556,1.561230,0.063810,1.754676,0.000832,0.004320,0.000992,0.000320,1.763988
0.170693,1.577775,0.076642,1.830326,0.000800,0.002944,0.001120,0.000448,1.838422
0.136708,1.563374,0.063874,1.770100,0.000736,0.002272,0.000993,0.000448,1.777365
0.136036,1.581231,0.072290,1.796245,0.000800,0.003168,0.001088,0.000480,1.804789
0.136804,1.566830,0.063714,1.773300,0.000704,0.002368,0.001024,0.000384,1.780468
0.136228,1.580399,0.081186,1.803926,0.000896,0.002304,0.000960,0.000352,1.811350
0.150148,1.565967,0.067458,1.790422,0.000800,0.003200,0.001088,0.000480,1.799094
0.135396,1.581040,0.071714,1.794742,0.000864,0.003040,0.001152,0.000448,1.803734
0.142564,1.561871,0.062978,1.773301,0.000800,0.003296,0.001184,0.000320,1.781621
0.159589,1.578927,0.080258,1.825174,0.000833,0.005152,0.001024,0.000384,1.836375
0.137604,1.562031,0.066082,1.772437,0.000832,0.003136,0.001216,0.000384,1.780725
0.141764,1.578127,0.069346,1.794293,0.000768,0.003232,0.001184,0.000384,1.802870
0.141636,1.574575,0.069186,1.791989,0.000800,0.003104,0.001024,0.000384,1.800085
0.163813,1.580047,0.065666,1.815510,0.000768,0.004064,0.001152,0.000352,1.824534
0.135652,1.564175,0.065282,1.770677,0.000736,0.003328,0.001152,0.000384,1.779285
0.138692,1.580047,0.075650,1.802357,0.000800,0.003168,0.001057,0.000448,1.811350
0.146116,1.564335,0.062305,1.778485,0.000672,0.002368,0.001152,0.000416,1.786069
0.134532,1.583727,0.104995,1.829366,0.000928,0.003169,0.001184,0.000448,1.837943
0.135460,1.562958,0.063394,1.768116,0.000800,0.002272,0.001024,0.000384,1.775316
0.186149,1.576526,0.073571,1.843287,0.000864,0.002368,0.001120,0.000384,1.851447
0.156485,1.577071,0.064130,1.803606,0.000896,0.003008,0.001056,0.000384,1.811670
0.144740,1.564143,0.063202,1.778229,0.000768,0.003200,0.001248,0.000480,1.786709
0.165733,1.561231,0.061890,1.795926,0.000672,0.002336,0.001184,0.000416,1.803382
0.142468,1.561550,0.063650,1.773236,0.000736,0.002433,0.001024,0.000384,1.780661
0.159812,1.576814,0.062689,1.805493,0.000704,0.002945,0.001120,0.000384,1.813238
0.148228,1.564047,0.068418,1.787861,0.000768,0.003424,0.001120,0.000416,1.796373
0.142820,1.562990,0.082114,1.793429,0.000896,0.005344,0.001248,0.000480,1.804501
0.168293,1.562671,0.066914,1.804406,0.000896,0.002304,0.001120,0.000320,1.811862
0.162981,1.577583,0.068802,1.814710,0.000896,0.002880,0.001184,0.000384,1.823318
0.147333,1.561422,0.061730,1.775445,0.000704,0.002592,0.000992,0.000320,1.782805
0.142949,1.578895,0.100419,1.828599,0.000896,0.003104,0.001024,0.000384,1.837751
0.160901,1.561519,0.062658,1.791446,0.000736,0.002272,0.001152,0.000416,1.798582
0.144132,1.577167,0.071330,1.799414,0.000864,0.002432,0.001024,0.000384,1.806710
0.172677,1.560750,0.069571,1.808726,0.000800,0.002880,0.001152,0.000384,1.817046
0.136324,1.577967,0.067746,1.787221,0.000768,0.002432,0.001056,0.000384,1.794485
0.149029,1.563310,0.070147,1.789622,0.000800,0.002496,0.001088,0.000384,1.797238
0.173669,1.580463,0.082755,1.842679,0.000768,0.003328,0.001248,0.000480,1.851607
0.135044,1.561390,0.066306,1.768180,0.000704,0.003105,0.001088,0.000416,1.776149
0.136932,1.574479,0.089026,1.808149,0.000736,0.003008,0.001024,0.000352,1.817078
0.172197,1.563694,0.063394,1.805141,0.000832,0.002529,0.001024,0.000416,1.812630
0.140932,1.572975,0.109219,1.829526,0.000768,0.003104,0.001152,0.000416,1.839639
0.137860,1.559790,0.063234,1.767092,0.000672,0.002432,0.001184,0.000448,1.774452
0.141381,1.579055,0.078882,1.805846,0.000736,0.005120,0.000960,0.000448,1.816790
0.139972,1.561678,0.062306,1.769909,0.000704,0.003232,0.001088,0.000384,1.778165
0.168069,1.577359,0.084227,1.835927,0.000800,0.003072,0.001088,0.000448,1.845079
0.132836,1.562415,0.062370,1.764981,0.000768,0.002304,0.001184,0.000416,1.772373
0.146213,1.577135,0.081666,1.810646,0.000704,0.002848,0.001184,0.000416,1.818454
0.158853,1.562030,0.060577,1.786549,0.000704,0.003392,0.001024,0.000320,1.794838
0.135940,1.577902,0.106947,1.827063,0.000736,0.003232,0.000992,0.000320,1.835063
0.157317,1.563918,0.062018,1.789141,0.000672,0.003296,0.001152,0.000416,1.797269
0.136516,1.576783,0.068738,1.787765,0.000672,0.003040,0.001057,0.000320,1.795798
0.134500,1.561070,0.061986,1.763700,0.000736,0.003168,0.001056,0.000288,1.771700
0.145669,1.579439,0.071522,1.802870,0.000864,0.003136,0.001056,0.000416,1.811222
0.169317,1.561423,0.062530,1.799670,0.000736,0.003040,0.000960,0.000320,1.807478
0.131172,1.577711,0.081122,1.796437,0.000736,0.003008,0.000992,0.000352,1.805685
0.167749,1.561902,0.067266,1.803446,0.000736,0.003328,0.001248,0.000416,1.812086
0.135716,1.579727,0.075778,1.798421,0.000960,0.003104,0.001024,0.000320,1.808469
0.154405,1.558574,0.061026,1.778933,0.000736,0.005248,0.001088,0.000384,1.789141
0.131972,1.576591,0.064962,1.778453,0.000736,0.003008,0.001056,0.000352,1.786485
0.139460,1.562639,0.062338,1.770197,0.000640,0.002240,0.000928,0.000320,1.776885
0.139460,1.580911,0.100643,1.827190,0.000736,0.003392,0.001024,0.000448,1.835542
0.136644,1.563886,0.062754,1.769557,0.000800,0.005248,0.001056,0.000320,1.779765
0.135780,1.584239,0.064449,1.790901,0.000800,0.003232,0.001056,0.000416,1.800950
0.171813,1.561934,0.063074,1.801973,0.000672,0.003040,0.001184,0.000352,1.810005
0.137796,1.586831,0.075650,1.806773,0.000960,0.003136,0.001216,0.000352,1.817078
0.129988,1.562062,0.068802,1.767764,0.000800,0.004896,0.001025,0.000384,1.777621
0.157957,1.589327,0.064674,1.818678,0.000704,0.002496,0.000992,0.000320,1.825910
0.135044,1.561934,0.066114,1.769012,0.000736,0.002656,0.001088,0.000384,1.776756
0.154213,1.560750,0.066530,1.787669,0.000736,0.003040,0.001056,0.000416,1.795638
0.134500,1.561903,0.062658,1.765365,0.000672,0.002208,0.000992,0.000352,1.772053
0.137220,1.576719,0.065730,1.784789,0.000768,0.003520,0.000992,0.000384,1.793077
0.124259,1.561071,0.063490,1.755540,0.000800,0.003200,0.001088,0.000416,1.763572
0.138629,1.573870,0.063906,1.782997,0.000736,0.002369,0.000992,0.000352,1.789974
0.161637,1.563022,0.061954,1.793365,0.000736,0.002688,0.001024,0.000384,1.801013
0.135204,1.566479,0.065602,1.774645,0.000832,0.002720,0.001120,0.000416,1.782837
0.132100,1.573167,0.065090,1.777109,0.000864,0.002336,0.001088,0.000416,1.784917
0.149093,1.566510,0.064770,1.786485,0.000800,0.002400,0.001056,0.000384,1.793813
0.137189,1.568590,0.100387,1.812502,0.000832,0.003105,0.001024,0.000352,1.820503
0.165989,1.567183,0.063329,1.802614,0.000672,0.002400,0.001056,0.000384,1.809718
0.135620,1.580719,0.072514,1.794421,0.000672,0.002368,0.000992,0.000384,1.801589
0.140548,1.564622,0.064066,1.775764,0.000672,0.003041,0.001216,0.000416,1.783733
0.138436,1.584879,0.073730,1.803094,0.000928,0.004640,0.001088,0.000352,1.813078
0.170085,1.562126,0.065857,1.803574,0.000960,0.003008,0.001152,0.000384,1.811926
0.136132,1.579343,0.086754,1.808949,0.000992,0.002720,0.001120,0.000384,1.818358
0.145284,1.564463,0.069346,1.786101,0.001184,0.002880,0.001248,0.000480,1.795285
0.136804,1.586479,0.110915,1.840278,0.000864,0.002752,0.001088,0.000416,1.848566
0.142436,1.562575,0.064065,1.774389,0.000768,0.002784,0.001120,0.000352,1.782133
0.153572,1.586287,0.088674,1.836054,0.000800,0.002624,0.000960,0.000384,1.843638
0.131811,1.564750,0.062658,1.765269,0.000672,0.002336,0.000960,0.000352,1.772341
0.135652,1.580911,0.073922,1.797557,0.001025,0.003040,0.001120,0.000480,1.807638
0.178053,1.567631,0.071650,1.825046,0.000704,0.002304,0.000960,0.000384,1.832118
0.130372,1.577999,0.071938,1.787926,0.001088,0.002912,0.001120,0.000384,1.796598
0.159460,1.565358,0.062626,1.793333,0.000704,0.002432,0.000992,0.000352,1.800565
0.126788,1.576943,0.100131,1.811222,0.001056,0.004256,0.001569,0.000288,1.821975
0.129124,1.565903,0.067842,1.770645,0.000800,0.002656,0.001184,0.000416,1.779029
0.138852,1.589135,0.123492,1.857815,0.000864,0.003328,0.001184,0.000480,1.866583
0.137860,1.579982,0.077346,1.801494,0.000992,0.003232,0.001184,0.000448,1.810070
0.138436,1.589615,0.084066,1.819606,0.000992,0.003136,0.001184,0.000384,1.830230
0.125636,1.563502,0.063202,1.758676,0.000768,0.002240,0.001056,0.000416,1.765780
0.139333,1.584911,0.100707,1.831799,0.001056,0.005376,0.001152,0.000416,1.844503
0.141989,1.565582,0.063810,1.778005,0.001120,0.003040,0.001312,0.000384,1.786677
0.138244,1.586031,0.088291,1.820342,0.001056,0.003264,0.001184,0.000352,1.830358
0.165317,1.564495,0.062370,1.798294,0.001056,0.003136,0.001184,0.000416,1.806934
0.141380,1.584175,0.075554,1.808278,0.000736,0.002464,0.001088,0.000384,1.815990
0.133156,1.569839,0.065314,1.775669,0.000768,0.002624,0.001216,0.000384,1.783637
0.142180,1.607760,0.070018,1.826198,0.000768,0.002880,0.001152,0.000384,1.834454
0.128740,1.566350,0.066562,1.768628,0.000768,0.003360,0.001152,0.000416,1.777237
0.146212,1.566927,0.064258,1.784117,0.000704,0.002464,0.001120,0.000384,1.791605
0.128612,1.564078,0.063426,1.762708,0.000704,0.002688,0.001056,0.000384,1.770388
0.142660,1.565455,0.066850,1.782069,0.000800,0.002336,0.001056,0.000352,1.789429
0.141829,1.564558,0.067042,1.780853,0.000800,0.003168,0.001120,0.000384,1.789973
0.162149,1.565582,0.068386,1.802581,0.001024,0.003296,0.001152,0.000416,1.811414
0.178629,1.565999,0.095523,1.846807,0.000928,0.003104,0.001024,0.000352,1.855479
0.138468,1.565262,0.065858,1.775636,0.000736,0.002880,0.001344,0.000352,1.783733
0.147364,1.584303,0.101795,1.840470,0.000833,0.002816,0.001248,0.000416,1.848695
0.138852,1.565871,0.064674,1.775509,0.000992,0.003232,0.001184,0.000384,1.784501
0.139940,1.581487,0.078275,1.807478,0.001184,0.003360,0.001312,0.000512,1.818646
0.145060,1.563407,0.064738,1.778901,0.001056,0.005408,0.001216,0.000448,1.790261
0.124708,1.577967,0.110851,1.821142,0.001056,0.002976,0.001056,0.000416,1.830454
0.173958,1.563150,0.068514,1.811862,0.000896,0.002464,0.001120,0.000448,1.819895
0.142340,1.578927,0.084354,1.812981,0.001088,0.005345,0.001184,0.000512,1.824151
0.137732,1.565902,0.066082,1.776500,0.001024,0.003264,0.001184,0.000384,1.785397
0.141221,1.581295,0.101635,1.832919,0.000832,0.003520,0.001056,0.000448,1.842839
0.133188,1.565871,0.063458,1.768917,0.000800,0.002656,0.001120,0.000448,1.776917
0.143877,1.582735,0.071330,1.803382,0.000800,0.003936,0.001152,0.000448,1.812790
0.145668,1.565902,0.065378,1.783765,0.000768,0.002784,0.001152,0.000384,1.791701
0.179205,1.578767,0.073954,1.839831,0.000832,0.002464,0.001088,0.000384,1.848279
0.174693,1.564399,0.063842,1.808662,0.000768,0.002400,0.001088,0.000384,1.816086
0.137380,1.582287,0.071906,1.797557,0.000832,0.005313,0.001184,0.000416,1.808598
0.148900,1.564175,0.069058,1.787765,0.000768,0.002464,0.001216,0.000352,1.795445
0.173797,1.583791,0.075363,1.839799,0.000896,0.003488,0.001248,0.000480,1.848983
0.163685,1.563118,0.065154,1.798005,0.000832,0.003457,0.001440,0.000480,1.807414
0.174597,1.582351,0.091651,1.855063,0.000864,0.005152,0.001024,0.000576,1.865655
0.131268,1.566511,0.066754,1.771925,0.000800,0.003104,0.001184,0.000416,1.780533
0.148197,1.584399,0.081731,1.821335,0.000832,0.004128,0.001088,0.000448,1.830967
0.139620,1.566030,0.065442,1.777749,0.000768,0.002880,0.001280,0.000384,1.785781
0.139045,1.584847,0.076962,1.807030,0.000800,0.003296,0.001184,0.000448,1.815606
0.141828,1.568655,0.066146,1.783445,0.000832,0.002496,0.001184,0.000384,1.791061
0.123267,1.580719,0.121124,1.831254,0.000832,0.003232,0.001440,0.000416,1.840182
0.124228,1.566350,0.063777,1.761428,0.000768,0.003328,0.001184,0.000416,1.769877
0.137796,1.601487,0.070979,1.815638,0.000832,0.002304,0.001088,0.000384,1.823222
0.157157,1.562607,0.064161,1.789846,0.000800,0.005216,0.001088,0.000416,1.800054
0.143653,1.570254,0.065122,1.785365,0.000768,0.002433,0.000992,0.000640,1.792822
0.143940,1.567823,0.065378,1.784437,0.000800,0.002816,0.001280,0.000384,1.792949
0.124387,1.572303,0.064770,1.768052,0.000832,0.002944,0.001248,0.000448,1.776212
0.136261,1.578543,0.065058,1.786710,0.000704,0.002912,0.001088,0.000352,1.794614
0.135748,1.562991,0.065442,1.769941,0.000704,0.002912,0.001088,0.000384,1.777941
0.129476,1.562350,0.064641,1.762420,0.000737,0.002336,0.000992,0.000352,1.769525
0.136388,1.562830,0.069698,1.774836,0.000864,0.002657,0.001056,0.000384,1.782517
0.186181,1.578639,0.081155,1.852503,0.000928,0.005344,0.001152,0.000448,1.863575
0.140164,1.566062,0.063970,1.776373,0.000736,0.002400,0.001120,0.000352,1.783797
0.140612,1.581711,0.108068,1.836407,0.000960,0.005248,0.001120,0.000352,1.847191
0.136804,1.565518,0.065922,1.774836,0.000768,0.002432,0.001089,0.000352,1.782261
0.151588,1.587535,0.080323,1.826966,0.000800,0.003104,0.001504,0.000416,1.836502
0.141700,1.568463,0.064514,1.780885,0.000672,0.005312,0.001120,0.000384,1.791349
0.145892,1.586255,0.085730,1.824982,0.001088,0.005408,0.001056,0.000352,1.835670
0.140036,1.566543,0.066530,1.779253,0.000704,0.002624,0.001088,0.000448,1.786773
0.144164,1.581967,0.075202,1.807861,0.001056,0.003361,0.001408,0.000352,1.816822
0.178310,1.576271,0.068386,1.829751,0.000704,0.002368,0.001120,0.000384,1.837015
0.167461,1.582095,0.079714,1.835894,0.001024,0.005024,0.000992,0.000352,1.846167
0.139844,1.564046,0.064066,1.773652,0.001056,0.005281,0.001248,0.000384,1.784277
0.166085,1.576495,0.085154,1.835670,0.000768,0.002432,0.001024,0.000480,1.843414
0.167077,1.566927,0.064482,1.804950,0.001024,0.003136,0.001152,0.000448,1.813750
0.147749,1.581871,0.093123,1.831159,0.000928,0.002816,0.001184,0.000416,1.840695
0.128260,1.566926,0.063810,1.765236,0.000768,0.003393,0.001120,0.000352,1.773685
0.162181,1.599344,0.087555,1.859672,0.001376,0.004768,0.001952,0.000576,1.873016
0.146788,1.570959,0.066594,1.792341,0.001248,0.004064,0.001952,0.000416,1.803733
0.143332,1.584655,0.073666,1.806997,0.001312,0.002848,0.001312,0.000480,1.815830
0.140260,1.570607,0.066978,1.784693,0.000736,0.002464,0.001088,0.000384,1.792053
0.161605,1.586159,0.078114,1.834454,0.001056,0.002976,0.001280,0.000384,1.844311
0.173925,1.565807,0.063874,1.809462,0.001120,0.002848,0.000992,0.000416,1.817654
0.173413,1.580143,0.081698,1.842679,0.000736,0.002432,0.000992,0.000480,1.850071
0.160164,1.565135,0.069826,1.801493,0.001056,0.002912,0.001216,0.000576,1.812213
0.163749,1.579919,0.068034,1.819094,0.000896,0.003200,0.001184,0.000448,1.827958
0.138212,1.564527,0.063490,1.772277,0.000800,0.002688,0.001120,0.000352,1.779957
0.138180,1.563022,0.065218,1.772309,0.001152,0.003200,0.001088,0.000384,1.780885
0.140580,1.563343,0.065730,1.775029,0.000736,0.002848,0.001152,0.000416,1.782997
0.140900,1.564015,0.065090,1.775669,0.000768,0.002816,0.001120,0.000320,1.783317
0.163813,1.563630,0.068802,1.801749,0.000864,0.002720,0.001024,0.000384,1.809462
0.177189,1.564143,0.064545,1.812054,0.000800,0.002368,0.001088,0.000352,1.819350
0.146724,1.569199,0.104579,1.828374,0.000896,0.003072,0.001216,0.000576,1.836951
0.140165,1.566062,0.066306,1.780053,0.000800,0.002720,0.001056,0.000480,1.787830
0.137924,1.585007,0.111235,1.842615,0.000832,0.002656,0.001152,0.000480,1.851319
0.146500,1.564750,0.064961,1.782581,0.000928,0.002784,0.001216,0.000512,1.791125
0.165157,1.586639,0.088067,1.847415,0.000800,0.002976,0.001216,0.000512,1.856055
0.145252,1.578255,0.071778,1.803669,0.001088,0.002977,0.001248,0.000384,1.814038
0.167653,1.584623,0.075010,1.833142,0.001024,0.002752,0.001216,0.000384,1.841974
0.142244,1.564398,0.073986,1.788181,0.000768,0.002496,0.001217,0.000384,1.795862
0.129412,1.579695,0.074147,1.789430,0.000992,0.002720,0.001248,0.000384,1.797782
0.145412,1.564559,0.064578,1.782293,0.000896,0.002976,0.001088,0.000384,1.790709
0.147173,1.592975,0.104963,1.852759,0.000864,0.002817,0.001152,0.000352,1.861880
0.171557,1.573839,0.070946,1.824662,0.000993,0.004128,0.002240,0.000608,1.835319
0.145252,1.595375,0.078403,1.829559,0.001344,0.003872,0.001952,0.000640,1.840951
0.143557,1.568718,0.064738,1.783413,0.001184,0.003297,0.001568,0.000480,1.792822
0.140676,1.584559,0.087651,1.820342,0.000768,0.003232,0.001184,0.000480,1.830678
0.173061,1.567630,0.064321,1.810677,0.000801,0.003328,0.001248,0.000576,1.819414
0.140740,1.583599,0.085955,1.818262,0.000864,0.003136,0.001280,0.000512,1.828470
0.144773,1.569806,0.063586,1.784469,0.000736,0.002464,0.001184,0.000480,1.792086
0.140036,1.582096,0.075714,1.804534,0.001184,0.003424,0.001056,0.000544,1.813462
0.138468,1.568175,0.063810,1.776917,0.000832,0.003136,0.001184,0.000544,1.785461
0.139172,1.579343,0.069250,1.794165,0.001056,0.003168,0.001120,0.000448,1.803445
0.145701,1.565102,0.063650,1.780853,0.001024,0.003168,0.001152,0.000481,1.789558
0.160165,1.571087,0.066914,1.805238,0.001120,0.002784,0.001184,0.000416,1.814038
0.143461,1.566990,0.063778,1.781141,0.000768,0.003072,0.001120,0.000448,1.789365
