Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396780,0.017568,0.191942,0.004928,0.048738,0.118563,0.037761,0.090051,0.249863,0.014720,0.000768,0.001536,0.001345,0.000576,0.936412
0.400716,0.017792,0.191238,0.004928,0.048001,0.113956,0.032417,0.062978,0.212391,0.015520,0.000704,0.001536,0.001152,0.000416,0.902170
0.400236,0.021057,0.191686,0.004896,0.048577,0.116516,0.040385,0.072482,0.232455,0.014433,0.000480,0.001536,0.001184,0.000384,0.924092
0.396972,0.017600,0.192070,0.004800,0.048673,0.114852,0.038657,0.067042,0.223975,0.014721,0.000480,0.001504,0.001216,0.000384,0.909883
0.413741,0.017536,0.191590,0.004896,0.048641,0.114372,0.039681,0.067970,0.225191,0.015201,0.000544,0.001568,0.001152,0.000448,0.927932
0.398092,0.017664,0.196198,0.004864,0.047810,0.120387,0.039682,0.072418,0.235719,0.015040,0.000704,0.001632,0.001376,0.000608,0.929563
0.396939,0.017569,0.192742,0.004896,0.047937,0.118724,0.040193,0.070146,0.232327,0.014593,0.000768,0.001536,0.001088,0.000640,0.918939
0.402284,0.017729,0.192005,0.004960,0.063586,0.116324,0.039937,0.071042,0.230439,0.014241,0.000672,0.001568,0.001088,0.000416,0.939324
0.395532,0.017632,0.191974,0.004960,0.049634,0.113571,0.040673,0.065314,0.222598,0.014625,0.000736,0.001472,0.001216,0.000416,0.908667
0.395788,0.017761,0.191877,0.004928,0.047874,0.113187,0.040673,0.073603,0.230855,0.014656,0.000736,0.001600,0.001216,0.000352,0.915195
0.395819,0.017632,0.192198,0.004992,0.048097,0.114692,0.034369,0.067586,0.220455,0.019008,0.000736,0.001537,0.001152,0.000480,0.910427
0.395051,0.017665,0.192038,0.004864,0.048481,0.113092,0.031169,0.064961,0.212327,0.017760,0.000864,0.001536,0.001184,0.000352,0.899738
0.395403,0.017569,0.192326,0.004896,0.047617,0.115332,0.034049,0.067682,0.220103,0.015296,0.000768,0.001536,0.001248,0.000480,0.904602
0.396491,0.017857,0.192038,0.004896,0.047969,0.118436,0.033505,0.065218,0.220551,0.015456,0.000768,0.001472,0.001248,0.000416,0.908250
0.395532,0.017856,0.208903,0.005024,0.047905,0.114244,0.037633,0.065282,0.220391,0.015712,0.000768,0.001568,0.001152,0.000448,0.923067
0.395244,0.017792,0.191558,0.004896,0.047585,0.116420,0.033985,0.066658,0.220007,0.015552,0.000512,0.001536,0.001152,0.000416,0.903803
0.394956,0.017504,0.192006,0.004864,0.048097,0.116643,0.033377,0.060834,0.214182,0.022849,0.000672,0.001536,0.001024,0.000480,0.905947
0.395276,0.017793,0.192101,0.004960,0.047874,0.123363,0.033504,0.067010,0.227207,0.014528,0.000736,0.001408,0.000992,0.000416,0.912091
0.396300,0.017537,0.191877,0.004800,0.047970,0.126436,0.037345,0.067490,0.234439,0.015008,0.001088,0.001632,0.001408,0.000416,0.919739
0.395147,0.017601,0.191942,0.004768,0.048129,0.111780,0.038881,0.059426,0.213671,0.015200,0.000480,0.001504,0.000928,0.000384,0.898618
0.396332,0.017665,0.191941,0.004992,0.048226,0.115043,0.034881,0.068290,0.222534,0.014305,0.000736,0.001536,0.001024,0.000448,0.908731
0.396268,0.023841,0.191909,0.004864,0.048386,0.114627,0.039777,0.072963,0.230631,0.013984,0.000544,0.001504,0.001088,0.000480,0.943068
0.395916,0.017697,0.192389,0.005441,0.048001,0.115876,0.032993,0.065729,0.218119,0.014688,0.000480,0.001504,0.000960,0.000448,0.904795
0.396140,0.017505,0.191941,0.004929,0.048417,0.115043,0.033633,0.065378,0.217126,0.015009,0.000704,0.001504,0.001088,0.000384,0.902587
0.396428,0.017600,0.191622,0.004928,0.047650,0.113955,0.041185,0.061922,0.220198,0.014241,0.000736,0.001440,0.000992,0.000384,0.904667
0.394668,0.017569,0.191653,0.004832,0.048449,0.112035,0.041698,0.065761,0.222311,0.014400,0.000480,0.001472,0.001024,0.000640,0.904507
0.394476,0.017537,0.192229,0.004801,0.048417,0.107811,0.034209,0.063330,0.208326,0.014465,0.000736,0.001440,0.000960,0.000448,0.891387
0.394507,0.017601,0.191654,0.004896,0.047649,0.112739,0.033248,0.064833,0.214022,0.014849,0.000768,0.001504,0.001056,0.000352,0.896090
0.421868,0.017633,0.192070,0.004960,0.048065,0.113636,0.037281,0.067106,0.221287,0.014912,0.000768,0.001472,0.001184,0.000672,0.933723
0.396203,0.017761,0.191814,0.004928,0.047969,0.117700,0.039297,0.066274,0.226663,0.014432,0.000704,0.001472,0.001025,0.000672,0.911067
0.395467,0.017537,0.192262,0.004832,0.048673,0.112420,0.040833,0.069730,0.226279,0.015648,0.000736,0.001473,0.000928,0.000576,0.912027
0.395884,0.017600,0.191686,0.004864,0.048802,0.107491,0.039041,0.082210,0.231526,0.014529,0.000704,0.001440,0.001120,0.000448,0.915611
0.394956,0.017792,0.191814,0.004864,0.049090,0.112227,0.034721,0.065186,0.215558,0.014368,0.000736,0.001473,0.001184,0.000416,0.901211
0.395212,0.017568,0.191814,0.004864,0.048609,0.109540,0.036545,0.066946,0.216007,0.014240,0.000704,0.001536,0.001088,0.000384,0.899258
0.395947,0.017697,0.191750,0.004832,0.049057,0.109475,0.033281,0.064642,0.210374,0.014753,0.000704,0.001472,0.000992,0.000448,0.895834
0.417196,0.017793,0.191974,0.005280,0.048641,0.113732,0.041057,0.064482,0.222823,0.019360,0.000481,0.001504,0.000960,0.000608,0.933820
