Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396172,0.017504,0.192070,0.004832,0.116836,0.097059,0.064289,0.281544,0.000864,0.002976,0.001280,0.000416,0.904379
0.394892,0.017569,0.191429,0.004896,0.137221,0.116259,0.065890,0.322602,0.000704,0.002240,0.001216,0.000384,0.942396
0.395275,0.017440,0.191270,0.004832,0.107619,0.094499,0.062306,0.267848,0.000736,0.002880,0.001344,0.000416,0.888794
0.395499,0.017632,0.191270,0.004832,0.100963,0.094019,0.062850,0.261640,0.000736,0.002496,0.001280,0.000416,0.883930
0.394956,0.017569,0.191301,0.005280,0.109124,0.097347,0.065634,0.275625,0.000768,0.002752,0.001216,0.000384,0.897467
0.416140,0.017408,0.191462,0.004960,0.116388,0.097187,0.063681,0.280809,0.000704,0.003040,0.001344,0.000352,0.922715
0.395820,0.017281,0.191013,0.004992,0.116324,0.096899,0.063426,0.280009,0.000768,0.002656,0.001248,0.000384,0.900891
0.395980,0.017633,0.191333,0.004864,0.117668,0.101987,0.064226,0.287177,0.000800,0.002336,0.001280,0.000352,0.907995
0.395404,0.017568,0.191558,0.005280,0.133252,0.101219,0.063554,0.301417,0.000768,0.002752,0.001280,0.000352,0.924443
0.395115,0.017249,0.191494,0.005056,0.105379,0.098051,0.068738,0.275528,0.000800,0.004992,0.001344,0.000320,0.898618
0.394763,0.017409,0.191078,0.004832,0.110371,0.097795,0.064450,0.276072,0.000768,0.002720,0.001248,0.000320,0.895290
0.394476,0.017281,0.191589,0.004801,0.109731,0.096995,0.065026,0.275336,0.000768,0.002464,0.001280,0.000320,0.895323
0.396460,0.017664,0.191590,0.004800,0.143108,0.096419,0.064002,0.307401,0.001056,0.003360,0.001248,0.000352,0.930779
0.395980,0.017440,0.191558,0.004896,0.109763,0.102275,0.065185,0.280648,0.000705,0.002528,0.001312,0.000416,0.902491
0.395276,0.017665,0.191397,0.004833,0.113379,0.103075,0.068642,0.288616,0.000704,0.002432,0.001312,0.000384,0.910331
0.411180,0.017697,0.191302,0.005216,0.120195,0.100291,0.065410,0.289608,0.001024,0.002848,0.001313,0.000448,0.928188
0.395820,0.017280,0.191366,0.005056,0.110051,0.093827,0.064738,0.271976,0.000704,0.002304,0.001248,0.000384,0.893274
0.395084,0.017344,0.191846,0.004864,0.115651,0.097250,0.065282,0.281480,0.000896,0.003201,0.001280,0.000448,0.902619
0.395404,0.017408,0.191174,0.004864,0.112676,0.096226,0.084226,0.296361,0.000736,0.002944,0.001184,0.000384,0.917307
0.395500,0.017505,0.191173,0.004800,0.117476,0.096675,0.062914,0.280201,0.000736,0.002976,0.001184,0.000384,0.900827
0.395436,0.017408,0.191238,0.004896,0.112932,0.095234,0.063522,0.274568,0.000768,0.002464,0.001121,0.000320,0.894747
0.394988,0.017600,0.191526,0.004800,0.109379,0.099235,0.069218,0.281064,0.000704,0.002816,0.001152,0.000352,0.901467
0.410284,0.017632,0.191366,0.005280,0.117220,0.102531,0.063714,0.286473,0.000736,0.003200,0.001248,0.000384,0.923483
