Layer[0],Layer[1],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415856,0.017568,0.687836,0.005440,0.052674,0.000832,0.013473,0.000352,0.001440,0.000992,0.000352,1.206512
0.415952,0.017697,0.677179,0.005344,0.048290,0.000800,0.013761,0.000352,0.001504,0.000992,0.000352,1.191503
0.415344,0.017600,0.678299,0.005377,0.048226,0.000800,0.013600,0.000352,0.001568,0.001056,0.000576,1.191535
0.415440,0.017601,0.675739,0.005504,0.048514,0.000832,0.013409,0.000384,0.001440,0.001120,0.000352,1.189359
0.415888,0.020865,0.702140,0.005440,0.048354,0.000832,0.013441,0.000352,0.001408,0.001088,0.000352,1.219504
0.415857,0.017537,0.677691,0.005376,0.048546,0.000896,0.013409,0.000384,0.001472,0.001088,0.000352,1.191024
0.415505,0.017345,0.667482,0.005504,0.048705,0.000864,0.013440,0.000352,0.001472,0.000960,0.000352,1.180815
0.414897,0.017856,0.709085,0.005408,0.048642,0.000832,0.013664,0.000352,0.001409,0.001152,0.000384,1.222705
0.415601,0.017729,0.687515,0.005344,0.047906,0.000768,0.013729,0.000352,0.001504,0.000960,0.000576,1.199536
0.415985,0.017664,0.687900,0.005440,0.048098,0.000832,0.013505,0.000352,0.001568,0.000992,0.000608,1.201104
0.434673,0.018209,0.680891,0.005568,0.049154,0.000800,0.013409,0.000320,0.001408,0.001056,0.000384,1.214480
0.416209,0.017633,0.680571,0.005408,0.049282,0.000800,0.013377,0.000352,0.001472,0.001056,0.000352,1.195728
0.416016,0.017921,0.675003,0.005312,0.047970,0.000768,0.013569,0.000352,0.001472,0.001024,0.000352,1.188271
0.415632,0.017537,0.677595,0.005344,0.048738,0.000768,0.013441,0.000352,0.001376,0.001024,0.000352,1.191823
0.415536,0.017729,0.675771,0.005440,0.052322,0.000832,0.013793,0.000320,0.001504,0.001024,0.000320,1.193359
0.416305,0.017537,0.705340,0.005312,0.048418,0.000800,0.013633,0.000352,0.001472,0.001152,0.000320,1.219217
0.416528,0.017665,0.687707,0.005441,0.048290,0.000832,0.013440,0.000384,0.001472,0.001056,0.000320,1.201647
0.415728,0.017729,0.673787,0.005472,0.049570,0.000864,0.013537,0.000384,0.001472,0.001120,0.000320,1.188303
0.415728,0.017537,0.706044,0.005472,0.048258,0.000800,0.013441,0.000384,0.001472,0.000960,0.000352,1.218992
0.415121,0.017857,0.670426,0.005473,0.049378,0.000800,0.013632,0.000352,0.001472,0.001024,0.000384,1.185071
0.416272,0.017569,0.683131,0.005505,0.048194,0.000832,0.013504,0.000384,0.001472,0.001088,0.000352,1.197487
0.415984,0.035746,0.677819,0.005280,0.050050,0.000832,0.013569,0.000352,0.001408,0.001088,0.000352,1.211632
0.416048,0.017697,0.672187,0.005248,0.048386,0.000800,0.013441,0.000320,0.001472,0.001056,0.000352,1.185775
0.416465,0.017760,0.683772,0.005472,0.048578,0.000928,0.013985,0.000352,0.001568,0.001056,0.000320,1.199664
0.431089,0.017761,0.687227,0.005505,0.050018,0.000576,0.013888,0.000352,0.001408,0.001056,0.000416,1.219088
0.415569,0.017793,0.688507,0.005409,0.048257,0.000864,0.013760,0.000352,0.001536,0.000960,0.000352,1.202000
0.416241,0.017569,0.687003,0.005312,0.048130,0.000800,0.013633,0.000384,0.001440,0.001184,0.000352,1.200592
0.416208,0.017569,0.670779,0.005376,0.048386,0.000800,0.013697,0.000352,0.001696,0.000960,0.000352,1.184943
