Layer[0],Layer[1],Layer[2],TEE[3-8],Layer[9],Layer[10],classifier
0.421041,0.017728,0.202504,0.256779,0.001344,0.000320,0.907300
0.416336,0.017696,0.202376,0.254666,0.001216,0.000320,0.899971
0.435025,0.017601,0.203176,0.279531,0.001184,0.000416,0.943525
0.466738,0.017409,0.202216,0.253514,0.001248,0.000352,0.948293
0.419953,0.017472,0.202152,0.268203,0.001344,0.000416,0.916516
0.420369,0.017536,0.219721,0.260490,0.001184,0.000384,0.926820
0.420400,0.017409,0.202312,0.247914,0.001312,0.000320,0.896419
0.420081,0.017697,0.202376,0.256138,0.001376,0.000416,0.904868
0.416081,0.017664,0.202440,0.257418,0.001408,0.000352,0.902500
0.438769,0.017665,0.202248,0.263050,0.001248,0.000416,0.930340
0.420368,0.017985,0.206824,0.260138,0.001792,0.000352,0.915812
0.416496,0.017729,0.202504,0.252138,0.001312,0.000608,0.897859
0.420209,0.017857,0.220392,0.265771,0.001408,0.000384,0.933189
0.416081,0.017696,0.202184,0.253642,0.001440,0.000384,0.898947
0.465586,0.017633,0.202375,0.260842,0.001184,0.000416,0.954854
0.419056,0.017664,0.202536,0.254506,0.001216,0.000416,0.902147
0.420176,0.017729,0.202248,0.265450,0.001280,0.000608,0.914596
0.419760,0.017665,0.202312,0.258826,0.001216,0.000384,0.907011
0.462418,0.017601,0.202536,0.265546,0.001664,0.000352,0.957253
0.416785,0.017792,0.202792,0.257034,0.001152,0.000352,0.921764
0.416688,0.017505,0.202856,0.266762,0.001440,0.000384,0.913859
0.420689,0.017473,0.202312,0.251657,0.001185,0.000320,0.900356
0.414768,0.017697,0.202120,0.258218,0.001152,0.000320,0.901379
0.419665,0.017472,0.202472,0.284555,0.001249,0.000480,0.932709
0.415888,0.017376,0.202408,0.268651,0.001440,0.000320,0.913380
0.420209,0.017760,0.202440,0.265867,0.001248,0.000320,0.914468
0.441170,0.017568,0.202568,0.270251,0.001248,0.000352,0.940645
0.415792,0.017537,0.202536,0.276747,0.001184,0.000352,0.920868
0.417137,0.017600,0.202824,0.267659,0.001536,0.000416,0.915332
0.415760,0.017441,0.202696,0.278411,0.001152,0.000384,0.923140
0.416753,0.017505,0.202728,0.258602,0.001472,0.000608,0.905508
0.416592,0.017761,0.202664,0.248906,0.001344,0.000608,0.895459
0.420528,0.017921,0.203560,0.259402,0.001312,0.000416,0.910083
0.436625,0.017600,0.203175,0.264939,0.001280,0.000384,0.930820
0.420689,0.017665,0.202440,0.258634,0.001248,0.000320,0.907844
0.420529,0.017697,0.202568,0.256714,0.001280,0.000384,0.906148
0.420944,0.017601,0.202664,0.279755,0.001536,0.000352,0.928965
0.416048,0.017441,0.202824,0.269451,0.001280,0.000384,0.914180
0.416721,0.017761,0.202856,0.265386,0.001440,0.000672,0.912100
0.416848,0.017633,0.203336,0.248906,0.001408,0.000416,0.896803
0.439921,0.017697,0.202888,0.263370,0.001280,0.000576,0.933220
0.467699,0.017633,0.202600,0.262314,0.001312,0.000384,0.959014
0.415952,0.017633,0.202312,0.266122,0.001440,0.000672,0.911331
0.416337,0.017472,0.220233,0.275819,0.001248,0.000320,0.939173
0.414385,0.017472,0.202600,0.265483,0.001248,0.000384,0.908324
0.420305,0.017473,0.203144,0.247817,0.001216,0.000352,0.897220
0.420113,0.017505,0.202376,0.258922,0.001280,0.000416,0.907716
0.414576,0.017793,0.202600,0.255146,0.001408,0.000320,0.899715
0.415888,0.017665,0.202632,0.267114,0.001184,0.000352,0.911651
0.463922,0.017761,0.203624,0.262058,0.001440,0.000512,0.957253
0.433233,0.017536,0.202664,0.257195,0.001344,0.000352,0.919684
0.420433,0.017280,0.202216,0.257867,0.001184,0.000352,0.906468
0.420433,0.017729,0.202664,0.253418,0.001216,0.000384,0.902852
0.466386,0.017505,0.202376,0.271242,0.001408,0.000448,0.966598
0.419953,0.017472,0.202024,0.255754,0.001120,0.000384,0.903555
0.420176,0.017473,0.202344,0.267851,0.001376,0.000448,0.916324
0.420048,0.017664,0.202088,0.260970,0.001216,0.000384,0.909476
0.433169,0.017633,0.202376,0.283083,0.001344,0.000640,0.946213
0.420368,0.017537,0.202568,0.260234,0.001184,0.000384,0.909923
0.463570,0.017601,0.203656,0.252489,0.001376,0.000384,0.947365
0.420209,0.017473,0.202792,0.273706,0.001281,0.000352,0.923781
0.419248,0.017600,0.203016,0.256010,0.001184,0.000352,0.904387
0.420273,0.017568,0.202408,0.261387,0.001248,0.000384,0.910628
0.420145,0.017505,0.202312,0.254282,0.001152,0.000384,0.902980
0.436625,0.017345,0.202439,0.292299,0.001344,0.000448,0.957157
0.415600,0.017537,0.202664,0.253450,0.001152,0.000352,0.897251
0.420753,0.017888,0.203112,0.266923,0.001184,0.000640,0.917348
0.416657,0.017729,0.220328,0.258602,0.001344,0.000576,0.923781
0.415696,0.017377,0.202312,0.259050,0.001216,0.000384,0.902755
0.416176,0.017633,0.202312,0.259978,0.001440,0.000448,0.905860
0.417233,0.017440,0.202888,0.259659,0.001152,0.000352,0.905700
0.420080,0.017601,0.202152,0.257610,0.001280,0.000416,0.906115
0.416241,0.017665,0.203432,0.248873,0.001280,0.000416,0.894947
0.415312,0.017473,0.202216,0.262154,0.001248,0.000352,0.905795
0.420145,0.017761,0.221256,0.259595,0.001280,0.000352,0.927397
0.419568,0.017569,0.202184,0.254890,0.001248,0.000384,0.902659
0.420017,0.017473,0.202120,0.252169,0.001152,0.000352,0.899652
0.416144,0.018209,0.202760,0.251402,0.001344,0.000384,0.898371
0.421169,0.017504,0.202312,0.261739,0.001280,0.000384,0.911492
0.418800,0.017984,0.205864,0.263627,0.001504,0.000480,0.916196
0.416656,0.017473,0.202376,0.247113,0.001248,0.000416,0.892067
0.417265,0.017505,0.220104,0.250378,0.001344,0.000384,0.914436
0.420368,0.017761,0.202152,0.251210,0.001248,0.000384,0.899395
0.418993,0.017505,0.202248,0.257738,0.001216,0.000352,0.904900
0.420017,0.017696,0.202120,0.259371,0.001312,0.000384,0.909028
0.420497,0.017568,0.202055,0.256010,0.001248,0.000352,0.904516
0.415824,0.017665,0.202632,0.256202,0.001184,0.000608,0.900675
0.415985,0.017760,0.202120,0.256618,0.001377,0.000384,0.901412
0.437169,0.017600,0.202504,0.293708,0.001216,0.000416,0.959430
0.416016,0.017664,0.202376,0.257450,0.001440,0.000384,0.903044
0.420209,0.017600,0.202471,0.255722,0.001344,0.000384,0.904324
0.416560,0.017473,0.202312,0.257546,0.001152,0.000416,0.902147
0.416049,0.017280,0.202152,0.248842,0.001056,0.000384,0.891779
0.421041,0.017889,0.203976,0.249033,0.001121,0.000416,0.900132
0.415792,0.017217,0.202056,0.249674,0.001024,0.000384,0.892035
0.438897,0.017889,0.202504,0.256202,0.001216,0.000480,0.923236
0.420592,0.017473,0.202152,0.251914,0.001152,0.000608,0.900163
0.416880,0.017537,0.202504,0.257130,0.001536,0.000416,0.903619
0.420400,0.017569,0.202312,0.248330,0.001248,0.000384,0.896771
0.463155,0.017600,0.202472,0.255306,0.001376,0.000416,0.947909
0.415697,0.017665,0.202023,0.254922,0.001248,0.000416,0.898564
0.420176,0.017441,0.202952,0.255530,0.001216,0.000416,0.904227
0.434257,0.017505,0.202024,0.262922,0.001312,0.000416,0.925380
0.420177,0.017856,0.202408,0.251402,0.001248,0.000384,0.899779
0.420656,0.017729,0.202280,0.253194,0.001152,0.000320,0.901987
0.419921,0.017473,0.202312,0.266858,0.001408,0.000448,0.914532
0.420593,0.017697,0.202056,0.246505,0.001248,0.000384,0.895267
0.416336,0.017697,0.202792,0.254826,0.001408,0.000416,0.900835
0.415504,0.017409,0.202984,0.255594,0.001248,0.000416,0.900035
0.431761,0.017825,0.203176,0.262698,0.001504,0.000384,0.925317
0.419825,0.017697,0.202248,0.261834,0.001344,0.000480,0.909892
0.416305,0.017665,0.202472,0.253449,0.001152,0.000608,0.899204
0.416145,0.017633,0.201832,0.274730,0.001376,0.000384,0.919300
0.415760,0.017441,0.202344,0.242889,0.001216,0.000416,0.886370
0.420337,0.017825,0.202568,0.255402,0.001248,0.000384,0.903748
0.415472,0.017281,0.201768,0.260106,0.001120,0.000352,0.902851
0.430961,0.017376,0.202248,0.256938,0.001184,0.000640,0.916324
0.417232,0.017793,0.203208,0.255946,0.001312,0.000416,0.903523
0.420688,0.017793,0.202728,0.249322,0.001216,0.000352,0.898275
0.416240,0.017473,0.202728,0.295499,0.001408,0.000384,0.941284
0.420432,0.017921,0.202344,0.259402,0.001376,0.000416,0.908803
0.420336,0.017473,0.202312,0.255850,0.001440,0.000384,0.904579
0.420721,0.017728,0.202600,0.263723,0.001312,0.000352,0.913444
0.448434,0.017728,0.203144,0.264587,0.001280,0.000384,0.943429
0.415760,0.017825,0.202248,0.281099,0.001344,0.000416,0.925284
0.421361,0.017697,0.202280,0.249801,0.001344,0.000384,0.899491
0.415761,0.017601,0.221832,0.264267,0.001184,0.000640,0.929029
0.416337,0.017600,0.202088,0.261163,0.001312,0.000384,0.906212
0.420528,0.017441,0.202184,0.254666,0.001152,0.000416,0.902243
0.418705,0.017760,0.202760,0.270123,0.001472,0.000416,0.919652
0.416049,0.017888,0.202536,0.258058,0.001344,0.000416,0.902820
0.415824,0.017504,0.202056,0.252778,0.001280,0.000384,0.896803
0.416656,0.017633,0.202152,0.243241,0.001472,0.000416,0.889538
0.436401,0.017793,0.203272,0.262346,0.001248,0.000416,0.928132
0.415408,0.017537,0.202152,0.251050,0.001216,0.000448,0.894883
0.415568,0.017793,0.201960,0.255306,0.001248,0.000352,0.899011
0.415504,0.017473,0.202440,0.260874,0.001280,0.000320,0.905827
