Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.414979,0.017440,0.203266,0.004928,0.047072,0.107617,0.053280,0.063425,0.227298,0.001088,0.000384,0.921959
0.414499,0.017440,0.202850,0.004896,0.046912,0.115265,0.048608,0.058817,0.225794,0.001088,0.000416,0.919271
0.447907,0.017248,0.202913,0.004832,0.046913,0.103745,0.060928,0.062848,0.230465,0.001120,0.000480,0.957990
0.414723,0.017216,0.202946,0.004864,0.046944,0.106689,0.050240,0.062337,0.222498,0.001184,0.000288,0.915655
0.416099,0.017248,0.202658,0.004864,0.047008,0.107009,0.063489,0.065728,0.239266,0.001088,0.000480,0.934215
0.415491,0.017536,0.223105,0.005057,0.047328,0.111361,0.062688,0.064449,0.241570,0.001248,0.000448,0.958631
0.414755,0.017184,0.202913,0.004960,0.046976,0.100033,0.062497,0.066240,0.231810,0.001120,0.000352,0.925831
0.415139,0.017408,0.202881,0.004993,0.046944,0.102689,0.054752,0.063040,0.223233,0.001344,0.000384,0.917798
0.415363,0.017408,0.202946,0.004832,0.046944,0.099713,0.063232,0.066369,0.232194,0.001056,0.000384,0.927143
0.415139,0.017344,0.202657,0.004864,0.046977,0.108672,0.051169,0.063136,0.225953,0.001184,0.000480,0.920262
0.415875,0.017152,0.202658,0.004896,0.046976,0.121569,0.060352,0.061825,0.246754,0.001280,0.000512,0.941991
0.415170,0.017312,0.202433,0.004960,0.046976,0.106817,0.054177,0.060992,0.224994,0.001184,0.000416,0.918950
0.436771,0.017312,0.202978,0.004896,0.046912,0.102721,0.059936,0.061697,0.227426,0.001152,0.000448,0.943879
0.414915,0.017216,0.202690,0.004896,0.046944,0.108513,0.063905,0.064512,0.240034,0.001216,0.000320,0.933863
0.415395,0.017440,0.202689,0.004800,0.047009,0.099424,0.050529,0.060224,0.213569,0.001280,0.000448,0.908582
0.415779,0.017312,0.202658,0.004832,0.047040,0.109729,0.062560,0.079329,0.255266,0.001408,0.000448,0.951175
0.415299,0.017216,0.202913,0.004896,0.047265,0.110720,0.052353,0.060032,0.226433,0.001248,0.000480,0.921574
0.415459,0.017184,0.203810,0.004832,0.047552,0.107169,0.053472,0.059905,0.223522,0.001216,0.000384,0.919591
0.415394,0.017248,0.202977,0.004896,0.046912,0.123969,0.069377,0.062816,0.258914,0.001216,0.000384,0.953606
0.434563,0.017280,0.203266,0.004896,0.046944,0.100609,0.052224,0.060417,0.216610,0.001088,0.000416,0.930727
0.414915,0.017440,0.202946,0.004832,0.047040,0.107009,0.053024,0.059937,0.222978,0.001184,0.000352,0.918375
