Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.400428,0.017409,0.133604,0.584977,0.065410,0.787415,0.002976,0.001248,0.000416,1.215300
0.397612,0.017792,0.133764,0.603090,0.079907,0.820537,0.003008,0.001280,0.000416,1.247013
0.396588,0.017568,0.153285,0.584657,0.067938,0.809624,0.005472,0.001248,0.000416,1.237124
0.396300,0.017440,0.143940,0.594770,0.071362,0.813464,0.002752,0.001088,0.000416,1.237636
0.414828,0.017600,0.139044,0.600754,0.068834,0.811960,0.003680,0.001120,0.000384,1.255493
0.396428,0.017344,0.123780,0.581777,0.069250,0.778455,0.003040,0.001120,0.000448,1.202339
0.395500,0.017473,0.133283,0.583058,0.067042,0.786583,0.005312,0.001184,0.000416,1.211876
0.396907,0.017601,0.132932,0.584529,0.069154,0.790455,0.003200,0.001280,0.000448,1.216036
0.396044,0.017280,0.138628,0.582961,0.066338,0.791447,0.002592,0.001056,0.000448,1.214180
0.395756,0.017345,0.147428,0.604050,0.080354,0.835224,0.002560,0.001120,0.000544,1.257253
0.396204,0.017632,0.131748,0.583025,0.066978,0.786072,0.003456,0.001280,0.000480,1.211556
0.396684,0.017505,0.134628,0.582065,0.065922,0.786199,0.002976,0.001312,0.000384,1.211684
0.395884,0.017952,0.153701,0.585073,0.068130,0.811032,0.002528,0.001088,0.000384,1.233700
0.396875,0.017601,0.140964,0.584177,0.070018,0.798936,0.002688,0.001248,0.000416,1.224036
0.396236,0.017409,0.128483,0.582706,0.064194,0.779063,0.002496,0.000992,0.000384,1.201284
0.410220,0.017473,0.129635,0.581010,0.062434,0.776343,0.002592,0.001120,0.000416,1.212804
0.396204,0.017376,0.133444,0.581489,0.072898,0.793432,0.005504,0.001088,0.000448,1.219876
0.395659,0.017505,0.124452,0.591377,0.090563,0.810296,0.004352,0.001056,0.000448,1.234500
0.396428,0.017633,0.130276,0.602641,0.109476,0.845561,0.002624,0.001280,0.000288,1.269222
0.396780,0.017472,0.115748,0.592401,0.064258,0.775991,0.002304,0.000832,0.000448,1.198947
0.401483,0.017440,0.123268,0.596753,0.094051,0.818296,0.002432,0.001120,0.000608,1.248356
0.396748,0.017601,0.137348,0.583409,0.067714,0.791863,0.004832,0.001184,0.000608,1.218852
0.395851,0.017504,0.128676,0.583505,0.066082,0.782199,0.002656,0.001024,0.000416,1.204387
0.414637,0.017536,0.130532,0.596210,0.073250,0.804280,0.002816,0.001120,0.000608,1.248165
0.397004,0.017536,0.137092,0.583729,0.073602,0.797880,0.003072,0.001152,0.000384,1.222596
0.396396,0.017440,0.126468,0.585329,0.065890,0.781175,0.002592,0.001120,0.000481,1.204676
0.400172,0.017409,0.135940,0.583761,0.069090,0.793623,0.002656,0.001056,0.000416,1.220996
0.396108,0.017536,0.133636,0.583730,0.065730,0.786296,0.003520,0.001184,0.000384,1.210372
0.396908,0.017377,0.136772,0.603154,0.108003,0.851033,0.002560,0.001120,0.000448,1.274726
0.400299,0.017441,0.128452,0.581969,0.064738,0.778647,0.004096,0.001184,0.000384,1.207683
0.397196,0.017600,0.138404,0.586770,0.070434,0.798904,0.002656,0.001216,0.000384,1.223716
0.396780,0.017536,0.126180,0.599186,0.072258,0.801208,0.004256,0.001216,0.000416,1.227332
0.397036,0.017408,0.133060,0.584049,0.067714,0.788375,0.003040,0.001184,0.000416,1.212292
0.396844,0.017569,0.130436,0.582673,0.070306,0.786807,0.002752,0.001344,0.000480,1.211396
0.412332,0.017889,0.139172,0.592722,0.070946,0.806392,0.003168,0.001184,0.000448,1.247237
0.396203,0.017409,0.130628,0.584273,0.069890,0.788247,0.005536,0.001216,0.000448,1.214755
0.400300,0.017505,0.135716,0.583089,0.067874,0.789975,0.005376,0.001216,0.000544,1.220292
0.401068,0.017505,0.133059,0.582898,0.071682,0.790807,0.002400,0.001088,0.000480,1.218820
0.401548,0.017601,0.129252,0.582673,0.069922,0.784919,0.003680,0.001024,0.000416,1.214628
0.396364,0.017600,0.123108,0.602162,0.080226,0.808824,0.003360,0.001216,0.000416,1.233701
0.396460,0.017569,0.126403,0.580754,0.065378,0.776119,0.002912,0.001280,0.000480,1.200996
0.396364,0.017409,0.121347,0.580081,0.068130,0.773686,0.005377,0.001216,0.000416,1.201892
0.395947,0.017600,0.154501,0.598609,0.065858,0.822936,0.002560,0.001089,0.000416,1.246021
0.396204,0.017665,0.136548,0.582065,0.066274,0.788503,0.003072,0.001216,0.000448,1.212996
0.396172,0.017408,0.126148,0.585361,0.067138,0.782007,0.005153,0.001056,0.000672,1.208228
0.417901,0.017600,0.138021,0.598545,0.068514,0.808888,0.004288,0.001089,0.000608,1.256390
0.400396,0.017345,0.132388,0.598289,0.068834,0.803000,0.002944,0.001280,0.000512,1.231205
0.473006,0.017440,0.134980,0.615539,0.081634,0.835417,0.002944,0.001248,0.000416,1.335815
0.396748,0.017536,0.133316,0.597042,0.073986,0.808248,0.002624,0.001280,0.000416,1.231620
0.396043,0.017473,0.131684,0.581105,0.064802,0.780983,0.002816,0.001216,0.000512,1.204259
0.396332,0.017536,0.152965,0.611346,0.067042,0.834873,0.002880,0.001216,0.000416,1.258949
0.401644,0.017281,0.121731,0.582673,0.067682,0.775478,0.004865,0.001152,0.000384,1.206276
0.396235,0.017409,0.136708,0.581457,0.064674,0.786135,0.005312,0.001216,0.000384,1.211715
0.415181,0.017600,0.143493,0.598897,0.067938,0.813656,0.002752,0.001376,0.000480,1.257030
0.396748,0.017408,0.136708,0.583794,0.065762,0.789400,0.002688,0.001152,0.000384,1.212804
0.396204,0.017441,0.133860,0.581489,0.106275,0.825880,0.002912,0.001216,0.000544,1.249829
0.400108,0.017536,0.138756,0.584882,0.068290,0.795256,0.002816,0.001152,0.000448,1.222628
0.400460,0.017473,0.135332,0.580049,0.067042,0.785623,0.002624,0.001120,0.000448,1.213028
0.397996,0.017440,0.133252,0.599538,0.075266,0.811288,0.002656,0.001088,0.000480,1.236324
0.395724,0.017504,0.134788,0.582066,0.073634,0.793688,0.002816,0.001216,0.000416,1.217092
0.401867,0.017536,0.132708,0.582513,0.068738,0.787415,0.002720,0.001344,0.000512,1.217828
0.413517,0.017408,0.133668,0.597074,0.072546,0.808696,0.002528,0.001088,0.000480,1.248805
0.395980,0.017472,0.140260,0.584722,0.070210,0.798552,0.002816,0.001248,0.000416,1.222340
0.395563,0.017473,0.135012,0.584017,0.066178,0.788663,0.004544,0.001216,0.000448,1.213252
0.395404,0.017600,0.123780,0.582737,0.068322,0.778935,0.003072,0.001056,0.000448,1.202180
0.400876,0.017601,0.135076,0.582289,0.065570,0.786327,0.002752,0.001216,0.000512,1.214788
0.400171,0.017600,0.133284,0.599314,0.077154,0.813368,0.005472,0.001056,0.000480,1.244164
0.395948,0.017376,0.134308,0.581938,0.068002,0.787320,0.003200,0.001120,0.000448,1.210660
0.404236,0.017665,0.145124,0.584977,0.070434,0.805399,0.002945,0.001216,0.000416,1.239397
0.400844,0.017632,0.142245,0.612466,0.073666,0.834649,0.003488,0.001248,0.000480,1.266437
0.400908,0.017409,0.122980,0.581873,0.068354,0.777399,0.002912,0.001184,0.000416,1.206084
0.401036,0.017440,0.131556,0.582930,0.069602,0.787352,0.003200,0.001152,0.000416,1.215332
0.412429,0.017792,0.139844,0.594930,0.068258,0.806904,0.002976,0.001248,0.000384,1.248837
0.395820,0.017376,0.131876,0.583377,0.067586,0.786455,0.003136,0.001216,0.000416,1.210404
0.396172,0.017569,0.136356,0.600273,0.086691,0.826360,0.003328,0.001184,0.000416,1.250117
0.395883,0.017344,0.135364,0.584529,0.069346,0.792567,0.004608,0.001056,0.000384,1.216804
0.396236,0.017473,0.123619,0.582994,0.065505,0.775319,0.002528,0.000992,0.000416,1.198148
0.396940,0.017345,0.132452,0.601778,0.076258,0.814840,0.003296,0.001120,0.000416,1.239909
0.396460,0.017632,0.137220,0.582066,0.068578,0.791288,0.003296,0.001120,0.000384,1.215364
0.396172,0.017472,0.135620,0.586258,0.080514,0.805560,0.002560,0.001248,0.000384,1.228644
0.428557,0.017441,0.144548,0.594065,0.073858,0.818104,0.002624,0.001216,0.000416,1.275238
0.397131,0.017472,0.122948,0.581681,0.072066,0.780151,0.005440,0.001312,0.000448,1.207267
0.395884,0.017440,0.132484,0.580721,0.066625,0.783383,0.002848,0.001120,0.000384,1.206980
0.396396,0.017376,0.136196,0.581745,0.064353,0.785719,0.002625,0.001248,0.000416,1.209060
0.396588,0.017664,0.120804,0.583793,0.069218,0.777399,0.002560,0.001152,0.000416,1.201283
0.401164,0.017729,0.136580,0.595633,0.072034,0.807543,0.004737,0.001280,0.000416,1.238309
0.401164,0.017377,0.136260,0.583377,0.065474,0.788439,0.004896,0.001120,0.000320,1.218820
0.395980,0.017728,0.138148,0.584018,0.071938,0.797656,0.004128,0.001024,0.000448,1.221828
0.396140,0.017472,0.155237,0.610898,0.067298,0.836985,0.003840,0.001056,0.000448,1.261381
0.396428,0.017792,0.122243,0.583345,0.068226,0.777879,0.002784,0.001152,0.000416,1.202372
0.396748,0.017601,0.128932,0.585937,0.069474,0.787831,0.002752,0.001248,0.000416,1.212804
