Layer[0],IN[1],INFER[1-4],OUT[4],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395180,0.186149,0.601106,0.062562,0.853657,0.000992,0.015265,0.000384,0.001440,0.000928,0.000384,1.274054
0.395115,0.159077,0.595282,0.062626,0.822329,0.001088,0.015264,0.000416,0.001472,0.001120,0.000416,1.242820
0.411052,0.155397,0.585361,0.067970,0.812601,0.000736,0.014752,0.000832,0.001504,0.001184,0.000384,1.249797
0.394764,0.138468,0.587954,0.060513,0.791096,0.001152,0.014528,0.000384,0.001504,0.001152,0.000352,1.210692
0.395564,0.139172,0.604626,0.094595,0.842873,0.001120,0.015520,0.000832,0.001504,0.001024,0.000416,1.265061
0.394764,0.151172,0.584338,0.060866,0.800440,0.000736,0.014208,0.000416,0.001472,0.000992,0.000384,1.218756
0.394635,0.172165,0.597713,0.061794,0.835544,0.001184,0.014849,0.000448,0.001472,0.000960,0.000384,1.254821
0.394891,0.152740,0.602194,0.065186,0.824568,0.001248,0.015201,0.000416,0.001536,0.000864,0.000384,1.246341
0.395659,0.151301,0.596466,0.062145,0.813880,0.001249,0.015232,0.000416,0.001440,0.000896,0.000480,1.236324
0.394796,0.162117,0.585521,0.061634,0.813240,0.001216,0.015617,0.000352,0.001472,0.000896,0.000384,1.234277
0.408716,0.159845,0.601201,0.064513,0.829752,0.001153,0.015328,0.000576,0.001504,0.000960,0.000384,1.264293
0.394507,0.135268,0.586449,0.061666,0.787671,0.000768,0.015168,0.000416,0.001440,0.000864,0.000384,1.207012
0.397772,0.170117,0.586033,0.065378,0.825464,0.001248,0.015105,0.000608,0.001440,0.001120,0.000416,1.250373
0.395564,0.153733,0.587537,0.068610,0.813624,0.001152,0.015073,0.000384,0.001504,0.000992,0.000384,1.234341
0.394699,0.189606,0.598706,0.064610,0.857082,0.000800,0.015136,0.000384,0.001472,0.000896,0.000384,1.276293
0.394924,0.139236,0.629843,0.069826,0.843225,0.001248,0.015840,0.000384,0.001440,0.001088,0.000704,1.264773
0.395020,0.139940,0.601010,0.060770,0.805464,0.001248,0.015328,0.000384,0.001504,0.000896,0.000352,1.225860
0.395532,0.164741,0.586513,0.063362,0.818456,0.001248,0.014977,0.000416,0.001472,0.001056,0.000384,1.240549
0.409132,0.126308,0.585649,0.062210,0.778391,0.000768,0.014689,0.000416,0.001504,0.001184,0.000288,1.212452
0.395468,0.177670,0.585713,0.062082,0.829625,0.001216,0.015840,0.000416,0.001472,0.000992,0.000384,1.251398
0.395180,0.161829,0.586449,0.064513,0.816568,0.000672,0.014465,0.000384,0.001504,0.000896,0.000416,1.235877
0.408940,0.137668,0.584113,0.060706,0.786679,0.001184,0.015105,0.000832,0.001472,0.001088,0.000384,1.221092
0.395116,0.168869,0.586481,0.065026,0.824568,0.000800,0.015521,0.000384,0.001504,0.001120,0.000352,1.246789
0.394412,0.161125,0.610098,0.075074,0.850297,0.001248,0.014785,0.000416,0.001504,0.000864,0.000384,1.269574
0.394284,0.164869,0.598258,0.063234,0.830489,0.001184,0.015104,0.000384,0.001504,0.000928,0.000384,1.250245
0.394252,0.174629,0.585905,0.062786,0.827288,0.001184,0.014785,0.000384,0.001472,0.000992,0.000416,1.246181
0.395179,0.167973,0.603346,0.086787,0.862202,0.001312,0.014432,0.000384,0.001472,0.000896,0.000352,1.281446
0.394220,0.156837,0.583345,0.060162,0.803896,0.000832,0.014752,0.000416,0.001504,0.000896,0.000448,1.223108
0.394476,0.138852,0.597714,0.062530,0.802808,0.001216,0.014881,0.000352,0.001376,0.000928,0.000352,1.222277
0.408620,0.161284,0.586802,0.067778,0.819673,0.000768,0.014208,0.000384,0.001472,0.000896,0.000288,1.251973
0.394476,0.145284,0.585106,0.061602,0.795864,0.000800,0.014720,0.000384,0.001472,0.000960,0.000384,1.214372
0.394348,0.144676,0.585714,0.061857,0.796439,0.001568,0.014944,0.000416,0.001472,0.000896,0.000416,1.216420
0.395148,0.170949,0.586385,0.064386,0.825784,0.001248,0.014945,0.000416,0.001504,0.001152,0.000384,1.248037
0.394540,0.150501,0.595345,0.061474,0.812440,0.000768,0.014721,0.000384,0.001440,0.000896,0.000416,1.231621
0.394891,0.164485,0.605778,0.077251,0.853306,0.000832,0.014720,0.000416,0.001472,0.000992,0.000544,1.273541
0.395020,0.163877,0.595761,0.062594,0.826136,0.000800,0.014817,0.000416,0.001504,0.000864,0.000416,1.245093
0.394315,0.163877,0.596178,0.062114,0.827225,0.001280,0.014752,0.000384,0.001440,0.000992,0.000288,1.246212
0.394188,0.158981,0.595410,0.061729,0.820152,0.001216,0.014944,0.000448,0.001536,0.000928,0.000352,1.255685
0.394572,0.142820,0.615698,0.061986,0.824376,0.001088,0.014337,0.000416,0.001472,0.000864,0.000384,1.243461
0.394988,0.147460,0.586578,0.067906,0.805816,0.000864,0.014656,0.000416,0.001504,0.000992,0.000384,1.226340
0.393836,0.147876,0.587313,0.062850,0.801879,0.000736,0.014721,0.000448,0.001408,0.000864,0.000416,1.219716
0.394540,0.148132,0.597842,0.061602,0.811384,0.000704,0.014624,0.000416,0.001472,0.000928,0.000384,1.230724
0.399596,0.176389,0.603058,0.077026,0.861881,0.001216,0.015137,0.000384,0.001536,0.001120,0.000384,1.288358
0.397164,0.148196,0.596338,0.062466,0.813016,0.001312,0.014912,0.000416,0.001504,0.001056,0.000384,1.236901
0.396588,0.161093,0.602066,0.062850,0.829913,0.001216,0.015136,0.000384,0.001696,0.000992,0.000416,1.251845
0.395532,0.187685,0.604114,0.064258,0.859833,0.001216,0.015489,0.000384,0.001440,0.000928,0.000352,1.281830
0.395052,0.141028,0.599762,0.060962,0.805720,0.001120,0.015776,0.000416,0.001504,0.001312,0.000416,1.227301
0.395532,0.157669,0.596465,0.062946,0.821016,0.001216,0.014817,0.000384,0.001504,0.000992,0.000384,1.241797
0.408237,0.152004,0.595794,0.066370,0.818168,0.001280,0.014336,0.000384,0.001472,0.000960,0.000384,1.251045
0.396203,0.169349,0.597777,0.064194,0.835257,0.000768,0.014657,0.000352,0.001440,0.001344,0.000416,1.257509
0.394732,0.164900,0.613714,0.070882,0.853753,0.001184,0.015168,0.000448,0.001504,0.000961,0.000384,1.274374
0.395052,0.145764,0.594578,0.062946,0.808664,0.000736,0.014368,0.000384,0.001696,0.000960,0.000288,1.227972
0.395371,0.171621,0.586993,0.063906,0.826777,0.000832,0.014720,0.000384,0.001633,0.001216,0.000416,1.248389
0.395564,0.164645,0.604722,0.084770,0.858265,0.000800,0.014561,0.000384,0.001504,0.001120,0.000384,1.278310
0.394796,0.156293,0.584721,0.062946,0.808184,0.001248,0.014433,0.000448,0.001376,0.001024,0.000416,1.227205
0.395628,0.138308,0.584145,0.062529,0.788599,0.001248,0.014721,0.000384,0.001440,0.000896,0.000288,1.209092
0.406700,0.143492,0.595506,0.061826,0.804920,0.001280,0.014816,0.000448,0.001473,0.000896,0.000352,1.236645
0.395019,0.152356,0.600466,0.064610,0.822040,0.001152,0.015296,0.000384,0.001408,0.001216,0.000608,1.246565
0.394444,0.147812,0.587698,0.061410,0.800888,0.001184,0.014944,0.000416,0.001504,0.001152,0.000416,1.220964
0.394860,0.127588,0.587889,0.068258,0.787671,0.001249,0.014688,0.000448,0.001536,0.001632,0.000416,1.209700
0.394380,0.141188,0.584754,0.062401,0.792311,0.000768,0.014465,0.000384,0.001472,0.000864,0.000448,1.211172
0.394955,0.162756,0.609523,0.103331,0.881626,0.000800,0.014912,0.000416,0.001472,0.000832,0.000384,1.302982
0.396267,0.173125,0.587473,0.068834,0.833657,0.000768,0.014305,0.000384,0.001536,0.001248,0.000416,1.255781
0.396588,0.159908,0.598482,0.061218,0.823800,0.000832,0.014177,0.000800,0.001440,0.000928,0.000352,1.245061
0.424653,0.140548,0.587314,0.067650,0.799384,0.000768,0.014368,0.000416,0.001408,0.000960,0.000416,1.248325
0.394732,0.154596,0.595890,0.061730,0.816280,0.000736,0.015073,0.000352,0.001440,0.000864,0.000384,1.236005
0.394347,0.162693,0.593970,0.064066,0.824953,0.000832,0.014624,0.000384,0.001504,0.000832,0.000352,1.244005
0.394508,0.160933,0.596721,0.065410,0.827064,0.000768,0.014656,0.000416,0.001440,0.001024,0.000352,1.248229
0.396460,0.169637,0.597521,0.065570,0.836600,0.000832,0.014849,0.000384,0.001504,0.001248,0.000416,1.259461
0.395692,0.172229,0.614482,0.076898,0.868665,0.000768,0.015521,0.000416,0.001536,0.001216,0.000416,1.291750
0.395307,0.167397,0.585553,0.062146,0.818744,0.000768,0.014912,0.000384,0.001536,0.001216,0.000384,1.240388
0.396172,0.169541,0.587089,0.069666,0.830105,0.000768,0.015264,0.000608,0.001536,0.001376,0.000384,1.253349
0.412364,0.153509,0.589265,0.063202,0.809944,0.001280,0.015521,0.000384,0.001504,0.001184,0.000384,1.249765
0.394763,0.169381,0.585201,0.067778,0.826168,0.000768,0.015456,0.000576,0.001536,0.001184,0.000352,1.247685
0.394860,0.167941,0.586321,0.064225,0.822584,0.001185,0.015840,0.000576,0.001728,0.001120,0.000416,1.245605
0.394955,0.151141,0.597426,0.064418,0.816921,0.000768,0.014976,0.000416,0.001568,0.001312,0.000352,1.238436
0.395467,0.173765,0.596913,0.065026,0.839640,0.000736,0.015521,0.000384,0.001568,0.001120,0.000416,1.262053
0.395883,0.148228,0.617490,0.075011,0.846106,0.000704,0.014752,0.000384,0.001536,0.001248,0.000384,1.269637
0.396267,0.165796,0.586833,0.062658,0.819320,0.000768,0.014944,0.000384,0.001568,0.001184,0.000352,1.241636
0.396396,0.133668,0.590673,0.065089,0.793559,0.000769,0.015264,0.000384,0.001568,0.001248,0.000416,1.217476
0.413228,0.201958,0.597618,0.066690,0.870106,0.001248,0.014945,0.000576,0.001568,0.001152,0.000352,1.310567
0.395084,0.169189,0.590161,0.064577,0.828184,0.001280,0.014816,0.000448,0.001536,0.001280,0.000384,1.250341
0.394827,0.167429,0.601266,0.076995,0.850522,0.000832,0.014816,0.000608,0.001472,0.001280,0.000448,1.272389
0.395276,0.168773,0.585937,0.063842,0.822424,0.000800,0.014657,0.000416,0.001600,0.001632,0.000384,1.244581
0.395372,0.197574,0.588177,0.062594,0.852377,0.001216,0.014913,0.000448,0.001440,0.001184,0.000384,1.274054
0.394828,0.152229,0.602930,0.075490,0.836537,0.000736,0.014977,0.000384,0.001600,0.001120,0.000384,1.258054
0.396876,0.159653,0.597969,0.074115,0.835449,0.000832,0.014400,0.000608,0.001536,0.001152,0.000384,1.258629
0.394827,0.172293,0.597329,0.064898,0.838552,0.000736,0.014497,0.000384,0.001504,0.001152,0.000384,1.259621
0.415245,0.175557,0.596722,0.066658,0.842841,0.001248,0.015264,0.000416,0.001504,0.001152,0.000416,1.285542
0.395435,0.172230,0.588177,0.063938,0.828633,0.001216,0.015072,0.000416,0.001569,0.001216,0.000384,1.251365
0.395627,0.166949,0.605426,0.100643,0.877050,0.000832,0.014592,0.000384,0.001536,0.001152,0.000448,1.299014
0.395371,0.175749,0.589489,0.065026,0.834392,0.000736,0.014529,0.000416,0.001472,0.001184,0.000416,1.255717
0.395979,0.154756,0.598162,0.068130,0.825240,0.000800,0.014849,0.000576,0.001472,0.001184,0.000384,1.248005
0.396492,0.177797,0.598962,0.066786,0.847321,0.001152,0.015233,0.000352,0.001536,0.001248,0.000352,1.270150
0.395596,0.161605,0.588529,0.065410,0.819480,0.000832,0.014945,0.000832,0.001536,0.001184,0.000384,1.241445
0.394508,0.149156,0.597778,0.062018,0.812888,0.000768,0.014656,0.000608,0.001568,0.001088,0.000384,1.233316
0.396140,0.167173,0.597138,0.063873,0.832217,0.000832,0.014592,0.000384,0.001440,0.001152,0.000416,1.254053
0.394668,0.162341,0.586769,0.063042,0.815768,0.001152,0.014497,0.000480,0.001472,0.001120,0.000384,1.236037
0.394508,0.169253,0.603218,0.074370,0.850745,0.001152,0.014977,0.000480,0.001568,0.001184,0.000416,1.272582
0.395276,0.166341,0.586449,0.071298,0.827736,0.000768,0.014529,0.000384,0.001568,0.001056,0.000416,1.247621
0.395404,0.165637,0.587057,0.062882,0.819512,0.000768,0.014657,0.000416,0.001408,0.001184,0.000416,1.239781
0.397356,0.177957,0.599090,0.066786,0.848121,0.001376,0.014945,0.000384,0.001536,0.001184,0.000416,1.272902
0.396812,0.193670,0.598353,0.064674,0.860857,0.000800,0.015617,0.000608,0.001504,0.001088,0.000384,1.283334
0.395948,0.150532,0.587281,0.062370,0.803992,0.000704,0.014912,0.000384,0.001440,0.001120,0.000352,1.225668
0.396236,0.162373,0.587793,0.061986,0.816408,0.000864,0.014689,0.000416,0.001504,0.001056,0.000320,1.237989
0.395211,0.162628,0.588114,0.063074,0.817560,0.000832,0.014720,0.000416,0.001440,0.001088,0.000384,1.238500
0.394731,0.160868,0.622451,0.076642,0.863801,0.001216,0.015105,0.000448,0.001440,0.001024,0.000384,1.285478
0.394636,0.193574,0.588209,0.062178,0.847769,0.001152,0.014817,0.000448,0.001472,0.000992,0.000384,1.268870
0.394412,0.172613,0.587410,0.068162,0.832121,0.001248,0.014656,0.000416,0.001536,0.001120,0.000416,1.252837
0.416908,0.161957,0.594353,0.061697,0.821720,0.000736,0.014465,0.000384,0.001440,0.001248,0.000384,1.264389
0.395596,0.162981,0.599634,0.064002,0.830489,0.000768,0.014880,0.000416,0.001504,0.001120,0.000384,1.251429
0.394635,0.152037,0.588625,0.063394,0.808056,0.001216,0.014721,0.000608,0.001504,0.001152,0.000416,1.229828
0.394411,0.189766,0.615058,0.065026,0.873466,0.000768,0.014113,0.000608,0.001472,0.001120,0.000352,1.292294
0.394443,0.162341,0.598738,0.064418,0.829273,0.000800,0.014657,0.000384,0.001504,0.001152,0.000384,1.248709
0.394091,0.161957,0.607602,0.073858,0.847321,0.000736,0.014433,0.000416,0.001536,0.001120,0.000352,1.266725
0.395020,0.165157,0.587153,0.062274,0.818584,0.000736,0.014881,0.000384,0.001568,0.001120,0.000352,1.239301
0.394540,0.157669,0.585905,0.080162,0.827640,0.000768,0.014369,0.000416,0.001440,0.001120,0.000416,1.247877
0.415660,0.167429,0.595954,0.069346,0.836377,0.000768,0.014496,0.000480,0.001568,0.001184,0.000416,1.277861
0.395371,0.180870,0.596434,0.069858,0.850778,0.000704,0.014688,0.000608,0.001408,0.001344,0.000416,1.272581
0.395564,0.157541,0.586929,0.069922,0.818008,0.000769,0.014432,0.000864,0.001440,0.001120,0.000448,1.238149
0.395244,0.193734,0.587697,0.075971,0.860858,0.001120,0.014976,0.000384,0.001568,0.001184,0.000384,1.281894
0.398219,0.192742,0.587506,0.064450,0.848602,0.001088,0.014752,0.000416,0.001472,0.001248,0.000384,1.274117
0.395051,0.164901,0.618355,0.077954,0.865466,0.000704,0.014337,0.000832,0.001472,0.001056,0.000384,1.285894
0.394956,0.161509,0.588913,0.063106,0.817528,0.001184,0.014689,0.000448,0.001472,0.001120,0.000384,1.237637
0.394988,0.146724,0.587954,0.062529,0.801111,0.001152,0.014784,0.000416,0.001472,0.001056,0.000448,1.221412
0.413677,0.166437,0.597809,0.063490,0.831544,0.000704,0.014497,0.000608,0.001472,0.001184,0.000448,1.270854
0.394476,0.158757,0.587505,0.068450,0.818648,0.001088,0.014497,0.000384,0.001504,0.001120,0.000384,1.240005
0.394444,0.161764,0.587314,0.079970,0.832984,0.001120,0.014689,0.000416,0.001472,0.001184,0.000416,1.253157
0.395244,0.165797,0.587249,0.063425,0.820184,0.000800,0.014529,0.000416,0.001536,0.001344,0.000416,1.241349
0.394508,0.162789,0.599058,0.063073,0.828664,0.000769,0.014048,0.000416,0.001504,0.001056,0.000384,1.247429
0.395468,0.163461,0.612786,0.080195,0.860122,0.000736,0.014560,0.000448,0.001408,0.001056,0.000384,1.280166
0.395980,0.174885,0.600434,0.072610,0.852153,0.000736,0.014625,0.000608,0.001472,0.001504,0.000384,1.274790
0.394987,0.159493,0.588306,0.063041,0.814680,0.001121,0.014592,0.000416,0.001504,0.001056,0.000384,1.235108
0.428781,0.192934,0.597905,0.070146,0.865081,0.000992,0.014401,0.000640,0.001504,0.001056,0.000384,1.319175
0.394508,0.159268,0.588497,0.063074,0.814712,0.000736,0.014592,0.000448,0.001536,0.001121,0.000512,1.234405
0.395084,0.162948,0.607538,0.078754,0.853721,0.000704,0.014496,0.000416,0.001440,0.001153,0.000352,1.274086
0.394540,0.162821,0.587633,0.063362,0.817528,0.000800,0.014273,0.000448,0.001504,0.001024,0.000384,1.237541
0.394795,0.157413,0.585201,0.062594,0.809464,0.000832,0.014625,0.000416,0.001536,0.001024,0.000352,1.229252
0.396556,0.166853,0.606866,0.072578,0.850201,0.001120,0.014689,0.000384,0.001472,0.001152,0.000448,1.273606
0.395596,0.151204,0.589330,0.062146,0.806584,0.001152,0.014336,0.000384,0.001504,0.001152,0.000352,1.226980
0.396716,0.171493,0.599314,0.063874,0.838521,0.000768,0.014912,0.000480,0.001472,0.001216,0.000480,1.260422
0.414764,0.166757,0.598578,0.072162,0.841177,0.000992,0.014657,0.000800,0.001664,0.001152,0.000448,1.282310
0.395084,0.199046,0.596561,0.064354,0.863897,0.000800,0.014337,0.000384,0.001600,0.001184,0.000416,1.285350
0.396716,0.168133,0.605394,0.072610,0.850265,0.000768,0.014433,0.000416,0.001600,0.001152,0.000416,1.273478
0.396428,0.165285,0.597969,0.063361,0.830712,0.000800,0.014369,0.000416,0.001536,0.001088,0.000384,1.252965
0.394732,0.167077,0.587665,0.066498,0.825240,0.000768,0.014529,0.000384,0.001536,0.001120,0.000448,1.246533
0.394667,0.195494,0.603506,0.063202,0.866490,0.001120,0.014305,0.000416,0.001536,0.001056,0.000384,1.287206
0.394667,0.157701,0.586834,0.061441,0.809912,0.001057,0.014272,0.000416,0.001504,0.000992,0.000352,1.229092
0.395404,0.160517,0.585905,0.063586,0.814104,0.000704,0.014625,0.000416,0.001472,0.001152,0.000448,1.235269
0.413580,0.164069,0.596786,0.071938,0.836665,0.001088,0.014720,0.000416,0.001472,0.001185,0.000320,1.275238
0.394347,0.166117,0.597394,0.064450,0.831865,0.000704,0.014624,0.000417,0.001440,0.000960,0.000352,1.251653
0.394156,0.149252,0.614482,0.072322,0.840057,0.000736,0.014624,0.000416,0.001472,0.001056,0.000320,1.259173
0.394764,0.174053,0.595314,0.062657,0.835736,0.000800,0.014016,0.000384,0.001408,0.001024,0.000288,1.254309
0.394284,0.161093,0.585809,0.061858,0.812664,0.000960,0.014272,0.000416,0.001472,0.000928,0.000352,1.231044
0.394604,0.172741,0.619762,0.067106,0.863450,0.000672,0.014304,0.000384,0.001536,0.000928,0.000416,1.282694
0.394668,0.164517,0.587121,0.064162,0.819480,0.000672,0.014529,0.000416,0.001536,0.001024,0.000384,1.240133
0.396556,0.171813,0.597394,0.072642,0.845753,0.000704,0.014625,0.000416,0.001536,0.000992,0.000384,1.268966
0.406732,0.158405,0.600402,0.064578,0.828569,0.000864,0.014912,0.000416,0.001472,0.001056,0.000417,1.261702
0.395691,0.165349,0.586450,0.066690,0.822393,0.000704,0.014400,0.000384,0.001440,0.001120,0.000448,1.243460
0.394603,0.165253,0.605746,0.108356,0.884731,0.000672,0.014368,0.000416,0.001472,0.001120,0.000384,1.305062
0.394892,0.166469,0.598418,0.062882,0.831993,0.000800,0.014656,0.000384,0.001440,0.001152,0.000384,1.253253
0.395435,0.164069,0.587730,0.062978,0.818521,0.000704,0.014368,0.000608,0.001440,0.000992,0.000352,1.238276
0.396140,0.501327,0.606770,0.065378,1.178723,0.001216,0.015585,0.000608,0.001568,0.001088,0.000416,1.601616
0.394827,0.163236,0.587538,0.063906,0.818520,0.000704,0.014336,0.000480,0.001600,0.001088,0.000480,1.238628
0.394539,0.144741,0.602321,0.077155,0.828377,0.000736,0.014464,0.000416,0.001536,0.001216,0.000320,1.247876
0.394764,0.150436,0.585330,0.067714,0.807288,0.000832,0.014784,0.000416,0.001536,0.001120,0.000384,1.228356
0.394795,0.165477,0.585938,0.062530,0.817753,0.001024,0.014272,0.000448,0.001504,0.001056,0.000416,1.238724
0.395915,0.169733,0.606450,0.077506,0.857913,0.000800,0.015201,0.000448,0.001568,0.001248,0.000384,1.281062
0.394540,0.163269,0.587633,0.066562,0.821240,0.000736,0.014657,0.000416,0.001408,0.001216,0.000448,1.240997
0.394667,0.163780,0.586002,0.068610,0.822232,0.000704,0.014336,0.000416,0.001504,0.001152,0.000385,1.241605
0.415660,0.168453,0.596690,0.074146,0.844601,0.000736,0.014913,0.000416,0.001504,0.001056,0.000352,1.286598
0.395980,0.149508,0.586610,0.070754,0.810968,0.000768,0.014720,0.000416,0.001440,0.001088,0.000384,1.231940
0.394412,0.158437,0.603122,0.074626,0.840121,0.001152,0.014528,0.000416,0.001504,0.001024,0.000384,1.259750
0.395019,0.166277,0.588658,0.067874,0.826681,0.000800,0.014400,0.000416,0.001536,0.001056,0.000384,1.247141
0.395212,0.150725,0.587153,0.065730,0.807608,0.000672,0.014401,0.000448,0.001504,0.001088,0.000384,1.228197
0.394860,0.164421,0.605137,0.079874,0.854585,0.000800,0.014272,0.000448,0.001473,0.001024,0.000384,1.275430
0.395915,0.151141,0.584785,0.062786,0.803000,0.000768,0.014337,0.000416,0.001536,0.001088,0.000384,1.224932
0.395148,0.162629,0.595729,0.067394,0.829816,0.000768,0.014305,0.000448,0.001504,0.001248,0.000448,1.250725
0.412396,0.168133,0.597426,0.063554,0.833209,0.001152,0.015136,0.000416,0.001568,0.001120,0.000384,1.272486
0.394796,0.164037,0.587185,0.063106,0.818168,0.001056,0.014528,0.000416,0.001473,0.001056,0.000384,1.238693
0.394379,0.168357,0.614611,0.074722,0.861882,0.000768,0.014592,0.000416,0.001504,0.001184,0.000384,1.282790
0.394156,0.164484,0.587505,0.065538,0.821560,0.000832,0.014592,0.000416,0.001472,0.001025,0.000448,1.240933
0.396044,0.167557,0.589394,0.072002,0.833081,0.000800,0.015392,0.000384,0.001536,0.001249,0.000480,1.255910
0.395820,0.158597,0.619314,0.071682,0.854073,0.000800,0.014657,0.000384,0.001504,0.000960,0.000352,1.275238
0.395403,0.189126,0.588945,0.064738,0.847097,0.000864,0.014561,0.000384,0.001440,0.001248,0.000480,1.267973
0.397452,0.155173,0.586673,0.069730,0.815736,0.000864,0.014400,0.000640,0.001504,0.001248,0.000384,1.238629
0.412428,0.199014,0.602514,0.067106,0.873114,0.001152,0.014560,0.000384,0.001472,0.001216,0.000416,1.312358
0.395563,0.166469,0.588626,0.065922,0.825465,0.000800,0.014688,0.000384,0.001504,0.001568,0.000384,1.247301
0.395596,0.165829,0.606610,0.078050,0.855161,0.000800,0.014881,0.000480,0.001472,0.001120,0.000416,1.276102
0.395980,0.150212,0.587282,0.063938,0.805272,0.001088,0.014432,0.000384,0.001504,0.001184,0.000480,1.226564
0.394924,0.168453,0.587698,0.072322,0.832953,0.000800,0.014592,0.000384,0.001568,0.001216,0.000384,1.253734
0.394764,0.172005,0.598802,0.065538,0.840569,0.001184,0.014976,0.000384,0.001440,0.001184,0.000416,1.262501
0.394956,0.164901,0.589458,0.064098,0.822521,0.001120,0.014656,0.000448,0.001536,0.001120,0.000448,1.243749
0.395052,0.166789,0.588498,0.064961,0.824697,0.001088,0.014880,0.000416,0.001440,0.001088,0.000480,1.245605
0.394988,0.167781,0.598545,0.074371,0.845273,0.000800,0.014560,0.000384,0.001408,0.001120,0.000416,1.266245
0.394572,0.175141,0.593137,0.067234,0.839961,0.000832,0.014497,0.000384,0.001504,0.001184,0.000384,1.261862
0.395404,0.163077,0.614674,0.075074,0.857945,0.000960,0.014721,0.000608,0.001536,0.000992,0.000416,1.278918
0.394956,0.160741,0.611666,0.065442,0.842297,0.001088,0.014977,0.000608,0.001504,0.001120,0.000416,1.263718
0.394667,0.165477,0.587026,0.070338,0.826745,0.000704,0.014688,0.000576,0.001376,0.001120,0.000416,1.246404
0.412845,0.157828,0.596242,0.063810,0.821880,0.001056,0.014881,0.000384,0.001472,0.001120,0.000416,1.260326
0.394828,0.169925,0.588273,0.067522,0.829752,0.001024,0.014721,0.000384,0.001440,0.001120,0.000384,1.250597
0.394508,0.168069,0.590001,0.065090,0.827224,0.001024,0.014561,0.000384,0.001536,0.001152,0.000384,1.248197
0.394572,0.162181,0.586513,0.072994,0.825817,0.000800,0.014560,0.000544,0.001376,0.001056,0.000384,1.245157
0.394764,0.166597,0.588913,0.068194,0.827576,0.000800,0.014241,0.000576,0.001472,0.001088,0.000448,1.247013
0.394635,0.185701,0.606802,0.076450,0.873530,0.001120,0.014817,0.000448,0.001504,0.001088,0.000384,1.294566
0.396108,0.165285,0.589041,0.072738,0.831320,0.000736,0.015136,0.000416,0.001536,0.000992,0.000416,1.254789
