TEE[0-8],Layer[9],Layer[10],classifier
1.765236,0.001248,0.000384,1.771924
1.724914,0.001280,0.000384,1.732115
1.746164,0.001312,0.000352,1.753076
1.759188,0.001344,0.000384,1.766869
1.744436,0.001248,0.000384,1.751572
1.747796,0.001216,0.000384,1.754388
1.774933,0.001440,0.000416,1.782677
1.726675,0.001312,0.000416,1.734291
1.782229,0.001408,0.000448,1.790645
1.761908,0.001248,0.000320,1.769268
1.741395,0.001280,0.000384,1.748244
1.739667,0.001344,0.000448,1.747412
1.783158,0.001280,0.000416,1.790230
1.728210,0.001248,0.000384,1.734898
1.769525,0.001376,0.000384,1.776437
1.763732,0.001217,0.000352,1.770357
1.778677,0.001408,0.000384,1.786165
1.752947,0.001281,0.000352,1.760052
1.762580,0.001184,0.000384,1.770037
1.750708,0.001408,0.000448,1.759444
1.760372,0.001440,0.000448,1.768148
1.723378,0.001280,0.000416,1.730194
1.769461,0.001376,0.000480,1.777397
1.750196,0.001248,0.000416,1.757076
1.739923,0.001280,0.000416,1.747059
1.751156,0.001312,0.000384,1.758132
1.791861,0.001312,0.000448,1.798229
1.739955,0.001216,0.000448,1.746772
1.784886,0.001280,0.000448,1.792662
1.766965,0.001664,0.000320,1.774805
1.735219,0.001440,0.000449,1.743124
1.749459,0.001312,0.000416,1.756659
1.784469,0.001312,0.000416,1.791798
1.731314,0.001344,0.000384,1.738867
1.782293,0.001248,0.000384,1.788630
1.761844,0.001376,0.000384,1.767956
1.787093,0.001409,0.000352,1.794998
1.739603,0.001280,0.000384,1.745876
1.743443,0.001248,0.000416,1.750131
1.753460,0.001312,0.000416,1.760276
1.777685,0.001473,0.000416,1.785334
1.725746,0.001344,0.000416,1.733298
1.767029,0.001472,0.000416,1.773621
1.754196,0.001248,0.000416,1.761204
1.775029,0.001120,0.000416,1.781525
1.733267,0.001216,0.000384,1.740179
1.774613,0.001568,0.000416,1.782709
1.759220,0.001344,0.000576,1.767253
1.758996,0.001376,0.000480,1.767284
1.740947,0.001376,0.000352,1.748755
1.725746,0.001280,0.000384,1.733107
1.726930,0.001440,0.000480,1.734931
1.728050,0.001376,0.000416,1.735987
1.761428,0.001376,0.000416,1.768148
1.778037,0.001376,0.000416,1.785973
1.719250,0.001184,0.000416,1.726194
1.798806,0.001441,0.000448,1.806839
1.767316,0.001248,0.000384,1.774709
1.755860,0.001248,0.000384,1.763124
1.762772,0.001280,0.000384,1.769876
1.732883,0.001472,0.000384,1.740883
1.764052,0.001408,0.000416,1.771860
1.740211,0.001280,0.000416,1.747060
1.757204,0.001344,0.000352,1.764628
1.790357,0.001504,0.000576,1.798102
1.748819,0.001216,0.000384,1.755764
1.746644,0.001312,0.000416,1.752884
1.764340,0.001440,0.000416,1.771957
1.761972,0.001344,0.000448,1.769268
1.753268,0.001376,0.000384,1.760404
1.789077,0.001408,0.000416,1.797301
1.756692,0.001280,0.000320,1.764244
1.718034,0.001408,0.000448,1.725523
1.753140,0.001344,0.000384,1.760148
1.775733,0.001376,0.000448,1.783861
1.753395,0.001217,0.000384,1.760244
1.806230,0.002464,0.000576,1.817111
1.780821,0.001408,0.000704,1.789653
1.779445,0.001472,0.000416,1.787061
1.767060,0.001152,0.000416,1.773012
1.789013,0.001344,0.000384,1.795701
1.721682,0.001345,0.000416,1.729043
1.794006,0.001472,0.000416,1.802198
1.752788,0.001248,0.000416,1.759860
1.751219,0.001152,0.000384,1.757747
1.752499,0.001216,0.000384,1.759508
1.792246,0.001248,0.000416,1.799414
1.773653,0.001120,0.000288,1.780661
1.738195,0.001280,0.000384,1.745299
1.761268,0.001345,0.000416,1.768821
1.778069,0.001344,0.000416,1.785525
1.756116,0.001248,0.000448,1.763220
1.775636,0.001216,0.000384,1.782261
1.725618,0.001184,0.000416,1.732306
1.781812,0.001184,0.000384,1.788341
1.749683,0.001216,0.000385,1.756404
1.753908,0.001312,0.000288,1.760532
1.749044,0.001216,0.000448,1.756052
1.773652,0.001280,0.000416,1.780661
1.731410,0.001344,0.000448,1.739219
1.765556,0.001280,0.000352,1.772980
1.766036,0.001152,0.000416,1.772020
1.752916,0.001216,0.000416,1.759444
1.748052,0.001408,0.000352,1.756084
1.760788,0.001280,0.000416,1.768244
1.757524,0.001216,0.000416,1.765012
1.792789,0.001089,0.000320,1.799350
1.760340,0.001344,0.000416,1.767028
1.774708,0.001408,0.000416,1.782133
1.752884,0.001120,0.000384,1.759252
1.729682,0.001152,0.000480,1.736434
1.726002,0.001216,0.000416,1.733010
1.739378,0.001121,0.000416,1.745716
1.703057,0.001344,0.000416,1.709682
1.743827,0.001409,0.000352,1.751252
1.714866,0.001248,0.000288,1.721330
1.741651,0.001409,0.000384,1.748404
1.736338,0.001344,0.000320,1.743731
1.751475,0.001376,0.000384,1.758323
1.741043,0.001376,0.000416,1.748307
1.773300,0.001376,0.000352,1.780884
1.730035,0.001408,0.000288,1.737107
1.746611,0.001280,0.000384,1.752787
1.725042,0.001216,0.000416,1.731890
1.753716,0.001248,0.000416,1.761300
1.749075,0.001344,0.000448,1.756115
1.761172,0.001792,0.000416,1.770484
1.771668,0.001568,0.000384,1.780116
1.762900,0.001376,0.000416,1.770709
1.762100,0.001312,0.000416,1.769620
1.776180,0.001409,0.000384,1.783541
1.769204,0.001312,0.000384,1.776500
1.785653,0.001248,0.000384,1.792149
1.753780,0.001216,0.000416,1.760724
1.785173,0.001440,0.000448,1.792278
1.748947,0.001248,0.000480,1.755540
1.777493,0.001376,0.000416,1.784405
1.762036,0.001120,0.000416,1.768692
1.780052,0.001248,0.000384,1.786997
1.749940,0.001184,0.000416,1.757076
1.788277,0.001248,0.000448,1.795061
1.722258,0.001216,0.000384,1.728786
1.749492,0.001312,0.000352,1.756788
1.751027,0.001152,0.000416,1.757651
1.763156,0.001408,0.000544,1.770644
1.729522,0.001216,0.000480,1.736786
1.781364,0.001280,0.000416,1.788757
1.750324,0.001376,0.000416,1.757972
1.742611,0.001504,0.000384,1.750323
1.726162,0.001280,0.000416,1.733267
1.770356,0.001345,0.000384,1.776917
1.723858,0.001248,0.000416,1.730834
1.766964,0.001440,0.000416,1.774004
1.747507,0.001280,0.000384,1.754067
1.757107,0.001184,0.000352,1.763635
1.729490,0.001440,0.000384,1.737266
1.776116,0.001664,0.000704,1.784948
1.745971,0.001344,0.000416,1.753235
1.771892,0.001408,0.000480,1.779124
1.759060,0.001280,0.000384,1.766036
1.712849,0.001344,0.000352,1.719826
1.750771,0.001376,0.000384,1.758228
1.739059,0.001408,0.000448,1.745907
1.734259,0.001248,0.000384,1.741683
1.783989,0.001312,0.000480,1.792277
1.718546,0.001312,0.000608,1.726482
1.782773,0.001408,0.000384,1.790613
1.747475,0.001280,0.000641,1.754772
1.763220,0.001376,0.000384,1.771476
1.763188,0.001312,0.000416,1.771412
1.739955,0.001376,0.000416,1.747891
1.755732,0.001216,0.000416,1.762740
1.778484,0.001377,0.000416,1.786325
1.758964,0.001184,0.000384,1.765972
1.788597,0.001312,0.000448,1.796469
1.743635,0.001440,0.000416,1.751763
1.785333,0.001280,0.000385,1.794102
1.754900,0.001248,0.000416,1.761812
1.787701,0.001312,0.000416,1.795957
1.762003,0.001344,0.000384,1.770164
1.752051,0.001440,0.000448,1.760627
1.765684,0.001216,0.000512,1.772949
1.775700,0.001408,0.000448,1.783605
1.758035,0.001248,0.000384,1.765140
1.761235,0.001216,0.000384,1.768468
1.794549,0.001441,0.000384,1.802550
1.776981,0.001408,0.000416,1.784149
1.746515,0.001280,0.000416,1.753203
1.769364,0.001312,0.000384,1.777460
1.764308,0.001248,0.000384,1.771316
1.775348,0.001376,0.000384,1.783412
1.746835,0.001152,0.000416,1.753235
1.761492,0.001120,0.000384,1.767732
1.743954,0.001248,0.000384,1.751795
1.757556,0.001280,0.000384,1.765364
1.760532,0.001504,0.000416,1.768116
1.769556,0.001216,0.000640,1.777589
1.749043,0.001184,0.000384,1.755763
1.745235,0.001312,0.000480,1.752883
1.746675,0.001184,0.000416,1.754196
1.777012,0.001344,0.000640,1.785300
1.740338,0.001216,0.000576,1.747443
1.739219,0.001440,0.000448,1.747731
1.718802,0.001280,0.000608,1.726194
1.770676,0.001376,0.000384,1.779444
1.757075,0.001216,0.000416,1.764627
1.769172,0.001184,0.000416,1.775892
1.722865,0.001280,0.000640,1.730226
1.763380,0.001344,0.000416,1.772245
1.757652,0.001184,0.000384,1.764756
1.743987,0.001216,0.000384,1.751347
1.742771,0.001184,0.000352,1.749043
1.770868,0.001376,0.000608,1.778868
1.765780,0.001216,0.000704,1.772628
1.744915,0.001344,0.000640,1.753587
1.747379,0.001536,0.000352,1.755316
1.776468,0.001408,0.000640,1.784852
1.753971,0.001280,0.000384,1.760596
1.782261,0.001248,0.000384,1.789013
1.708177,0.001312,0.000416,1.715185
1.783828,0.001664,0.000352,1.791989
1.751763,0.001120,0.000416,1.758707
1.767988,0.001281,0.000384,1.775733
1.730322,0.001312,0.000352,1.737938
1.772884,0.001408,0.000416,1.781780
1.748211,0.001248,0.000384,1.755027
1.777268,0.001344,0.000384,1.785589
1.748979,0.001152,0.000288,1.755987
1.751603,0.001216,0.000384,1.759220
1.725938,0.001249,0.000384,1.733491
1.751667,0.001216,0.000384,1.758228
1.724370,0.001312,0.000384,1.730194
1.771604,0.001216,0.000416,1.778484
1.749363,0.001088,0.000384,1.755699
1.780180,0.001536,0.000448,1.789109
1.716401,0.001248,0.000416,1.724530
1.754804,0.001376,0.000416,1.762804
1.750259,0.001184,0.000352,1.757139
1.801269,0.001344,0.000416,1.807925
1.743442,0.001184,0.000352,1.749810
1.762068,0.001376,0.000416,1.769492
1.725842,0.001120,0.000384,1.732562
1.757619,0.001280,0.000480,1.764948
1.742482,0.001088,0.000384,1.749043
1.782357,0.001568,0.000448,1.791125
1.753651,0.001344,0.000416,1.761491
1.788308,0.001216,0.000384,1.794517
1.747891,0.001248,0.000416,1.754451
1.788693,0.001408,0.000448,1.796725
1.742195,0.001280,0.000384,1.748563
1.791285,0.001376,0.000384,1.798165
1.761172,0.001216,0.000352,1.767636
1.790132,0.001216,0.000416,1.796661
1.758579,0.001184,0.000416,1.766003
1.769012,0.001472,0.000352,1.777012
1.718514,0.001088,0.000416,1.725938
1.754899,0.001376,0.000448,1.763124
1.758547,0.001409,0.000384,1.766324
1.762420,0.001376,0.000416,1.770100
1.745715,0.001376,0.000384,1.753171
1.759956,0.001248,0.000384,1.766516
1.733650,0.001344,0.000352,1.740818
1.771796,0.001376,0.000288,1.778484
1.756851,0.001280,0.000416,1.764244
1.781301,0.002528,0.000480,1.790357
1.731890,0.001472,0.000416,1.739538
1.787637,0.001344,0.000384,1.794709
1.733778,0.001312,0.000609,1.741715
1.759092,0.001376,0.000768,1.766708
1.760532,0.001248,0.000512,1.768180
1.775412,0.001152,0.000416,1.782164
1.771412,0.001504,0.000384,1.778836
1.782261,0.001312,0.000416,1.789237
1.732914,0.001376,0.000352,1.740403
1.769268,0.001216,0.000416,1.776628
1.730450,0.001184,0.000352,1.737586
1.771444,0.001504,0.000416,1.779668
1.734898,0.001472,0.000320,1.742451
1.725553,0.001793,0.000640,1.734162
1.752051,0.001280,0.000608,1.759699
1.758643,0.001248,0.000416,1.765843
1.723729,0.001344,0.000384,1.731314
1.786260,0.001441,0.000384,1.793781
1.770228,0.001473,0.000448,1.778485
1.782804,0.001536,0.000448,1.791092
1.742611,0.001536,0.000384,1.750163
1.734194,0.001216,0.000384,1.741202
1.762739,0.001216,0.000416,1.770131
1.780821,0.001344,0.000384,1.788085
1.730290,0.001312,0.000416,1.737010
1.772340,0.001312,0.000384,1.779732
1.743474,0.001152,0.000416,1.749938
1.763283,0.001217,0.000416,1.769908
1.753331,0.001280,0.000416,1.760531
1.793588,0.001248,0.000384,1.801205
1.735122,0.001216,0.000416,1.742067
1.786325,0.001248,0.000416,1.793717
1.763796,0.001184,0.000384,1.770708
1.763732,0.001376,0.000384,1.771412
1.747859,0.001216,0.000416,1.754771
1.747282,0.001344,0.000416,1.754899
1.762259,0.001248,0.000416,1.768851
1.789812,0.001408,0.000480,1.797557
1.766643,0.002177,0.000800,1.777140
1.785364,0.001376,0.000576,1.793173
1.768244,0.001600,0.000384,1.776020
1.759668,0.001696,0.000416,1.767988
1.750034,0.001280,0.000416,1.757107
1.788116,0.001408,0.000480,1.796181
1.755123,0.001216,0.000384,1.762067
1.745394,0.001280,0.000544,1.753714
1.755411,0.001312,0.000416,1.763859
1.747603,0.001472,0.000384,1.755699
1.754355,0.001312,0.000609,1.761716
1.763411,0.001184,0.000385,1.770548
1.725681,0.001408,0.000384,1.732914
1.792628,0.001248,0.000576,1.800149
1.722321,0.001312,0.000416,1.728465
1.744626,0.001344,0.000608,1.752723
1.740978,0.001345,0.000416,1.747219
1.777396,0.001504,0.000449,1.785109
