Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.397516,0.017569,0.191685,0.004928,0.109508,0.108867,0.064674,0.286441,0.902683
0.396491,0.017408,0.192550,0.004864,0.109187,0.103971,0.064226,0.281352,0.897946
0.395884,0.017633,0.191685,0.004865,0.129859,0.100387,0.062178,0.296488,0.911131
0.397036,0.017441,0.192453,0.004864,0.137028,0.101955,0.063553,0.305737,0.922075
0.396620,0.017377,0.192101,0.004833,0.106435,0.101443,0.065026,0.276296,0.891675
0.396300,0.017345,0.192261,0.004897,0.106307,0.103331,0.064674,0.277352,0.893083
0.431789,0.017665,0.191621,0.004864,0.112100,0.103555,0.065602,0.284649,0.935452
0.396940,0.017408,0.191750,0.004960,0.107651,0.101731,0.069858,0.282792,0.900218
0.395980,0.017825,0.191653,0.005057,0.109283,0.102563,0.063138,0.278088,0.894395
0.396011,0.017377,0.191686,0.004864,0.128100,0.102179,0.062786,0.296681,0.911291
0.396012,0.017665,0.192005,0.004832,0.107076,0.104835,0.063010,0.278441,0.893883
0.397356,0.017633,0.192581,0.004928,0.110628,0.097347,0.061025,0.272200,0.890362
0.396491,0.017441,0.192838,0.004864,0.111459,0.103203,0.063650,0.281928,0.898170
0.413708,0.017441,0.191557,0.004801,0.109219,0.109251,0.064610,0.286120,0.918523
0.396588,0.017408,0.192645,0.004896,0.107780,0.102851,0.064290,0.278441,0.894651
0.397004,0.017441,0.191781,0.004800,0.126308,0.117508,0.065218,0.312714,0.928252
0.396843,0.017665,0.191910,0.004864,0.158788,0.126980,0.065858,0.355754,0.971676
0.396044,0.017569,0.192293,0.004833,0.106755,0.101827,0.063394,0.275432,0.891611
0.397483,0.017600,0.191974,0.004832,0.116931,0.110276,0.068674,0.299721,0.917275
0.396844,0.017472,0.192902,0.004864,0.114563,0.101763,0.064130,0.283976,0.900730
0.417516,0.017728,0.192070,0.005248,0.106691,0.112259,0.068898,0.291593,0.929467
0.397803,0.017697,0.193222,0.004992,0.118723,0.106212,0.067906,0.296617,0.917563
0.399180,0.017601,0.192037,0.004832,0.118116,0.108707,0.064994,0.295753,0.913947
0.396011,0.017408,0.217318,0.005216,0.116963,0.101539,0.062530,0.284584,0.926107
0.395916,0.017569,0.191653,0.004768,0.117700,0.107619,0.069794,0.298825,0.913083
0.396043,0.017505,0.191494,0.004800,0.113731,0.101283,0.064834,0.283528,0.897978
0.396235,0.017345,0.191686,0.004832,0.117475,0.106531,0.065218,0.292936,0.907706
0.396396,0.017568,0.192006,0.004864,0.114660,0.102115,0.064130,0.284425,0.900219
0.398988,0.017824,0.191878,0.004800,0.121732,0.108835,0.066178,0.300681,0.919803
0.396076,0.017600,0.191974,0.004896,0.118532,0.107971,0.065442,0.295369,0.910523
0.396427,0.017664,0.207558,0.005184,0.113700,0.110371,0.069346,0.297321,0.930363
0.397484,0.017408,0.192134,0.004800,0.116740,0.108547,0.066210,0.295241,0.912411
0.397100,0.017633,0.191781,0.004832,0.119076,0.106275,0.065762,0.295049,0.910907
0.398060,0.017313,0.191493,0.004801,0.113539,0.107267,0.068418,0.292744,0.908955
0.396684,0.017408,0.191814,0.004800,0.117700,0.106947,0.068194,0.296521,0.911835
0.397772,0.017377,0.191621,0.004833,0.120195,0.104099,0.068098,0.295624,0.912155
0.396908,0.017441,0.192133,0.004801,0.115395,0.111107,0.063362,0.293544,0.909371
0.422604,0.017473,0.191845,0.004832,0.117188,0.102723,0.063554,0.286889,0.928859
0.396588,0.017793,0.191493,0.005089,0.120931,0.107811,0.064834,0.296968,0.913403
0.396587,0.017569,0.191654,0.004800,0.112579,0.100579,0.063682,0.280136,0.895578
0.397228,0.017889,0.192805,0.004896,0.116708,0.109827,0.087683,0.318090,0.936956
0.396812,0.017472,0.192134,0.004864,0.110787,0.103844,0.065890,0.284745,0.901147
0.396300,0.017377,0.192005,0.004800,0.111684,0.102147,0.064770,0.282185,0.897339
0.397164,0.017601,0.191557,0.004961,0.115267,0.100867,0.066018,0.285576,0.901595
0.412781,0.017504,0.191622,0.004864,0.116131,0.105860,0.069378,0.294729,0.925948
0.395660,0.017600,0.191846,0.005184,0.118628,0.110307,0.068418,0.301161,0.917083
0.396364,0.017376,0.191974,0.004832,0.114404,0.109731,0.064962,0.292873,0.908123
0.396076,0.017408,0.191718,0.004832,0.117444,0.117123,0.072770,0.311081,0.925915
0.396267,0.017409,0.191686,0.004832,0.121635,0.105924,0.065186,0.296233,0.911643
