IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.193634,1.004712,0.082784,1.287338,0.018017,0.204289,0.005312,0.049057,0.000832,0.013600,0.000384,0.001728,0.001280,0.000352,1.587565
0.156065,1.002088,0.098081,1.262634,0.017728,0.204130,0.005312,0.048448,0.000832,0.013984,0.000352,0.001376,0.001088,0.000384,1.561484
0.153473,1.000776,0.081217,1.240778,0.017600,0.204578,0.005344,0.048768,0.000864,0.013792,0.000384,0.001376,0.001152,0.000352,1.539916
0.151105,1.000328,0.081377,1.238410,0.017664,0.203266,0.005344,0.049056,0.000864,0.013568,0.000352,0.001728,0.000992,0.000352,1.536492
0.172225,0.999880,0.083009,1.261834,0.017888,0.204098,0.005120,0.049216,0.000832,0.013856,0.000352,0.001472,0.001376,0.000320,1.561772
0.180482,1.003080,0.081760,1.272010,0.017888,0.203970,0.005312,0.048992,0.000832,0.013856,0.000384,0.001440,0.001344,0.000832,1.571917
0.153058,1.022664,0.085248,1.268394,0.020385,0.204673,0.005312,0.048865,0.000832,0.013920,0.000352,0.001504,0.001408,0.000352,1.571309
0.175041,1.003528,0.080769,1.266378,0.017856,0.204833,0.005344,0.048609,0.000864,0.014272,0.000416,0.001472,0.001152,0.000384,1.566700
0.145601,1.018056,0.085505,1.256170,0.022464,0.203874,0.005280,0.048832,0.000864,0.014208,0.000352,0.001408,0.001088,0.000384,1.560140
0.189985,1.001320,0.084033,1.281578,0.017984,0.203138,0.005280,0.049216,0.000864,0.014208,0.000352,0.001536,0.001184,0.000384,1.581036
0.140961,1.020808,0.084865,1.254186,0.020704,0.204002,0.005312,0.048512,0.000832,0.014049,0.000320,0.001504,0.001056,0.000384,1.556557
0.150562,1.000424,0.081088,1.238122,0.022528,0.203938,0.005184,0.049056,0.000864,0.014113,0.000384,0.001504,0.001312,0.000384,1.542797
0.190498,0.999528,0.088032,1.283690,0.017888,0.223778,0.005216,0.048513,0.000832,0.013888,0.000320,0.001440,0.000992,0.000576,1.603117
0.187489,1.000008,0.088929,1.283082,0.017824,0.203330,0.005152,0.048224,0.000832,0.013920,0.000352,0.001440,0.001120,0.000352,1.580780
0.159873,1.002696,0.081985,1.250986,0.021920,0.204673,0.005568,0.048896,0.001056,0.013792,0.000352,0.001440,0.001248,0.000416,1.555532
0.151073,0.999144,0.080896,1.237545,0.017824,0.205026,0.005280,0.048961,0.000896,0.014080,0.000352,0.001664,0.001088,0.000576,1.538444
0.159649,1.001544,0.081473,1.248938,0.017760,0.205442,0.005344,0.049184,0.000864,0.013920,0.000384,0.001344,0.000928,0.000640,1.549868
0.186689,1.018376,0.091425,1.303914,0.018144,0.203682,0.005824,0.048352,0.000864,0.014208,0.000384,0.001472,0.001120,0.000352,1.603372
0.154562,1.003496,0.091488,1.257034,0.017921,0.205249,0.005120,0.048801,0.000800,0.013856,0.000384,0.001408,0.001344,0.000384,1.557197
0.155681,1.018696,0.085601,1.266026,0.025792,0.204322,0.005376,0.048800,0.000864,0.013664,0.000352,0.001440,0.001248,0.000352,1.573484
0.146465,0.999848,0.080257,1.233930,0.018112,0.204001,0.005408,0.048192,0.000832,0.014176,0.000352,0.001472,0.001376,0.000384,1.533580
0.170561,1.021097,0.085600,1.284714,0.027392,0.203650,0.005216,0.049216,0.000832,0.014048,0.000384,0.001472,0.001408,0.000352,1.594157
0.150849,1.000680,0.082240,1.240617,0.017760,0.204098,0.005120,0.048161,0.000832,0.013696,0.000352,0.001440,0.001472,0.000416,1.539084
0.137761,0.998792,0.079936,1.221801,0.018752,0.223906,0.005280,0.048577,0.000832,0.013792,0.000416,0.001440,0.000960,0.000384,1.541932
0.156417,1.001192,0.082304,1.247498,0.017984,0.207425,0.005632,0.048321,0.000832,0.014560,0.000352,0.001600,0.001536,0.000352,1.551468
0.154273,1.002376,0.082945,1.245226,0.017632,0.205537,0.005152,0.048801,0.000864,0.013696,0.000352,0.001408,0.001408,0.000416,1.545708
0.191874,1.013160,0.088001,1.301515,0.017888,0.205249,0.005568,0.048833,0.000832,0.014240,0.000352,0.001472,0.001184,0.000384,1.602637
0.154817,1.001544,0.082945,1.246378,0.018016,0.204834,0.005312,0.048960,0.000832,0.014272,0.000352,0.001440,0.001408,0.000576,1.547564
0.144193,1.014376,0.091968,1.257962,0.017888,0.203810,0.005344,0.048608,0.000832,0.013569,0.000384,0.001472,0.001472,0.000352,1.556845
0.158337,1.000648,0.081888,1.245833,0.017824,0.205794,0.005344,0.048833,0.000896,0.014240,0.000320,0.001760,0.000992,0.000576,1.547532
0.188513,1.016712,0.081217,1.292746,0.017856,0.203874,0.005088,0.048864,0.000832,0.013728,0.000352,0.001376,0.001440,0.000384,1.591692
0.157217,0.999592,0.087776,1.250217,0.017921,0.203553,0.005152,0.048929,0.000832,0.013632,0.000384,0.001408,0.001408,0.000384,1.548780
0.152834,1.017352,0.093792,1.272202,0.020129,0.203809,0.005280,0.049121,0.000832,0.013856,0.000352,0.001632,0.001184,0.000352,1.574221
0.155394,1.003976,0.083328,1.250122,0.017984,0.205634,0.005088,0.048128,0.000864,0.014241,0.000384,0.001568,0.001440,0.000384,1.551309
0.163650,1.000999,0.079969,1.250954,0.017760,0.221890,0.005408,0.049088,0.000864,0.013825,0.000352,0.001696,0.001152,0.000352,1.569037
0.144769,1.000680,0.086241,1.237578,0.022624,0.204546,0.005280,0.048544,0.000832,0.014272,0.000384,0.001536,0.001152,0.000352,1.542220
0.137057,0.998216,0.088161,1.229866,0.027520,0.203649,0.005344,0.049313,0.000864,0.013952,0.000320,0.001664,0.001120,0.000384,1.539116
0.191617,1.002216,0.080641,1.282154,0.022464,0.205762,0.005312,0.048736,0.001120,0.014272,0.000352,0.001728,0.001984,0.000864,1.590156
0.165794,1.001959,0.082593,1.258954,0.018240,0.204898,0.005888,0.048768,0.000896,0.013856,0.000352,0.001696,0.001665,0.000576,1.561581
