Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.394156,0.017536,0.191366,0.004832,0.047266,0.000832,0.013568,0.000352,0.103363,0.037153,0.058562,0.203430,0.000576,0.880442
0.395212,0.020865,0.191621,0.004929,0.047233,0.000576,0.013440,0.000416,0.131108,0.039970,0.057569,0.233607,0.000576,0.915323
0.410764,0.017441,0.191749,0.004960,0.047170,0.000608,0.013600,0.000416,0.099235,0.034753,0.060642,0.197958,0.000608,0.891770
0.394540,0.017281,0.191205,0.004897,0.047137,0.000576,0.013504,0.000384,0.098819,0.039010,0.056609,0.197766,0.000608,0.874106
0.394508,0.017601,0.191397,0.004832,0.047330,0.000640,0.013376,0.000384,0.106883,0.036226,0.055393,0.203078,0.000544,0.880058
0.394412,0.017345,0.191173,0.004864,0.047074,0.000576,0.013376,0.000352,0.095651,0.034017,0.061506,0.194502,0.000512,0.870874
0.394603,0.017569,0.191718,0.004832,0.047297,0.000512,0.013505,0.000352,0.099235,0.038529,0.056097,0.197061,0.000544,0.874073
0.394731,0.017536,0.191302,0.004864,0.047393,0.000512,0.013377,0.000384,0.103363,0.039553,0.057186,0.203750,0.000640,0.880794
0.395788,0.017312,0.191334,0.004864,0.047074,0.000608,0.013504,0.000352,0.097443,0.036961,0.055746,0.193734,0.000608,0.871226
0.396364,0.017633,0.207910,0.004928,0.047329,0.000609,0.013600,0.000416,0.112419,0.048834,0.061826,0.226215,0.000672,0.923708
0.395147,0.017312,0.191942,0.004832,0.049025,0.000576,0.013505,0.000384,0.107171,0.038689,0.061442,0.210822,0.000704,0.890458
0.395628,0.017376,0.192102,0.004992,0.049346,0.000544,0.013600,0.000384,0.103395,0.034625,0.056002,0.197990,0.000640,0.879770
0.394987,0.017505,0.192038,0.004864,0.049185,0.000544,0.013473,0.000416,0.107107,0.035425,0.058114,0.204006,0.000608,0.884282
0.395019,0.017345,0.192101,0.004833,0.048097,0.000640,0.013408,0.000320,0.101507,0.034017,0.059521,0.198086,0.000640,0.877274
0.395019,0.017569,0.191814,0.004960,0.048065,0.000576,0.013505,0.000384,0.092610,0.041602,0.055873,0.193381,0.000608,0.871993
0.394220,0.017601,0.192069,0.004864,0.048450,0.000576,0.013440,0.000384,0.105091,0.040193,0.056417,0.204870,0.000672,0.883738
0.393996,0.017120,0.191686,0.004896,0.047937,0.000608,0.013473,0.000416,0.110531,0.036705,0.055298,0.205894,0.000640,0.882458
0.395404,0.017440,0.191878,0.004864,0.048162,0.000576,0.013408,0.000352,0.103811,0.041345,0.056609,0.205094,0.000544,0.883930
0.394123,0.017601,0.191589,0.004833,0.047585,0.000608,0.013440,0.000417,0.089186,0.037441,0.054690,0.184357,0.000576,0.860857
0.395851,0.017377,0.191846,0.004832,0.048097,0.000608,0.013473,0.000384,0.111619,0.048450,0.068194,0.231495,0.000608,0.912091
0.423276,0.017600,0.191590,0.004832,0.048705,0.000640,0.013505,0.000384,0.100003,0.038849,0.056322,0.198598,0.000576,0.906459
0.395180,0.017377,0.191653,0.004928,0.048098,0.000640,0.014272,0.000384,0.099107,0.040577,0.058562,0.201606,0.000512,0.881050
0.394828,0.017312,0.191622,0.005120,0.049090,0.000608,0.013568,0.000352,0.105155,0.042689,0.059042,0.209990,0.000576,0.889594
0.396076,0.017408,0.191718,0.004896,0.047585,0.000609,0.013568,0.000448,0.106019,0.037473,0.083267,0.230599,0.000672,0.911131
0.395212,0.017505,0.191301,0.004832,0.047138,0.000640,0.013632,0.000384,0.104227,0.037858,0.058977,0.204038,0.000608,0.881946
0.395916,0.017536,0.191237,0.004864,0.047618,0.000640,0.013728,0.000352,0.108067,0.044450,0.059426,0.214951,0.000672,0.893979
0.394700,0.017280,0.191142,0.004896,0.048258,0.000608,0.013504,0.000416,0.104259,0.039713,0.059042,0.206214,0.000544,0.884026
0.413452,0.017761,0.191397,0.004865,0.050017,0.000576,0.013600,0.000416,0.108259,0.037633,0.059362,0.208614,0.000672,0.908123
0.395052,0.017409,0.191045,0.005056,0.050306,0.000800,0.013568,0.000352,0.105315,0.037346,0.057761,0.203494,0.000544,0.883962
0.395020,0.017536,0.191462,0.004832,0.049121,0.000608,0.013665,0.000384,0.111043,0.037697,0.060770,0.213158,0.000672,0.894266
0.395404,0.017600,0.191974,0.005088,0.048353,0.000576,0.013793,0.000416,0.107299,0.038049,0.066818,0.215462,0.000608,0.895546
0.395532,0.017568,0.191366,0.005056,0.048001,0.000768,0.013633,0.000384,0.106243,0.038465,0.059330,0.207238,0.000608,0.886810
0.396491,0.017377,0.190949,0.005376,0.048001,0.000576,0.013601,0.000352,0.106595,0.045633,0.066274,0.221670,0.000576,0.901626
0.395180,0.017536,0.191302,0.005024,0.050017,0.000609,0.013568,0.000384,0.100995,0.038401,0.057442,0.200038,0.000544,0.881050
0.395052,0.017665,0.209606,0.005280,0.048065,0.000608,0.013633,0.000384,0.104515,0.038561,0.058882,0.204838,0.000640,0.902555
0.395755,0.017345,0.191334,0.004864,0.050561,0.000768,0.013569,0.000320,0.104931,0.038593,0.059074,0.205862,0.000608,0.887802
0.395179,0.017473,0.191846,0.004864,0.047873,0.000800,0.013569,0.000384,0.095971,0.036449,0.057697,0.193125,0.000640,0.872409
0.395500,0.017504,0.191398,0.004832,0.048226,0.000608,0.013632,0.000384,0.108355,0.034305,0.055650,0.201318,0.000608,0.880378
0.395532,0.017504,0.191462,0.004896,0.048098,0.000672,0.013536,0.000384,0.105411,0.048610,0.066498,0.223495,0.000576,0.902683
0.395308,0.017408,0.191494,0.004960,0.047137,0.000608,0.013664,0.000576,0.110883,0.045122,0.065378,0.225191,0.000704,0.904315
0.396299,0.017569,0.191494,0.004896,0.049217,0.000640,0.014081,0.000576,0.109315,0.034657,0.056834,0.204422,0.000832,0.886330
0.395339,0.017408,0.209094,0.005248,0.048354,0.000800,0.014400,0.000576,0.108804,0.038049,0.071202,0.221319,0.000640,0.920699
0.396716,0.017792,0.193126,0.004928,0.048290,0.000832,0.014560,0.000576,0.116228,0.041089,0.062562,0.223367,0.000800,0.909403
0.395276,0.017633,0.192069,0.004960,0.048481,0.000800,0.013984,0.000704,0.106084,0.035137,0.057185,0.201382,0.000608,0.882778
0.395116,0.017313,0.191589,0.004897,0.048449,0.000608,0.013888,0.000704,0.106788,0.041345,0.057634,0.208999,0.000672,0.889147
0.395276,0.017760,0.192070,0.005056,0.048994,0.000576,0.014112,0.000416,0.109187,0.038114,0.059873,0.210502,0.000640,0.892602
0.395756,0.017441,0.191749,0.004928,0.048802,0.000576,0.014112,0.000352,0.104387,0.037858,0.059521,0.205094,0.000640,0.885978
