Layer[0],TEE[1-10],classifier
0.419345,0.742206,1.240722
0.415792,0.698171,1.182543
0.415345,0.725469,1.213137
0.415793,0.704124,1.189776
0.415664,0.700892,1.189679
0.415984,0.721725,1.209232
0.416720,0.697755,1.184751
0.417456,0.713981,1.201711
0.432338,0.709372,1.213105
0.416305,0.711324,1.199536
0.415536,0.710493,1.193679
0.433361,0.716796,1.218865
0.415569,0.714397,1.200656
0.415409,0.699036,1.205968
0.415697,0.703708,1.191312
0.416560,0.702332,1.187311
0.415312,0.749214,1.241521
0.415985,0.698492,1.185200
0.416209,0.696412,1.178767
0.415793,0.718588,1.207856
0.415825,0.746301,1.232945
0.415696,0.737502,1.220944
0.428594,0.691163,1.185520
0.415760,0.689084,1.170958
0.415441,0.675579,1.162638
0.428945,0.678939,1.172495
0.417105,0.697596,1.189807
0.415921,0.674267,1.158191
0.416401,0.675419,1.156462
0.416049,0.711709,1.198416
0.415921,0.717948,1.200752
0.415537,0.700188,1.180879
0.415569,0.715004,1.199600
0.415025,0.738845,1.221393
0.417585,0.714588,1.205392
0.415313,0.694876,1.179439
0.416529,0.726877,1.219217
0.416305,0.705436,1.193968
0.415857,0.728829,1.214417
0.431378,0.714332,1.218065
0.415856,0.714556,1.201360
0.417457,0.712893,1.202096
0.416113,0.738013,1.228401
0.416048,0.752894,1.239569
0.415664,0.734718,1.228113
0.416080,0.726685,1.210768
0.416305,0.709308,1.195888
0.417169,0.718333,1.199824
0.416081,0.695228,1.183503
0.416113,0.691068,1.175663
0.431121,0.709852,1.205264
0.417585,0.699260,1.184847
0.417297,0.714012,1.201104
0.415889,0.679355,1.165038
0.415857,0.687451,1.173615
0.416113,0.694812,1.196176
0.416209,0.678907,1.159534
0.415696,0.679099,1.156430
0.415633,0.698300,1.183279
0.414993,0.719197,1.214897
0.415761,0.707292,1.189423
0.414736,0.709181,1.190991
0.416304,0.724221,1.214640
0.415761,0.706972,1.190640
0.415761,0.763390,1.247922
0.415760,0.705276,1.198319
0.415857,0.697628,1.179887
0.433553,0.733501,1.239889
0.416049,0.712316,1.205328
0.415377,0.702204,1.209489
0.416016,0.704604,1.189007
0.415889,0.704380,1.188591
0.416049,0.729949,1.215793
0.417201,0.712156,1.200176
0.416273,0.705660,1.189551
0.416688,0.720925,1.208176
0.416561,0.709884,1.198128
0.415697,0.707836,1.193104
0.432561,0.716893,1.223153
0.415665,0.712476,1.198928
0.415761,0.708892,1.196816
0.416113,0.707228,1.200912
0.416368,0.732957,1.224497
0.416656,0.768703,1.263570
0.416433,0.698076,1.180335
0.416368,0.715229,1.202352
0.415952,0.727805,1.213136
0.415856,0.695867,1.179727
0.415761,0.701180,1.184495
0.434609,0.706844,1.211120
0.415985,0.701180,1.187952
0.416657,0.707324,1.192112
0.415857,0.706620,1.190831
0.415248,0.706588,1.194672
0.416176,0.734110,1.220016
0.415985,0.735549,1.225521
0.415728,0.700668,1.187247
0.416017,0.724253,1.208304
0.415697,0.711260,1.199664
0.415920,0.707325,1.193871
0.432978,0.734749,1.234770
0.415601,0.707388,1.199216
0.418961,0.742845,1.331253
0.417329,0.703964,1.191024
0.419249,0.791936,1.294452
0.416720,0.784320,1.286483
0.416848,0.713949,1.203280
0.416241,0.714268,1.199888
0.434993,0.714685,1.220112
0.416305,0.746814,1.232913
0.415825,0.708828,1.214993
0.416049,0.712604,1.201008
0.416049,0.710909,1.194960
0.415985,0.723293,1.207632
0.416624,0.709661,1.195631
0.415281,0.712252,1.196144
0.416657,0.728413,1.218609
0.417008,0.715773,1.204016
0.417201,0.713597,1.203376
0.436818,0.710620,1.218545
0.416144,0.696252,1.178223
0.416145,0.692219,1.179663
0.415664,0.732253,1.215824
0.415888,0.724413,1.213040
0.416016,0.723485,1.217712
0.415856,0.708060,1.195280
0.415472,0.733149,1.214672
0.415697,0.724829,1.219153
0.416433,0.707964,1.192816
0.416113,0.707036,1.192624
0.434545,0.708412,1.211568
0.416561,0.713884,1.201008
0.416240,0.712413,1.205648
0.416048,0.713277,1.198159
0.416721,0.715901,1.203312
0.416368,0.721436,1.208176
0.416433,0.697820,1.183343
0.416336,0.712349,1.197743
0.416144,0.763999,1.257490
0.415825,0.710268,1.194896
0.416145,0.707740,1.198288
0.434738,0.711356,1.219537
0.416048,0.704221,1.191311
0.416336,0.701852,1.187567
0.433425,0.712445,1.219952
0.417393,0.700668,1.185104
0.416336,0.752606,1.242193
0.417009,0.705020,1.191344
0.416240,0.738078,1.227537
0.417104,0.730493,1.221680
0.416080,0.705885,1.192655
0.416560,0.706908,1.193167
0.416657,0.728445,1.220497
0.416304,0.695996,1.180975
0.415601,0.737565,1.232721
0.432145,0.706012,1.206352
0.416721,0.728669,1.211089
0.416273,0.700988,1.185648
0.415376,0.696828,1.184143
0.416049,0.732989,1.216241
0.416337,0.708188,1.194768
0.416688,0.726557,1.210960
0.416049,0.707548,1.189968
0.416561,0.726717,1.219025
0.415953,0.701916,1.194224
0.416305,0.703772,1.185615
0.437010,0.705948,1.209713
0.415825,0.701084,1.186255
0.416560,0.708861,1.196143
0.428625,0.706620,1.202928
0.416113,0.705628,1.191696
0.415377,0.725245,1.234033
0.415760,0.709084,1.190671
0.416112,0.708317,1.191823
0.415856,0.732317,1.224144
0.416368,0.708445,1.193263
0.416272,0.729181,1.219152
0.416145,0.729629,1.219761
0.417712,0.710173,1.196559
0.416208,0.720413,1.201872
0.431601,0.712861,1.213904
0.416400,0.726013,1.208496
0.417040,0.703068,1.186479
0.416081,0.708252,1.192528
0.416560,0.710268,1.196432
0.416017,0.714140,1.202672
0.416593,0.708316,1.194352
0.415985,0.706012,1.191472
0.415953,0.723837,1.207920
0.415793,0.735421,1.222833
0.417361,0.703836,1.194320
0.437137,0.734110,1.241233
0.416176,0.709597,1.197359
0.416561,0.701308,1.187247
0.415696,0.704380,1.188943
0.415313,0.702172,1.183183
0.415537,0.718877,1.249650
0.415473,0.714236,1.197776
0.415345,0.709596,1.192144
0.415440,0.751422,1.236818
0.415408,0.706364,1.189391
0.417617,0.699900,1.184943
0.432177,0.703996,1.209584
0.416112,0.708029,1.190127
0.415920,0.696732,1.187599
0.415824,0.703004,1.186031
0.416625,0.707484,1.191184
0.415953,0.730941,1.228401
0.416657,0.703004,1.187759
0.415984,0.709693,1.193327
0.415856,0.751197,1.246130
0.416337,0.703100,1.185199
0.416497,0.705436,1.188527
0.416113,0.709884,1.214257
0.416752,0.691260,1.172974
0.416625,0.706780,1.195984
0.433585,0.707356,1.214896
0.417649,0.697148,1.181327
0.416688,0.698172,1.186063
0.416464,0.695580,1.177935
0.416625,0.704924,1.187824
0.416913,0.723933,1.209105
0.416240,0.736766,1.219920
0.416528,0.711676,1.197360
0.417681,0.711292,1.213937
0.416881,0.738909,1.221745
0.416241,0.696828,1.182191
0.435346,0.732029,1.235601
0.416753,0.696444,1.180015
0.415984,0.701788,1.183791
0.434961,0.704732,1.206000
0.416144,0.701020,1.184367
0.416656,0.705404,1.189263
0.415792,0.709916,1.198480
0.416241,0.706492,1.191248
0.417072,0.718332,1.202576
0.417297,0.712220,1.199312
0.416145,0.712957,1.203792
0.415952,0.715613,1.201007
0.415952,0.694684,1.179599
0.416305,0.694043,1.180111
0.435473,0.718045,1.224112
0.416720,0.726365,1.218416
0.418960,0.715933,1.208816
0.416593,0.716125,1.209200
0.416528,0.708925,1.197583
0.415600,0.730301,1.221873
0.416912,0.700475,1.184559
0.416369,0.707996,1.196112
0.415569,0.752446,1.245106
0.416273,0.714044,1.201456
0.416721,0.712668,1.206992
0.434961,0.708316,1.216944
0.417329,0.719645,1.213169
0.415761,0.711612,1.202096
0.416625,0.717501,1.202608
0.416785,0.706524,1.195376
0.417169,0.721085,1.218225
0.416016,0.701115,1.187087
0.416273,0.712988,1.199184
0.416529,0.744893,1.250002
0.415537,0.708316,1.197168
0.416368,0.699323,1.182223
0.430705,0.715677,1.214384
0.416176,0.698843,1.183311
0.416049,0.706652,1.196176
0.432306,0.711868,1.218385
0.416848,0.708156,1.192815
0.415985,0.699548,1.207184
0.416497,0.698524,1.184687
0.415952,0.708093,1.193263
0.416241,0.727709,1.213584
0.416752,0.708252,1.194287
0.419281,0.713341,1.204624
0.416241,0.726589,1.227121
0.416049,0.710236,1.196880
0.416369,0.787839,1.282291
0.434705,0.711773,1.214544
0.416241,0.709468,1.194032
0.415889,0.711804,1.196816
0.417073,0.716732,1.204912
0.415409,0.713020,1.199984
0.416304,0.735518,1.225969
0.416080,0.701532,1.185487
0.417137,0.715804,1.202128
0.416240,0.757823,1.248465
0.415409,0.718012,1.202512
0.414832,0.713885,1.198255
0.430929,0.700892,1.198192
0.415089,0.727901,1.216337
0.416017,0.741245,1.230897
0.416113,0.714012,1.199696
0.416273,0.714140,1.202544
0.417073,0.719709,1.212561
0.415825,0.706908,1.195536
0.415760,0.713884,1.199536
0.416497,0.735325,1.225105
0.415792,0.701596,1.184816
0.415793,0.711196,1.194928
0.435857,0.714621,1.219440
0.415536,0.734814,1.218320
0.415280,0.704412,1.195695
0.417681,0.715580,1.207408
0.415472,0.712189,1.194959
0.415729,0.720317,1.210416
0.415537,0.671963,1.157967
0.415761,0.720125,1.202384
0.415729,0.704572,1.212592
0.415505,0.702364,1.182224
0.416753,0.685947,1.175023
0.416497,0.690076,1.182959
0.416080,0.701372,1.183151
0.416176,0.714589,1.201295
0.434545,0.728222,1.230449
0.416400,0.689148,1.170446
0.415793,0.694620,1.180463
0.427089,0.688187,1.186831
0.415697,0.732541,1.213072
0.415408,0.678043,1.161198
0.415536,0.708349,1.190287
0.415729,0.707644,1.192688
0.415313,0.754526,1.248498
0.416849,0.720797,1.214577
0.415888,0.713148,1.203472
0.415409,0.727805,1.213169
0.415408,0.712061,1.203024
0.416305,0.732413,1.218897
0.433458,0.712508,1.216657
0.417232,0.706397,1.197071
0.415665,0.730973,1.213584
0.415569,0.693116,1.175727
0.415536,0.704925,1.194031
0.417424,0.753087,1.250770
0.416241,0.707900,1.192080
0.416177,0.705628,1.192303
0.414929,0.724669,1.213233
0.415472,0.710333,1.199375
0.415953,0.704252,1.191247
0.415824,0.717116,1.205776
0.415857,0.728061,1.211377
0.415921,0.708220,1.195184
0.430577,0.708637,1.211696
0.416241,0.710076,1.196432
0.415889,0.714332,1.201456
0.414704,0.678459,1.160046
0.415792,0.689756,1.177262
0.415696,0.706012,1.197647
0.415856,0.691964,1.177967
0.415888,0.712989,1.198735
0.416880,0.742910,1.231569
0.415536,0.706876,1.195631
0.415825,0.710364,1.197296
0.434513,0.710589,1.220113
0.415761,0.703836,1.188239
0.415664,0.698876,1.181392
0.431025,0.711293,1.218032
0.415888,0.707452,1.192591
0.415857,0.720541,1.206992
0.415760,0.710236,1.193647
0.415889,0.708284,1.193072
0.415600,0.751678,1.244369
0.415696,0.752478,1.251185
0.416177,0.713116,1.197296
0.433521,0.714301,1.216561
0.415633,0.709468,1.192848
0.415505,0.714268,1.199600
0.432881,0.711645,1.212592
0.416593,0.707324,1.198576
0.416080,0.737405,1.224913
0.415824,0.698556,1.179535
0.415984,0.707548,1.196527
0.416432,0.724125,1.212080
0.415953,0.704892,1.187824
0.415920,0.710109,1.194671
0.415952,0.747614,1.244689
0.415441,0.708700,1.191504
0.415985,0.693755,1.180847
0.433234,0.705628,1.205424
0.417264,0.703836,1.195279
0.415505,0.707612,1.189871
0.416433,0.705788,1.189744
0.416272,0.743134,1.232017
0.416464,0.737021,1.236625
0.415440,0.710877,1.201744
0.416176,0.713021,1.198831
0.416081,0.732093,1.227601
0.416784,0.707676,1.192239
0.415921,0.696827,1.179951
