Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.416304,0.017377,0.201864,0.005024,0.049538,0.204168,0.002144,0.000960,0.000352,0.904291
0.416400,0.017248,0.202248,0.004768,0.049090,0.194856,0.002016,0.000960,0.000384,0.894915
0.416176,0.017217,0.201832,0.005248,0.049090,0.196680,0.002176,0.000960,0.000352,0.896419
0.416368,0.017313,0.202184,0.005248,0.047586,0.199336,0.002144,0.000928,0.000352,0.898115
0.434897,0.017601,0.202600,0.005184,0.047522,0.193799,0.002113,0.001024,0.000416,0.911780
0.418129,0.017408,0.202247,0.005057,0.048354,0.200423,0.002401,0.000928,0.000416,0.902436
0.416528,0.017440,0.202664,0.005056,0.048386,0.195368,0.002336,0.000960,0.000352,0.895651
0.417584,0.017569,0.202952,0.005216,0.049474,0.197128,0.002368,0.001056,0.000384,0.900419
0.417616,0.017473,0.202024,0.005056,0.048706,0.196072,0.002304,0.000992,0.000352,0.897315
0.416592,0.017345,0.202280,0.004992,0.048514,0.196456,0.002144,0.000960,0.000384,0.896323
0.419697,0.017312,0.202696,0.005120,0.048930,0.188936,0.002240,0.000896,0.000416,0.892803
0.433521,0.017408,0.202216,0.005248,0.049314,0.199016,0.002144,0.000864,0.000384,0.917028
0.416240,0.017473,0.202248,0.005280,0.049090,0.186663,0.002208,0.000929,0.000384,0.886819
0.417840,0.017537,0.202248,0.005056,0.048738,0.192552,0.002048,0.000928,0.000640,0.894275
0.416977,0.017344,0.201896,0.005249,0.048802,0.194727,0.002528,0.000960,0.000416,0.895619
0.418320,0.017217,0.202376,0.005056,0.048898,0.194568,0.002080,0.001056,0.000352,0.896963
0.415729,0.017408,0.202312,0.005184,0.048706,0.190632,0.002240,0.001024,0.000352,0.890403
0.415889,0.017952,0.202600,0.005121,0.048961,0.199719,0.002144,0.000993,0.000352,0.901124
0.416656,0.017473,0.220297,0.004928,0.048674,0.187143,0.002112,0.001056,0.000384,0.905827
0.416176,0.017441,0.201896,0.004864,0.048290,0.197512,0.002144,0.000928,0.000384,0.896483
0.416784,0.017473,0.201800,0.004864,0.048578,0.202920,0.002144,0.000992,0.000384,0.902755
0.416368,0.017185,0.201960,0.004800,0.049090,0.195880,0.002112,0.001024,0.000352,0.895619
0.416656,0.017281,0.203496,0.004800,0.049314,0.199368,0.002272,0.000928,0.000384,0.901539
0.416624,0.017409,0.202376,0.004800,0.048546,0.200872,0.002304,0.000928,0.000384,0.901731
0.416721,0.017440,0.202088,0.005281,0.048546,0.194951,0.002144,0.000960,0.000352,0.895363
0.417008,0.017281,0.225961,0.005056,0.049090,0.210152,0.002145,0.000960,0.000608,0.935749
0.415184,0.017345,0.202024,0.005216,0.048226,0.204168,0.002208,0.000864,0.000352,0.902371
0.415888,0.017313,0.202120,0.004800,0.049442,0.195112,0.002272,0.000992,0.000384,0.896003
0.415249,0.017504,0.201960,0.005281,0.048289,0.195560,0.002240,0.000896,0.000384,0.894147
0.416528,0.017505,0.202376,0.005216,0.048674,0.198088,0.002112,0.000928,0.000576,0.898499
0.415952,0.017473,0.201960,0.004992,0.048578,0.185799,0.002080,0.000928,0.000321,0.884707
0.414832,0.017153,0.203400,0.005376,0.048866,0.189671,0.002145,0.001024,0.000384,0.888579
0.416496,0.017505,0.220328,0.005184,0.049025,0.205256,0.002144,0.001024,0.000384,0.924292
0.417072,0.017281,0.202312,0.004832,0.047906,0.199016,0.002176,0.000800,0.000352,0.898083
0.415312,0.017281,0.202120,0.005216,0.047938,0.197608,0.002112,0.000992,0.000416,0.895747
0.415697,0.017313,0.202343,0.005057,0.048674,0.196391,0.002144,0.001024,0.000352,0.895812
0.415344,0.017313,0.202408,0.004832,0.048930,0.224233,0.002208,0.000928,0.000352,0.923204
0.415409,0.017377,0.202791,0.004833,0.048674,0.189031,0.002112,0.000960,0.000384,0.889315
0.415440,0.017665,0.202248,0.005280,0.048866,0.209128,0.002432,0.001088,0.000608,0.909763
0.415120,0.017633,0.218184,0.005057,0.048962,0.203048,0.002176,0.001280,0.000384,0.919044
0.415824,0.017537,0.201800,0.004800,0.048706,0.194759,0.002145,0.000960,0.000384,0.893507
0.414896,0.017633,0.202024,0.004864,0.049602,0.189512,0.002208,0.000960,0.000384,0.887843
0.415985,0.017664,0.202120,0.004800,0.049282,0.186600,0.002048,0.000896,0.000576,0.886083
0.416561,0.017632,0.202312,0.004993,0.050146,0.209640,0.002208,0.000960,0.000416,0.912036
0.417808,0.017440,0.202536,0.005056,0.050402,0.194344,0.001952,0.000896,0.000384,0.897827
0.416144,0.017505,0.202152,0.004992,0.048866,0.189831,0.002113,0.000960,0.000352,0.889699
0.415664,0.017473,0.230761,0.005216,0.048386,0.193320,0.002080,0.001152,0.000384,0.921828
0.417457,0.017312,0.202376,0.005089,0.049250,0.191847,0.002464,0.000960,0.000384,0.894275
0.416400,0.017600,0.202440,0.005056,0.049698,0.186184,0.002432,0.000960,0.000352,0.888291
0.417136,0.017409,0.202120,0.005056,0.049250,0.184551,0.002176,0.000896,0.000352,0.886082
0.418352,0.017633,0.202664,0.004992,0.050114,0.191015,0.002464,0.000864,0.000321,0.895075
0.416208,0.017473,0.202440,0.005088,0.048226,0.186343,0.002016,0.000961,0.000352,0.885955
0.415216,0.017633,0.202600,0.005056,0.048194,0.193224,0.001984,0.000992,0.000384,0.892067
0.416592,0.017729,0.219016,0.005025,0.048353,0.192231,0.002208,0.000960,0.000416,0.909891
0.417968,0.017473,0.202088,0.004800,0.048482,0.200680,0.002432,0.000992,0.000384,0.902595
0.415344,0.017408,0.202472,0.004768,0.048514,0.193768,0.002080,0.000928,0.000352,0.892611
0.417457,0.017473,0.202055,0.004833,0.047778,0.182631,0.002304,0.000928,0.000352,0.882627
0.435473,0.017536,0.202344,0.004864,0.048194,0.186440,0.002368,0.000960,0.000384,0.906532
0.418480,0.017313,0.201864,0.005024,0.050114,0.197032,0.002048,0.000960,0.000384,0.900099
0.416656,0.017473,0.202344,0.005024,0.049090,0.188615,0.002048,0.000992,0.000384,0.889538
0.415536,0.017377,0.226185,0.005216,0.048482,0.184327,0.001952,0.000992,0.000352,0.907459
0.415536,0.017441,0.201800,0.004992,0.049186,0.193479,0.002081,0.000928,0.000576,0.892579
0.416112,0.017409,0.201960,0.004768,0.048610,0.189863,0.002112,0.000896,0.000352,0.888803
0.414384,0.017281,0.201960,0.004800,0.047522,0.189768,0.002016,0.000928,0.000352,0.885571
0.432049,0.017793,0.202280,0.004992,0.047394,0.193512,0.002112,0.001024,0.000384,0.909124
0.416176,0.017473,0.202184,0.005248,0.048098,0.197415,0.002177,0.000896,0.000384,0.896739
0.415857,0.017728,0.202184,0.005216,0.048514,0.189480,0.002400,0.001024,0.000384,0.889955
0.416240,0.017921,0.203272,0.005248,0.047906,0.218536,0.002272,0.000960,0.000352,0.920100
0.415409,0.017696,0.201864,0.004992,0.048194,0.197448,0.001952,0.000992,0.000384,0.895619
0.415728,0.017633,0.202216,0.005184,0.049282,0.194280,0.002272,0.001120,0.000416,0.894435
