Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.419761,0.017440,0.202216,0.004865,0.228969,0.014560,0.000480,0.001568,0.001184,0.000320,0.900451
0.419953,0.017473,0.203432,0.004768,0.231657,0.015585,0.000480,0.001536,0.001216,0.000352,0.905668
0.420305,0.017409,0.202088,0.005024,0.226857,0.014240,0.000480,0.001568,0.001120,0.000801,0.898276
0.415473,0.017472,0.201991,0.004801,0.237449,0.015201,0.000544,0.001568,0.001184,0.000352,0.904996
0.439794,0.018048,0.202184,0.004801,0.236585,0.014369,0.000480,0.001472,0.001120,0.000320,0.929477
0.415952,0.017377,0.202120,0.004800,0.234697,0.014177,0.000544,0.001504,0.001152,0.000576,0.902563
0.420721,0.017280,0.201992,0.005024,0.235562,0.014304,0.000576,0.001504,0.001121,0.000800,0.908708
0.420049,0.017313,0.202056,0.004864,0.239657,0.030433,0.000800,0.001440,0.001248,0.000608,0.928517
0.420112,0.017536,0.202440,0.004896,0.234986,0.016640,0.000480,0.001504,0.001184,0.000576,0.909252
0.420081,0.017344,0.202471,0.004897,0.224456,0.014240,0.000512,0.001504,0.001216,0.000384,0.895843
0.420528,0.017344,0.201768,0.004800,0.239178,0.014048,0.000512,0.001536,0.001313,0.000384,0.909540
0.437841,0.017441,0.201896,0.004864,0.245738,0.014400,0.000480,0.001473,0.001280,0.000800,0.936837
0.419633,0.017569,0.201768,0.004960,0.229161,0.014144,0.000480,0.001504,0.001280,0.000352,0.899908
0.420336,0.017313,0.202056,0.004864,0.247082,0.014176,0.000576,0.001505,0.001184,0.000352,0.918436
0.420592,0.017568,0.202312,0.004864,0.255722,0.015680,0.000544,0.001536,0.001152,0.000384,0.930372
0.420336,0.017537,0.202088,0.004768,0.235721,0.015681,0.000512,0.001472,0.001248,0.000352,0.908867
0.420529,0.017344,0.202120,0.005121,0.226728,0.014176,0.000512,0.001568,0.001248,0.000352,0.899331
0.421201,0.017344,0.201992,0.004832,0.245194,0.015489,0.000448,0.001536,0.001152,0.000352,0.918308
0.438129,0.017345,0.201992,0.005216,0.233097,0.014081,0.000480,0.001504,0.001152,0.000384,0.922564
0.420305,0.017377,0.202088,0.004928,0.221736,0.015201,0.000512,0.001472,0.001280,0.000320,0.893635
0.420337,0.017504,0.202472,0.004833,0.236777,0.014112,0.000480,0.001505,0.001152,0.000320,0.907620
0.420688,0.017344,0.223017,0.005120,0.235273,0.014336,0.000544,0.001536,0.001120,0.000832,0.929860
0.420336,0.017249,0.202056,0.004800,0.234057,0.014369,0.000480,0.001472,0.001216,0.000608,0.905379
0.420369,0.017376,0.202344,0.005025,0.235017,0.014528,0.000512,0.001472,0.001152,0.000576,0.907140
0.415536,0.017409,0.201864,0.004896,0.234665,0.014049,0.000512,0.001536,0.001184,0.000384,0.900483
0.419920,0.017217,0.201992,0.004864,0.236777,0.014144,0.000512,0.001504,0.000992,0.000384,0.906243
0.420368,0.017217,0.201992,0.004960,0.236745,0.015392,0.000512,0.001472,0.001024,0.000416,0.910531
0.419792,0.017505,0.201864,0.004864,0.232905,0.014049,0.000480,0.001504,0.000960,0.000416,0.902307
0.415984,0.017313,0.223081,0.004960,0.224233,0.014176,0.000352,0.001505,0.000928,0.000352,0.911396
