Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-10],classifier
0.417233,0.018112,0.202312,0.004800,0.048705,0.000800,0.013409,0.114853,0.890723
0.416848,0.017505,0.202504,0.004800,0.048322,0.000864,0.013696,0.115525,0.893059
0.434449,0.017824,0.203112,0.005377,0.048193,0.000832,0.013441,0.117669,0.916388
0.419632,0.017889,0.202440,0.005248,0.047842,0.000832,0.013472,0.113317,0.902211
0.416689,0.017569,0.202375,0.005057,0.048738,0.000800,0.013536,0.119429,0.896227
0.417169,0.017472,0.219465,0.005440,0.048130,0.000832,0.013697,0.119204,0.913668
0.420049,0.017729,0.201896,0.004896,0.048130,0.000832,0.013472,0.116549,0.897668
0.420465,0.017697,0.202376,0.005280,0.048866,0.000800,0.013440,0.116197,0.896259
0.416688,0.017537,0.202568,0.005216,0.048930,0.000800,0.013473,0.114884,0.894499
0.416208,0.017441,0.201640,0.004800,0.048578,0.000768,0.013376,0.118757,0.898084
0.420208,0.017473,0.202536,0.004800,0.048610,0.000608,0.013409,0.114500,0.894979
0.416912,0.017569,0.202856,0.004864,0.048610,0.000800,0.013440,0.116293,0.892451
0.420368,0.017728,0.221385,0.004992,0.048514,0.000800,0.013473,0.119108,0.920292
0.419921,0.017633,0.202120,0.004832,0.047810,0.000800,0.013440,0.114341,0.891875
0.416656,0.017665,0.202664,0.004864,0.048162,0.001024,0.013537,0.120229,0.905891
0.420209,0.017440,0.202280,0.005185,0.049185,0.000801,0.013504,0.117957,0.907108
0.416113,0.017665,0.202791,0.005025,0.048194,0.000832,0.013408,0.116581,0.892003
0.420560,0.017473,0.202024,0.005056,0.047650,0.000768,0.013505,0.116644,0.896227
0.416465,0.017568,0.203816,0.004769,0.048098,0.000608,0.013376,0.114789,0.900036
0.416400,0.017665,0.218184,0.005120,0.047906,0.000576,0.013409,0.112548,0.901123
0.415824,0.017537,0.201736,0.004800,0.047202,0.000608,0.013440,0.117061,0.890370
0.416240,0.017473,0.202248,0.004896,0.047970,0.000576,0.013408,0.113925,0.892835
0.417488,0.017472,0.202472,0.005120,0.048290,0.000608,0.013377,0.118533,0.899971
0.420208,0.017537,0.202472,0.005056,0.048002,0.000896,0.013344,0.119077,0.897283
0.415697,0.017728,0.202536,0.004993,0.049921,0.000576,0.013440,0.119013,0.894435
0.420848,0.017697,0.202088,0.004832,0.048130,0.000896,0.013408,0.120421,0.903747
0.420848,0.017728,0.221641,0.005312,0.048674,0.000800,0.013473,0.119620,0.919460
0.420624,0.017505,0.202568,0.004800,0.048322,0.000800,0.013441,0.118180,0.897443
0.421168,0.017472,0.202248,0.004832,0.048898,0.000832,0.014625,0.115748,0.892995
0.421040,0.017601,0.202344,0.005088,0.048450,0.000800,0.013505,0.122276,0.902627
0.420817,0.017408,0.202247,0.004801,0.048258,0.000832,0.013408,0.121317,0.899523
0.420880,0.017537,0.202056,0.005056,0.047938,0.000800,0.013377,0.116740,0.893539
0.416144,0.017537,0.202184,0.005248,0.048386,0.000768,0.013441,0.117348,0.893539
0.452306,0.017665,0.202408,0.005088,0.047938,0.000992,0.013408,0.121828,0.936837
0.417584,0.018241,0.203752,0.004864,0.048418,0.000800,0.013505,0.125508,0.904995
0.420720,0.017793,0.203176,0.005344,0.048066,0.000800,0.013505,0.123205,0.914308
0.421009,0.018113,0.202056,0.005376,0.048610,0.000832,0.013696,0.120901,0.920132
0.419984,0.017793,0.202248,0.004896,0.048354,0.000832,0.013440,0.116261,0.895843
0.420977,0.017601,0.202376,0.005312,0.047714,0.000832,0.013472,0.119141,0.907844
