TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.178755,0.017730,0.204145,0.005280,0.048677,0.000576,0.013633,0.000320,0.001472,0.001088,0.000352,1.481116
1.203652,0.017857,0.204945,0.005057,0.049380,0.000832,0.013441,0.000352,0.001537,0.001184,0.000352,1.507742
1.198372,0.017922,0.203825,0.005088,0.048964,0.000801,0.013569,0.000352,0.001472,0.001056,0.000384,1.499389
1.231911,0.017730,0.203857,0.005056,0.049668,0.001024,0.013601,0.000384,0.001504,0.001120,0.000384,1.535424
1.240104,0.017857,0.204018,0.005248,0.048964,0.000800,0.013761,0.000384,0.001473,0.001280,0.000384,1.543745
1.178946,0.017922,0.219314,0.005121,0.047908,0.000576,0.013889,0.000384,0.001504,0.001377,0.000352,1.496702
1.182755,0.018402,0.204497,0.005089,0.049892,0.000576,0.013697,0.000384,0.001440,0.001120,0.000352,1.487197
1.210757,0.023266,0.203633,0.005152,0.049028,0.000993,0.013953,0.000384,0.001408,0.001152,0.000384,1.519391
1.209829,0.017986,0.204017,0.005248,0.048612,0.001024,0.014370,0.000352,0.001472,0.001216,0.000384,1.513534
1.179459,0.018338,0.204401,0.005280,0.048132,0.000576,0.013730,0.000352,0.001472,0.001120,0.000384,1.482012
1.244552,0.017890,0.204369,0.005312,0.048196,0.000576,0.013697,0.000385,0.001504,0.001120,0.000384,1.547073
1.189315,0.017889,0.205393,0.005089,0.048228,0.000608,0.013889,0.000384,0.001472,0.001120,0.000352,1.492796
1.239271,0.017858,0.203633,0.005152,0.048773,0.000800,0.013473,0.000384,0.001472,0.001152,0.000384,1.541281
1.167009,0.017858,0.203633,0.005248,0.049380,0.000576,0.013761,0.000384,0.001472,0.001088,0.000352,1.469690
1.209413,0.017730,0.228883,0.005216,0.048964,0.000576,0.013698,0.000384,0.001472,0.001184,0.000352,1.537760
1.166305,0.017729,0.203729,0.005313,0.049444,0.000608,0.013825,0.000416,0.001472,0.001088,0.000384,1.469114
1.180739,0.017698,0.204529,0.005056,0.049572,0.000576,0.013537,0.000352,0.001536,0.001216,0.000320,1.484156
1.209764,0.017953,0.203473,0.005025,0.048932,0.000800,0.014497,0.000352,0.001472,0.001313,0.000384,1.512639
1.175618,0.017698,0.203537,0.004864,0.048516,0.000576,0.013985,0.000352,0.001504,0.001376,0.000384,1.477787
1.207237,0.017825,0.203825,0.005089,0.049220,0.001024,0.013953,0.000352,0.001537,0.001120,0.000352,1.510782
1.163105,0.017857,0.204049,0.005057,0.049572,0.000928,0.013889,0.000384,0.001504,0.001377,0.000416,1.466747
1.206820,0.017729,0.204689,0.005313,0.048324,0.000608,0.013537,0.000352,0.001536,0.001120,0.000385,1.509950
1.203332,0.017602,0.205009,0.005280,0.048804,0.001056,0.013537,0.000352,0.001408,0.001248,0.000384,1.506845
1.179266,0.017889,0.203217,0.005281,0.049348,0.000800,0.013761,0.000384,0.001504,0.001184,0.000385,1.481724
1.229447,0.017826,0.203889,0.005088,0.048836,0.000576,0.013634,0.000384,0.001472,0.001248,0.000448,1.531456
1.204677,0.017986,0.203761,0.005056,0.049188,0.000608,0.013730,0.000384,0.001504,0.001120,0.000416,1.507134
1.233927,0.017826,0.203505,0.005248,0.048580,0.000800,0.013793,0.000384,0.001536,0.001408,0.000352,1.536640
1.182594,0.017921,0.203633,0.005345,0.048932,0.000576,0.013601,0.000352,0.001472,0.001088,0.000352,1.484348
1.257289,0.018049,0.203345,0.005280,0.049572,0.000544,0.013569,0.000384,0.001504,0.001184,0.000384,1.560290
1.171810,0.017665,0.203985,0.004992,0.048708,0.000576,0.013473,0.000352,0.001440,0.001056,0.000384,1.472827
1.194851,0.018849,0.203441,0.005281,0.047396,0.000544,0.013441,0.000384,0.001536,0.001120,0.000352,1.496477
1.201765,0.017761,0.203825,0.005024,0.047620,0.000576,0.013441,0.000384,0.001504,0.001121,0.000384,1.501726
