Layer[0],IN[1],INFER[1-7],OUT[7],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.395532,0.148037,0.604978,0.072514,0.829337,0.002816,0.001344,0.000704,1.234565
0.394796,0.169157,0.604242,0.070914,0.848345,0.002656,0.001312,0.000448,1.252389
0.412876,0.159493,0.616210,0.067810,0.847577,0.002400,0.001312,0.000672,1.269733
0.394860,0.166149,0.604818,0.067490,0.842201,0.002432,0.001120,0.000416,1.245925
0.395500,0.141668,0.601266,0.063618,0.810488,0.002528,0.001216,0.000672,1.215300
0.395243,0.149285,0.609650,0.064290,0.828441,0.002752,0.001248,0.000608,1.234052
0.394924,0.153988,0.612563,0.065122,0.835673,0.002720,0.001216,0.000576,1.240485
0.396140,0.168933,0.623858,0.073442,0.870649,0.002688,0.001313,0.000384,1.277030
0.397291,0.169413,0.603154,0.066402,0.842745,0.003360,0.001216,0.000416,1.249893
0.396876,0.151908,0.605298,0.066754,0.828120,0.003873,0.001344,0.000576,1.235493
0.421997,0.167045,0.619506,0.066018,0.856633,0.003168,0.001473,0.000576,1.288967
0.394668,0.183749,0.619923,0.066466,0.874010,0.002816,0.000992,0.000608,1.277574
0.394828,0.175973,0.606098,0.088995,0.876314,0.003648,0.002752,0.000544,1.285766
0.394828,0.145220,0.602898,0.062498,0.814264,0.003264,0.001504,0.000576,1.219044
0.395340,0.135332,0.601329,0.061410,0.801751,0.002368,0.001152,0.000608,1.205539
0.394252,0.152485,0.624466,0.107523,0.889243,0.002784,0.001120,0.000704,1.293991
0.395980,0.162533,0.602002,0.063330,0.831449,0.002464,0.001120,0.000576,1.236645
0.399756,0.163109,0.600945,0.065186,0.833464,0.002208,0.001056,0.000480,1.242021
0.413485,0.162245,0.611826,0.062754,0.840505,0.005312,0.001056,0.000672,1.266086
0.394732,0.161733,0.599026,0.065634,0.830009,0.002784,0.001152,0.000352,1.233541
0.399212,0.178917,0.609970,0.064865,0.858681,0.002368,0.001024,0.000320,1.265862
0.399372,0.159141,0.599314,0.061794,0.824377,0.002240,0.000928,0.000384,1.231749
0.394220,0.169381,0.602866,0.068066,0.844345,0.002912,0.001184,0.000384,1.251334
0.400428,0.165221,0.630835,0.074434,0.874394,0.002976,0.001056,0.000480,1.283782
0.399020,0.165285,0.602833,0.064577,0.836184,0.002241,0.001056,0.000352,1.243333
0.399500,0.162917,0.603697,0.063234,0.833752,0.002240,0.000961,0.000416,1.241253
0.421549,0.173701,0.616018,0.066657,0.860730,0.002528,0.001152,0.000416,1.293159
0.396171,0.170341,0.605073,0.068290,0.848346,0.002880,0.001408,0.000640,1.255333
0.396043,0.148837,0.602898,0.065730,0.821401,0.002592,0.001600,0.000608,1.227044
0.396524,0.195750,0.601682,0.064258,0.865786,0.002816,0.001152,0.000608,1.271686
0.395020,0.168069,0.603442,0.065730,0.841145,0.002528,0.001152,0.000640,1.245285
0.395339,0.163205,0.623059,0.120291,0.910747,0.002880,0.001280,0.000640,1.316102
0.396236,0.167621,0.603986,0.064962,0.840889,0.002656,0.001248,0.000640,1.247621
0.395787,0.160676,0.604114,0.064226,0.832856,0.002848,0.001184,0.000672,1.238564
0.412813,0.154500,0.615314,0.066370,0.839928,0.002913,0.001184,0.000672,1.262790
0.395340,0.166085,0.601106,0.063778,0.834809,0.002720,0.001216,0.000672,1.239749
0.396076,0.181957,0.626963,0.079906,0.892442,0.002624,0.001248,0.000416,1.297670
0.394796,0.161669,0.603314,0.065954,0.834905,0.002528,0.001216,0.000672,1.239365
0.395308,0.151332,0.601298,0.066178,0.822584,0.003136,0.001152,0.000672,1.227812
0.395084,0.165029,0.625299,0.075906,0.869914,0.002880,0.001248,0.000640,1.274886
0.395340,0.165765,0.602962,0.064578,0.837113,0.002560,0.001248,0.000384,1.241445
0.395212,0.175749,0.602066,0.064514,0.846201,0.002688,0.001248,0.000416,1.250565
0.414572,0.151748,0.610418,0.064546,0.830392,0.002593,0.001280,0.000704,1.254085
0.394860,0.167269,0.600658,0.064258,0.835929,0.002784,0.001344,0.000448,1.240261
0.394732,0.197286,0.622578,0.078818,0.903130,0.002561,0.001152,0.000608,1.306887
0.394348,0.147972,0.599826,0.063458,0.815096,0.002560,0.001216,0.000576,1.218340
0.394956,0.169349,0.603314,0.066594,0.843577,0.002784,0.001248,0.000608,1.249157
0.395851,0.169509,0.625491,0.075586,0.875258,0.002784,0.001376,0.000480,1.281349
0.395148,0.163269,0.603442,0.068514,0.839065,0.002912,0.001248,0.000416,1.243589
0.394892,0.167557,0.604306,0.065154,0.840985,0.002688,0.001440,0.000416,1.245157
0.413164,0.196358,0.612114,0.071234,0.883738,0.002848,0.001248,0.000384,1.306822
0.396172,0.187174,0.602738,0.063425,0.857209,0.002529,0.001248,0.000448,1.262374
0.395243,0.184966,0.621202,0.072738,0.883130,0.002785,0.001312,0.000672,1.287974
0.395148,0.145124,0.603346,0.065282,0.817848,0.002592,0.001184,0.000640,1.222212
0.394700,0.160517,0.603282,0.064610,0.832153,0.002528,0.001216,0.000640,1.235941
0.395691,0.176998,0.629202,0.066370,0.876730,0.002464,0.001185,0.000672,1.281414
0.395660,0.186341,0.603249,0.068322,0.862393,0.002657,0.001248,0.000672,1.268038
0.396715,0.155397,0.603538,0.065602,0.828633,0.002400,0.001216,0.000416,1.234244
0.411629,0.162981,0.616914,0.063618,0.847481,0.002272,0.001024,0.000384,1.267462
0.394860,0.160613,0.600562,0.064258,0.829145,0.003104,0.001184,0.000480,1.233733
0.394924,0.182502,0.617874,0.069314,0.873530,0.002944,0.001120,0.000736,1.277702
0.394476,0.171525,0.601234,0.063393,0.839672,0.002368,0.001120,0.000416,1.242373
0.395500,0.163173,0.602130,0.063554,0.832409,0.002464,0.001088,0.000352,1.236325
0.393804,0.155460,0.633427,0.071010,0.863705,0.003104,0.001120,0.000416,1.266662
0.394924,0.159300,0.601522,0.060770,0.825016,0.002176,0.001088,0.000416,1.227940
0.394444,0.176229,0.599474,0.062594,0.841977,0.002304,0.001088,0.000384,1.244613
0.411308,0.177349,0.613202,0.068706,0.863258,0.005184,0.001152,0.000672,1.286630
0.394732,0.180613,0.599281,0.062370,0.845881,0.002368,0.001088,0.000416,1.248741
0.394604,0.157988,0.617939,0.072258,0.852121,0.005152,0.001152,0.000352,1.258021
0.394252,0.158469,0.599634,0.061826,0.823193,0.005376,0.001088,0.000640,1.229221
0.394668,0.178533,0.599506,0.061250,0.842873,0.002336,0.000960,0.000320,1.245349
0.395755,0.176422,0.627762,0.080323,0.889819,0.003040,0.001216,0.000640,1.296870
0.396364,0.168165,0.603730,0.065154,0.841081,0.002912,0.001344,0.000672,1.247237
0.395020,0.169157,0.606194,0.065538,0.844665,0.002880,0.001280,0.000704,1.249541
0.410796,0.168037,0.613394,0.071138,0.856537,0.002624,0.001217,0.000672,1.276870
0.394732,0.165477,0.606034,0.066754,0.842233,0.002752,0.001152,0.000384,1.245989
0.395852,0.171461,0.622674,0.079970,0.878746,0.002976,0.001280,0.000384,1.284486
0.395435,0.141605,0.604785,0.066914,0.817464,0.002880,0.001248,0.000416,1.222308
0.395531,0.167813,0.615699,0.070242,0.857754,0.002336,0.001248,0.000672,1.262021
0.395116,0.212454,0.629107,0.070626,0.917819,0.002464,0.001088,0.000672,1.321607
0.394731,0.153253,0.601554,0.064130,0.822809,0.002432,0.001056,0.000640,1.226276
0.395084,0.165093,0.601202,0.069442,0.839737,0.002944,0.001120,0.000640,1.244421
0.398123,0.169157,0.608562,0.069922,0.852218,0.002592,0.001216,0.000832,1.260581
0.396140,0.179781,0.605170,0.067010,0.856313,0.002816,0.001120,0.000576,1.261733
0.396236,0.160453,0.623506,0.075107,0.864602,0.003008,0.001216,0.000672,1.271846
0.395979,0.157669,0.602546,0.069634,0.833785,0.002688,0.001152,0.000448,1.239076
0.395340,0.194886,0.603890,0.073378,0.876634,0.003136,0.001184,0.000448,1.281926
0.413644,0.170213,0.612178,0.069698,0.856186,0.002528,0.001184,0.000608,1.279174
0.395915,0.155333,0.601298,0.063650,0.824729,0.002720,0.001152,0.000608,1.229924
0.394540,0.166565,0.614578,0.065410,0.850457,0.002592,0.001248,0.000640,1.254629
0.405996,0.226855,0.624850,0.072674,0.929531,0.004320,0.002945,0.000576,1.349800
0.403180,0.203206,0.628979,0.075490,0.912827,0.004384,0.002273,0.000352,1.329000
0.401932,0.249992,0.639795,0.075874,0.971805,0.003680,0.002560,0.000352,1.386473
0.400300,0.188454,0.609874,0.069506,0.872122,0.003008,0.001760,0.000352,1.283526
0.402924,0.169125,0.605586,0.064322,0.842777,0.002624,0.001312,0.000640,1.255365
0.397292,0.177798,0.606450,0.062945,0.851482,0.002720,0.001376,0.000608,1.261606
0.403180,0.165221,0.606130,0.067106,0.842745,0.002848,0.001536,0.000672,1.256773
0.401772,0.153445,0.625746,0.071490,0.854970,0.002560,0.001152,0.000640,1.266886
0.401964,0.164996,0.606641,0.073442,0.849337,0.002624,0.001408,0.000320,1.260485
0.396556,0.143204,0.606034,0.067362,0.820824,0.002464,0.001376,0.000384,1.226756
0.420781,0.194149,0.617043,0.065602,0.880858,0.002400,0.001440,0.000608,1.311047
0.403436,0.158628,0.600465,0.064898,0.827736,0.002688,0.001184,0.000352,1.240228
0.400492,0.186886,0.626450,0.085827,0.903675,0.002496,0.001280,0.000640,1.313639
0.400299,0.163332,0.602962,0.061346,0.831416,0.002528,0.001152,0.000576,1.240740
0.401644,0.153924,0.601010,0.062114,0.821048,0.002496,0.001184,0.000416,1.231492
0.396140,0.197062,0.623058,0.062530,0.886778,0.002752,0.001216,0.000384,1.292326
0.398891,0.175461,0.609970,0.068674,0.859065,0.002880,0.001216,0.000608,1.268677
0.399116,0.166981,0.604242,0.064834,0.840345,0.002624,0.001280,0.000576,1.248677
0.401068,0.187205,0.605713,0.063746,0.860633,0.002689,0.001312,0.000608,1.270886
0.396971,0.152132,0.615954,0.073475,0.845945,0.002848,0.001184,0.000608,1.252517
0.400556,0.164965,0.623539,0.078818,0.871546,0.002752,0.001120,0.000576,1.281670
0.395404,0.185925,0.603250,0.070082,0.863097,0.002496,0.001120,0.000384,1.267205
0.395852,0.168517,0.605074,0.066690,0.844121,0.002400,0.001120,0.000576,1.248549
0.423276,0.174597,0.613938,0.069474,0.862105,0.002624,0.001120,0.000608,1.295270
0.400492,0.152549,0.603025,0.065762,0.825560,0.002689,0.001184,0.000352,1.234885
0.396331,0.166053,0.603442,0.064834,0.838201,0.002624,0.001120,0.000608,1.243973
0.401803,0.198245,0.604658,0.065666,0.872857,0.002816,0.001216,0.000576,1.284358
0.403884,0.161508,0.606610,0.070499,0.842873,0.003136,0.001344,0.000576,1.256709
0.402156,0.165765,0.625554,0.082659,0.878746,0.002816,0.001248,0.000352,1.290374
0.397612,0.172869,0.605010,0.065698,0.847481,0.002624,0.001216,0.000320,1.254149
0.401292,0.149989,0.605138,0.075618,0.834937,0.002880,0.001184,0.000416,1.245765
0.421517,0.167717,0.613330,0.066178,0.851225,0.002528,0.001120,0.000608,1.282150
0.404140,0.168069,0.602642,0.083010,0.857593,0.002753,0.001152,0.000640,1.270758
0.401004,0.187814,0.621714,0.073891,0.887771,0.002528,0.001408,0.000384,1.298599
0.401611,0.156292,0.604402,0.065794,0.830329,0.002816,0.001120,0.000416,1.240740
0.400300,0.162341,0.603505,0.066306,0.836472,0.002817,0.001280,0.000640,1.247397
0.397163,0.141829,0.620594,0.071426,0.838009,0.002944,0.001408,0.000416,1.244804
0.401516,0.160709,0.603826,0.065026,0.833657,0.002656,0.001216,0.000640,1.244261
0.396107,0.185574,0.601522,0.068418,0.860026,0.002912,0.001344,0.000384,1.266917
0.415180,0.169893,0.612754,0.065538,0.852153,0.002496,0.001152,0.000416,1.276230
0.398252,0.166117,0.602194,0.064706,0.837017,0.002752,0.001312,0.000384,1.244645
0.400140,0.159269,0.626834,0.077699,0.868026,0.002624,0.001280,0.000384,1.277254
0.401388,0.134916,0.603186,0.062913,0.805080,0.002336,0.001184,0.000416,1.214980
0.397611,0.146373,0.614226,0.064162,0.828793,0.002464,0.001216,0.000640,1.235396
0.401196,0.147812,0.621715,0.086306,0.859929,0.002784,0.001185,0.000448,1.270566
0.397548,0.149733,0.603601,0.064066,0.821848,0.002656,0.001217,0.000608,1.229413
0.399148,0.158053,0.602450,0.063777,0.828409,0.002816,0.001152,0.000384,1.236805
0.423276,0.160485,0.615154,0.064802,0.844345,0.002464,0.001216,0.000352,1.276293
0.400524,0.170725,0.601778,0.063074,0.839417,0.002784,0.001216,0.000416,1.249189
0.400716,0.162821,0.621778,0.073058,0.862073,0.002656,0.001216,0.000352,1.272197
0.401804,0.186117,0.602801,0.063266,0.856025,0.002560,0.001216,0.000608,1.266822
0.400364,0.159013,0.604082,0.063042,0.829817,0.002592,0.001152,0.000448,1.239013
0.397260,0.178694,0.612882,0.065346,0.862618,0.002656,0.001216,0.000608,1.269382
0.395660,0.159428,0.602930,0.065826,0.831896,0.002720,0.001152,0.000448,1.236804
