Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396588,0.017376,0.127780,0.590386,0.108547,0.831929,0.015457,0.000704,0.001504,0.001248,0.000608,1.272710
0.395628,0.017441,0.131843,0.571889,0.069986,0.777079,0.014432,0.000576,0.001600,0.001248,0.000416,1.215172
0.399756,0.017312,0.128804,0.571121,0.064898,0.768215,0.015392,0.000512,0.001504,0.001216,0.000384,1.210499
0.400524,0.017600,0.148325,0.598481,0.066242,0.816664,0.014977,0.000480,0.001440,0.001184,0.000704,1.259653
0.396076,0.017665,0.154148,0.569489,0.069538,0.796631,0.014817,0.000512,0.001536,0.001184,0.000416,1.235365
0.394603,0.017408,0.134372,0.569297,0.065186,0.772215,0.014848,0.000736,0.001568,0.001120,0.000384,1.209316
0.420237,0.017664,0.133252,0.585714,0.072354,0.795000,0.015072,0.000704,0.001568,0.001120,0.000416,1.259109
0.400012,0.017793,0.136164,0.570641,0.068386,0.778455,0.014976,0.000544,0.001536,0.001216,0.000384,1.221732
0.395563,0.017632,0.133348,0.587249,0.074531,0.798232,0.014816,0.000544,0.001568,0.001088,0.000640,1.236516
0.394475,0.017569,0.132996,0.574065,0.069506,0.781303,0.015072,0.000512,0.001568,0.001121,0.000352,1.218500
0.396556,0.017601,0.134756,0.570608,0.070819,0.779767,0.015136,0.000512,0.001472,0.001184,0.000544,1.219524
0.395211,0.017633,0.134980,0.593137,0.099907,0.831544,0.015713,0.000512,0.001504,0.001152,0.000384,1.269926
0.399819,0.017569,0.133316,0.571729,0.069506,0.777847,0.014784,0.000544,0.001536,0.001249,0.000608,1.220228
0.399148,0.017440,0.130532,0.572273,0.067170,0.773431,0.014593,0.000544,0.001536,0.001184,0.000672,1.214564
0.414380,0.017472,0.130660,0.588050,0.067458,0.789400,0.014720,0.000512,0.001504,0.001184,0.000384,1.246052
0.397803,0.017408,0.128932,0.573361,0.065858,0.771543,0.015328,0.000544,0.001440,0.001248,0.000641,1.212644
0.396588,0.017376,0.141701,0.571152,0.090723,0.807352,0.015777,0.000512,0.001568,0.000960,0.000352,1.246949
0.396332,0.017505,0.134372,0.570257,0.065249,0.773559,0.015264,0.000544,0.001536,0.001120,0.000416,1.212996
0.396300,0.017345,0.137444,0.566257,0.067170,0.774583,0.014944,0.000480,0.001536,0.001088,0.000384,1.212740
0.395596,0.017408,0.138693,0.587985,0.081602,0.811800,0.015137,0.000512,0.001504,0.000992,0.000672,1.249541
0.395020,0.017632,0.135332,0.569201,0.062594,0.770615,0.014912,0.000544,0.001376,0.001120,0.000416,1.207460
0.399244,0.017409,0.140004,0.569265,0.065378,0.778039,0.014720,0.000448,0.001408,0.001056,0.000640,1.219300
0.428141,0.017472,0.138085,0.575057,0.069122,0.787000,0.015520,0.000512,0.001504,0.001088,0.000576,1.258405
0.399916,0.017345,0.135428,0.566449,0.068930,0.774519,0.015008,0.000512,0.001376,0.000992,0.000416,1.216740
0.399916,0.017729,0.135780,0.566673,0.070370,0.776183,0.015552,0.000544,0.001568,0.001088,0.000640,1.220036
0.399884,0.017633,0.121827,0.568401,0.066658,0.760246,0.014657,0.000544,0.001472,0.001408,0.000672,1.203108
0.400460,0.017793,0.141220,0.570961,0.067906,0.783927,0.014913,0.000576,0.001536,0.001408,0.000608,1.229413
0.395627,0.017569,0.138756,0.584657,0.086755,0.813848,0.014752,0.000512,0.001568,0.001216,0.000608,1.252805
0.399403,0.018048,0.135620,0.583697,0.069347,0.793592,0.016256,0.000704,0.001536,0.001120,0.000416,1.238116
