Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-8],OUT[8],TEE[7-8],Layer[9],Layer[10],classifier
0.395883,0.017473,0.192070,0.005312,0.047041,0.000576,0.013729,0.105411,0.034241,0.058978,0.201574,0.001216,0.000320,0.881786
0.396043,0.017409,0.192070,0.004896,0.047137,0.000864,0.013825,0.111555,0.042593,0.062530,0.219910,0.001440,0.000352,0.900730
0.394955,0.017537,0.191941,0.004897,0.063522,0.000864,0.013952,0.105539,0.034337,0.061122,0.204198,0.001184,0.000352,0.900282
0.394891,0.017504,0.191750,0.004832,0.047169,0.000800,0.013697,0.107075,0.034529,0.060290,0.204774,0.001344,0.000352,0.883962
0.395371,0.017377,0.192070,0.004864,0.047233,0.000800,0.013793,0.099811,0.044033,0.062562,0.209254,0.001408,0.000352,0.888954
0.394572,0.017504,0.191750,0.005120,0.047138,0.000800,0.013728,0.109475,0.036513,0.066050,0.215366,0.001440,0.000384,0.895291
0.412460,0.018016,0.191750,0.005344,0.048066,0.000832,0.013696,0.109699,0.038433,0.066274,0.217382,0.001409,0.000352,0.916667
0.394252,0.017952,0.192166,0.004928,0.048546,0.001120,0.013728,0.108099,0.035298,0.060769,0.207078,0.001536,0.000352,0.888122
0.394188,0.017952,0.191590,0.004896,0.048130,0.000576,0.013792,0.105315,0.040417,0.061537,0.210246,0.001504,0.000384,0.889626
0.395724,0.017857,0.192101,0.005280,0.047330,0.001056,0.013728,0.132228,0.035841,0.061986,0.233287,0.001408,0.000416,0.915419
0.395340,0.017601,0.191525,0.005280,0.047458,0.000640,0.013696,0.103011,0.036481,0.060898,0.203270,0.001312,0.000384,0.882810
0.395948,0.017953,0.191941,0.005089,0.047041,0.000576,0.013824,0.108292,0.036705,0.070338,0.218375,0.001440,0.000640,0.899803
0.395435,0.017825,0.191462,0.005344,0.047137,0.000544,0.013697,0.107363,0.035841,0.061410,0.207590,0.001568,0.000384,0.887482
0.427980,0.017953,0.192069,0.005249,0.047169,0.000800,0.013760,0.107844,0.036161,0.060130,0.207207,0.001728,0.000416,0.920859
0.394444,0.017729,0.191429,0.005312,0.047106,0.000800,0.013760,0.103747,0.035521,0.061794,0.203782,0.001344,0.000384,0.882458
0.394284,0.017568,0.191590,0.005248,0.047010,0.000576,0.013760,0.105507,0.035073,0.061826,0.205414,0.001312,0.000352,0.883642
0.394892,0.017440,0.191686,0.005024,0.047042,0.000576,0.013696,0.108515,0.053058,0.088386,0.253128,0.001472,0.000384,0.932252
0.395372,0.017537,0.191717,0.004832,0.047074,0.000832,0.013856,0.102883,0.045218,0.063202,0.214183,0.001536,0.000320,0.893755
0.395500,0.017921,0.191397,0.004832,0.047041,0.000800,0.013568,0.104835,0.035714,0.061121,0.204518,0.001408,0.000352,0.883482
0.395788,0.017888,0.192901,0.005280,0.047202,0.000832,0.013792,0.116100,0.036257,0.064738,0.220583,0.001536,0.000448,0.904603
0.408364,0.017345,0.191973,0.005313,0.047393,0.000832,0.013728,0.113092,0.035841,0.061378,0.213479,0.001536,0.000416,0.907227
0.394956,0.017408,0.192134,0.005312,0.047938,0.000800,0.013728,0.111555,0.036161,0.062690,0.213862,0.001216,0.000352,0.894554
0.394988,0.017313,0.191781,0.005281,0.047105,0.000608,0.013728,0.106884,0.035937,0.062114,0.207911,0.001440,0.000352,0.887259
0.394700,0.017216,0.191558,0.004832,0.047105,0.000640,0.013761,0.105315,0.036545,0.107299,0.252615,0.001440,0.000448,0.930843
0.394956,0.017472,0.191750,0.004864,0.047042,0.000864,0.013728,0.104643,0.036129,0.062242,0.205926,0.001376,0.000384,0.885050
0.394412,0.017472,0.191750,0.005152,0.047074,0.000576,0.013696,0.102499,0.038913,0.065346,0.209734,0.001440,0.000384,0.888410
0.394636,0.017313,0.191717,0.004865,0.047169,0.000832,0.013760,0.099939,0.037794,0.064513,0.205318,0.001344,0.000384,0.884219
0.415309,0.017536,0.191942,0.004960,0.047105,0.001057,0.013824,0.106467,0.040577,0.089539,0.239655,0.001312,0.000320,0.939772
0.394827,0.017696,0.192326,0.005312,0.047233,0.000832,0.013793,0.109539,0.044833,0.061026,0.218470,0.001312,0.000352,0.898554
0.397868,0.017857,0.192133,0.004865,0.047105,0.000864,0.013760,0.109188,0.041857,0.061410,0.215559,0.001568,0.000416,0.899099
0.395915,0.017697,0.192326,0.005344,0.047393,0.000768,0.013729,0.117955,0.054786,0.079778,0.256583,0.001568,0.000384,0.939995
0.397868,0.017952,0.192390,0.005344,0.048194,0.000992,0.014560,0.145701,0.047137,0.061090,0.257224,0.002720,0.001056,0.949116
0.395500,0.017632,0.191270,0.004992,0.048418,0.000832,0.013984,0.109059,0.035553,0.058914,0.206758,0.001632,0.000352,0.888858
0.395403,0.017665,0.191750,0.004800,0.048001,0.000832,0.014881,0.108771,0.038145,0.071106,0.221190,0.001728,0.000480,0.903994
0.408172,0.017856,0.192166,0.004864,0.048001,0.000864,0.013793,0.110435,0.044514,0.061089,0.219302,0.001312,0.000384,0.913370
0.394859,0.017761,0.191845,0.004865,0.048065,0.000608,0.013696,0.109123,0.039233,0.058658,0.210151,0.001344,0.000384,0.890874
0.395435,0.017921,0.191494,0.004832,0.047937,0.000608,0.013761,0.106339,0.035649,0.059394,0.204422,0.001280,0.000608,0.885114
0.398731,0.017856,0.191750,0.004864,0.065794,0.000960,0.014144,0.108324,0.045345,0.060834,0.217223,0.001216,0.000576,0.920187
0.395148,0.017601,0.191045,0.005249,0.049217,0.001024,0.013856,0.107940,0.035873,0.062178,0.208871,0.001312,0.000352,0.890267
0.395947,0.017985,0.192966,0.005248,0.048097,0.000864,0.013665,0.110659,0.032961,0.058498,0.205222,0.001600,0.000448,0.889530
0.396076,0.017792,0.191750,0.005408,0.048642,0.000576,0.013728,0.108035,0.033121,0.057858,0.201990,0.001536,0.000352,0.884794
0.414092,0.017920,0.191942,0.004992,0.047745,0.000864,0.013761,0.113027,0.036225,0.059362,0.211846,0.001280,0.000320,0.912475
0.395147,0.017536,0.191270,0.005312,0.047265,0.000640,0.013729,0.108003,0.040129,0.062530,0.213862,0.001696,0.000352,0.893210
0.394892,0.017344,0.191878,0.004960,0.047650,0.000800,0.013728,0.106467,0.036001,0.059298,0.204710,0.001280,0.000320,0.884506
0.395372,0.017505,0.192005,0.005280,0.047874,0.000608,0.013728,0.131172,0.038529,0.063426,0.236231,0.001728,0.000608,0.918043
0.395340,0.017312,0.191462,0.005280,0.048162,0.000800,0.014432,0.108835,0.041730,0.062049,0.215815,0.001344,0.000416,0.896891
0.395308,0.017409,0.191333,0.005376,0.048034,0.000800,0.013952,0.106531,0.036738,0.057857,0.204070,0.001216,0.000288,0.883610
0.396524,0.017504,0.191686,0.005184,0.048418,0.000832,0.013792,0.105699,0.035777,0.057378,0.201894,0.001376,0.000288,0.884410
0.412652,0.017441,0.191973,0.005025,0.047873,0.000864,0.013728,0.106052,0.035329,0.058401,0.202758,0.001313,0.000320,0.900475
0.400044,0.017697,0.192230,0.005344,0.047841,0.000864,0.013729,0.108515,0.041761,0.061058,0.214950,0.001568,0.000416,0.902395
0.397484,0.017825,0.192069,0.005344,0.047778,0.000832,0.013632,0.111908,0.045441,0.060866,0.221351,0.001312,0.000416,0.904731
0.395276,0.017792,0.191526,0.004800,0.047905,0.000865,0.013696,0.123460,0.042049,0.060546,0.229287,0.001440,0.000416,0.910555
0.395211,0.017505,0.191845,0.004865,0.049057,0.000800,0.013825,0.104963,0.036065,0.058466,0.202438,0.001248,0.000352,0.883546
0.394924,0.017889,0.192005,0.005281,0.047777,0.000864,0.013696,0.108356,0.041793,0.060578,0.213703,0.001504,0.000352,0.894843
0.396299,0.017473,0.191782,0.005248,0.047553,0.000832,0.013729,0.104451,0.035553,0.058530,0.201798,0.001408,0.000384,0.883162
0.413485,0.017824,0.191718,0.005408,0.047874,0.001056,0.013824,0.108291,0.035649,0.058402,0.205574,0.001440,0.000384,0.905851
0.395820,0.017824,0.191398,0.005280,0.047682,0.000832,0.014208,0.108195,0.037761,0.057794,0.206598,0.001408,0.000320,0.887130
0.395276,0.017760,0.191750,0.005152,0.047810,0.000800,0.013728,0.108003,0.035169,0.057442,0.203782,0.001536,0.000352,0.884410
0.395276,0.017792,0.191878,0.005280,0.047394,0.000768,0.013824,0.106275,0.037569,0.083619,0.230471,0.001408,0.000352,0.910811
0.396204,0.017888,0.191782,0.005440,0.047202,0.000576,0.013760,0.108963,0.034241,0.059266,0.205670,0.001664,0.000384,0.887802
0.396268,0.017633,0.191397,0.005280,0.048162,0.000736,0.014368,0.112036,0.036673,0.059202,0.210855,0.001568,0.000384,0.893499
0.395436,0.017472,0.192294,0.004864,0.047937,0.000864,0.014305,0.106467,0.038529,0.058146,0.206406,0.001504,0.000352,0.887962
0.414348,0.017729,0.191877,0.005025,0.049857,0.000832,0.014049,0.108835,0.042657,0.060130,0.214982,0.001312,0.000384,0.917083
0.394923,0.017729,0.192198,0.004832,0.047841,0.000832,0.013889,0.106659,0.032673,0.057090,0.199494,0.001376,0.000352,0.880698
0.395180,0.017953,0.192165,0.004833,0.048001,0.000608,0.013760,0.106436,0.033697,0.057377,0.200646,0.001376,0.000416,0.881307
0.394412,0.017921,0.191525,0.005120,0.047810,0.000832,0.013920,0.107524,0.035489,0.082498,0.229287,0.001536,0.000384,0.908891
0.395820,0.017536,0.191686,0.004832,0.047362,0.000832,0.013696,0.108067,0.034945,0.059362,0.205382,0.001504,0.000416,0.885466
0.394316,0.017600,0.191622,0.005280,0.047329,0.000800,0.013728,0.105251,0.039073,0.057698,0.205222,0.001376,0.000416,0.884602
0.394764,0.017600,0.191238,0.005280,0.047137,0.000832,0.013761,0.108227,0.032801,0.056706,0.200710,0.001248,0.000320,0.879418
0.417325,0.018240,0.191750,0.005184,0.048866,0.001056,0.014272,0.116900,0.038721,0.059042,0.218183,0.001760,0.000640,0.925116
0.395852,0.017600,0.191398,0.005056,0.048097,0.000832,0.014529,0.116419,0.044610,0.061122,0.225255,0.001696,0.000384,0.907611
0.395563,0.017505,0.191718,0.005344,0.048129,0.000864,0.014369,0.110339,0.045729,0.061346,0.220262,0.001760,0.000352,0.902906
0.395116,0.017729,0.191557,0.004864,0.048578,0.000608,0.014112,0.108707,0.044897,0.083394,0.241255,0.001792,0.000448,0.923964
0.394700,0.017985,0.191461,0.005345,0.047777,0.000800,0.013792,0.107716,0.044545,0.060578,0.215911,0.001504,0.000384,0.896251
0.394827,0.017857,0.191398,0.005248,0.049409,0.000832,0.013825,0.108195,0.035969,0.059490,0.206950,0.001792,0.000352,0.888762
0.395435,0.017633,0.191461,0.005025,0.048577,0.000640,0.013889,0.106531,0.036257,0.061826,0.207686,0.001472,0.000384,0.888762
0.415596,0.017697,0.191781,0.005408,0.047714,0.000864,0.013696,0.108644,0.035297,0.059745,0.206758,0.001664,0.000384,0.908059
0.395372,0.018304,0.191334,0.004992,0.048290,0.000800,0.014592,0.104835,0.037601,0.058274,0.204102,0.001504,0.000384,0.885914
0.398700,0.017632,0.191494,0.005312,0.048610,0.000832,0.014752,0.110148,0.042657,0.060162,0.215783,0.001632,0.000608,0.902587
0.395564,0.017504,0.191590,0.004864,0.049698,0.000800,0.014016,0.104579,0.035681,0.058530,0.201670,0.001312,0.000352,0.883994
0.396107,0.017825,0.191494,0.005312,0.048417,0.000800,0.013857,0.112579,0.042561,0.060290,0.218278,0.001600,0.000352,0.900730
0.395404,0.017473,0.191365,0.005345,0.048097,0.000800,0.013760,0.108836,0.035937,0.057506,0.205255,0.001632,0.000608,0.886331
0.394412,0.017377,0.191461,0.005248,0.047330,0.000576,0.013664,0.106115,0.035458,0.057889,0.202502,0.001472,0.000352,0.880602
0.410284,0.017601,0.191845,0.005313,0.047041,0.000896,0.013760,0.103811,0.037698,0.055169,0.199526,0.001536,0.000352,0.895002
0.395500,0.017568,0.191206,0.005024,0.047042,0.000800,0.013760,0.106851,0.033345,0.057090,0.200326,0.001472,0.000352,0.879962
0.395276,0.017760,0.191430,0.004896,0.047073,0.000800,0.013697,0.106819,0.035809,0.058914,0.204870,0.001312,0.000608,0.884538
0.394827,0.017793,0.191334,0.004800,0.047041,0.000832,0.013761,0.105987,0.036161,0.058370,0.203718,0.001440,0.000352,0.882074
0.394347,0.017729,0.191366,0.005280,0.047137,0.000576,0.013761,0.106179,0.036609,0.058146,0.203814,0.001824,0.000352,0.882362
0.396523,0.017633,0.191781,0.004801,0.047073,0.000608,0.013728,0.109187,0.035777,0.059554,0.207558,0.001664,0.000384,0.889147
0.394860,0.017504,0.191494,0.004832,0.047105,0.000608,0.013761,0.107171,0.035937,0.059170,0.205318,0.001248,0.000384,0.884442
0.395980,0.017632,0.210023,0.005472,0.047137,0.000800,0.013825,0.109955,0.035585,0.059170,0.207942,0.001312,0.000608,0.907835
0.394699,0.017601,0.191430,0.005056,0.047169,0.000608,0.013761,0.106883,0.035905,0.058882,0.204518,0.001312,0.000288,0.882970
0.394571,0.017761,0.191397,0.005281,0.047329,0.000832,0.013760,0.103459,0.039361,0.057313,0.203046,0.001280,0.000289,0.881402
0.395467,0.017793,0.191302,0.004992,0.046977,0.000576,0.013729,0.109891,0.033281,0.057570,0.203430,0.001344,0.000320,0.883034
0.411021,0.017824,0.191430,0.005120,0.047937,0.000832,0.013505,0.108899,0.038401,0.057698,0.207846,0.001504,0.000416,0.903931
0.395339,0.017632,0.191974,0.005088,0.047105,0.000832,0.013825,0.108419,0.035937,0.060578,0.207814,0.001504,0.000352,0.888282
0.394987,0.017761,0.191334,0.005408,0.047073,0.000832,0.014049,0.107075,0.035169,0.061026,0.205958,0.001376,0.000384,0.885754
0.394923,0.017761,0.210118,0.005408,0.047138,0.000864,0.013536,0.107363,0.036322,0.058753,0.205158,0.001248,0.000352,0.903802
0.396716,0.017569,0.191621,0.004928,0.047106,0.001056,0.013856,0.110788,0.036321,0.059105,0.209158,0.001376,0.000352,0.890715
0.396267,0.017505,0.191301,0.004865,0.047073,0.000608,0.013792,0.101667,0.036705,0.060513,0.201734,0.001440,0.000320,0.881114
0.397931,0.017729,0.191558,0.005248,0.047105,0.000544,0.014049,0.108867,0.040801,0.060226,0.212774,0.001536,0.000448,0.895898
0.411116,0.018017,0.191622,0.005312,0.047073,0.000608,0.013761,0.105283,0.044609,0.060450,0.213158,0.001312,0.000320,0.908859
0.396012,0.017952,0.191270,0.005248,0.047041,0.000609,0.013696,0.108451,0.040833,0.060290,0.212518,0.001536,0.000416,0.892794
0.395692,0.017377,0.191333,0.004864,0.047010,0.000576,0.013792,0.104227,0.044226,0.064578,0.215943,0.001440,0.000352,0.895643
0.395564,0.017504,0.191622,0.005536,0.065154,0.000864,0.014177,0.106307,0.035969,0.058818,0.203942,0.001280,0.000384,0.902779
0.394572,0.017568,0.191493,0.004928,0.047042,0.000800,0.013792,0.106691,0.035617,0.059778,0.204998,0.001440,0.000384,0.883610
0.394508,0.017856,0.191750,0.004896,0.047041,0.001024,0.013825,0.103171,0.044193,0.059266,0.209478,0.001376,0.000416,0.887738
0.394475,0.017761,0.191718,0.005312,0.046913,0.000832,0.013729,0.101155,0.035617,0.058401,0.198085,0.001280,0.000352,0.876282
0.413324,0.018017,0.191814,0.004832,0.047265,0.000832,0.013761,0.107619,0.036929,0.057314,0.204774,0.001504,0.000320,0.903739
0.395212,0.020737,0.192645,0.005089,0.047137,0.000864,0.013792,0.111428,0.034849,0.059042,0.208231,0.001600,0.000384,0.902267
0.395467,0.017953,0.191654,0.004896,0.046977,0.000608,0.013697,0.101155,0.032257,0.055425,0.191749,0.001376,0.000608,0.871193
0.394860,0.017537,0.191653,0.004832,0.047042,0.000576,0.013760,0.124324,0.043265,0.069506,0.240071,0.001248,0.000288,0.918203
0.394572,0.017856,0.191366,0.004896,0.047009,0.001056,0.013729,0.102755,0.035169,0.058818,0.199654,0.001152,0.000352,0.877274
0.395179,0.017921,0.191077,0.004865,0.047457,0.000832,0.013792,0.101154,0.042561,0.060258,0.206791,0.001248,0.000320,0.886202
0.395371,0.017761,0.191270,0.005312,0.047009,0.000576,0.013793,0.098915,0.033441,0.055745,0.190821,0.001184,0.000288,0.869625
0.411724,0.017185,0.191622,0.004928,0.046977,0.000800,0.013761,0.102467,0.039905,0.057570,0.202854,0.001536,0.000320,0.898683
0.394476,0.017857,0.191493,0.004896,0.047202,0.000832,0.013728,0.102243,0.035105,0.057826,0.197830,0.001280,0.000288,0.875770
0.394667,0.017473,0.191429,0.005281,0.046881,0.000640,0.013696,0.103620,0.045121,0.060770,0.212391,0.001280,0.000320,0.890202
0.396236,0.018049,0.193318,0.004864,0.047425,0.000832,0.013793,0.116387,0.036321,0.059618,0.215494,0.001344,0.000352,0.899867
0.396428,0.017889,0.191909,0.005056,0.047393,0.000832,0.013856,0.109028,0.036289,0.059649,0.207879,0.001376,0.000416,0.889979
0.394315,0.017569,0.191525,0.004929,0.047329,0.001024,0.013696,0.102019,0.033857,0.057441,0.196262,0.001280,0.000352,0.874713
0.394924,0.017408,0.191590,0.005280,0.046978,0.000640,0.013696,0.104355,0.036833,0.061282,0.205350,0.001248,0.000384,0.883546
0.395244,0.034113,0.191813,0.004833,0.047041,0.000832,0.013760,0.105348,0.041537,0.060610,0.210439,0.001536,0.000352,0.906811
0.394187,0.017633,0.191334,0.004864,0.046977,0.000608,0.013665,0.101859,0.032225,0.055361,0.192197,0.001248,0.000320,0.869337
0.394572,0.017376,0.191334,0.004864,0.047010,0.000576,0.013728,0.103235,0.033185,0.055810,0.195046,0.001184,0.000352,0.872858
0.395339,0.017697,0.191366,0.005280,0.047105,0.000512,0.013729,0.104163,0.035809,0.059010,0.201766,0.001248,0.000320,0.880602
0.394539,0.017793,0.191174,0.005312,0.047169,0.000640,0.013537,0.100963,0.041633,0.061506,0.207046,0.001248,0.000288,0.885050
0.395020,0.017793,0.191429,0.004928,0.047042,0.000864,0.013696,0.101603,0.035617,0.057730,0.197798,0.001120,0.000288,0.876314
0.394348,0.017568,0.191526,0.005312,0.047073,0.000800,0.013697,0.109539,0.036385,0.059458,0.208262,0.001408,0.000352,0.887962
0.395276,0.017888,0.210086,0.005409,0.047361,0.001056,0.013504,0.107972,0.034817,0.058369,0.204006,0.001121,0.000384,0.903259
0.394636,0.018017,0.191493,0.004896,0.046978,0.000576,0.013728,0.101347,0.032577,0.056130,0.192646,0.001184,0.000320,0.871002
0.395211,0.017889,0.191365,0.004897,0.046977,0.000576,0.013696,0.104196,0.038657,0.056897,0.202694,0.001184,0.000320,0.881178
0.394636,0.017728,0.191110,0.005280,0.046977,0.000833,0.013696,0.101443,0.043681,0.060034,0.207974,0.001120,0.000352,0.886138
0.407180,0.017824,0.191430,0.005312,0.047042,0.000832,0.013696,0.100259,0.036865,0.057410,0.197350,0.001280,0.000288,0.888602
0.395212,0.017761,0.191173,0.004833,0.047041,0.000832,0.013792,0.103779,0.035457,0.056769,0.200358,0.001280,0.000320,0.879546
0.394764,0.017600,0.191462,0.004832,0.046914,0.000608,0.013696,0.101923,0.038209,0.057154,0.199942,0.001408,0.000320,0.878010
0.395020,0.017952,0.191590,0.005280,0.046977,0.000800,0.013857,0.122723,0.044930,0.064482,0.235239,0.001312,0.000352,0.915035
0.394315,0.017953,0.191429,0.004865,0.047041,0.000864,0.013664,0.101187,0.034113,0.055617,0.193702,0.001344,0.000320,0.871769
0.395916,0.017792,0.192870,0.005056,0.047394,0.000544,0.013696,0.106211,0.032321,0.056514,0.197990,0.001344,0.000384,0.880762
0.395500,0.017824,0.192870,0.005152,0.047202,0.000800,0.014080,0.107203,0.034945,0.057922,0.202886,0.001216,0.000352,0.884474
0.413868,0.018017,0.191654,0.005312,0.047265,0.000800,0.013729,0.107651,0.037697,0.060898,0.209030,0.001728,0.000352,0.908251
0.395436,0.017537,0.191621,0.004865,0.047041,0.000576,0.013856,0.097891,0.040002,0.056513,0.197222,0.001344,0.000320,0.876570
0.394668,0.017536,0.191910,0.005408,0.046945,0.000544,0.013536,0.127428,0.053249,0.085635,0.269160,0.001408,0.000384,0.947900
0.394956,0.017664,0.191494,0.004864,0.047009,0.000608,0.013633,0.111363,0.049442,0.071106,0.234823,0.001536,0.000416,0.913435
0.394859,0.017953,0.191334,0.004832,0.046977,0.000608,0.013729,0.103587,0.036097,0.057794,0.200422,0.001504,0.000352,0.879194
0.394412,0.017888,0.191493,0.005280,0.047234,0.000832,0.013472,0.103203,0.037569,0.056418,0.199814,0.001120,0.000352,0.878202
0.394283,0.017921,0.191334,0.004832,0.047233,0.000576,0.013473,0.102659,0.043873,0.059778,0.208998,0.001280,0.000384,0.886970
0.412941,0.017600,0.191878,0.005312,0.047042,0.000608,0.013664,0.135204,0.041281,0.063778,0.243015,0.001184,0.000320,0.939932
0.396364,0.018048,0.193958,0.005376,0.047041,0.000609,0.013760,0.108675,0.037697,0.059522,0.208934,0.001408,0.000384,0.893306
0.395660,0.017920,0.192806,0.005280,0.047106,0.000608,0.013760,0.102115,0.037377,0.061410,0.203878,0.001344,0.000352,0.885530
0.395020,0.017952,0.192166,0.005280,0.047137,0.000832,0.013473,0.105123,0.035777,0.059170,0.202950,0.001536,0.000320,0.883290
0.395308,0.017824,0.191878,0.004864,0.047042,0.000800,0.013696,0.102755,0.037473,0.058882,0.201894,0.001216,0.000320,0.881306
0.396139,0.017633,0.191686,0.005280,0.047201,0.000608,0.013505,0.095395,0.036993,0.057313,0.192421,0.001472,0.000352,0.872729
0.394732,0.017472,0.192038,0.004992,0.047041,0.000608,0.013729,0.100771,0.037121,0.071010,0.211622,0.001248,0.000288,0.890234
0.394636,0.017536,0.210150,0.005441,0.047201,0.000832,0.013728,0.108068,0.035585,0.058914,0.205383,0.001248,0.000288,0.903899
0.394924,0.017473,0.191781,0.004832,0.047010,0.000832,0.013728,0.103075,0.041762,0.060097,0.207878,0.001376,0.000352,0.886650
0.394764,0.017504,0.191494,0.004800,0.047010,0.001056,0.013696,0.107299,0.035233,0.059042,0.204390,0.001184,0.000288,0.883034
0.394955,0.017761,0.191622,0.004896,0.047041,0.000832,0.013729,0.107235,0.044993,0.060482,0.215430,0.001152,0.000288,0.893818
0.395852,0.017857,0.192389,0.004865,0.047105,0.000832,0.014208,0.113988,0.036513,0.059714,0.213447,0.001504,0.000416,0.896187
0.395787,0.017345,0.192294,0.004768,0.047329,0.000736,0.013697,0.098115,0.037057,0.056161,0.194757,0.001216,0.000416,0.874329
0.395692,0.017504,0.191590,0.004896,0.047425,0.000512,0.013857,0.100515,0.042017,0.065282,0.210886,0.001376,0.000384,0.890330
0.396044,0.017441,0.205798,0.005216,0.047201,0.000832,0.013441,0.088930,0.035777,0.055201,0.182949,0.001312,0.000352,0.876794
