Layer[0],Layer[1],Layer[2],IN[3],INFER[3-6],OUT[6],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.414979,0.017216,0.202242,0.121696,0.108801,0.060833,0.294754,0.000800,0.002112,0.000864,0.000384,0.937895
0.415075,0.017248,0.215330,0.120129,0.100545,0.061728,0.286114,0.000768,0.002144,0.000832,0.000320,0.942983
0.416579,0.017344,0.202177,0.139937,0.097153,0.062016,0.302818,0.000800,0.002208,0.000832,0.000384,0.948006
0.415459,0.017504,0.202594,0.158273,0.100001,0.063424,0.325122,0.000832,0.002272,0.000992,0.000352,0.970983
0.414947,0.017888,0.202561,0.127809,0.096321,0.061888,0.289634,0.000864,0.002048,0.000864,0.000384,0.934150
0.415139,0.017344,0.203042,0.124192,0.111809,0.062369,0.301890,0.000832,0.002336,0.000864,0.000320,0.946759
0.414947,0.017440,0.202498,0.155873,0.096225,0.061184,0.316642,0.000672,0.002112,0.000928,0.000320,0.960359
0.415651,0.017408,0.202689,0.120737,0.109889,0.062272,0.296290,0.000768,0.002240,0.000864,0.000320,0.941127
0.415459,0.031328,0.203522,0.143073,0.096096,0.060737,0.303362,0.000736,0.001984,0.000832,0.000320,0.962695
0.415011,0.017120,0.203905,0.128993,0.095873,0.059488,0.287650,0.000768,0.002112,0.000768,0.000288,0.933094
0.414691,0.017152,0.202177,0.146337,0.108033,0.063073,0.320995,0.000832,0.002048,0.000736,0.000288,0.963527
0.415075,0.017248,0.203010,0.138785,0.112129,0.082816,0.337122,0.001248,0.002624,0.000928,0.000416,0.982919
0.415491,0.017376,0.201954,0.111136,0.098657,0.060865,0.274018,0.000736,0.002304,0.000896,0.000352,0.918087
0.417187,0.017568,0.202402,0.132193,0.100513,0.065408,0.302114,0.000736,0.002432,0.000960,0.000352,0.951335
0.415235,0.017376,0.202433,0.129249,0.113057,0.069697,0.315811,0.000832,0.002144,0.000992,0.000352,0.961703
