Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.419907,0.017248,0.203489,0.004800,0.046849,0.000544,0.013504,0.000352,0.001376,0.000896,0.100864,0.035553,0.000064,0.138753,0.853926
0.414883,0.017248,0.203298,0.004832,0.046816,0.000512,0.013408,0.000576,0.001344,0.000960,0.116769,0.034432,0.000064,0.153473,0.863334
0.437283,0.017280,0.203042,0.004768,0.047168,0.000544,0.013888,0.000384,0.001408,0.001024,0.104705,0.033344,0.000032,0.140577,0.874662
0.415523,0.017472,0.202530,0.004832,0.046976,0.000608,0.013824,0.000352,0.001408,0.000960,0.100801,0.038976,0.000064,0.142305,0.852742
0.415427,0.017408,0.202689,0.004864,0.046977,0.000480,0.013568,0.000352,0.001408,0.000928,0.095968,0.036353,0.000064,0.134817,0.845062
0.416675,0.017281,0.202881,0.004864,0.047328,0.000544,0.013537,0.000384,0.001472,0.000896,0.106528,0.038657,0.000032,0.147873,0.861319
0.416899,0.017504,0.203394,0.004800,0.047200,0.000512,0.013568,0.000352,0.001440,0.001120,0.128449,0.052609,0.000064,0.183682,0.897543
0.415875,0.017537,0.203937,0.004800,0.047616,0.000608,0.013504,0.000384,0.001440,0.001248,0.105185,0.035873,0.000064,0.143362,0.857479
0.419971,0.017568,0.204034,0.004896,0.048704,0.000608,0.013472,0.000384,0.001472,0.001344,0.102561,0.030336,0.000064,0.135521,0.853862
0.415939,0.017664,0.217698,0.004864,0.047328,0.000576,0.013472,0.000384,0.001376,0.000800,0.100449,0.029728,0.000064,0.132673,0.859622
0.415107,0.017664,0.202561,0.004864,0.046913,0.000608,0.013504,0.000384,0.001472,0.000960,0.103712,0.034113,0.000064,0.140289,0.850694
0.416291,0.017760,0.203330,0.004832,0.046912,0.000576,0.013504,0.000352,0.001408,0.001248,0.100833,0.038304,0.000064,0.141793,0.855110
0.419875,0.017696,0.203554,0.004864,0.046784,0.000576,0.013600,0.000352,0.001440,0.000928,0.100897,0.035776,0.000064,0.138977,0.855430
0.434947,0.017600,0.203074,0.004864,0.046976,0.000576,0.013600,0.000384,0.001376,0.001056,0.105601,0.032736,0.000064,0.140737,0.872422
0.416163,0.017600,0.202657,0.004800,0.047585,0.000512,0.013408,0.000384,0.001376,0.000992,0.096737,0.035456,0.000064,0.134881,0.846726
0.416035,0.017664,0.203393,0.004832,0.047296,0.000544,0.013569,0.000384,0.001504,0.001312,0.107072,0.035873,0.000032,0.145729,0.859078
0.415011,0.017632,0.202850,0.004896,0.048768,0.000576,0.013600,0.000384,0.001376,0.000896,0.117633,0.032097,0.000064,0.152610,0.865383
0.416227,0.017537,0.202657,0.004928,0.048736,0.000576,0.013600,0.000384,0.001472,0.001216,0.106753,0.035489,0.000064,0.144706,0.858151
0.415171,0.017632,0.203042,0.004896,0.048896,0.000512,0.013696,0.000384,0.001408,0.001184,0.104513,0.034496,0.000032,0.141697,0.855142
0.416195,0.017440,0.212802,0.004960,0.049664,0.000544,0.013728,0.000416,0.001376,0.000864,0.101057,0.032576,0.000096,0.136161,0.860806
0.416227,0.017472,0.217761,0.005184,0.049697,0.000640,0.013504,0.000608,0.001440,0.000864,0.095745,0.029888,0.000064,0.128225,0.858054
0.416675,0.017376,0.202497,0.004800,0.050241,0.000544,0.013888,0.000608,0.001376,0.001120,0.108736,0.034881,0.000064,0.146145,0.861574
0.416451,0.017985,0.202497,0.004864,0.049760,0.000576,0.013761,0.000576,0.001344,0.001248,0.095200,0.032128,0.000064,0.130048,0.845542
0.422595,0.017888,0.203778,0.004864,0.049952,0.000608,0.013888,0.000416,0.001376,0.001152,0.109761,0.032544,0.000064,0.145249,0.869510
0.434435,0.017632,0.203425,0.004832,0.049536,0.000545,0.013760,0.000384,0.001504,0.001088,0.113024,0.035201,0.000096,0.150977,0.885575
0.415523,0.017664,0.203073,0.004864,0.049536,0.000736,0.014464,0.000608,0.001632,0.001344,0.102944,0.033088,0.000064,0.140514,0.856743
0.415619,0.017472,0.202754,0.004992,0.050208,0.000544,0.014368,0.000384,0.001440,0.000992,0.107489,0.033856,0.000032,0.144513,0.859750
0.416067,0.017696,0.204578,0.004992,0.048736,0.000576,0.014176,0.000608,0.001408,0.001184,0.104993,0.032608,0.000032,0.142017,0.858790
0.416099,0.017728,0.202626,0.004864,0.049984,0.000736,0.014400,0.000608,0.001472,0.000864,0.100353,0.035392,0.000064,0.138657,0.854758
0.415331,0.017504,0.203265,0.004832,0.049825,0.000576,0.014176,0.000384,0.001504,0.001088,0.100225,0.031616,0.000064,0.135713,0.850534
0.416067,0.017440,0.203265,0.004864,0.049633,0.000480,0.013792,0.000384,0.001408,0.000960,0.120321,0.036032,0.000096,0.161569,0.876582
0.416675,0.017248,0.219041,0.005184,0.048161,0.000512,0.014112,0.000384,0.001504,0.000896,0.119969,0.040448,0.000096,0.164641,0.896390
0.416003,0.017568,0.202785,0.004864,0.048065,0.000768,0.014432,0.000576,0.001600,0.001312,0.106657,0.035712,0.000064,0.144993,0.860422
0.415523,0.017440,0.202529,0.004800,0.048545,0.000736,0.014176,0.000576,0.001664,0.001056,0.104000,0.037057,0.000032,0.144193,0.858214
0.417283,0.021313,0.203105,0.004800,0.048448,0.000800,0.013729,0.000576,0.001632,0.001568,0.115264,0.031233,0.000032,0.151393,0.874055
0.442371,0.017600,0.202721,0.004800,0.048033,0.000768,0.013984,0.000384,0.001440,0.001216,0.112609,0.034848,0.000064,0.150721,0.891910
