Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.415939,0.017536,0.202370,0.005472,0.046912,0.000768,0.013504,0.000352,0.107073,0.031680,0.055457,0.197218,0.001152,0.000352,0.908615
0.420643,0.017472,0.202881,0.004832,0.047137,0.000832,0.013472,0.000320,0.107009,0.035904,0.060224,0.206017,0.001344,0.000352,0.922406
0.416131,0.017504,0.203746,0.004800,0.047424,0.000896,0.013472,0.000416,0.103905,0.042048,0.060353,0.209730,0.001184,0.000416,0.923879
0.416675,0.017696,0.203009,0.004800,0.047073,0.000896,0.013472,0.000384,0.094657,0.032000,0.054880,0.184705,0.001824,0.000416,0.898822
0.415203,0.017728,0.202914,0.004800,0.047008,0.000864,0.013568,0.000320,0.106145,0.034080,0.057504,0.200641,0.001056,0.000416,0.911719
0.420579,0.017824,0.203746,0.004960,0.047712,0.000800,0.013728,0.000384,0.109153,0.041313,0.060064,0.213282,0.001216,0.000416,0.931431
0.417763,0.017664,0.224098,0.004992,0.046976,0.000832,0.013632,0.000384,0.108513,0.035616,0.058945,0.206402,0.001408,0.000480,0.942247
0.416419,0.017408,0.203649,0.005312,0.046785,0.000800,0.013600,0.000352,0.105216,0.034561,0.059296,0.202241,0.001088,0.000416,0.914790
0.415363,0.017248,0.203105,0.005312,0.047041,0.000640,0.013408,0.000352,0.105121,0.035168,0.059840,0.203169,0.000992,0.000288,0.913542
0.415171,0.017216,0.202818,0.004992,0.046816,0.000832,0.013440,0.000384,0.099041,0.031488,0.056032,0.189378,0.001216,0.000320,0.899271
0.414755,0.017248,0.202658,0.005248,0.046816,0.000800,0.013440,0.000352,0.100513,0.035968,0.058241,0.197538,0.001056,0.000384,0.906887
0.416483,0.017409,0.203169,0.005280,0.047040,0.000768,0.013377,0.000384,0.103808,0.034529,0.058592,0.199681,0.001056,0.000320,0.911719
0.417411,0.017504,0.203649,0.005280,0.047585,0.000800,0.013472,0.000384,0.107553,0.035808,0.061088,0.207425,0.001600,0.000416,0.923398
0.436675,0.017569,0.202913,0.004800,0.047168,0.001056,0.013600,0.000416,0.098273,0.034528,0.056577,0.192194,0.000960,0.000384,0.924871
0.414723,0.017312,0.202433,0.005216,0.047265,0.000864,0.013632,0.000352,0.105664,0.032320,0.055808,0.196833,0.001120,0.000384,0.907398
0.415075,0.017440,0.202977,0.005345,0.047104,0.000608,0.013408,0.000384,0.103617,0.032288,0.058592,0.197729,0.001216,0.000384,0.909158
0.415075,0.017440,0.202434,0.004800,0.047104,0.000576,0.013376,0.000352,0.106721,0.035328,0.060257,0.205666,0.001024,0.000320,0.914855
0.416835,0.017440,0.202593,0.004800,0.047616,0.000544,0.013505,0.000416,0.106400,0.034401,0.066336,0.209953,0.001056,0.000320,0.922054
0.416035,0.017376,0.202497,0.004832,0.047105,0.000608,0.013440,0.000352,0.106497,0.034944,0.059680,0.204097,0.001024,0.000288,0.914886
0.416035,0.017216,0.202658,0.005312,0.046848,0.000608,0.013472,0.000416,0.095073,0.033312,0.056705,0.188002,0.001088,0.000288,0.898567
0.429763,0.017313,0.202881,0.004800,0.046912,0.000576,0.013408,0.000416,0.125921,0.037857,0.057536,0.224162,0.000960,0.000288,0.947751
0.417027,0.017216,0.202561,0.005248,0.047169,0.000992,0.013472,0.000416,0.097889,0.035904,0.057856,0.194497,0.000992,0.000288,0.907078
0.415267,0.017664,0.202658,0.005312,0.047200,0.000832,0.013440,0.000384,0.109729,0.034048,0.057345,0.204162,0.001536,0.000384,0.917767
0.417443,0.017345,0.203073,0.005280,0.047136,0.000832,0.013473,0.000416,0.104864,0.057505,0.063776,0.229441,0.001312,0.000416,0.943047
0.416291,0.017216,0.202882,0.005056,0.046912,0.000800,0.013472,0.000352,0.103393,0.036768,0.058081,0.201282,0.000992,0.000416,0.912967
0.415075,0.017536,0.203458,0.004832,0.047136,0.000832,0.013440,0.000384,0.108961,0.035680,0.057793,0.205410,0.001152,0.000384,0.916263
0.415715,0.017632,0.202721,0.004832,0.047105,0.000608,0.013408,0.000352,0.097120,0.038625,0.056640,0.195361,0.001024,0.000416,0.906022
0.432835,0.017664,0.203041,0.004768,0.046913,0.000864,0.013440,0.000352,0.122657,0.031680,0.056384,0.213505,0.000992,0.000352,0.941510
0.414179,0.017152,0.202242,0.004832,0.047008,0.000896,0.013440,0.000352,0.125697,0.033216,0.055777,0.217538,0.000832,0.000288,0.924935
0.420643,0.017312,0.202402,0.004800,0.047776,0.000736,0.013504,0.000352,0.101825,0.034208,0.058913,0.197890,0.001152,0.000288,0.913543
0.415971,0.017408,0.202209,0.005280,0.047969,0.000768,0.013824,0.000352,0.138433,0.041472,0.060064,0.244161,0.001184,0.000320,0.956102
0.416323,0.017248,0.205090,0.005024,0.047168,0.000768,0.013504,0.000384,0.106113,0.031328,0.055521,0.195970,0.001120,0.000448,0.910087
0.420131,0.017760,0.202657,0.005056,0.047361,0.000832,0.013760,0.000352,0.107904,0.037185,0.069632,0.217697,0.001152,0.000448,0.934438
