Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.420675,0.017568,0.202657,0.004801,0.046880,0.000576,0.013408,0.105441,0.037504,0.059872,0.205921,0.000640,0.919398
0.415523,0.017472,0.203138,0.004864,0.047200,0.000576,0.013408,0.105825,0.035296,0.060897,0.204642,0.000576,0.913607
0.415171,0.017505,0.202369,0.005600,0.046816,0.000608,0.013441,0.104320,0.043265,0.060800,0.211521,0.000672,0.920071
0.437251,0.017664,0.202497,0.005281,0.047072,0.000576,0.013440,0.104577,0.036832,0.056992,0.201185,0.000576,0.931654
0.414915,0.017664,0.202818,0.005024,0.047392,0.000608,0.013376,0.106465,0.037280,0.058817,0.205634,0.000640,0.914439
0.417283,0.017665,0.203585,0.004864,0.047424,0.000608,0.013441,0.112928,0.038113,0.058720,0.213089,0.000704,0.925383
0.417059,0.017760,0.203585,0.004864,0.047201,0.000608,0.013376,0.123809,0.036480,0.057760,0.221697,0.000640,0.932806
0.416003,0.017536,0.203426,0.004832,0.046976,0.000640,0.013376,0.105569,0.037824,0.058209,0.204514,0.000672,0.913863
0.420163,0.017537,0.203681,0.005056,0.046912,0.000640,0.013377,0.097568,0.035584,0.057761,0.194145,0.000608,0.908199
0.415651,0.017696,0.203649,0.005312,0.046977,0.000576,0.013376,0.103392,0.037697,0.064160,0.208161,0.000512,0.917958
0.436227,0.017760,0.203010,0.004832,0.046880,0.000608,0.013536,0.107201,0.037056,0.061377,0.208610,0.000512,0.938279
0.415875,0.017441,0.203201,0.004832,0.046976,0.000544,0.013345,0.102816,0.038273,0.060288,0.204321,0.000512,0.912999
0.415075,0.017664,0.204929,0.005248,0.047585,0.000544,0.013408,0.103232,0.035489,0.057696,0.199585,0.000480,0.910310
0.415395,0.017472,0.202978,0.004800,0.067936,0.000672,0.013568,0.100481,0.035328,0.055489,0.194210,0.000512,0.924103
0.415811,0.017632,0.202722,0.004800,0.046944,0.000608,0.013344,0.108097,0.037280,0.058017,0.206754,0.000672,0.914983
0.415043,0.017792,0.202625,0.004800,0.047008,0.000608,0.013409,0.102176,0.038113,0.057152,0.200833,0.000768,0.909126
0.415907,0.017568,0.202497,0.005248,0.046945,0.000576,0.013440,0.104385,0.037600,0.059552,0.204353,0.000672,0.913350
0.437411,0.017728,0.204930,0.004832,0.047360,0.000640,0.013376,0.105857,0.038688,0.058049,0.205538,0.000608,0.938151
0.416835,0.017632,0.202946,0.004864,0.047136,0.000608,0.013376,0.106785,0.036256,0.057377,0.203490,0.000640,0.913895
0.415171,0.017632,0.202785,0.004864,0.046945,0.000576,0.013408,0.105921,0.037440,0.059232,0.205505,0.000640,0.913382
0.415363,0.017504,0.202498,0.005088,0.047488,0.000608,0.013408,0.104513,0.036864,0.056225,0.200674,0.000576,0.929383
