Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.416195,0.017440,0.202081,0.004928,0.048193,0.000800,0.014464,0.000352,0.001472,0.109857,0.037344,0.060160,0.210657,0.923686
0.415523,0.017472,0.202978,0.005184,0.048672,0.000832,0.014368,0.000352,0.001760,0.107393,0.037472,0.059041,0.207426,0.922151
0.416067,0.017249,0.202625,0.005056,0.048064,0.000800,0.014145,0.000352,0.001632,0.105728,0.039681,0.081792,0.231169,0.944743
0.415715,0.017472,0.202594,0.004992,0.047616,0.000800,0.013536,0.000352,0.001600,0.098113,0.035360,0.064001,0.201666,0.913895
0.415363,0.017408,0.203234,0.005056,0.048992,0.000832,0.014080,0.000416,0.001568,0.105857,0.036416,0.059073,0.204866,0.919271
0.415907,0.017440,0.202273,0.005216,0.048481,0.000800,0.013760,0.000352,0.001664,0.097216,0.037601,0.056768,0.194977,0.907558
0.435203,0.017312,0.203329,0.005120,0.048672,0.000768,0.013952,0.000416,0.001504,0.108481,0.038240,0.058753,0.208866,0.942151
0.415139,0.017184,0.202370,0.004960,0.048576,0.000768,0.013856,0.000384,0.001600,0.103937,0.037792,0.058753,0.203650,0.915687
0.415939,0.017248,0.202241,0.005088,0.048544,0.000768,0.013409,0.000416,0.001504,0.104192,0.037825,0.058880,0.204129,0.916198
0.415587,0.017216,0.202305,0.005184,0.048065,0.000576,0.013440,0.000384,0.001376,0.160097,0.053632,0.062529,0.279810,0.990727
0.415683,0.017248,0.202401,0.005216,0.049217,0.000800,0.013984,0.000384,0.001504,0.107552,0.036449,0.059648,0.206881,0.920454
0.416483,0.017408,0.202433,0.005056,0.047873,0.000800,0.013664,0.000352,0.001504,0.110145,0.038656,0.057632,0.209793,0.921766
0.417091,0.017504,0.202178,0.005056,0.048096,0.000800,0.013888,0.000416,0.001376,0.109025,0.032704,0.057249,0.202562,0.916583
0.430435,0.017344,0.202177,0.005152,0.048033,0.000544,0.013664,0.000384,0.001440,0.107936,0.038880,0.056864,0.206849,0.932902
0.416003,0.017408,0.202113,0.005088,0.048353,0.000832,0.013504,0.000352,0.001536,0.105441,0.036352,0.058496,0.203329,0.915846
0.415555,0.017344,0.202306,0.005248,0.048064,0.000768,0.013504,0.000352,0.001504,0.104129,0.037984,0.058529,0.203650,0.915143
0.415299,0.017344,0.202530,0.004768,0.062496,0.000896,0.013697,0.000576,0.001376,0.100832,0.037313,0.057440,0.198881,0.925191
0.416003,0.017440,0.201953,0.005152,0.047521,0.000800,0.013888,0.000384,0.001536,0.102976,0.031872,0.056736,0.194785,0.906342
0.415715,0.017376,0.202401,0.005216,0.047745,0.000800,0.013504,0.000352,0.001440,0.108801,0.036800,0.058240,0.207425,0.918790
0.415043,0.017248,0.202210,0.004800,0.049920,0.000544,0.013408,0.000416,0.001472,0.100929,0.038464,0.056801,0.199682,0.911111
0.433219,0.017793,0.202305,0.004896,0.048192,0.000768,0.013569,0.000416,0.001472,0.109280,0.036257,0.058368,0.207361,0.937511
0.415619,0.017376,0.202817,0.004897,0.048896,0.000800,0.013984,0.000384,0.001504,0.115393,0.035104,0.058369,0.212546,0.926343
0.416643,0.017472,0.203042,0.005312,0.048960,0.000800,0.013824,0.000352,0.001600,0.108577,0.034176,0.058721,0.205378,0.920871
0.415747,0.017408,0.221633,0.004960,0.048353,0.000832,0.014176,0.000352,0.001600,0.108417,0.037568,0.058656,0.207713,0.939942
0.415875,0.017472,0.202274,0.005280,0.048352,0.000768,0.013728,0.000352,0.001568,0.115265,0.036512,0.060385,0.215266,0.927783
0.416003,0.017504,0.202433,0.005024,0.047841,0.000800,0.013504,0.000416,0.001408,0.109025,0.044256,0.061376,0.217889,0.929606
0.415203,0.017472,0.202082,0.004992,0.048224,0.000800,0.013632,0.000384,0.001504,0.107329,0.036960,0.059105,0.206466,0.917447
0.415875,0.017504,0.202401,0.004960,0.048161,0.000768,0.013472,0.000384,0.001504,0.114625,0.037120,0.060320,0.215233,0.927238
0.415363,0.017280,0.202210,0.004992,0.048544,0.000800,0.013792,0.000416,0.001472,0.110081,0.043328,0.061857,0.218274,0.929671
0.415203,0.017664,0.202369,0.005056,0.050017,0.000608,0.013664,0.000352,0.001504,0.101024,0.047745,0.058016,0.209921,0.922694
