Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.418019,0.017504,0.204450,0.004864,0.048864,0.000800,0.013696,0.000384,0.112961,0.037824,0.061665,0.217570,0.933351
0.416963,0.017664,0.203073,0.004928,0.048865,0.000576,0.014048,0.000352,0.111393,0.037664,0.059968,0.212673,0.925830
0.417123,0.017696,0.202850,0.004800,0.048192,0.000544,0.013664,0.000384,0.110561,0.038016,0.062721,0.214562,0.926183
0.441156,0.017472,0.203713,0.004928,0.048705,0.000576,0.014016,0.000352,0.107425,0.036064,0.058848,0.206945,0.944391
0.416515,0.017280,0.202754,0.004864,0.048096,0.000576,0.013920,0.000384,0.109313,0.038304,0.058849,0.209730,0.920679
0.416579,0.017536,0.202273,0.004864,0.048321,0.000768,0.013696,0.000352,0.108224,0.037217,0.059040,0.207905,0.918662
0.420259,0.017504,0.219138,0.005152,0.047680,0.000576,0.013472,0.000352,0.098689,0.041888,0.058017,0.202402,0.933927
0.415715,0.017408,0.202690,0.004896,0.048128,0.000544,0.013568,0.000320,0.107137,0.038240,0.059905,0.208258,0.917863
0.416835,0.017344,0.202785,0.004832,0.048737,0.000544,0.013536,0.000320,0.108992,0.036705,0.060256,0.208961,0.919910
0.418211,0.018304,0.204354,0.004832,0.047296,0.000544,0.013760,0.000352,0.110049,0.034208,0.058721,0.206434,0.920615
0.417794,0.017728,0.202625,0.004832,0.048736,0.000576,0.013601,0.000448,0.113152,0.035553,0.058432,0.210881,0.924326
0.415747,0.017504,0.202753,0.004832,0.047489,0.000608,0.013440,0.000384,0.104545,0.037984,0.058432,0.204321,0.912774
0.420419,0.017344,0.202402,0.004896,0.049568,0.000576,0.013536,0.000384,0.104801,0.041056,0.060353,0.209346,0.924391
0.417219,0.017632,0.214306,0.004896,0.050080,0.000544,0.013472,0.000320,0.111329,0.035328,0.057345,0.207042,0.931399
0.415875,0.017344,0.202850,0.004800,0.047712,0.000448,0.013408,0.000352,0.093121,0.037504,0.057793,0.191586,0.900007
0.416131,0.017472,0.203937,0.004800,0.047937,0.000544,0.013792,0.000384,0.109440,0.037409,0.062464,0.212513,0.924166
0.422499,0.017632,0.202274,0.004864,0.047296,0.000576,0.013536,0.000384,0.107265,0.035616,0.058753,0.204610,0.920167
0.420803,0.017537,0.202369,0.004800,0.047040,0.000608,0.013472,0.000352,0.106497,0.037473,0.060128,0.207170,0.920391
0.416003,0.017632,0.202337,0.004832,0.046977,0.000608,0.013504,0.000352,0.100928,0.039328,0.062400,0.205729,0.914150
0.416835,0.017632,0.202274,0.004832,0.047200,0.000576,0.013472,0.000352,0.107873,0.036512,0.060769,0.208290,0.918183
0.446980,0.017664,0.202625,0.004832,0.047041,0.000544,0.013504,0.000384,0.108928,0.037889,0.060704,0.210913,0.951559
0.417955,0.017568,0.203042,0.004864,0.047168,0.000576,0.013440,0.000352,0.111041,0.037792,0.059297,0.211554,0.922855
0.421539,0.017536,0.202626,0.004864,0.047008,0.000736,0.013536,0.000352,0.105953,0.037824,0.063393,0.210498,0.924839
0.416675,0.017728,0.202465,0.004864,0.047009,0.000992,0.013568,0.000320,0.105761,0.045664,0.080224,0.235297,0.945318
0.420835,0.017728,0.202978,0.004864,0.046880,0.000576,0.013504,0.000352,0.106593,0.037760,0.060449,0.207650,0.921767
0.416515,0.017632,0.201921,0.004832,0.047105,0.000544,0.013504,0.000384,0.107296,0.042305,0.060064,0.212801,0.921254
0.416675,0.017472,0.202145,0.004768,0.046881,0.000544,0.013792,0.000352,0.102881,0.044608,0.062240,0.212897,0.921894
0.436323,0.017536,0.202338,0.004832,0.046976,0.000768,0.013504,0.000384,0.104257,0.046464,0.060641,0.214690,0.943847
0.416515,0.017536,0.202529,0.004864,0.047105,0.000544,0.013504,0.000384,0.105280,0.037025,0.061152,0.206561,0.915878
0.416451,0.017728,0.202370,0.004832,0.047072,0.000576,0.013536,0.000352,0.106017,0.034816,0.058112,0.202209,0.911430
0.422243,0.017664,0.203554,0.004864,0.046912,0.000608,0.013568,0.000384,0.132449,0.043809,0.064544,0.244258,0.960359
0.421315,0.017952,0.203362,0.004864,0.047520,0.000800,0.013472,0.000416,0.109729,0.048576,0.060705,0.222210,0.937959
0.416451,0.017792,0.202241,0.004832,0.047104,0.000928,0.013665,0.000384,0.109120,0.037665,0.060256,0.210241,0.919750
0.420771,0.017824,0.202497,0.004865,0.046880,0.000576,0.013440,0.000384,0.106657,0.037792,0.060640,0.208257,0.921574
