Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420227,0.017408,0.129217,0.567204,0.068129,0.768486,0.000736,0.014208,0.000384,0.001504,0.001280,0.000384,1.230889
0.415363,0.038144,0.157569,0.568228,0.070337,0.799910,0.001184,0.014656,0.000416,0.001536,0.001024,0.000416,1.279785
0.420995,0.017696,0.131553,0.567524,0.065185,0.767686,0.000864,0.014272,0.000384,0.001568,0.001216,0.000384,1.231145
0.416355,0.017696,0.132961,0.566116,0.071424,0.773829,0.000736,0.015520,0.000416,0.001600,0.000992,0.000384,1.233960
0.415363,0.017505,0.129184,0.575941,0.067360,0.776229,0.000704,0.015424,0.000416,0.001472,0.001120,0.000384,1.234825
0.415011,0.017344,0.147777,0.566436,0.065825,0.783782,0.000736,0.014688,0.000416,0.001568,0.001472,0.000416,1.241769
0.415363,0.017440,0.128449,0.586372,0.081089,0.799590,0.000768,0.015264,0.000416,0.001536,0.001280,0.000384,1.258473
0.419651,0.017248,0.123297,0.564260,0.064096,0.755077,0.000800,0.014176,0.000384,0.001824,0.001216,0.000448,1.217384
0.415523,0.017440,0.125857,0.566052,0.064993,0.760166,0.000704,0.014112,0.000416,0.001440,0.001120,0.000384,1.217641
0.415971,0.017248,0.150497,0.568068,0.064128,0.786309,0.000768,0.014209,0.000448,0.001472,0.001152,0.000416,1.244201
0.419299,0.017345,0.129472,0.571717,0.064736,0.769509,0.000768,0.014304,0.000416,0.001408,0.001056,0.000384,1.230569
0.419811,0.017248,0.130305,0.565956,0.067617,0.767398,0.000768,0.014272,0.000416,0.001504,0.001312,0.000384,1.230441
0.435395,0.017568,0.129697,0.576452,0.066561,0.776454,0.000896,0.014464,0.000384,0.001504,0.001376,0.000416,1.254889
0.416035,0.017217,0.132449,0.569732,0.066016,0.772005,0.000832,0.014304,0.000448,0.001440,0.001280,0.000416,1.231433
