Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430698,0.017729,0.209733,0.005280,0.048673,0.000896,0.013633,0.000416,0.001696,0.001760,0.000320,0.738834
0.532301,0.018048,0.210629,0.005472,0.048866,0.000864,0.013856,0.000384,0.001728,0.001600,0.000576,0.845588
0.430251,0.018016,0.209637,0.005153,0.048993,0.000928,0.014336,0.000416,0.002016,0.001536,0.000832,0.740914
0.429802,0.017856,0.209317,0.005440,0.048769,0.000864,0.013665,0.000640,0.001568,0.001152,0.000352,0.737778
0.430987,0.017920,0.209541,0.005280,0.048481,0.000896,0.013889,0.000384,0.001408,0.001088,0.000576,0.737426
0.430475,0.017600,0.208549,0.005216,0.048098,0.000896,0.013952,0.000640,0.001440,0.001216,0.000608,0.737970
0.428938,0.017888,0.208709,0.005440,0.048097,0.000832,0.013825,0.000416,0.001408,0.001184,0.000576,0.734962
0.429514,0.017633,0.210501,0.005440,0.047745,0.001120,0.014049,0.000384,0.001472,0.001376,0.000352,0.737394
0.429771,0.017824,0.209285,0.005185,0.048129,0.000896,0.013856,0.000384,0.001472,0.001056,0.000608,0.735570
0.430347,0.017760,0.208837,0.005505,0.048321,0.000896,0.014304,0.000416,0.001472,0.001088,0.000640,0.736850
0.429098,0.017953,0.208773,0.005152,0.048161,0.000832,0.014657,0.000448,0.001472,0.001216,0.000672,0.735474
0.429930,0.017888,0.209157,0.005441,0.048193,0.000864,0.014304,0.000416,0.001440,0.001088,0.000640,0.737521
0.429707,0.017952,0.208933,0.005568,0.048033,0.000864,0.013665,0.000352,0.001760,0.001184,0.000576,0.735986
0.429578,0.017665,0.209733,0.005568,0.047937,0.000896,0.014336,0.000384,0.001664,0.001152,0.000384,0.736945
0.431626,0.017825,0.208453,0.005312,0.048481,0.000928,0.014112,0.000608,0.001536,0.001185,0.000576,0.737906
0.430186,0.017857,0.209093,0.005568,0.048641,0.000896,0.014177,0.000416,0.001728,0.001248,0.000352,0.738258
