Layer[0],Layer[1],IN[2],INFER[2-3],OUT[3],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416035,0.017568,0.126465,0.516099,0.066017,0.712517,0.048640,0.000800,0.013824,0.000352,0.001536,0.001152,0.000416,1.219464
0.414979,0.017472,0.132001,0.518340,0.068672,0.722469,0.048929,0.000800,0.013696,0.000352,0.001536,0.001184,0.000352,1.228329
0.415459,0.017408,0.134177,0.518980,0.067520,0.724101,0.048993,0.000768,0.014112,0.000352,0.001504,0.001088,0.000416,1.231273
0.416515,0.017376,0.122913,0.528836,0.067072,0.722341,0.049504,0.000608,0.013665,0.000352,0.001408,0.001120,0.000384,1.230057
0.416163,0.017376,0.125121,0.536963,0.070273,0.736421,0.048640,0.000832,0.013824,0.000352,0.001504,0.001024,0.000416,1.243368
0.419299,0.017728,0.167457,0.526852,0.069280,0.768005,0.050081,0.001056,0.014272,0.000352,0.001952,0.002176,0.000608,1.282985
0.416355,0.017536,0.144577,0.523428,0.074432,0.746629,0.048833,0.000864,0.013888,0.000352,0.001472,0.001632,0.000576,1.256745
0.437667,0.017216,0.113889,0.519716,0.068832,0.706405,0.048417,0.000800,0.013536,0.000352,0.001568,0.001376,0.000608,1.236297
0.415811,0.017408,0.134561,0.519619,0.065920,0.723973,0.048256,0.000864,0.013568,0.000320,0.001472,0.001120,0.000608,1.230280
0.416835,0.017473,0.138433,0.521507,0.089409,0.753349,0.048768,0.000864,0.014048,0.000384,0.001536,0.001472,0.000384,1.263273
0.416675,0.017440,0.132737,0.517508,0.067137,0.721158,0.048640,0.000832,0.014272,0.000352,0.001792,0.001152,0.000608,1.230825
0.416771,0.017408,0.133601,0.518180,0.068865,0.725158,0.048928,0.000832,0.013600,0.000384,0.001472,0.001152,0.000672,1.235305
0.416579,0.017280,0.138721,0.536004,0.076993,0.756134,0.048736,0.000832,0.013984,0.000352,0.001536,0.001184,0.000576,1.265001
0.416035,0.017440,0.142721,0.521284,0.068672,0.736997,0.048673,0.000864,0.013984,0.000352,0.001472,0.001184,0.000608,1.246121
0.419011,0.017536,0.127937,0.533636,0.068544,0.734661,0.048641,0.000768,0.014048,0.000384,0.001504,0.001184,0.000608,1.245833
0.434339,0.017408,0.135745,0.521156,0.067520,0.728261,0.048353,0.000864,0.014368,0.000416,0.001568,0.001472,0.000384,1.255337
0.417027,0.017344,0.137153,0.523332,0.069312,0.733669,0.048576,0.000864,0.013697,0.000384,0.001728,0.001184,0.000352,1.241801
0.416035,0.017377,0.134369,0.548868,0.080128,0.767717,0.048800,0.000864,0.013985,0.000416,0.001664,0.001120,0.000576,1.275402
0.415811,0.017345,0.132000,0.518691,0.066849,0.720869,0.048736,0.000640,0.014304,0.000384,0.001568,0.001088,0.000416,1.227753
0.415683,0.017472,0.126689,0.527972,0.067680,0.726533,0.048801,0.000864,0.013984,0.000576,0.001504,0.001248,0.000384,1.234601
0.415587,0.017216,0.131617,0.532836,0.069664,0.738181,0.049185,0.000832,0.013984,0.000352,0.001792,0.001184,0.000640,1.246057
0.415715,0.017408,0.137185,0.518435,0.066593,0.726181,0.048704,0.000832,0.013952,0.000352,0.001504,0.001216,0.000384,1.232968
0.416163,0.017312,0.123873,0.519396,0.065409,0.712454,0.048288,0.000768,0.014560,0.000352,0.001568,0.001248,0.000352,1.219817
0.440387,0.017408,0.132193,0.527684,0.068961,0.733030,0.048672,0.000672,0.014208,0.000320,0.001536,0.001152,0.000384,1.265609
0.415651,0.017536,0.123841,0.518820,0.067552,0.713861,0.050433,0.000832,0.013760,0.000384,0.001504,0.001152,0.000416,1.222345
0.415843,0.017280,0.134113,0.520548,0.067840,0.725989,0.064545,0.000832,0.013664,0.000384,0.001408,0.001056,0.000352,1.248681
0.415779,0.017313,0.141185,0.534403,0.069825,0.749285,0.048672,0.001024,0.013792,0.000352,0.001728,0.001152,0.000608,1.256745
