Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.415459,0.017696,0.218817,0.004928,0.047169,0.000608,0.013376,0.110817,0.030848,0.054720,0.199393,0.001920,0.000896,0.000384,0.927910
0.415555,0.017568,0.202658,0.005024,0.046912,0.000608,0.013312,0.106529,0.030752,0.062273,0.202594,0.001856,0.001056,0.000384,0.914151
0.419363,0.017472,0.202305,0.005248,0.046848,0.000576,0.013345,0.107680,0.034017,0.060160,0.204609,0.001824,0.000928,0.000352,0.919911
0.415011,0.017280,0.202721,0.005024,0.046849,0.000576,0.013344,0.103905,0.033312,0.066144,0.206081,0.002144,0.000928,0.000384,0.916966
0.414915,0.017472,0.202466,0.005088,0.047136,0.000576,0.013376,0.104577,0.033664,0.064833,0.205858,0.002016,0.000896,0.000352,0.916871
0.414627,0.017377,0.202369,0.005184,0.046880,0.000576,0.013344,0.105537,0.033024,0.059969,0.201442,0.001920,0.000960,0.000384,0.911015
0.414403,0.017248,0.202241,0.005280,0.047105,0.000544,0.013408,0.106817,0.033856,0.058176,0.201985,0.001920,0.000896,0.000352,0.912166
0.430883,0.017792,0.202850,0.005312,0.046976,0.000544,0.013472,0.104801,0.032544,0.057696,0.198017,0.001889,0.000928,0.000352,0.925671
0.414595,0.017472,0.202722,0.005312,0.046848,0.000576,0.013408,0.098785,0.031200,0.059457,0.192642,0.002208,0.000992,0.000352,0.904103
0.416227,0.017568,0.202690,0.005248,0.046944,0.000512,0.013408,0.108897,0.032928,0.061665,0.206178,0.001888,0.001120,0.000416,0.919207
0.415555,0.017216,0.202497,0.005280,0.046849,0.000576,0.013376,0.103808,0.030785,0.064096,0.201601,0.001824,0.001024,0.000384,0.912838
0.414563,0.017280,0.202497,0.005248,0.047200,0.000576,0.013312,0.103809,0.033472,0.058176,0.198337,0.001760,0.000832,0.000352,0.908134
0.414627,0.017408,0.202242,0.004800,0.046912,0.000576,0.013376,0.103425,0.033504,0.057601,0.197218,0.001856,0.000864,0.000288,0.906567
0.414563,0.017504,0.202658,0.005248,0.046880,0.000576,0.013408,0.103809,0.032608,0.058081,0.197186,0.001728,0.000960,0.000320,0.907367
0.460260,0.017408,0.202657,0.004800,0.046881,0.000544,0.013440,0.108833,0.034976,0.056480,0.203137,0.001952,0.001024,0.000288,0.959495
0.414403,0.017280,0.202914,0.005280,0.046816,0.000576,0.013344,0.104673,0.033280,0.057184,0.197953,0.001888,0.000864,0.000288,0.908103
0.417475,0.017504,0.203074,0.005248,0.046976,0.000608,0.013440,0.104289,0.038976,0.060353,0.206562,0.001920,0.000960,0.000352,0.920391
0.415395,0.017473,0.202497,0.005248,0.046912,0.000608,0.013344,0.106145,0.030304,0.056033,0.195138,0.002304,0.000896,0.000352,0.906791
0.415683,0.017696,0.203009,0.005312,0.046849,0.000576,0.013408,0.105729,0.031072,0.060576,0.200417,0.003200,0.001184,0.000384,0.915558
0.414947,0.017504,0.202914,0.005024,0.047168,0.000544,0.013440,0.110369,0.036192,0.063233,0.212738,0.001856,0.001184,0.000384,0.924775
0.415843,0.018305,0.203105,0.005184,0.047680,0.000576,0.013408,0.108257,0.033120,0.059809,0.204162,0.001984,0.001120,0.000384,0.918855
0.432931,0.017504,0.202977,0.005280,0.047201,0.000608,0.013408,0.104289,0.032000,0.056672,0.195969,0.002080,0.000992,0.000416,0.926182
0.415555,0.017504,0.202594,0.004896,0.046880,0.000544,0.013376,0.108353,0.039840,0.060193,0.211330,0.002144,0.001120,0.000416,0.923175
0.415907,0.017697,0.202433,0.004992,0.047104,0.000608,0.013472,0.108033,0.032800,0.060513,0.204034,0.001984,0.001120,0.000384,0.916615
0.414659,0.017472,0.202593,0.005024,0.047073,0.000608,0.013376,0.107713,0.067424,0.088577,0.267042,0.002336,0.000960,0.000320,0.978183
0.416099,0.017505,0.203041,0.004864,0.047680,0.000576,0.013376,0.100673,0.034752,0.066081,0.204738,0.002208,0.000960,0.000320,0.918023
0.693381,0.017568,0.348995,0.005056,0.047040,0.000576,0.049217,0.117952,0.038049,0.139969,0.299074,0.003488,0.001120,0.000448,1.473803
0.415779,0.017760,0.203649,0.005024,0.066497,0.000608,0.013472,0.113537,0.033856,0.057409,0.207778,0.002080,0.001184,0.000384,0.941319
0.419267,0.017376,0.202530,0.005152,0.046816,0.000544,0.013344,0.106049,0.031552,0.062081,0.202722,0.001952,0.001088,0.000352,0.918183
