Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415587,0.017472,0.201922,0.004864,0.047360,0.107201,0.050208,0.059648,0.220225,0.000672,0.001857,0.000960,0.000256,0.917735
0.415619,0.017216,0.203138,0.004832,0.047136,0.103425,0.049408,0.059905,0.215906,0.000608,0.001984,0.001056,0.000256,0.913959
0.415747,0.017408,0.202433,0.004736,0.047072,0.105217,0.088257,0.071584,0.268866,0.000672,0.002112,0.000928,0.000288,0.966150
0.415651,0.017280,0.202434,0.005024,0.047168,0.104673,0.046176,0.059905,0.214114,0.000704,0.002912,0.000928,0.000576,0.914279
0.420451,0.017249,0.202433,0.004768,0.046976,0.105697,0.048033,0.062688,0.219682,0.000704,0.001824,0.000960,0.000320,0.922087
0.416323,0.017504,0.202465,0.005152,0.046977,0.112032,0.048864,0.064928,0.229505,0.000736,0.001920,0.001088,0.000640,0.930246
0.433379,0.017280,0.202242,0.004768,0.048128,0.107105,0.046368,0.060065,0.216834,0.000704,0.002144,0.000992,0.000384,0.933255
0.416675,0.017344,0.202241,0.005024,0.047904,0.103233,0.049281,0.060864,0.216322,0.000672,0.001856,0.000960,0.000352,0.915462
0.415203,0.017504,0.202305,0.004832,0.047009,0.100096,0.046913,0.059488,0.209601,0.000640,0.001952,0.000992,0.000320,0.906406
0.415299,0.017248,0.204674,0.005056,0.047424,0.128225,0.047424,0.064225,0.243074,0.000608,0.001888,0.000992,0.000320,0.942919
0.419907,0.017473,0.202689,0.004800,0.047072,0.100769,0.048320,0.064129,0.216482,0.000576,0.001632,0.000992,0.000416,0.918503
0.415395,0.017504,0.202273,0.004832,0.046945,0.113824,0.046049,0.060384,0.223521,0.000608,0.001792,0.000960,0.000320,0.920358
0.415491,0.017536,0.202337,0.004832,0.046785,0.101985,0.048224,0.060608,0.213697,0.000672,0.001888,0.000832,0.000288,0.910054
0.430051,0.017280,0.202754,0.004832,0.046784,0.101857,0.045824,0.060737,0.211618,0.000640,0.001824,0.000800,0.000352,0.922855
0.421283,0.017408,0.203106,0.004768,0.046880,0.101793,0.048256,0.060577,0.213666,0.000608,0.001984,0.000832,0.000320,0.916711
0.416515,0.017312,0.202689,0.004800,0.047201,0.107648,0.051137,0.061408,0.223745,0.000768,0.002016,0.001344,0.000640,0.924774
0.416099,0.017536,0.202690,0.004832,0.063488,0.107585,0.049792,0.060865,0.221634,0.000672,0.001824,0.000992,0.000352,0.937127
0.416707,0.017409,0.202945,0.004832,0.046688,0.105569,0.046625,0.063072,0.218274,0.000640,0.001824,0.000960,0.000256,0.917159
0.415843,0.017440,0.202689,0.004800,0.046817,0.100288,0.048513,0.060800,0.212737,0.000672,0.001792,0.000832,0.000288,0.910150
0.420451,0.017312,0.202273,0.004800,0.046785,0.103521,0.045376,0.061120,0.213121,0.000672,0.001856,0.000864,0.000576,0.914790
0.439459,0.017344,0.202658,0.004864,0.046912,0.104161,0.047968,0.061345,0.216482,0.000672,0.001952,0.000864,0.000576,0.937639
0.415459,0.017472,0.202754,0.004960,0.046816,0.099777,0.047872,0.059841,0.210498,0.000640,0.001952,0.000864,0.000512,0.908231
0.416035,0.017632,0.202273,0.004896,0.047105,0.132129,0.050336,0.060032,0.245697,0.000608,0.001792,0.000864,0.000576,0.943974
0.416163,0.017216,0.222146,0.005024,0.046784,0.117953,0.046976,0.061057,0.228930,0.000640,0.001984,0.000928,0.000384,0.947719
0.415331,0.017280,0.202241,0.004800,0.047105,0.104512,0.047873,0.060512,0.216001,0.000704,0.001856,0.000928,0.000384,0.913030
