Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.414819,0.017216,0.220738,0.004992,0.046944,0.000640,0.141441,0.047521,0.060256,0.252066,0.001408,0.000416,0.965447
0.417027,0.017504,0.202337,0.004832,0.047969,0.000672,0.113313,0.049792,0.062176,0.228673,0.001601,0.000384,0.927719
0.415907,0.017728,0.202082,0.004832,0.047264,0.000608,0.112737,0.049536,0.060385,0.226018,0.001504,0.000480,0.923079
0.415747,0.017440,0.202369,0.004896,0.047233,0.000640,0.107424,0.046401,0.058848,0.215585,0.001632,0.000352,0.911878
0.415619,0.017216,0.202370,0.004864,0.047712,0.000576,0.140289,0.059488,0.060481,0.264002,0.001536,0.000352,0.960359
0.415875,0.017536,0.202529,0.004864,0.047809,0.000576,0.104320,0.049217,0.060896,0.217409,0.001760,0.000416,0.915206
0.415683,0.017504,0.202113,0.004801,0.047296,0.000608,0.103937,0.050464,0.059840,0.217217,0.001504,0.000448,0.913030
0.432643,0.017600,0.202370,0.004896,0.047552,0.000640,0.102273,0.059648,0.058017,0.222946,0.001536,0.000384,0.936775
0.415523,0.017536,0.202273,0.004928,0.047521,0.000608,0.104032,0.048385,0.060768,0.216321,0.001472,0.000352,0.912390
0.415683,0.017376,0.202145,0.004832,0.046977,0.000608,0.120129,0.058560,0.061185,0.243170,0.001568,0.000416,0.938887
0.415587,0.017600,0.202050,0.004896,0.047040,0.000608,0.111489,0.062273,0.067424,0.245122,0.001536,0.000384,0.941127
0.416099,0.017312,0.202337,0.004864,0.047105,0.000576,0.102336,0.046753,0.059296,0.211393,0.001632,0.000416,0.907782
0.416547,0.017664,0.202946,0.004896,0.049024,0.000576,0.108705,0.048992,0.063265,0.224290,0.001600,0.000352,0.924807
0.416355,0.017472,0.203265,0.004864,0.048097,0.000576,0.100512,0.048385,0.065728,0.217953,0.001888,0.000384,0.917446
0.435075,0.017472,0.202530,0.004864,0.047968,0.000608,0.099873,0.050336,0.060321,0.213698,0.001536,0.000320,0.930471
0.416355,0.017441,0.203105,0.004864,0.048768,0.000640,0.106241,0.051745,0.064032,0.225314,0.001472,0.000608,0.924583
0.416419,0.017376,0.202401,0.004864,0.048929,0.000800,0.106049,0.064128,0.061888,0.235201,0.001505,0.000320,0.933895
0.416003,0.017248,0.202466,0.022432,0.049408,0.000640,0.106881,0.049696,0.061313,0.220930,0.001408,0.000384,0.937863
0.416323,0.017792,0.202369,0.004864,0.047905,0.000608,0.106208,0.056609,0.061248,0.227105,0.001696,0.000608,0.925318
0.415427,0.017664,0.202562,0.004864,0.049088,0.000608,0.109665,0.050720,0.060129,0.223522,0.001504,0.000384,0.921767
0.416163,0.017696,0.202689,0.004864,0.049665,0.000800,0.122176,0.050049,0.062240,0.238049,0.001856,0.000608,0.939846
0.415491,0.017760,0.202626,0.004864,0.047680,0.000800,0.111841,0.049504,0.060193,0.225090,0.001632,0.000608,0.922599
0.417475,0.017696,0.203169,0.004896,0.047969,0.000736,0.109504,0.047873,0.060448,0.221153,0.001760,0.000416,0.922790
0.415459,0.017504,0.203010,0.004832,0.047808,0.000768,0.102625,0.049216,0.061121,0.216162,0.001504,0.000416,0.913447
0.415171,0.017600,0.221538,0.004896,0.047488,0.000832,0.110625,0.064737,0.061024,0.239234,0.001536,0.000448,0.955431
