Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416099,0.175905,0.540676,0.069249,0.789606,0.050080,0.001056,0.013504,0.000448,0.001504,0.001536,0.000384,1.280169
0.415651,0.157633,0.540516,0.069536,0.771365,0.049793,0.000576,0.013472,0.000416,0.001504,0.001120,0.000384,1.260809
0.435427,0.175041,0.549284,0.069377,0.797574,0.050912,0.000800,0.013568,0.000416,0.001504,0.001024,0.000416,1.308137
0.416067,0.178689,0.539652,0.069281,0.791398,0.050144,0.000672,0.013600,0.000576,0.001472,0.001216,0.000416,1.282537
0.416931,0.174881,0.561828,0.076385,0.817318,0.049184,0.000832,0.013664,0.000352,0.001536,0.001152,0.000640,1.307945
0.417091,0.196002,0.542051,0.068353,0.809958,0.050176,0.000608,0.013504,0.000384,0.001792,0.001312,0.000416,1.301705
0.416323,0.182370,0.541443,0.069921,0.798054,0.048224,0.000640,0.013568,0.000544,0.001536,0.001216,0.000384,1.287369
0.434851,0.174402,0.539843,0.070177,0.788070,0.048512,0.000800,0.014176,0.000448,0.001600,0.001280,0.000384,1.296906
0.415523,0.197986,0.540132,0.068480,0.810534,0.048448,0.000800,0.014529,0.000640,0.001728,0.001280,0.000416,1.300170
0.415811,0.164802,0.539747,0.064929,0.773286,0.065248,0.000832,0.013696,0.000384,0.001568,0.000992,0.000352,1.278442
0.416387,0.168097,0.538788,0.067489,0.778118,0.048096,0.000640,0.013568,0.000352,0.001536,0.001056,0.000416,1.266377
0.416547,0.167105,0.540164,0.069345,0.780582,0.049088,0.000640,0.013728,0.000352,0.001472,0.000992,0.000448,1.271049
0.416355,0.173825,0.557892,0.079265,0.815590,0.049216,0.000800,0.013536,0.000352,0.001440,0.001088,0.000640,1.305641
0.416355,0.177857,0.541188,0.068577,0.791878,0.048640,0.000672,0.013696,0.000512,0.001536,0.001632,0.000448,1.282025
0.417667,0.177633,0.539972,0.070529,0.792230,0.048960,0.000768,0.013728,0.000576,0.001504,0.001216,0.000448,1.283497
