IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.160865,1.026440,0.071585,1.264394,0.203489,0.005376,0.047681,0.000832,0.013760,0.000352,0.001408,0.000960,0.000384,1.543308
0.162465,1.025640,0.071169,1.265066,0.204417,0.005632,0.048193,0.000608,0.013664,0.000352,0.001536,0.000960,0.000352,1.545484
0.153377,1.031912,0.071425,1.261930,0.204289,0.005632,0.047457,0.000800,0.013600,0.000384,0.001472,0.001184,0.000448,1.541868
0.175297,1.021704,0.070945,1.274218,0.204386,0.005568,0.047584,0.000576,0.013440,0.000352,0.001504,0.000992,0.000384,1.553676
0.141153,1.029000,0.071169,1.246282,0.204033,0.005792,0.047777,0.000832,0.013504,0.000384,0.001472,0.000896,0.000352,1.525996
0.176129,1.014696,0.067840,1.263753,0.204002,0.005248,0.047904,0.000800,0.013377,0.000320,0.001408,0.000896,0.000352,1.542764
0.151041,1.028488,0.070177,1.254442,0.203809,0.005024,0.047521,0.000608,0.013600,0.000448,0.001472,0.000896,0.000384,1.532844
0.166113,1.018280,0.070465,1.261706,0.205057,0.009024,0.047777,0.000768,0.013664,0.000352,0.001504,0.001184,0.000384,1.546604
0.151874,1.017639,0.068993,1.243242,0.205186,0.005088,0.047680,0.000800,0.013632,0.000352,0.001472,0.000992,0.000416,1.523308
0.159201,1.016872,0.072256,1.253673,0.204706,0.005088,0.047776,0.000800,0.013472,0.000320,0.001408,0.000928,0.000384,1.533227
0.151745,1.015272,0.068736,1.240329,0.204066,0.009376,0.048192,0.000608,0.013408,0.000384,0.001376,0.000928,0.000448,1.523756
0.153281,1.032840,0.073249,1.266250,0.204065,0.005440,0.048033,0.000832,0.013760,0.000352,0.001504,0.001344,0.000384,1.546668
0.180354,1.022600,0.072672,1.282954,0.205826,0.005184,0.048608,0.001024,0.014497,0.000384,0.001696,0.001760,0.000576,1.567693
0.188802,1.035336,0.070848,1.301546,0.205922,0.005472,0.047456,0.000800,0.014080,0.000384,0.001536,0.001600,0.000416,1.584268
0.161889,1.026952,0.069089,1.263786,0.203777,0.005152,0.047681,0.000864,0.014208,0.000384,0.001472,0.000896,0.000384,1.543148
0.146433,1.044105,0.070400,1.266314,0.203362,0.005056,0.047744,0.000832,0.013536,0.000384,0.001472,0.000864,0.000416,1.544588
0.180129,1.018984,0.069217,1.272874,0.203361,0.005120,0.048353,0.000832,0.013312,0.000352,0.001440,0.000768,0.000352,1.551308
0.188162,1.016040,0.068672,1.279178,0.222978,0.005152,0.047392,0.000832,0.013665,0.000384,0.001472,0.001184,0.000416,1.577869
0.151521,1.017096,0.069633,1.242858,0.203713,0.005216,0.047425,0.000800,0.013376,0.000384,0.001472,0.000864,0.000320,1.521036
0.166145,1.027944,0.069504,1.268361,0.203938,0.005024,0.047872,0.000800,0.013664,0.000384,0.001312,0.000960,0.000480,1.547179
0.178177,1.025672,0.068577,1.277258,0.203361,0.005089,0.048384,0.000544,0.013376,0.000384,0.001408,0.000768,0.000352,1.555372
0.178785,1.016232,0.069536,1.270345,0.204290,0.005120,0.047648,0.000800,0.013696,0.000384,0.001472,0.000896,0.000384,1.549419
0.175009,1.032488,0.075553,1.288394,0.209218,0.005600,0.047744,0.000800,0.013600,0.000384,0.001440,0.000992,0.000384,1.573132
0.136961,1.022824,0.067328,1.232745,0.204162,0.005504,0.047616,0.000768,0.013408,0.000320,0.001440,0.000896,0.000416,1.512012
0.181793,1.032264,0.071041,1.290634,0.203746,0.005696,0.048000,0.000800,0.013472,0.000608,0.001440,0.001344,0.000416,1.570732
0.170753,1.016520,0.079041,1.272362,0.203873,0.005632,0.047681,0.000608,0.013472,0.000384,0.001536,0.001184,0.000384,1.551788
0.181762,1.018407,0.070433,1.276586,0.223522,0.005504,0.047680,0.000640,0.013504,0.000384,0.001440,0.001120,0.000416,1.575852
0.150530,1.017831,0.068705,1.242314,0.204385,0.005505,0.047744,0.000800,0.013504,0.000448,0.001888,0.001088,0.000384,1.523244
0.183426,1.016839,0.068769,1.274282,0.203777,0.005089,0.047616,0.000768,0.013504,0.000352,0.001472,0.001120,0.000352,1.552940
0.178338,1.016199,0.067457,1.267466,0.203522,0.005568,0.047776,0.000800,0.013600,0.000320,0.001408,0.001120,0.000416,1.546668
0.151873,1.017864,0.070305,1.246794,0.204737,0.005280,0.047105,0.000800,0.013536,0.000352,0.001536,0.001152,0.000384,1.526188
0.160545,1.031400,0.076225,1.275562,0.203905,0.005536,0.048225,0.000736,0.013632,0.000384,0.001504,0.001120,0.000384,1.555788
0.177666,1.016999,0.068161,1.268202,0.204258,0.005664,0.047136,0.000576,0.013824,0.000352,0.001472,0.001120,0.000384,1.547628
0.163394,1.036168,0.075808,1.281770,0.206658,0.005728,0.048000,0.000992,0.013568,0.000320,0.001408,0.001280,0.000576,1.564972
0.169473,1.016328,0.066625,1.257354,0.209537,0.005504,0.048673,0.000736,0.013792,0.000352,0.001440,0.000960,0.000320,1.543212
