Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-10],OUT[10],TEE[7-10],classifier
0.414755,0.017216,0.202401,0.004800,0.046945,0.000800,0.013312,0.109633,0.048288,0.063872,0.224737,0.930342
0.415107,0.017248,0.202434,0.004864,0.046944,0.000736,0.013344,0.103777,0.043968,0.061057,0.211842,0.918183
0.431875,0.017280,0.202657,0.004896,0.047297,0.000768,0.013408,0.109473,0.037376,0.060192,0.210497,0.935014
0.416483,0.017408,0.202594,0.004832,0.046976,0.000576,0.013504,0.107585,0.038976,0.060225,0.210306,0.918855
0.415203,0.017408,0.202946,0.004832,0.047008,0.000800,0.013408,0.112673,0.048289,0.062112,0.225890,0.933287
0.416035,0.017184,0.202529,0.004896,0.046913,0.000576,0.013344,0.153345,0.061152,0.106913,0.324738,1.032231
0.415267,0.017216,0.201889,0.004864,0.047297,0.000960,0.013408,0.106401,0.045472,0.061696,0.216769,0.923718
0.415331,0.017472,0.202850,0.004864,0.047520,0.000576,0.013408,0.106113,0.049760,0.066561,0.225442,0.934055
0.414979,0.017473,0.203233,0.004832,0.046944,0.000576,0.013377,0.105376,0.035777,0.058784,0.203041,0.909831
0.433123,0.017344,0.202433,0.004864,0.046945,0.000544,0.013376,0.110945,0.039392,0.059744,0.213249,0.937734
0.415491,0.017376,0.202434,0.004832,0.047392,0.000800,0.013376,0.102305,0.036416,0.059553,0.201442,0.908999
