Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420881,0.017472,0.202088,0.005280,0.240010,0.000800,0.002784,0.001152,0.000384,0.898179
0.415697,0.017280,0.229289,0.005409,0.269802,0.000704,0.002112,0.001088,0.000384,0.950277
0.420817,0.017281,0.202024,0.005216,0.254858,0.000640,0.002016,0.001120,0.000352,0.911876
0.414576,0.017825,0.202504,0.005248,0.250922,0.000672,0.003712,0.001056,0.000320,0.903875
0.421552,0.017664,0.202408,0.005280,0.250506,0.000672,0.003616,0.001057,0.000416,0.910628
0.420465,0.017760,0.202568,0.005185,0.245353,0.000704,0.002016,0.001056,0.000416,0.903780
0.420273,0.017921,0.201863,0.005249,0.258314,0.000704,0.003840,0.001056,0.000448,0.917956
0.415376,0.017920,0.202024,0.005280,0.251978,0.000672,0.001984,0.000992,0.000385,0.904004
0.420529,0.017921,0.218184,0.005408,0.258186,0.000672,0.002016,0.001120,0.000448,0.931749
0.419857,0.017536,0.202216,0.005025,0.251113,0.000672,0.002080,0.001056,0.000384,0.907748
0.415409,0.017472,0.202248,0.005057,0.240329,0.000704,0.001920,0.000928,0.000352,0.891779
0.416336,0.017472,0.203528,0.005280,0.263083,0.000640,0.002080,0.001088,0.000352,0.917924
0.416689,0.017664,0.202728,0.005281,0.254473,0.000672,0.002752,0.001120,0.000352,0.908772
0.420176,0.017632,0.202312,0.005056,0.270507,0.000608,0.002176,0.001120,0.000320,0.927716
0.421553,0.017857,0.203688,0.005024,0.257482,0.000672,0.002016,0.001088,0.000384,0.917476
0.438578,0.017472,0.202152,0.005185,0.258026,0.000800,0.002016,0.000960,0.000416,0.933605
0.419505,0.017728,0.201864,0.005249,0.259882,0.000736,0.002048,0.001152,0.000320,0.916996
0.415761,0.017824,0.201800,0.005217,0.249577,0.000768,0.002913,0.001088,0.000352,0.903908
0.415888,0.017825,0.202568,0.005248,0.281099,0.000832,0.002816,0.001089,0.000384,0.938021
0.415632,0.017793,0.202696,0.005248,0.241065,0.000704,0.002144,0.001056,0.000352,0.894179
0.415313,0.017888,0.203112,0.005057,0.248873,0.000640,0.002112,0.001121,0.000320,0.902628
0.416272,0.017473,0.202504,0.005248,0.245833,0.000672,0.002080,0.001280,0.000416,0.900163
0.439089,0.017665,0.202472,0.005248,0.254794,0.000768,0.002048,0.001024,0.000352,0.932260
0.420497,0.017857,0.202600,0.005280,0.258378,0.000672,0.002016,0.001088,0.000416,0.916036
0.419761,0.017760,0.202055,0.005089,0.253642,0.000800,0.002048,0.000960,0.000384,0.909604
0.415920,0.017729,0.202472,0.005312,0.275371,0.000832,0.002112,0.001088,0.000384,0.930244
0.421105,0.017697,0.202471,0.004992,0.262250,0.000736,0.002048,0.001024,0.000384,0.920292
0.420273,0.017472,0.202247,0.005089,0.244521,0.000736,0.002112,0.001152,0.000353,0.901540
0.415313,0.017664,0.202280,0.005313,0.260554,0.000736,0.002144,0.001056,0.000352,0.913444
0.432433,0.017281,0.202024,0.005280,0.266475,0.000640,0.002112,0.000960,0.000416,0.935301
0.416305,0.017697,0.202376,0.005248,0.265962,0.000672,0.002240,0.001088,0.000384,0.920644
0.416656,0.017409,0.202856,0.005504,0.254890,0.000672,0.002112,0.001056,0.000384,0.909827
0.419985,0.017728,0.220873,0.005376,0.248746,0.000672,0.002080,0.001024,0.000352,0.925220
0.415216,0.017696,0.202344,0.005472,0.240298,0.000672,0.002048,0.000960,0.000320,0.892931
0.419760,0.017249,0.202472,0.005280,0.254410,0.000640,0.002176,0.000992,0.000384,0.911172
0.415312,0.017441,0.202728,0.005280,0.257482,0.000704,0.002112,0.001057,0.000384,0.910916
0.420177,0.017728,0.202568,0.005153,0.244713,0.000736,0.002048,0.001184,0.000352,0.902755
0.420369,0.017857,0.202728,0.005152,0.241225,0.000640,0.002145,0.001024,0.000384,0.899268
0.414993,0.017664,0.201960,0.005249,0.256106,0.000704,0.001984,0.000992,0.000384,0.907044
0.419761,0.017505,0.222088,0.005345,0.250921,0.000704,0.001952,0.001056,0.000352,0.927909
0.417360,0.017441,0.203848,0.005280,0.250922,0.000704,0.002048,0.001120,0.000384,0.907779
0.420817,0.017793,0.203112,0.005312,0.245961,0.000801,0.002208,0.000992,0.000352,0.905732
0.420720,0.017857,0.202312,0.005088,0.254698,0.000736,0.002240,0.001120,0.000384,0.913283
0.421744,0.017729,0.202248,0.005312,0.240234,0.000704,0.002144,0.001120,0.000352,0.900675
0.417424,0.017728,0.202024,0.005248,0.242538,0.000608,0.002112,0.001024,0.000384,0.897219
0.416305,0.017504,0.202152,0.005281,0.254601,0.000704,0.002080,0.001120,0.000384,0.908260
0.423280,0.017601,0.220233,0.005408,0.253482,0.000704,0.002208,0.001184,0.000416,0.932868
0.418481,0.017664,0.201928,0.005280,0.255114,0.000704,0.002144,0.001152,0.000416,0.910372
0.420880,0.017345,0.202216,0.005248,0.236042,0.000640,0.002016,0.001088,0.000384,0.893187
0.422641,0.017473,0.202216,0.004928,0.257226,0.000640,0.002048,0.000960,0.000416,0.915460
0.416208,0.017729,0.202568,0.005120,0.262667,0.000704,0.002016,0.001120,0.000384,0.917476
0.421328,0.017697,0.201960,0.005376,0.235753,0.000672,0.002080,0.001089,0.000352,0.893507
0.416496,0.017505,0.203144,0.005248,0.242889,0.000673,0.002048,0.001184,0.000416,0.897475
0.436177,0.017536,0.202312,0.005312,0.256682,0.000672,0.001920,0.001120,0.000384,0.929893
0.420657,0.017409,0.202247,0.005216,0.252202,0.000640,0.001952,0.001088,0.000416,0.909572
0.418128,0.017409,0.202120,0.005312,0.255018,0.000672,0.002048,0.001153,0.000384,0.910116
0.421424,0.017473,0.202120,0.005312,0.279307,0.000704,0.002176,0.001089,0.000384,0.938885
0.420432,0.017344,0.202152,0.005312,0.244394,0.000704,0.001920,0.001088,0.000320,0.901891
0.416176,0.017601,0.203240,0.005024,0.256618,0.000672,0.002240,0.001024,0.000352,0.910340
0.416400,0.017280,0.202280,0.005248,0.246794,0.000608,0.002112,0.001056,0.000352,0.899267
0.437969,0.017568,0.203048,0.005280,0.253482,0.000704,0.002144,0.001120,0.000384,0.931621
0.420593,0.017600,0.202504,0.005249,0.240841,0.000704,0.002112,0.001056,0.000416,0.898915
0.420561,0.017665,0.202280,0.005280,0.241257,0.000704,0.002080,0.001120,0.000417,0.899748
0.416144,0.017473,0.202376,0.005408,0.267754,0.001152,0.003073,0.001120,0.000352,0.923364
0.416656,0.017473,0.203048,0.005248,0.256554,0.000768,0.002240,0.001152,0.000384,0.912579
0.421457,0.017793,0.202407,0.005248,0.261578,0.000704,0.002240,0.001248,0.000352,0.921444
0.421585,0.017569,0.202312,0.005280,0.260362,0.000800,0.002304,0.001120,0.000384,0.919876
0.438449,0.017473,0.202248,0.005312,0.242601,0.000641,0.002144,0.001152,0.000384,0.918276
0.422352,0.017665,0.202344,0.005216,0.249642,0.000704,0.002624,0.001152,0.000384,0.910115
0.417360,0.017441,0.201896,0.005280,0.245290,0.000704,0.002112,0.000928,0.000416,0.898147
0.417041,0.017793,0.202887,0.005248,0.289323,0.000832,0.002336,0.001152,0.000416,0.946629
0.416784,0.017729,0.204840,0.005216,0.241482,0.000896,0.002208,0.000960,0.000320,0.899299
0.416080,0.017793,0.202312,0.005280,0.265514,0.000704,0.002209,0.000992,0.000352,0.919268
0.415632,0.017793,0.201767,0.005089,0.236649,0.001024,0.003072,0.000928,0.000352,0.890979
0.427153,0.017569,0.202280,0.005056,0.256298,0.000736,0.003072,0.000896,0.000320,0.922372
0.416401,0.017889,0.202055,0.005248,0.261034,0.000864,0.002240,0.000928,0.000384,0.915428
0.416977,0.017536,0.201992,0.004769,0.258762,0.000832,0.002048,0.000896,0.000352,0.912260
0.416241,0.017696,0.201992,0.005249,0.265450,0.000768,0.002016,0.000704,0.000352,0.918532
0.415569,0.017696,0.202056,0.005216,0.263530,0.000736,0.003008,0.001184,0.000384,0.917188
0.415729,0.017633,0.201863,0.004993,0.255370,0.000832,0.002016,0.000992,0.000416,0.907652
0.415760,0.017473,0.202056,0.005344,0.262506,0.000736,0.002112,0.001185,0.000384,0.915876
0.429777,0.017633,0.201896,0.004992,0.248426,0.000704,0.002048,0.001024,0.000384,0.914500
0.415792,0.017793,0.201671,0.005248,0.245609,0.000704,0.002081,0.000928,0.000320,0.897540
0.415664,0.017697,0.202568,0.005280,0.242057,0.000832,0.001889,0.000960,0.000352,0.894531
0.415408,0.017665,0.202120,0.005312,0.269610,0.000832,0.002112,0.000960,0.000352,0.922404
0.416240,0.017601,0.201832,0.005088,0.251754,0.000640,0.001888,0.000896,0.000384,0.904611
0.416241,0.017665,0.202535,0.004865,0.241833,0.000704,0.002048,0.000768,0.000384,0.894755
0.415248,0.017249,0.202055,0.004865,0.237065,0.000736,0.001760,0.000704,0.000352,0.887875
0.427345,0.017345,0.202152,0.005280,0.253130,0.000672,0.001824,0.000768,0.000384,0.916868
0.415729,0.017632,0.201992,0.005249,0.237161,0.000800,0.001824,0.000960,0.000384,0.891011
0.416688,0.017505,0.202440,0.005568,0.252170,0.000736,0.002976,0.001152,0.000416,0.909507
0.415760,0.017665,0.202248,0.005312,0.258506,0.000801,0.003168,0.000768,0.000384,0.913636
0.419889,0.017697,0.201703,0.005153,0.246217,0.000704,0.002049,0.001088,0.000352,0.902884
0.421008,0.017505,0.201896,0.005312,0.254666,0.000704,0.002080,0.001120,0.000352,0.912931
0.416496,0.017665,0.202280,0.005280,0.260234,0.000832,0.003169,0.001184,0.000384,0.916900
0.432625,0.017536,0.202248,0.005217,0.247017,0.000800,0.003328,0.001056,0.000416,0.920484
0.415984,0.017569,0.202248,0.005280,0.249482,0.000832,0.003232,0.001024,0.000352,0.905123
0.416241,0.017792,0.201800,0.005377,0.234185,0.000672,0.002112,0.000896,0.000352,0.886435
0.417168,0.017248,0.201672,0.005344,0.262795,0.000704,0.001984,0.000736,0.000416,0.915140
0.415792,0.017473,0.201864,0.005216,0.240425,0.000704,0.001953,0.000800,0.000352,0.891907
0.415824,0.017760,0.202216,0.005280,0.257642,0.000800,0.002912,0.001184,0.000416,0.915044
0.416624,0.017921,0.201736,0.005248,0.249290,0.000640,0.003104,0.001248,0.000352,0.904291
0.432145,0.017505,0.202344,0.005344,0.255434,0.000768,0.001952,0.000992,0.000384,0.924868
