Layer[0],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415826,0.701919,0.005440,0.048738,0.000576,0.013537,0.000352,0.001536,0.001120,0.000352,1.198452
0.415922,0.754689,0.005408,0.049538,0.000608,0.013345,0.000384,0.001600,0.001280,0.000384,1.251958
0.416114,0.734752,0.005440,0.048802,0.000608,0.013377,0.000320,0.001600,0.001216,0.000384,1.231925
0.415730,0.701567,0.005312,0.048098,0.000608,0.013377,0.000320,0.001536,0.001152,0.000384,1.197172
0.433715,0.707358,0.005568,0.048706,0.001024,0.013601,0.000352,0.001600,0.001152,0.000352,1.222709
0.416018,0.737888,0.005504,0.049122,0.000608,0.013409,0.000320,0.001536,0.001152,0.000384,1.234901
0.415634,0.736831,0.005473,0.049762,0.000736,0.013376,0.000384,0.001600,0.001088,0.000384,1.234262
0.415538,0.697054,0.005312,0.048450,0.000544,0.013409,0.000352,0.001568,0.001088,0.000288,1.192627
0.415730,0.735136,0.005504,0.048898,0.000544,0.013408,0.000352,0.001536,0.001120,0.000384,1.231766
0.415826,0.727039,0.005568,0.049634,0.000640,0.013377,0.000384,0.001440,0.001152,0.000352,1.224789
0.415346,0.703390,0.005536,0.048962,0.000672,0.013505,0.000352,0.001536,0.001152,0.000416,1.199860
0.415538,0.706623,0.005568,0.049218,0.000544,0.013377,0.000384,0.001568,0.001184,0.000384,1.203412
0.415697,0.717087,0.005664,0.048706,0.000800,0.013441,0.000416,0.001600,0.001248,0.000352,1.214996
0.416178,0.707870,0.005376,0.048642,0.000640,0.013761,0.000384,0.001536,0.001216,0.000416,1.205076
0.416050,0.706239,0.005440,0.049186,0.000832,0.013409,0.000416,0.001536,0.001088,0.000352,1.204820
0.434451,0.691006,0.005504,0.049122,0.000800,0.013409,0.000352,0.001568,0.001152,0.000384,1.207380
0.416690,0.729951,0.005504,0.049122,0.000576,0.013312,0.000384,0.001472,0.001120,0.000384,1.227093
0.415794,0.692574,0.005568,0.048226,0.000576,0.013345,0.000352,0.001536,0.001120,0.000416,1.188243
0.415186,0.723487,0.005408,0.048770,0.000576,0.013376,0.000352,0.001472,0.001152,0.000416,1.218868
0.414994,0.721183,0.005537,0.049218,0.000608,0.013472,0.000384,0.001568,0.001184,0.000384,1.218709
0.415218,0.717087,0.005312,0.047874,0.000576,0.013408,0.000384,0.001472,0.001088,0.000352,1.211572
0.415250,0.693822,0.005344,0.048835,0.000608,0.013504,0.000384,0.001504,0.001088,0.000384,1.189267
0.415986,0.711135,0.005568,0.049026,0.000865,0.014048,0.000416,0.001536,0.001472,0.000384,1.210900
0.416178,0.748480,0.005440,0.049218,0.000673,0.013600,0.000384,0.001568,0.001184,0.000352,1.246581
0.415474,0.705727,0.015520,0.049602,0.000544,0.013376,0.000384,0.002048,0.001216,0.000384,1.214100
0.415762,0.738432,0.005824,0.048610,0.000768,0.013505,0.000352,0.001472,0.001088,0.000352,1.235253
0.431762,0.728416,0.005440,0.050722,0.000576,0.013377,0.000416,0.001600,0.001152,0.000384,1.242325
0.415282,0.689405,0.005408,0.049506,0.000608,0.013505,0.000384,0.001504,0.001120,0.000352,1.185651
0.415058,0.682461,0.005440,0.048930,0.000768,0.032130,0.000544,0.001664,0.001248,0.000384,1.199956
0.415122,0.696126,0.005312,0.048578,0.000576,0.013473,0.000384,0.001440,0.001152,0.000352,1.191251
0.415634,0.706495,0.005344,0.048578,0.000640,0.013441,0.000384,0.001504,0.001248,0.000352,1.202740
0.415474,0.749601,0.005664,0.048098,0.000608,0.013409,0.000352,0.001504,0.001216,0.000384,1.244918
0.416050,0.715839,0.005440,0.049154,0.000992,0.013568,0.000352,0.001440,0.001216,0.000384,1.214516
0.415602,0.705086,0.005792,0.049347,0.001280,0.013536,0.000352,0.001568,0.001184,0.000352,1.203476
0.416146,0.783170,0.007456,0.049858,0.000576,0.013409,0.000352,0.001440,0.001248,0.000384,1.283927
0.415986,0.733408,0.005568,0.048738,0.000800,0.014113,0.000384,0.001568,0.001184,0.000384,1.231861
0.416210,0.739040,0.005632,0.048867,0.000800,0.013600,0.000384,0.001536,0.001088,0.000384,1.236789
0.417106,0.714463,0.005888,0.048834,0.001088,0.014529,0.000352,0.001536,0.002208,0.000640,1.218804
0.417906,0.714175,0.006208,0.048642,0.000832,0.014657,0.000352,0.001632,0.001984,0.000544,1.218197
0.416530,0.740480,0.006016,0.048386,0.000768,0.014241,0.000352,0.001664,0.001472,0.000416,1.241142
0.415762,0.714015,0.005409,0.048162,0.000608,0.013824,0.000352,0.001536,0.001184,0.000352,1.210197
0.415506,0.711231,0.005280,0.048162,0.000768,0.013793,0.000352,0.001568,0.001152,0.000352,1.206068
0.415762,0.748576,0.005441,0.048418,0.000832,0.013504,0.000352,0.001600,0.001152,0.000416,1.246390
0.416242,0.711583,0.005440,0.048290,0.000768,0.013441,0.000384,0.001568,0.001056,0.000384,1.208788
0.416690,0.710175,0.005664,0.048162,0.000992,0.013601,0.000352,0.001568,0.001216,0.000384,1.208532
0.436019,0.712767,0.005696,0.048323,0.000672,0.013440,0.000352,0.001504,0.001504,0.000416,1.230645
0.416050,0.709119,0.005536,0.048226,0.000833,0.013600,0.000352,0.001600,0.001216,0.000352,1.206964
0.415538,0.737088,0.005600,0.048546,0.000768,0.013760,0.000352,0.001440,0.001056,0.000416,1.234581
0.416050,0.705567,0.005472,0.048418,0.000768,0.013409,0.000384,0.001536,0.001248,0.000352,1.202388
0.415954,0.703583,0.005536,0.048450,0.000640,0.013441,0.000352,0.001504,0.001184,0.000352,1.200596
0.418162,0.837732,0.005888,0.049922,0.001024,0.013857,0.000384,0.002304,0.002976,0.000608,1.347642
0.416753,0.721951,0.005760,0.048546,0.001088,0.014177,0.000608,0.002240,0.001888,0.000384,1.224245
0.416210,0.744992,0.005473,0.048194,0.000768,0.013760,0.000352,0.001632,0.001664,0.000353,1.243062
0.431698,0.690525,0.005505,0.048706,0.000800,0.013728,0.000416,0.001537,0.001248,0.000320,1.203412
0.416658,0.742304,0.005824,0.048450,0.000832,0.013921,0.000352,0.001568,0.001216,0.000384,1.240469
0.415698,0.702750,0.005568,0.074243,0.000928,0.013793,0.000416,0.001856,0.001152,0.000352,1.226453
0.416050,0.706334,0.005313,0.048450,0.000832,0.013728,0.000352,0.001536,0.001152,0.000384,1.202644
0.415506,0.689918,0.005568,0.048194,0.000800,0.013857,0.000352,0.001504,0.001120,0.000416,1.185875
0.416690,0.744384,0.005792,0.048418,0.000768,0.014017,0.000384,0.001504,0.001696,0.000608,1.248886
0.415890,0.698558,0.005664,0.048546,0.000768,0.013665,0.000320,0.001504,0.001248,0.000352,1.196659
0.415986,0.729599,0.005505,0.048418,0.000640,0.013824,0.000352,0.001536,0.001153,0.000384,1.226741
0.433043,0.698110,0.005504,0.048322,0.000608,0.013441,0.000384,0.001568,0.001216,0.000352,1.212853
0.416146,0.708894,0.005536,0.048194,0.000800,0.013376,0.000352,0.001600,0.001056,0.000352,1.204788
0.415954,0.743904,0.005569,0.048322,0.000800,0.013440,0.000384,0.001569,0.001152,0.000352,1.241078
0.415858,0.707455,0.005920,0.048322,0.000832,0.013793,0.000384,0.001536,0.001120,0.000384,1.204852
0.415954,0.700222,0.005440,0.048674,0.000800,0.013729,0.000352,0.001536,0.001216,0.000352,1.197460
