Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-9],Layer[10],classifier
0.416689,0.017664,0.201992,0.005024,0.048610,0.000736,0.013633,0.000384,0.180263,0.000544,0.893795
0.418481,0.017728,0.203080,0.005025,0.049314,0.000768,0.013696,0.000448,0.179207,0.000672,0.896387
0.416560,0.018017,0.202632,0.004864,0.048994,0.000576,0.013568,0.000384,0.199016,0.000672,0.913187
0.415888,0.017568,0.202152,0.005024,0.049282,0.000576,0.013601,0.000416,0.188039,0.000544,0.901123
0.420720,0.017473,0.202568,0.005056,0.047650,0.000608,0.013409,0.000416,0.178823,0.000928,0.896419
0.415824,0.017633,0.202408,0.004864,0.048098,0.000480,0.013377,0.000384,0.178759,0.000576,0.890819
0.432305,0.017697,0.202664,0.004960,0.048994,0.000480,0.013441,0.000384,0.194407,0.000672,0.924548
0.415920,0.017568,0.202280,0.005280,0.047970,0.000576,0.013377,0.000352,0.182311,0.000992,0.894179
0.417521,0.017761,0.204552,0.004832,0.047778,0.000576,0.013440,0.000352,0.181991,0.000640,0.897731
0.417616,0.017633,0.202280,0.004864,0.048866,0.000768,0.013953,0.000384,0.183079,0.000800,0.898115
0.416400,0.017569,0.202184,0.004800,0.048034,0.000736,0.014176,0.000416,0.168391,0.000768,0.881314
0.418577,0.017504,0.202920,0.005089,0.048482,0.000768,0.013664,0.000384,0.170631,0.000992,0.887235
0.420528,0.017792,0.202856,0.005056,0.048994,0.000768,0.013441,0.000384,0.171175,0.000704,0.889731
0.434385,0.017601,0.202728,0.004800,0.048322,0.000544,0.013728,0.000384,0.180039,0.000960,0.911620
0.417649,0.017505,0.201959,0.004801,0.048834,0.000704,0.013568,0.000416,0.165095,0.000512,0.879779
0.417808,0.017505,0.202664,0.005056,0.048578,0.000704,0.013312,0.000384,0.180135,0.000768,0.894851
0.416112,0.017761,0.202536,0.004832,0.049218,0.000736,0.013408,0.000352,0.180680,0.000768,0.894243
0.417552,0.017568,0.202504,0.004864,0.047906,0.000576,0.013377,0.000384,0.177063,0.000960,0.890371
0.421713,0.017825,0.202631,0.004865,0.048226,0.000576,0.013312,0.000352,0.178983,0.000544,0.896771
0.416272,0.017345,0.202280,0.004896,0.047746,0.000576,0.013632,0.000384,0.177671,0.000544,0.889314
0.417936,0.017697,0.225033,0.005088,0.047810,0.000576,0.013440,0.000481,0.182151,0.000544,0.920900
0.417296,0.017569,0.202664,0.005280,0.048834,0.000736,0.013537,0.000384,0.177703,0.000640,0.892835
0.417137,0.017601,0.202279,0.005025,0.049186,0.000736,0.013728,0.000384,0.166279,0.000768,0.881123
0.421297,0.017568,0.202024,0.004800,0.048322,0.000480,0.013409,0.000384,0.173191,0.000704,0.889251
0.417137,0.017440,0.201992,0.004864,0.050370,0.000480,0.013473,0.000416,0.174887,0.000544,0.888163
0.416112,0.017697,0.202568,0.004800,0.049346,0.000640,0.013313,0.000416,0.176518,0.000704,0.889827
0.416624,0.017569,0.202504,0.005088,0.047842,0.000608,0.013664,0.000384,0.178662,0.000640,0.890947
0.417681,0.017536,0.219465,0.005152,0.047938,0.000576,0.013281,0.000384,0.178599,0.000640,0.909796
0.417040,0.017473,0.202472,0.004896,0.048578,0.000768,0.013569,0.000416,0.179367,0.000672,0.892675
0.418193,0.017856,0.202568,0.004833,0.048641,0.000544,0.013313,0.000416,0.179815,0.000512,0.894979
0.417520,0.017632,0.202696,0.005056,0.048610,0.000576,0.013473,0.000416,0.180327,0.001024,0.894947
0.434769,0.017856,0.202824,0.005089,0.048674,0.000800,0.013856,0.000416,0.187624,0.000512,0.920932
0.416848,0.017665,0.202664,0.004832,0.048290,0.000640,0.013600,0.000384,0.178791,0.000672,0.891746
0.421392,0.017569,0.202536,0.004832,0.048290,0.000544,0.013568,0.000384,0.179431,0.000544,0.896067
0.416144,0.017697,0.217256,0.005152,0.049058,0.000576,0.013441,0.000384,0.178215,0.000576,0.905795
0.417328,0.017761,0.202280,0.004768,0.049282,0.000576,0.013537,0.000416,0.181831,0.000512,0.895427
0.417968,0.017633,0.202248,0.004864,0.048322,0.000544,0.013345,0.000384,0.182311,0.000480,0.895459
0.421840,0.017409,0.202376,0.005056,0.048194,0.000576,0.013409,0.000352,0.180423,0.000640,0.897955
0.441521,0.017505,0.202312,0.004832,0.049762,0.000576,0.013409,0.000384,0.192327,0.000576,0.930436
0.417232,0.017473,0.202376,0.005248,0.047842,0.000576,0.013569,0.000416,0.182663,0.000768,0.895683
0.421136,0.017729,0.202408,0.005184,0.048578,0.000768,0.013568,0.000385,0.175366,0.000896,0.893987
0.416912,0.017536,0.220585,0.005280,0.048770,0.000608,0.013729,0.000416,0.180295,0.000928,0.912996
0.420720,0.017729,0.202472,0.005056,0.049346,0.000800,0.013505,0.000384,0.181991,0.000832,0.899139
0.421745,0.017856,0.203528,0.005057,0.047969,0.000800,0.013728,0.000384,0.175463,0.000704,0.894499
0.415441,0.017536,0.201992,0.004896,0.048034,0.000576,0.013953,0.000384,0.164166,0.000608,0.874147
0.434193,0.017472,0.203528,0.004801,0.047905,0.000577,0.013472,0.000384,0.169479,0.000544,0.900835
0.416593,0.017569,0.202023,0.004865,0.049538,0.000608,0.013888,0.000384,0.174247,0.000960,0.887843
0.417424,0.018049,0.201832,0.004768,0.048450,0.000608,0.013441,0.000416,0.170790,0.000704,0.885187
0.417520,0.017504,0.202408,0.004864,0.048898,0.000768,0.013729,0.000384,0.200104,0.000576,0.914020
0.416432,0.017760,0.201992,0.005024,0.049410,0.000608,0.013441,0.000416,0.180519,0.000992,0.895011
0.417392,0.017760,0.202632,0.005088,0.048354,0.000576,0.013409,0.000416,0.175591,0.000672,0.889923
0.421104,0.017728,0.202408,0.004864,0.049410,0.000640,0.013921,0.000352,0.188199,0.000640,0.906499
0.434961,0.017601,0.202984,0.004800,0.048866,0.000736,0.013696,0.000384,0.176007,0.000608,0.908515
0.416144,0.017761,0.201927,0.004832,0.048290,0.000576,0.013504,0.000384,0.178503,0.000640,0.890147
0.416016,0.017409,0.201832,0.004864,0.047810,0.000576,0.013377,0.000384,0.179015,0.000576,0.888195
0.416240,0.017569,0.203432,0.005152,0.048002,0.000736,0.013537,0.000352,0.197255,0.000704,0.911044
0.416624,0.017697,0.202504,0.005024,0.048002,0.000576,0.013472,0.000416,0.179783,0.000992,0.892450
0.420624,0.017505,0.202536,0.005088,0.047842,0.000608,0.013441,0.000384,0.179399,0.000672,0.896099
0.419888,0.017824,0.202344,0.005120,0.048546,0.000736,0.013825,0.000448,0.180135,0.000672,0.896931
0.436305,0.017633,0.202536,0.004800,0.048354,0.000608,0.013441,0.000384,0.169286,0.000672,0.903107
0.416560,0.017473,0.202408,0.005024,0.048354,0.000768,0.013824,0.000384,0.182696,0.000672,0.896899
0.420400,0.017761,0.202216,0.004992,0.048386,0.000544,0.013505,0.000416,0.176806,0.000576,0.893411
0.416624,0.017249,0.202472,0.004992,0.048002,0.000768,0.014016,0.000384,0.197831,0.000512,0.910147
0.415505,0.020865,0.202023,0.004897,0.047938,0.000576,0.013984,0.000416,0.178023,0.000672,0.892707
0.420529,0.017760,0.202504,0.004832,0.047842,0.000576,0.013505,0.000416,0.178023,0.000544,0.893891
0.416144,0.017761,0.202440,0.004864,0.048834,0.000576,0.013473,0.000384,0.178183,0.000640,0.890691
0.448657,0.017601,0.202632,0.004832,0.047778,0.000576,0.013377,0.000384,0.174726,0.000544,0.918724
0.416433,0.017344,0.202440,0.004865,0.048609,0.000576,0.013440,0.000384,0.179911,0.000960,0.892035
0.416369,0.017568,0.202056,0.004897,0.048770,0.000576,0.013376,0.000416,0.178919,0.000512,0.890723
0.421649,0.017985,0.202055,0.004801,0.048034,0.000608,0.013376,0.000416,0.184103,0.000736,0.900643
0.416304,0.017664,0.202408,0.005120,0.048322,0.000736,0.013345,0.000384,0.176551,0.000672,0.889763
0.417296,0.017729,0.201960,0.005024,0.048002,0.000608,0.013633,0.000384,0.181671,0.000736,0.894819
0.415728,0.017537,0.202376,0.004800,0.048290,0.000608,0.013696,0.000384,0.166439,0.000544,0.877666
0.416336,0.017569,0.219401,0.005184,0.049218,0.000480,0.013664,0.000448,0.167143,0.000736,0.898211
0.416400,0.017441,0.202312,0.005088,0.048706,0.000608,0.013761,0.000352,0.175591,0.000608,0.887267
0.416688,0.017729,0.202248,0.005312,0.048674,0.000608,0.013792,0.000416,0.181927,0.000736,0.894787
0.416464,0.017505,0.202280,0.004992,0.047682,0.000576,0.013696,0.000384,0.175431,0.000576,0.886082
0.416048,0.017665,0.202248,0.005056,0.047810,0.000576,0.013569,0.000352,0.160326,0.000608,0.872194
0.426289,0.017536,0.202376,0.004961,0.049345,0.000480,0.013440,0.000416,0.223017,0.000480,0.945029
0.416176,0.017280,0.201736,0.004896,0.048450,0.000512,0.013633,0.000352,0.182375,0.000544,0.893315
0.418064,0.017601,0.221897,0.005408,0.048578,0.000608,0.013440,0.000416,0.182760,0.000672,0.917668
0.415632,0.017473,0.201928,0.005152,0.049122,0.000832,0.013921,0.000448,0.175335,0.000992,0.888739
0.417072,0.017313,0.201992,0.005088,0.048738,0.000736,0.014080,0.000352,0.177094,0.000577,0.890115
0.415984,0.017473,0.201928,0.005152,0.047650,0.000576,0.013664,0.000416,0.180551,0.000512,0.892130
