TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
1.772088,0.002880,0.001280,0.000384,1.782136
1.767640,0.003808,0.001216,0.000384,1.779705
1.773624,0.002817,0.001376,0.000384,1.784633
1.736823,0.002848,0.001376,0.000385,1.747704
1.738071,0.002816,0.001280,0.000384,1.749432
1.743159,0.002656,0.001248,0.000416,1.753111
1.757464,0.003072,0.001376,0.000416,1.768057
1.738295,0.002784,0.001249,0.000416,1.749112
1.735575,0.002784,0.001376,0.000384,1.745943
1.762904,0.002688,0.001312,0.000448,1.773401
1.754872,0.002880,0.001248,0.000384,1.765912
1.724150,0.002880,0.001313,0.000352,1.734871
1.757592,0.002816,0.001216,0.000384,1.767704
1.730998,0.002976,0.001185,0.000416,1.741655
1.790074,0.003136,0.001312,0.000384,1.801594
1.730198,0.002944,0.001184,0.000416,1.740503
1.757880,0.003200,0.001312,0.000384,1.768504
1.720565,0.002784,0.001248,0.000384,1.730646
1.755832,0.002624,0.001312,0.000384,1.765688
1.735894,0.003009,0.001248,0.000416,1.745815
1.751288,0.002688,0.001408,0.000384,1.761432
1.733495,0.002752,0.001344,0.000416,1.743863
1.771800,0.002720,0.001152,0.000416,1.781848
1.757559,0.003169,0.001376,0.000416,1.768568
1.761816,0.002944,0.001312,0.000416,1.773720
1.732278,0.002721,0.001216,0.000448,1.742551
1.764983,0.002848,0.001280,0.000352,1.775704
1.762200,0.002752,0.001408,0.000384,1.772376
1.757207,0.002784,0.001152,0.000384,1.767416
1.754776,0.002688,0.001408,0.000384,1.765272
1.767352,0.003136,0.001216,0.000416,1.779096
1.726646,0.003072,0.001248,0.000384,1.737174
1.801209,0.002944,0.001152,0.000416,1.811290
1.731350,0.002720,0.001088,0.000352,1.742583
1.777241,0.002752,0.001056,0.000384,1.786553
1.712981,0.002752,0.001056,0.000384,1.723542
1.757016,0.003360,0.001088,0.000384,1.768440
1.725974,0.002721,0.001024,0.000352,1.735799
1.723797,0.002784,0.001216,0.000384,1.733654
1.709845,0.002593,0.001056,0.000384,1.719702
1.750968,0.003104,0.001216,0.000352,1.761464
1.752535,0.002561,0.001056,0.000384,1.762360
1.801978,0.002688,0.000993,0.000384,1.811547
1.728278,0.002817,0.000992,0.000320,1.739031
1.774648,0.002720,0.001056,0.000416,1.783896
1.710837,0.002688,0.000928,0.000352,1.720630
1.741271,0.002592,0.001152,0.000416,1.751639
1.755896,0.002528,0.001024,0.000384,1.766104
1.756119,0.002784,0.001024,0.000352,1.765399
1.734262,0.002912,0.000992,0.000384,1.743895
1.760408,0.002912,0.001152,0.000384,1.771128
1.731542,0.002817,0.001152,0.000384,1.742039
1.789529,0.002624,0.001056,0.000384,1.798554
1.723638,0.002560,0.001024,0.000384,1.732758
1.747959,0.002592,0.001088,0.000416,1.757015
1.730230,0.002720,0.000992,0.000384,1.740247
1.786809,0.002560,0.001185,0.000384,1.797626
1.728342,0.002560,0.000992,0.000384,1.738486
1.754903,0.002657,0.000992,0.000352,1.763704
1.721589,0.002464,0.000896,0.000384,1.731062
1.756216,0.002688,0.001184,0.000384,1.766872
1.725238,0.002656,0.000992,0.000416,1.734902
1.743511,0.002592,0.001057,0.000384,1.752600
1.733142,0.002720,0.000992,0.000352,1.744759
1.752823,0.002752,0.001152,0.000384,1.762487
1.760440,0.002592,0.001056,0.000416,1.772120
1.741271,0.002720,0.001088,0.000416,1.750967
1.753752,0.002720,0.001056,0.000352,1.763864
1.746711,0.002720,0.001025,0.000384,1.756056
1.754200,0.003008,0.001024,0.000384,1.764312
1.744214,0.002944,0.001280,0.000384,1.755063
1.748023,0.002784,0.001184,0.000416,1.758679
1.801721,0.004704,0.001920,0.000576,1.817818
1.741142,0.003616,0.001248,0.000320,1.752951
1.758488,0.003232,0.001088,0.000448,1.769912
1.734998,0.002976,0.001152,0.000448,1.746839
1.755575,0.002593,0.001152,0.000384,1.766104
1.728374,0.002753,0.000928,0.000320,1.738487
1.744503,0.002656,0.001120,0.000352,1.754295
1.759735,0.002848,0.001216,0.000384,1.771128
1.804634,0.002688,0.001024,0.000384,1.814458
1.712597,0.002656,0.000992,0.000384,1.723414
1.784281,0.002912,0.001152,0.000352,1.795642
1.743319,0.002816,0.001216,0.000384,1.754456
1.776025,0.002944,0.001248,0.000384,1.786649
1.779321,0.002912,0.001216,0.000384,1.790201
1.763319,0.002688,0.001120,0.000352,1.773880
1.741367,0.002816,0.001280,0.000352,1.751447
1.750807,0.002848,0.001280,0.000416,1.762104
1.738198,0.002752,0.001408,0.000352,1.748887
1.757783,0.002848,0.001344,0.000384,1.768791
1.771928,0.003744,0.001216,0.000320,1.783576
1.786616,0.003360,0.001216,0.000384,1.797913
1.758711,0.002720,0.001216,0.000384,1.769079
1.792697,0.002848,0.001216,0.000352,1.804473
1.745750,0.002945,0.001216,0.000384,1.756632
1.756439,0.002944,0.001184,0.000416,1.766744
1.756440,0.002880,0.001312,0.000384,1.767064
1.756727,0.002912,0.001344,0.000416,1.767288
1.755607,0.002912,0.001376,0.000384,1.766872
1.789401,0.002848,0.001280,0.000416,1.800793
1.744535,0.002912,0.001344,0.000384,1.755351
1.804634,0.002944,0.001568,0.000481,1.818267
1.742358,0.002976,0.001312,0.000384,1.753271
1.757175,0.002753,0.001248,0.000384,1.767928
1.742070,0.002945,0.001248,0.000352,1.752791
1.762071,0.002880,0.001248,0.000384,1.772312
1.746198,0.002752,0.001376,0.000384,1.756439
1.757015,0.003136,0.001377,0.000384,1.768824
1.736215,0.003104,0.001248,0.000352,1.746999
1.741783,0.002784,0.001344,0.000352,1.752375
1.757143,0.002944,0.001184,0.000384,1.768184
1.736086,0.002497,0.001184,0.000416,1.746295
1.731702,0.002784,0.001248,0.000416,1.742102
1.769432,0.002944,0.001280,0.000384,1.781016
1.735830,0.002752,0.001248,0.000352,1.746199
1.743574,0.003200,0.001312,0.000384,1.755255
1.729717,0.002688,0.001280,0.000352,1.740246
1.736086,0.002816,0.001184,0.000384,1.746519
1.736918,0.002880,0.001184,0.000416,1.748086
1.747831,0.002849,0.001184,0.000352,1.758392
1.770808,0.002816,0.001184,0.000384,1.781944
1.766519,0.002784,0.001344,0.000352,1.777432
1.770328,0.003009,0.001184,0.000352,1.780793
1.750103,0.002816,0.001248,0.000320,1.760919
1.725078,0.002912,0.001280,0.000384,1.735543
1.735926,0.002944,0.001248,0.000352,1.746583
1.756279,0.002816,0.001120,0.000448,1.766327
1.760823,0.002913,0.001184,0.000352,1.770968
1.760791,0.002976,0.001216,0.000352,1.772088
1.749783,0.002656,0.001312,0.000416,1.761207
1.763448,0.002784,0.001216,0.000352,1.774424
1.757911,0.002656,0.001281,0.000384,1.768664
1.754167,0.002848,0.001280,0.000352,1.764695
1.747350,0.003072,0.001152,0.000320,1.758263
1.801466,0.002784,0.001248,0.000352,1.811610
1.750550,0.002848,0.001184,0.000384,1.761079
1.759479,0.002848,0.001376,0.000384,1.770199
1.740086,0.002944,0.001312,0.000384,1.751415
1.762263,0.002913,0.001344,0.000352,1.773112
1.745142,0.002880,0.001152,0.000384,1.756343
1.754071,0.002880,0.001312,0.000352,1.765848
1.740054,0.002912,0.001248,0.000384,1.750774
1.751479,0.002752,0.001152,0.000384,1.762359
1.739670,0.002944,0.001280,0.000416,1.750295
1.761592,0.002784,0.001440,0.000352,1.771704
1.734645,0.002816,0.001344,0.000416,1.745367
1.750518,0.002945,0.001408,0.000384,1.761367
1.751095,0.002912,0.001280,0.000416,1.761495
1.764343,0.002944,0.001345,0.000352,1.775064
1.743127,0.002752,0.001184,0.000352,1.752951
1.768568,0.003969,0.001216,0.000416,1.780793
1.760471,0.002688,0.001248,0.000416,1.770680
1.755895,0.002593,0.001280,0.000384,1.766456
1.748823,0.002688,0.001281,0.000416,1.759128
1.795961,0.002688,0.001376,0.000384,1.806361
1.733654,0.002624,0.001248,0.000384,1.743926
1.763095,0.002721,0.001216,0.000352,1.773400
1.729366,0.003104,0.001248,0.000352,1.740214
1.809338,0.002816,0.001312,0.000384,1.819994
1.761335,0.002880,0.001184,0.000384,1.771703
1.751351,0.002816,0.001280,0.000384,1.762103
1.755383,0.002880,0.001216,0.000416,1.765975
1.767959,0.002560,0.001409,0.000320,1.778392
1.731862,0.002753,0.001280,0.000384,1.742263
1.752662,0.002880,0.001408,0.000448,1.763255
1.739958,0.003168,0.001280,0.000352,1.750710
1.740630,0.002752,0.001249,0.000384,1.751095
1.729878,0.003104,0.001312,0.000416,1.741238
1.763832,0.002816,0.001312,0.000352,1.775000
1.726613,0.002784,0.001248,0.000384,1.738646
1.763191,0.002816,0.001248,0.000384,1.774136
1.736022,0.002784,0.001280,0.000416,1.746743
1.771480,0.002816,0.001216,0.000416,1.783288
1.738326,0.002784,0.000960,0.000352,1.748502
1.745430,0.002976,0.001024,0.000384,1.755159
1.735478,0.002656,0.001024,0.000384,1.744790
1.746007,0.003232,0.000896,0.000416,1.756215
1.741559,0.002880,0.001216,0.000416,1.752503
