TEE[0-9],Layer[10],classifier
1.753553,0.000768,1.759185
1.754769,0.000672,1.760881
1.755601,0.000576,1.760177
1.768081,0.000704,1.773938
1.717263,0.000576,1.722415
1.719279,0.000673,1.724912
1.750640,0.000640,1.755537
1.753841,0.000800,1.758769
1.738288,0.000576,1.744401
1.743152,0.000704,1.748560
1.780530,0.000608,1.786738
1.737392,0.000640,1.742993
1.746289,0.000736,1.752049
1.753745,0.000704,1.760050
1.775058,0.000672,1.781106
1.738960,0.000640,1.745008
1.712143,0.000864,1.718575
1.765169,0.000768,1.771441
1.741392,0.000704,1.747185
1.726800,0.000672,1.732816
1.740752,0.000736,1.746288
1.734640,0.000640,1.740336
1.738128,0.000736,1.744080
1.770706,0.000736,1.776722
1.747824,0.000832,1.754001
1.754545,0.000864,1.760465
1.763698,0.000672,1.769938
1.749809,0.000800,1.755985
1.724079,0.000704,1.730352
1.762353,0.000672,1.768593
1.774194,0.000640,1.780210
1.729648,0.000608,1.735728
1.744145,0.000704,1.749777
1.745616,0.000800,1.751729
1.754385,0.000736,1.760497
1.765713,0.000704,1.771633
1.730384,0.000672,1.736496
1.767921,0.000736,1.774129
1.784850,0.000704,1.789874
1.735759,0.000640,1.741808
1.779762,0.000704,1.785811
1.761713,0.000608,1.767505
1.727791,0.000672,1.733392
1.769970,0.000672,1.775666
1.723504,0.000736,1.728240
1.746352,0.000673,1.752049
1.784466,0.000736,1.790162
1.768434,0.000608,1.774354
1.738480,0.000672,1.744625
1.762194,0.000640,1.768018
1.716367,0.000640,1.722736
1.724943,0.000704,1.730575
1.746960,0.000640,1.751600
1.773810,0.000992,1.780530
1.746768,0.000704,1.752112
1.764722,0.000704,1.770482
1.784851,0.000832,1.790899
1.783443,0.000928,1.789715
1.730895,0.000768,1.736688
1.718671,0.000672,1.725456
1.730799,0.000640,1.736432
1.713807,0.000672,1.719599
1.759249,0.000800,1.766097
1.716815,0.000736,1.723312
1.768145,0.000800,1.774545
1.763473,0.000928,1.770226
1.769906,0.000736,1.777010
1.771153,0.000672,1.776369
1.767473,0.000768,1.773682
1.728143,0.000545,1.734416
1.782802,0.000640,1.789523
1.771633,0.000609,1.777554
1.750769,0.000704,1.757457
1.753008,0.000832,1.760081
1.750096,0.000800,1.757201
1.743408,0.000704,1.749776
1.746481,0.000704,1.752689
1.773074,0.000768,1.779378
1.755217,0.000704,1.761649
1.779154,0.000736,1.785746
1.738256,0.000768,1.745392
1.742000,0.000704,1.748273
1.740400,0.000768,1.747376
1.750864,0.000736,1.757936
1.737424,0.000608,1.743504
1.762577,0.000736,1.768722
1.772561,0.000704,1.779313
1.736880,0.000800,1.743568
1.768433,0.000704,1.775122
1.773170,0.000640,1.778578
1.737552,0.000672,1.743824
1.764337,0.000672,1.770962
1.747248,0.000800,1.754096
1.737839,0.000736,1.743920
1.732304,0.000672,1.738448
1.723120,0.000736,1.729328
1.739600,0.000768,1.746257
1.762193,0.000640,1.768721
1.758161,0.000768,1.765137
1.736143,0.000832,1.742608
1.731696,0.000768,1.737872
1.760593,0.000928,1.767569
1.739247,0.000736,1.745713
1.772081,0.000768,1.778609
1.734128,0.000896,1.740848
1.716111,0.000832,1.722320
1.728239,0.000672,1.734736
1.722735,0.000704,1.728783
1.746000,0.000672,1.752528
1.716143,0.000672,1.722447
1.739152,0.000768,1.745840
1.772978,0.000768,1.779026
