Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-8],Layer[9],Layer[10],classifier
0.430929,0.017633,0.202408,0.004832,0.248937,0.001280,0.000352,0.913380
0.415344,0.017857,0.202056,0.004832,0.248266,0.001216,0.000480,0.897475
0.417777,0.017473,0.201832,0.004800,0.254858,0.001344,0.000384,0.906276
0.415665,0.017985,0.201863,0.005025,0.261450,0.001376,0.000352,0.911108
0.415664,0.017473,0.202024,0.004832,0.246858,0.001216,0.000352,0.895779
0.417457,0.017856,0.203464,0.005089,0.240585,0.001600,0.000352,0.894531
0.418000,0.017600,0.202664,0.005024,0.257547,0.001376,0.000352,0.911908
0.432337,0.017696,0.203048,0.005025,0.264202,0.001440,0.000352,0.932100
0.416400,0.017953,0.202280,0.005056,0.263690,0.001344,0.000320,0.914307
0.416113,0.017728,0.202344,0.004992,0.252362,0.001440,0.000353,0.902436
0.416784,0.017537,0.202280,0.005024,0.273227,0.001440,0.000416,0.923940
0.416656,0.017697,0.202344,0.005024,0.252778,0.001440,0.000384,0.902819
0.416464,0.017760,0.202376,0.005024,0.266827,0.001408,0.000384,0.917892
0.416304,0.017633,0.202248,0.005088,0.238922,0.001376,0.000384,0.889315
0.451602,0.017793,0.202248,0.005024,0.267402,0.001473,0.000320,0.953030
0.416496,0.017505,0.202504,0.005056,0.234761,0.001472,0.000352,0.886307
0.416561,0.017505,0.202664,0.004800,0.258602,0.001472,0.000384,0.909860
0.416176,0.017632,0.202504,0.005024,0.282988,0.001472,0.000352,0.933157
0.417456,0.017377,0.203592,0.004800,0.261451,0.001408,0.000384,0.914116
0.416464,0.017601,0.203208,0.004800,0.249482,0.001568,0.000352,0.900963
0.416113,0.017728,0.202344,0.005025,0.250889,0.001408,0.000352,0.900868
0.435121,0.017856,0.202343,0.004833,0.268522,0.001440,0.000384,0.938116
0.415985,0.017472,0.202856,0.005025,0.263114,0.001312,0.000352,0.913252
0.416336,0.017345,0.202312,0.005152,0.239593,0.001376,0.000384,0.889858
0.416336,0.017440,0.201896,0.004832,0.294092,0.001280,0.000352,0.943749
0.415696,0.017281,0.202344,0.004800,0.252138,0.001504,0.000480,0.902595
0.415760,0.017665,0.203880,0.004832,0.254378,0.001504,0.000384,0.906884
0.416048,0.017761,0.202184,0.004832,0.260842,0.001312,0.000352,0.911491
0.434705,0.017633,0.202344,0.005088,0.256394,0.001280,0.000384,0.925220
0.416208,0.017440,0.202120,0.005056,0.248266,0.001312,0.000384,0.898307
0.416081,0.017313,0.202152,0.004896,0.259562,0.001280,0.000384,0.909380
0.417232,0.017984,0.222857,0.005184,0.267851,0.001440,0.000384,0.940997
0.416176,0.017440,0.202056,0.004800,0.253866,0.001344,0.000352,0.902723
0.415985,0.017505,0.201991,0.004801,0.237865,0.001344,0.000448,0.886691
0.416464,0.017985,0.202376,0.004768,0.259114,0.001472,0.000352,0.908484
0.429424,0.017697,0.202056,0.005056,0.252522,0.001408,0.000384,0.916707
0.416305,0.017568,0.202088,0.004929,0.268394,0.001408,0.000384,0.919332
0.415825,0.017632,0.201832,0.004768,0.246922,0.001216,0.000384,0.895459
0.416048,0.017537,0.219496,0.005152,0.250954,0.001312,0.000384,0.919044
0.415953,0.018113,0.202535,0.004865,0.248905,0.001377,0.000384,0.899460
0.416016,0.017633,0.202088,0.004832,0.256426,0.001568,0.000416,0.905731
0.415825,0.017568,0.201928,0.004768,0.250665,0.001568,0.000416,0.899780
