Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416561,0.017664,0.202792,0.004801,0.047937,0.000608,0.186408,0.000736,0.002304,0.001184,0.000384,0.889731
0.434033,0.017760,0.203304,0.004864,0.048066,0.000576,0.193704,0.001024,0.002496,0.001216,0.000352,0.917796
0.416176,0.017216,0.202792,0.004832,0.048322,0.000576,0.194312,0.000608,0.002016,0.001248,0.000352,0.896963
0.419217,0.017569,0.203432,0.005376,0.048194,0.000768,0.242153,0.000928,0.003744,0.002112,0.000544,0.957478
0.416752,0.017729,0.202472,0.005408,0.047746,0.000800,0.225129,0.000864,0.002272,0.001344,0.000416,0.929668
0.418801,0.017793,0.204072,0.005312,0.048290,0.000768,0.221833,0.000832,0.002304,0.002496,0.000576,0.935781
0.418000,0.017633,0.203016,0.005184,0.048226,0.000800,0.201704,0.000768,0.002208,0.001856,0.000576,0.911011
0.416528,0.017761,0.203112,0.005216,0.048418,0.000800,0.179463,0.000800,0.002080,0.001312,0.000576,0.884642
0.437329,0.018081,0.202024,0.005088,0.048738,0.000800,0.189863,0.000737,0.002176,0.001248,0.000352,0.915332
0.417744,0.017601,0.202120,0.005120,0.048802,0.000800,0.193480,0.000832,0.002304,0.001088,0.000384,0.898883
0.416880,0.017761,0.202312,0.005088,0.047554,0.000832,0.188359,0.000768,0.001984,0.001120,0.000384,0.892546
0.416337,0.017664,0.224457,0.005472,0.048034,0.000832,0.191112,0.001024,0.002816,0.001280,0.000416,0.918756
0.416465,0.017889,0.202727,0.005313,0.047490,0.000800,0.186407,0.001120,0.001888,0.001216,0.000352,0.889827
0.417040,0.017825,0.203880,0.004992,0.047778,0.000800,0.197160,0.000800,0.002112,0.001280,0.000352,0.902883
0.417392,0.017600,0.202632,0.005056,0.047842,0.000832,0.194824,0.001024,0.002048,0.001088,0.000384,0.900163
0.416912,0.017953,0.202632,0.005088,0.048066,0.000832,0.193832,0.000832,0.002240,0.001088,0.000352,0.898211
0.416401,0.017312,0.202887,0.005345,0.048418,0.000704,0.190727,0.001152,0.002176,0.000960,0.000384,0.895587
0.417201,0.017568,0.203272,0.005312,0.047618,0.000800,0.183176,0.001024,0.001952,0.001024,0.000352,0.888163
0.417104,0.017569,0.217992,0.005345,0.048354,0.000768,0.187687,0.001056,0.002592,0.001376,0.000384,0.909539
0.417393,0.017472,0.202152,0.005217,0.047777,0.000832,0.186248,0.000800,0.001984,0.001120,0.000576,0.889379
0.414544,0.017569,0.203720,0.005248,0.047522,0.000768,0.199656,0.000992,0.001920,0.001024,0.000352,0.902755
