TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.222779,0.203792,0.005088,0.048644,0.000608,0.013697,0.000384,0.001472,0.001024,0.000384,1.506448
1.276800,0.204367,0.005089,0.048579,0.000832,0.014145,0.000352,0.001376,0.001024,0.000352,1.560949
1.205019,0.203631,0.005473,0.048739,0.000896,0.013953,0.000384,0.001504,0.001152,0.000352,1.489808
1.244670,0.204975,0.005473,0.048483,0.000832,0.014050,0.000416,0.001440,0.001024,0.000384,1.529715
1.191514,0.204303,0.005345,0.048899,0.000577,0.014017,0.000384,0.001504,0.001024,0.000352,1.476399
1.200378,0.203695,0.005025,0.049059,0.000736,0.014529,0.000352,0.001409,0.000992,0.000384,1.485135
1.232252,0.203728,0.005024,0.048516,0.000832,0.014273,0.000384,0.001504,0.001088,0.000384,1.516497
1.195641,0.204303,0.005088,0.048292,0.000576,0.013985,0.000352,0.001408,0.001024,0.000352,1.479119
1.224124,0.204047,0.005089,0.048643,0.000640,0.013986,0.000384,0.001440,0.000992,0.000352,1.508113
1.237437,0.204656,0.005024,0.050436,0.000800,0.014529,0.000576,0.001440,0.000960,0.000352,1.523699
1.196505,0.223600,0.008608,0.049604,0.000800,0.013761,0.000384,0.001408,0.000928,0.000384,1.506065
1.209275,0.203823,0.005089,0.048483,0.000576,0.014370,0.000352,0.001440,0.000992,0.000384,1.492624
1.247677,0.204175,0.005088,0.047748,0.000576,0.013857,0.000384,0.001472,0.001024,0.000352,1.531218
1.240093,0.204207,0.005121,0.047203,0.000800,0.013953,0.000384,0.001472,0.000960,0.000352,1.522258
1.220187,0.203727,0.005536,0.047460,0.000640,0.013985,0.000448,0.001440,0.001024,0.000384,1.503536
1.268287,0.203919,0.005089,0.047875,0.000800,0.014113,0.000384,0.001409,0.001088,0.000384,1.550804
1.213915,0.203631,0.004960,0.047812,0.000576,0.013921,0.000384,0.001408,0.001024,0.000352,1.496272
1.261406,0.203439,0.005056,0.047460,0.000640,0.014049,0.000576,0.001440,0.000992,0.000384,1.543091
