Layer[0],Layer[1],TEE[2-10],classifier
0.415504,0.017473,0.695803,1.195119
0.437489,0.017473,0.678618,1.198767
0.415024,0.018145,0.650874,1.148525
0.415344,0.017505,0.682939,1.181678
0.438289,0.017409,0.678298,1.200271
0.419888,0.017473,0.685659,1.191310
0.419345,0.017441,0.673722,1.177839
0.420401,0.017761,0.685627,1.192303
0.420848,0.017601,0.679163,1.187182
0.420593,0.017504,0.696476,1.204111
0.420497,0.017665,0.685211,1.189967
0.419856,0.017280,0.685147,1.192463
0.415408,0.017345,0.700987,1.201327
0.421616,0.017473,0.684923,1.191086
0.420209,0.017408,0.682075,1.185839
0.437553,0.017793,0.724028,1.252977
0.419921,0.017665,0.692123,1.198319
0.415280,0.017857,0.679162,1.180974
0.419793,0.017761,0.699323,1.206224
0.421009,0.017505,0.695451,1.206960
0.419952,0.017505,0.710876,1.231088
0.420305,0.017632,0.687579,1.194671
0.420496,0.017569,0.692635,1.200015
0.415760,0.017569,0.712892,1.222064
0.420305,0.017728,0.681819,1.190383
0.415216,0.017569,0.689499,1.192174
0.435953,0.017985,0.694651,1.221007
0.420240,0.017600,0.687835,1.196815
0.417200,0.017825,0.699419,1.204623
0.415952,0.017697,0.695355,1.198735
0.417360,0.017537,0.693851,1.198831
0.420144,0.017473,0.712828,1.221615
0.420176,0.018208,0.691899,1.200815
0.416017,0.017888,0.678427,1.180687
0.417200,0.017761,0.705468,1.208207
0.419729,0.017537,0.675418,1.180623
0.416177,0.017600,0.688764,1.191343
0.438577,0.017633,0.690619,1.214992
0.420785,0.017793,0.696571,1.205039
0.421776,0.017761,0.686715,1.192111
0.420113,0.017440,0.689115,1.193455
0.416977,0.017953,0.689275,1.193135
0.420016,0.017697,0.704539,1.213775
0.415760,0.017440,0.689755,1.190479
0.415696,0.017472,0.678971,1.178926
0.420273,0.017984,0.725629,1.237937
0.415921,0.017760,0.695196,1.196335
0.420465,0.017729,0.694875,1.203024
0.434833,0.018209,0.694683,1.215951
0.415760,0.017473,0.690939,1.191822
0.420145,0.017409,0.690427,1.197103
0.433649,0.017505,0.690171,1.211855
0.420145,0.017441,0.693275,1.198287
0.420369,0.017505,0.685403,1.211056
0.419793,0.017569,0.712636,1.220144
0.420241,0.017569,0.684667,1.190575
0.420209,0.017665,0.712059,1.222448
0.417105,0.017568,0.686587,1.191759
0.421073,0.017792,0.694876,1.201359
0.420337,0.017536,0.728605,1.235601
0.419889,0.017601,0.689147,1.193807
0.421712,0.017601,0.659770,1.164557
0.437009,0.017537,0.689211,1.215759
0.416305,0.017761,0.679866,1.181775
0.421904,0.017568,0.688923,1.196079
0.420432,0.017505,0.688859,1.195855
0.420368,0.017473,0.679355,1.184014
0.420592,0.017473,0.687067,1.201295
0.420560,0.017569,0.692091,1.200079
0.415857,0.017440,0.690043,1.193775
0.419952,0.017697,0.708060,1.224592
0.421136,0.017313,0.686491,1.192847
0.415536,0.017537,0.687227,1.189391
0.433073,0.017505,0.670362,1.189455
0.419665,0.017473,0.674842,1.178383
0.419888,0.017505,0.685787,1.189774
0.437073,0.017568,0.689115,1.214736
0.420208,0.017728,0.666522,1.174446
0.420561,0.017504,0.738845,1.252817
0.419793,0.018177,0.690747,1.197583
0.419825,0.017472,0.687323,1.194511
0.420080,0.017505,0.678107,1.191087
0.420016,0.017761,0.673978,1.177839
0.415665,0.017505,0.681882,1.181391
0.420048,0.017569,0.688379,1.194063
0.420977,0.017344,0.673339,1.180142
0.416784,0.017537,0.687035,1.189615
0.438898,0.017697,0.681434,1.208752
0.420336,0.017505,0.684635,1.190126
0.420689,0.017601,0.674266,1.177614
0.435057,0.018081,0.682811,1.200943
0.420688,0.017313,0.697756,1.201007
0.420273,0.017441,0.672954,1.176623
0.420688,0.017761,0.683099,1.189806
0.415280,0.017409,0.671066,1.169006
0.420368,0.017665,0.707580,1.217775
0.419281,0.017441,0.675354,1.184527
0.420913,0.017921,0.693883,1.203727
0.416592,0.017377,0.704892,1.207727
0.417904,0.017409,0.677371,1.180206
0.415697,0.017440,0.689532,1.190479
0.437842,0.017568,0.674075,1.198063
0.420081,0.017952,0.708348,1.213200
0.415633,0.017441,0.688603,1.189647
0.452658,0.017601,0.691579,1.232081
0.420048,0.017697,0.692891,1.199119
0.420497,0.017665,0.722716,1.233489
0.419249,0.017697,0.694011,1.200752
0.420176,0.017568,0.694236,1.202639
0.420496,0.017729,0.708700,1.218255
0.420272,0.017568,0.689851,1.195567
0.420208,0.017536,0.685403,1.189135
0.443793,0.017536,0.718141,1.250481
0.415856,0.017505,0.675034,1.177102
0.416272,0.017665,0.694011,1.197839
0.438097,0.017729,0.684379,1.210224
0.420561,0.017536,0.695804,1.207472
0.416400,0.017665,0.718076,1.228720
0.415728,0.017793,0.694555,1.197263
0.416081,0.017729,0.693339,1.199951
0.416208,0.017760,0.699932,1.210384
0.420369,0.017569,0.690939,1.198319
0.420496,0.017761,0.691003,1.197967
0.435697,0.017441,0.694331,1.219888
0.420145,0.017441,0.689147,1.197231
0.420784,0.017921,0.693019,1.202863
0.416496,0.017600,0.696316,1.200591
0.420688,0.017729,0.683259,1.190606
0.416784,0.017569,0.709308,1.214928
0.420529,0.017473,0.690235,1.197615
0.420400,0.017505,0.685083,1.192910
0.421521,0.017345,0.713308,1.225648
0.416080,0.017697,0.688379,1.190798
0.415696,0.017632,0.691227,1.194607
0.452913,0.017376,0.696092,1.238800
0.420304,0.017441,0.689659,1.196879
0.420784,0.017505,0.662394,1.170094
0.420433,0.017473,0.693883,1.201872
0.420785,0.017536,0.692444,1.201583
0.416496,0.017920,0.719196,1.225968
0.416112,0.017537,0.690523,1.192911
0.416689,0.017504,0.716925,1.219664
0.420080,0.017441,0.715900,1.224496
0.417872,0.017984,0.700092,1.207535
0.420721,0.017697,0.697467,1.206768
0.441682,0.017600,0.727261,1.259890
0.420144,0.017601,0.692827,1.198991
0.420433,0.017536,0.731101,1.261714
0.420465,0.017505,0.683578,1.191087
0.421169,0.017729,0.692955,1.201616
0.420273,0.017536,0.738525,1.254449
0.420560,0.017505,0.693883,1.205007
0.420369,0.017505,0.692603,1.199152
0.443505,0.017632,0.693628,1.224688
0.420784,0.017761,0.700539,1.209199
0.415568,0.017537,0.694907,1.198287
0.415792,0.017729,0.687675,1.206576
0.423280,0.017793,0.700444,1.212559
0.421488,0.017345,0.703804,1.213039
0.421201,0.017729,0.694651,1.203600
0.420624,0.017760,0.693883,1.202159
0.420881,0.017632,0.704315,1.213296
0.416432,0.017633,0.688571,1.192559
0.420816,0.017601,0.696667,1.205455
0.440914,0.017568,0.696092,1.223248
0.420208,0.017569,0.693051,1.201231
0.421073,0.017824,0.695676,1.204175
0.415760,0.017473,0.697947,1.200847
0.420817,0.017761,0.693851,1.201360
0.416176,0.017697,0.713532,1.228016
0.417585,0.017569,0.683259,1.186255
0.415985,0.017953,0.692955,1.196015
0.421264,0.017632,0.711836,1.222192
0.420688,0.018017,0.684251,1.192015
0.420784,0.017505,0.692603,1.201679
0.436913,0.017697,0.697211,1.221840
0.419600,0.017568,0.695548,1.204815
0.416048,0.017697,0.694683,1.200271
0.420497,0.017536,0.694428,1.201647
0.416624,0.017313,0.679674,1.182766
0.420464,0.017921,0.713820,1.228656
0.416304,0.017504,0.692764,1.195151
0.420656,0.017505,0.682651,1.189326
0.420848,0.017761,0.759390,1.276594
0.420400,0.017953,0.694747,1.203663
0.420464,0.017761,0.693659,1.202703
0.439313,0.017920,0.697372,1.224560
0.421233,0.017633,0.693499,1.201264
0.421424,0.017472,0.691259,1.199727
0.417713,0.017569,0.693979,1.201296
0.420849,0.017665,0.690331,1.198127
0.415953,0.017504,0.710716,1.219632
0.420625,0.017761,0.692923,1.203951
0.416048,0.017729,0.692123,1.194095
0.420848,0.017601,0.714204,1.224464
0.420720,0.017505,0.693755,1.203119
0.421008,0.017889,0.695579,1.204751
0.435697,0.017536,0.696444,1.218576
0.421136,0.017601,0.691451,1.200303
0.416464,0.017537,0.675322,1.178127
0.420816,0.017537,0.695291,1.202927
0.416145,0.017504,0.683291,1.185103
0.420720,0.017472,0.712380,1.221168
0.420848,0.017440,0.683003,1.189103
0.420464,0.017537,0.695804,1.206031
0.420721,0.017601,0.702075,1.208816
0.420432,0.017569,0.683259,1.190766
0.416688,0.017473,0.720828,1.224208
0.438545,0.017665,0.688923,1.213775
0.416465,0.017441,0.686587,1.187599
0.416049,0.017473,0.686747,1.211920
0.420144,0.017697,0.683867,1.190287
0.420561,0.017665,0.684891,1.191471
0.420049,0.017632,0.714780,1.226704
0.420624,0.017537,0.692987,1.201903
0.416144,0.017697,0.689531,1.195567
0.420273,0.035554,0.692091,1.219760
0.420657,0.017664,0.691163,1.199663
0.420849,0.017505,0.686362,1.193583
0.432625,0.017697,0.693883,1.213136
0.420080,0.017568,0.690235,1.197039
0.415792,0.017441,0.690363,1.212655
0.420176,0.017505,0.689659,1.196335
0.421008,0.017761,0.693755,1.203151
0.420305,0.017281,0.709884,1.219312
0.416656,0.017889,0.686779,1.189646
0.415888,0.017569,0.694427,1.198127
0.420560,0.020737,0.686907,1.214991
0.420080,0.018176,0.712380,1.220656
0.420817,0.017633,0.693083,1.210064
0.437009,0.017505,0.692699,1.216975
0.422225,0.017665,0.685563,1.195759
0.416240,0.017760,0.687995,1.228976
0.421841,0.017345,0.695035,1.205072
0.420496,0.017441,0.691003,1.199087
0.415600,0.017728,0.702236,1.205903
0.416688,0.017633,0.704092,1.211023
0.421265,0.017761,0.684059,1.192015
0.439218,0.017504,0.692188,1.220496
0.421104,0.017729,0.692219,1.200911
0.420560,0.017377,0.690139,1.198127
0.431633,0.017792,0.694204,1.214896
0.416817,0.017569,0.690683,1.193935
0.420528,0.017600,0.697820,1.213616
0.420689,0.017472,0.689916,1.197423
0.420944,0.017504,0.686331,1.194383
0.415728,0.017537,0.708988,1.218799
0.415760,0.017665,0.693339,1.196239
0.415633,0.017665,0.671642,1.173006
0.416816,0.017505,0.703419,1.208559
0.419856,0.017601,0.688155,1.194318
0.421169,0.017377,0.689211,1.197711
0.446897,0.017377,0.680891,1.215407
0.419889,0.017760,0.685915,1.190639
0.416656,0.017633,0.688155,1.190670
0.420560,0.017472,0.696124,1.203951
0.419569,0.017696,0.681499,1.188111
0.419761,0.017985,0.710652,1.221296
0.416272,0.017504,0.671515,1.171886
0.419825,0.017665,0.692987,1.202415
0.415472,0.017600,0.711196,1.213936
0.415536,0.017313,0.689563,1.190287
0.416144,0.017761,0.698139,1.200143
0.437585,0.018145,0.694011,1.219120
0.415184,0.017409,0.690715,1.193007
0.415792,0.017664,0.695484,1.198639
0.419857,0.017824,0.686907,1.194191
0.420304,0.017697,0.677979,1.184334
0.415952,0.017569,0.684859,1.190254
0.420400,0.017665,0.688859,1.193455
0.415473,0.017856,0.687867,1.191823
0.415728,0.017665,0.711644,1.214223
0.416368,0.017633,0.689403,1.191470
0.415664,0.018177,0.691355,1.195727
0.431441,0.018273,0.721852,1.243121
0.420401,0.017697,0.695035,1.201839
0.415825,0.017665,0.688987,1.190415
0.436786,0.017472,0.690972,1.216176
0.420017,0.017505,0.690075,1.198127
0.415568,0.017665,0.675674,1.174318
0.420209,0.017313,0.672026,1.175086
0.419920,0.017281,0.690075,1.196367
0.420049,0.017473,0.690683,1.198031
0.420913,0.017473,0.686139,1.191599
0.420016,0.017793,0.678491,1.184814
0.415665,0.018177,0.707547,1.216784
0.419953,0.017537,0.670714,1.174543
0.416401,0.017280,0.687803,1.189711
0.441617,0.017472,0.684859,1.213232
0.420529,0.017473,0.692219,1.194927
0.420081,0.017217,0.668986,1.170190
0.434961,0.017696,0.688411,1.207183
0.414736,0.017281,0.680795,1.180622
0.419568,0.017665,0.687323,1.213935
0.422545,0.018209,0.695131,1.205776
0.416656,0.017665,0.697884,1.202607
0.420464,0.017729,0.715388,1.231504
0.420977,0.017921,0.694875,1.203664
0.417456,0.017728,0.684443,1.189551
0.434001,0.017857,0.696763,1.218160
0.416208,0.017633,0.695579,1.200751
0.420593,0.017824,0.696572,1.206191
0.422480,0.017633,0.687803,1.199151
0.421297,0.017408,0.692060,1.199887
0.420945,0.017856,0.695420,1.203535
0.420113,0.017665,0.690459,1.199504
0.416336,0.017409,0.687067,1.188271
0.415920,0.017793,0.706715,1.209967
0.421776,0.017696,0.689371,1.196335
0.420496,0.017473,0.690715,1.197583
0.437425,0.017312,0.692443,1.216207
0.421329,0.017953,0.689019,1.194895
0.420401,0.017665,0.700027,1.209360
0.434289,0.017600,0.700700,1.227280
0.420657,0.017793,0.676218,1.184207
0.420657,0.017569,0.714940,1.227345
0.415921,0.017505,0.681658,1.184815
0.421201,0.017536,0.660314,1.167918
0.415921,0.017504,0.713180,1.225424
0.420208,0.017473,0.724669,1.244241
0.420752,0.017569,0.691035,1.199311
0.449873,0.017760,0.699580,1.238544
0.420433,0.017568,0.683099,1.190607
0.415921,0.017728,0.696284,1.198511
0.415856,0.017953,0.697339,1.203951
0.416689,0.017664,0.682939,1.185423
0.420496,0.017601,0.707452,1.223536
0.420465,0.017569,0.694011,1.200335
0.415824,0.017537,0.688859,1.191726
0.421392,0.017761,0.716700,1.227184
0.420112,0.017568,0.678683,1.186863
0.420913,0.017504,0.675866,1.181743
0.440625,0.017697,0.695323,1.225232
0.420816,0.017504,0.691291,1.199919
0.420752,0.017729,0.684475,1.193967
0.420177,0.017697,0.695579,1.202864
0.420528,0.017825,0.692475,1.199695
0.415697,0.017505,0.689979,1.193615
0.420401,0.017761,0.677018,1.183119
0.415984,0.017792,0.677915,1.178382
0.417105,0.017632,0.709052,1.214256
0.421168,0.017632,0.698428,1.208079
0.421009,0.017728,0.686843,1.194671
0.420401,0.017505,0.705435,1.212368
0.415792,0.017953,0.696443,1.201455
0.416369,0.017536,0.691996,1.197007
0.439697,0.017569,0.693211,1.224496
0.415889,0.017440,0.674554,1.174670
0.420304,0.017281,0.676571,1.180494
0.421105,0.017344,0.675931,1.181454
0.415920,0.017793,0.691995,1.194190
0.420337,0.017504,0.711932,1.222384
0.420848,0.017569,0.692347,1.198863
0.420273,0.017505,0.690427,1.197295
0.416112,0.017761,0.711740,1.222160
0.420528,0.017632,0.688891,1.196015
0.420208,0.017408,0.686587,1.191535
0.433425,0.017441,0.692379,1.216880
0.417968,0.017761,0.670842,1.173230
0.421393,0.017440,0.688059,1.195439
0.437009,0.017696,0.685019,1.205872
0.419984,0.017472,0.687099,1.194415
0.420593,0.017473,0.691675,1.222704
0.420721,0.017729,0.688027,1.196047
0.420624,0.017761,0.696123,1.204783
0.416592,0.017825,0.714332,1.220143
0.420688,0.017505,0.685723,1.192302
0.420944,0.017729,0.695771,1.202479
0.420368,0.017953,0.707036,1.211759
0.420593,0.017856,0.687707,1.195311
0.419473,0.017473,0.681498,1.187983
0.439058,0.017345,0.682778,1.212752
0.420944,0.017473,0.692507,1.200591
0.422128,0.017633,0.692795,1.201071
0.414704,0.017441,0.695003,1.196591
0.421425,0.017793,0.678970,1.184335
0.420977,0.017953,0.708988,1.226161
0.422289,0.017505,0.691899,1.202351
0.417201,0.017313,0.688283,1.190831
