Layer[0],Layer[1],Layer[2],TEE[3-10],classifier
0.416369,0.017536,0.202824,0.205448,0.908228
0.416624,0.017761,0.202088,0.200168,0.904675
0.416625,0.017537,0.202088,0.198375,0.901092
0.415921,0.017664,0.202376,0.206792,0.909572
0.416176,0.017729,0.202344,0.205768,0.908387
0.416688,0.017664,0.202056,0.185191,0.887523
0.430897,0.017473,0.202472,0.215112,0.938725
0.416912,0.017473,0.202312,0.192040,0.897251
0.416433,0.017664,0.203303,0.198728,0.904164
0.416561,0.017312,0.202408,0.193736,0.918052
0.416304,0.017569,0.202120,0.193543,0.898947
0.415280,0.017537,0.201896,0.201192,0.904451
0.417360,0.017601,0.202184,0.194663,0.899971
0.432689,0.017537,0.202408,0.188487,0.908611
0.415760,0.017536,0.201768,0.209800,0.913732
0.417328,0.017729,0.202248,0.202024,0.914948
0.416304,0.017473,0.202120,0.188903,0.916676
0.416561,0.017696,0.202152,0.197960,0.900932
0.416177,0.017472,0.205032,0.209385,0.914244
0.415760,0.017697,0.202760,0.203176,0.908323
0.446001,0.017696,0.202152,0.197096,0.928740
0.417168,0.017440,0.202280,0.216073,0.917892
0.416240,0.017665,0.202600,0.206760,0.909379
0.416401,0.017568,0.202152,0.211305,0.916260
0.415440,0.017697,0.202504,0.192775,0.894243
0.416593,0.017568,0.202696,0.207465,0.912228
0.415376,0.017697,0.202632,0.195208,0.899267
0.434513,0.017697,0.202728,0.214440,0.935108
0.415856,0.017729,0.202184,0.196584,0.900163
0.415728,0.017665,0.202536,0.207496,0.909763
0.416656,0.017568,0.202568,0.213321,0.923524
0.415824,0.017569,0.202120,0.192615,0.895139
0.416080,0.017505,0.202632,0.197640,0.900835
0.416336,0.017889,0.202664,0.204808,0.908324
0.437777,0.017505,0.202440,0.207528,0.932997
0.416753,0.017536,0.202408,0.200072,0.904324
0.416209,0.017505,0.202376,0.210024,0.912644
0.416848,0.017536,0.202408,0.214601,0.919076
0.417616,0.017537,0.202344,0.203144,0.907875
0.416976,0.017952,0.202088,0.203560,0.907012
