Layer[0],Layer[1],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.416208,0.017825,0.748989,0.002624,0.001121,0.000608,1.194095
0.437682,0.017632,0.759326,0.002432,0.001120,0.000576,1.225873
0.420433,0.017505,0.748029,0.002592,0.001184,0.000416,1.197071
0.419440,0.017888,0.747198,0.002528,0.001120,0.000352,1.195311
0.420336,0.017632,0.731453,0.002336,0.001120,0.000352,1.179982
0.420977,0.018112,0.738877,0.002240,0.001120,0.000352,1.188079
0.420369,0.017696,0.764926,0.003104,0.001120,0.000608,1.214672
0.420593,0.017665,0.745117,0.002592,0.001120,0.000416,1.193711
0.415504,0.017953,0.744125,0.002240,0.001120,0.000384,1.186895
0.420433,0.017505,0.763134,0.002336,0.001120,0.000352,1.212976
0.420177,0.017569,0.733565,0.003168,0.001216,0.000416,1.182415
0.415952,0.017473,0.743869,0.002336,0.001088,0.000384,1.187342
0.433233,0.017664,0.727421,0.002432,0.001056,0.000352,1.189679
0.415568,0.017345,0.746013,0.002561,0.001216,0.000448,1.190351
0.416049,0.017984,0.731933,0.002432,0.001152,0.000385,1.176431
0.431569,0.018017,0.744221,0.002720,0.001088,0.000352,1.204559
0.415793,0.017889,0.743933,0.002528,0.001088,0.000384,1.187855
0.420432,0.017729,0.755870,0.003392,0.001248,0.000416,1.206031
0.419377,0.017729,0.746941,0.002560,0.001120,0.000352,1.193615
0.416016,0.017921,0.742173,0.002336,0.001152,0.000352,1.187087
0.420944,0.017569,0.755966,0.003136,0.001248,0.000416,1.206959
0.420144,0.017761,0.739805,0.002560,0.001152,0.000384,1.187982
0.420016,0.017505,0.733405,0.002560,0.001152,0.000384,1.181262
0.420624,0.017761,0.787711,0.002496,0.001120,0.000352,1.237168
0.416817,0.017792,0.748350,0.003072,0.001248,0.000416,1.193615
0.421232,0.017824,0.744222,0.002560,0.001184,0.000352,1.194447
0.436593,0.017568,0.747966,0.002624,0.001184,0.000384,1.213328
0.415793,0.017696,0.749374,0.002528,0.001056,0.000352,1.193039
0.420369,0.017665,0.727260,0.002208,0.001185,0.000384,1.175311
0.421745,0.017536,0.749662,0.002592,0.001216,0.000320,1.201039
0.420112,0.017825,0.741085,0.002496,0.001120,0.000384,1.189902
0.421200,0.017409,0.774463,0.002816,0.000960,0.000576,1.225072
0.420721,0.017696,0.751870,0.002464,0.001184,0.000608,1.202703
0.417744,0.017601,0.732093,0.002528,0.001248,0.000384,1.178830
0.421425,0.017760,0.773567,0.002816,0.001504,0.000384,1.225360
0.417328,0.017824,0.743838,0.002656,0.001120,0.000416,1.190287
0.416113,0.018465,0.747517,0.002688,0.001120,0.000384,1.192751
0.437489,0.017537,0.733117,0.002464,0.001152,0.000384,1.198799
0.415601,0.017568,0.743038,0.002272,0.001152,0.000416,1.186511
0.416817,0.017569,0.749149,0.002816,0.001184,0.000384,1.195215
0.421552,0.017472,0.738365,0.002529,0.001120,0.000352,1.188047
0.420208,0.017792,0.747646,0.002336,0.001184,0.000384,1.196847
0.422449,0.017697,0.757150,0.002368,0.001248,0.000416,1.208560
0.422641,0.017665,0.733949,0.002464,0.001120,0.000416,1.185071
0.421936,0.017697,0.736253,0.002688,0.001088,0.000352,1.187662
0.420433,0.017472,0.760958,0.003105,0.001248,0.000352,1.210992
0.416305,0.017856,0.737373,0.002497,0.001152,0.000416,1.182479
0.421264,0.017729,0.732093,0.002528,0.001216,0.000416,1.182318
0.420624,0.017953,0.764510,0.002560,0.001312,0.000384,1.214991
0.416080,0.017697,0.745245,0.002656,0.001120,0.000480,1.190191
0.416433,0.017760,0.749534,0.002176,0.001152,0.000384,1.194255
0.438161,0.017761,0.746941,0.002528,0.001152,0.000384,1.214415
0.422576,0.017824,0.745374,0.002560,0.001184,0.000384,1.197103
0.422416,0.017537,0.745885,0.002401,0.001344,0.000384,1.195631
0.420817,0.017632,0.749406,0.002400,0.001216,0.000416,1.198479
0.420273,0.017536,0.748190,0.002432,0.001216,0.000384,1.196943
0.421232,0.017921,0.755166,0.003296,0.001184,0.000352,1.206479
0.420881,0.017569,0.739837,0.002752,0.001152,0.000352,1.189551
0.421457,0.017825,0.741789,0.002816,0.001184,0.000416,1.192719
0.422000,0.017728,0.771903,0.003008,0.001344,0.000416,1.224560
