Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-10],classifier
0.420305,0.017792,0.202984,0.004833,0.047969,0.000800,0.136197,0.901635
0.416528,0.017537,0.202408,0.004864,0.047554,0.000768,0.132485,0.891779
0.415697,0.017696,0.202440,0.004800,0.047042,0.000800,0.127269,0.888003
0.416496,0.017665,0.221289,0.004960,0.047298,0.000992,0.167047,0.948965
0.420176,0.017633,0.202792,0.004832,0.046978,0.000576,0.129957,0.888770
0.419856,0.017889,0.203144,0.004768,0.047074,0.000608,0.136261,0.904131
0.416656,0.017761,0.202824,0.004896,0.047010,0.000608,0.158470,0.915268
0.420816,0.017473,0.203048,0.004864,0.047330,0.000640,0.132869,0.897891
0.420816,0.017569,0.202568,0.004768,0.047394,0.000608,0.130565,0.890627
0.416112,0.017665,0.202632,0.004800,0.047650,0.000608,0.128709,0.891299
0.420368,0.035586,0.202792,0.004832,0.047586,0.000768,0.139557,0.923204
0.416112,0.017697,0.202632,0.004800,0.047042,0.000832,0.133061,0.891459
0.415696,0.017697,0.202376,0.004768,0.046978,0.000576,0.128325,0.880386
0.420049,0.017761,0.202151,0.004833,0.047202,0.000800,0.136997,0.898051
0.420400,0.017441,0.202376,0.005024,0.047522,0.000768,0.126245,0.884130
0.416401,0.017537,0.203399,0.004832,0.048290,0.000800,0.119620,0.876547
0.420624,0.017696,0.202760,0.004768,0.048322,0.000768,0.126917,0.887843
0.416496,0.017921,0.223305,0.005024,0.048098,0.000768,0.131877,0.913763
0.420881,0.017281,0.202536,0.004800,0.047266,0.000608,0.125285,0.887427
0.420400,0.017729,0.202504,0.004800,0.047266,0.000640,0.136709,0.899139
0.416400,0.017505,0.202408,0.004800,0.046978,0.000608,0.127045,0.880226
0.415472,0.017665,0.202280,0.004832,0.047426,0.000608,0.135590,0.894595
0.417584,0.017920,0.202504,0.004768,0.047042,0.000832,0.127525,0.886467
0.419921,0.017505,0.202567,0.004800,0.047458,0.000800,0.135237,0.898915
0.416464,0.017409,0.221065,0.005152,0.047362,0.000768,0.131557,0.908740
0.420528,0.017729,0.202312,0.004960,0.047106,0.000608,0.133445,0.893955
0.416273,0.017632,0.202536,0.004832,0.047074,0.001056,0.143814,0.904196
0.420817,0.017568,0.202184,0.004832,0.047074,0.000608,0.129573,0.894403
0.415696,0.017889,0.202920,0.004864,0.047202,0.000608,0.132933,0.892419
0.416528,0.017729,0.202344,0.004864,0.047234,0.000800,0.133157,0.897443
0.415569,0.017633,0.202535,0.005281,0.048098,0.000800,0.134117,0.899588
0.420656,0.017760,0.223337,0.005120,0.048802,0.001056,0.133285,0.921892
0.415632,0.017985,0.202504,0.004864,0.047970,0.000800,0.127301,0.884707
0.415985,0.017536,0.202632,0.004833,0.048129,0.000768,0.133765,0.896035
0.420273,0.017697,0.203016,0.004864,0.047842,0.000768,0.131301,0.895331
0.446417,0.017760,0.202792,0.005056,0.048002,0.000800,0.131974,0.924548
0.415153,0.017792,0.203080,0.005249,0.048578,0.000768,0.127621,0.889699
0.416688,0.017665,0.202696,0.004960,0.048194,0.000608,0.134149,0.892579
0.419185,0.017473,0.217832,0.005504,0.047938,0.000800,0.133382,0.911268
0.415281,0.017664,0.202696,0.004897,0.047841,0.001025,0.132933,0.892611
0.415696,0.017825,0.202696,0.004800,0.048450,0.000576,0.133669,0.892323
0.416081,0.017664,0.202824,0.005409,0.048546,0.000640,0.134661,0.901060
0.430033,0.017761,0.202472,0.004800,0.048514,0.000736,0.139173,0.914564
0.416208,0.017473,0.202280,0.004768,0.047938,0.000800,0.131653,0.895299
0.416753,0.017665,0.202535,0.004897,0.047874,0.000736,0.130565,0.887491
0.420240,0.017697,0.236553,0.005249,0.048161,0.000640,0.133701,0.933764
0.416081,0.017440,0.201960,0.004865,0.048353,0.000800,0.125860,0.881347
0.417297,0.017504,0.202440,0.004993,0.048801,0.000801,0.133541,0.893251
0.420945,0.017473,0.203048,0.004832,0.048546,0.000800,0.131013,0.893923
0.437585,0.017761,0.204072,0.005024,0.048610,0.001024,0.137670,0.921028
0.416400,0.017697,0.202952,0.004864,0.047778,0.000768,0.133285,0.898179
0.416304,0.017729,0.205096,0.004800,0.049666,0.000608,0.131237,0.895235
0.416528,0.017921,0.222025,0.005056,0.048802,0.000832,0.132133,0.910436
0.416528,0.017665,0.203464,0.004832,0.048098,0.000736,0.131237,0.890595
0.416977,0.017504,0.203400,0.004960,0.049218,0.000800,0.127013,0.886755
0.416305,0.017536,0.202632,0.004833,0.048674,0.000768,0.131493,0.890915
0.439249,0.017665,0.202824,0.004832,0.048482,0.000800,0.131365,0.914340
0.420849,0.017440,0.202312,0.004929,0.048609,0.000800,0.132550,0.896163
0.416816,0.017921,0.202536,0.004832,0.048354,0.000768,0.132005,0.892227
0.416624,0.017729,0.202728,0.022273,0.048962,0.000800,0.133765,0.916804
0.420432,0.017728,0.203176,0.004768,0.047746,0.000800,0.132294,0.904867
0.420304,0.017761,0.202888,0.004864,0.048546,0.000768,0.161158,0.922500
0.420721,0.017728,0.202792,0.004865,0.048642,0.000576,0.131077,0.898051
0.435633,0.017697,0.202408,0.004800,0.047810,0.000768,0.136262,0.914052
0.420176,0.017761,0.202696,0.004896,0.048994,0.000768,0.122373,0.884419
0.416144,0.017697,0.202952,0.004800,0.048674,0.000736,0.131493,0.887650
0.416624,0.017281,0.202504,0.004800,0.069027,0.000768,0.134981,0.916324
0.416912,0.017409,0.202696,0.004896,0.048322,0.000832,0.136741,0.901987
0.416497,0.017632,0.202536,0.004800,0.049634,0.000608,0.129222,0.899075
0.420625,0.017344,0.203559,0.004833,0.048322,0.000768,0.132101,0.897923
0.433265,0.017761,0.202696,0.004800,0.048802,0.001056,0.129189,0.905540
0.417104,0.017696,0.202056,0.004832,0.049314,0.000608,0.156166,0.922404
0.421105,0.017409,0.202632,0.004992,0.048578,0.000800,0.133381,0.896995
0.420464,0.017472,0.202824,0.004832,0.066339,0.000992,0.129093,0.911076
0.416336,0.017729,0.202952,0.004864,0.048482,0.000832,0.128421,0.888546
0.421104,0.017633,0.202408,0.004864,0.048450,0.000800,0.131109,0.897219
0.421009,0.017472,0.202472,0.005504,0.048098,0.000832,0.137670,0.907652
0.434769,0.017633,0.202312,0.004832,0.047842,0.000800,0.132773,0.908675
0.415920,0.017537,0.202856,0.005248,0.047138,0.000800,0.139749,0.897603
0.415504,0.017985,0.202376,0.004768,0.046978,0.000992,0.125765,0.880354
0.420816,0.017569,0.202248,0.005248,0.067555,0.000992,0.136293,0.920228
0.416208,0.017473,0.202504,0.005216,0.047650,0.000736,0.130373,0.886018
0.420304,0.017793,0.202280,0.005312,0.049026,0.000800,0.134309,0.894563
0.420209,0.017761,0.201864,0.004832,0.047746,0.000800,0.134117,0.896611
0.438577,0.017793,0.202120,0.004992,0.048290,0.000800,0.157990,0.956741
0.421232,0.017665,0.202568,0.004896,0.048258,0.000800,0.132677,0.895235
0.420240,0.017921,0.202472,0.004864,0.048450,0.000800,0.131045,0.899587
0.419953,0.017569,0.222984,0.005153,0.047553,0.001024,0.136549,0.924004
0.420208,0.017793,0.202248,0.004800,0.047586,0.000768,0.131877,0.893731
0.420688,0.017697,0.203048,0.004864,0.047938,0.000768,0.131397,0.897699
0.420337,0.017633,0.202984,0.004864,0.049666,0.000800,0.131717,0.893699
0.433393,0.017697,0.202408,0.004800,0.048002,0.000544,0.158630,0.943621
0.415952,0.017825,0.202088,0.004800,0.047650,0.000800,0.128677,0.883490
0.416112,0.017569,0.201960,0.004896,0.047394,0.000608,0.133061,0.888323
0.422001,0.017793,0.235945,0.005216,0.047714,0.000864,0.198184,1.008104
0.418000,0.017761,0.203144,0.004832,0.048706,0.000832,0.149318,0.923556
0.422193,0.017601,0.203912,0.004896,0.048962,0.000864,0.199560,0.974983
0.416624,0.017953,0.203016,0.004896,0.048162,0.000608,0.173671,0.941988
0.420336,0.017857,0.202568,0.004832,0.048226,0.000800,0.145542,0.912804
0.420337,0.017696,0.203080,0.004896,0.048545,0.000800,0.160231,0.923012
0.416113,0.017536,0.202920,0.004801,0.048674,0.000832,0.150021,0.907684
0.436081,0.017505,0.202088,0.004992,0.049058,0.000608,0.131045,0.909508
0.420273,0.017793,0.202568,0.004864,0.049058,0.000672,0.133861,0.900164
0.420784,0.017601,0.202248,0.004832,0.048258,0.000768,0.133766,0.893507
0.416208,0.017729,0.202408,0.004864,0.047842,0.000800,0.171623,0.930661
0.421520,0.017697,0.202376,0.004800,0.047266,0.000640,0.127557,0.888322
0.415728,0.017665,0.202216,0.004800,0.047298,0.000576,0.169287,0.925732
0.421008,0.017633,0.203496,0.004864,0.047138,0.001056,0.151750,0.912900
0.436657,0.017569,0.202568,0.004864,0.047746,0.000800,0.131205,0.908964
0.415472,0.017697,0.202184,0.004864,0.047458,0.000640,0.126725,0.879522
0.419920,0.017633,0.202184,0.004896,0.047074,0.000800,0.131365,0.889507
0.416560,0.017761,0.202696,0.004832,0.047266,0.000608,0.163431,0.923748
0.419473,0.017760,0.202439,0.004865,0.047906,0.000768,0.149093,0.910916
0.415696,0.017473,0.202408,0.004832,0.047874,0.000800,0.149190,0.906372
0.415344,0.017921,0.202440,0.004896,0.047234,0.000736,0.158150,0.916324
0.435345,0.017601,0.202824,0.004832,0.047714,0.000768,0.136774,0.914596
0.416176,0.017696,0.202440,0.004800,0.048066,0.000832,0.150022,0.907940
0.417040,0.017665,0.202376,0.005056,0.048674,0.000800,0.144678,0.900099
0.420209,0.017504,0.202568,0.004833,0.047457,0.001024,0.147814,0.909892
0.420336,0.017633,0.202920,0.005280,0.047970,0.000608,0.146086,0.910115
0.420496,0.017537,0.202600,0.004768,0.048130,0.000640,0.130981,0.893411
0.420464,0.017729,0.202536,0.004832,0.048258,0.000800,0.131429,0.897315
0.437073,0.017857,0.202824,0.004864,0.048098,0.000768,0.131045,0.910180
0.420336,0.017601,0.202472,0.004832,0.047746,0.000768,0.177127,0.938501
0.415216,0.017537,0.203080,0.004832,0.047778,0.000480,0.131749,0.885762
0.420049,0.017729,0.202536,0.004896,0.047490,0.000608,0.145701,0.907652
0.417648,0.017697,0.202376,0.004800,0.047650,0.000608,0.132581,0.891267
0.415952,0.017761,0.202536,0.004832,0.046914,0.001024,0.143718,0.899331
0.420273,0.017953,0.202600,0.004832,0.047074,0.000768,0.135813,0.894531
0.430576,0.017600,0.202664,0.005280,0.048162,0.000768,0.144454,0.919364
0.415152,0.017697,0.202440,0.005280,0.048610,0.000736,0.143590,0.901827
0.420272,0.017761,0.202472,0.004832,0.048386,0.000832,0.157030,0.918980
0.421361,0.017664,0.202856,0.004832,0.048290,0.000800,0.152998,0.923716
0.417072,0.017601,0.204072,0.004864,0.048002,0.000768,0.145382,0.903459
0.420720,0.017921,0.202568,0.004896,0.047874,0.000800,0.130757,0.891683
0.415664,0.017537,0.203208,0.005248,0.048866,0.000864,0.127589,0.892643
0.437041,0.017601,0.202248,0.004864,0.048418,0.000800,0.146310,0.923748
0.420561,0.017792,0.202664,0.004833,0.048257,0.000833,0.141349,0.901891
0.420016,0.017633,0.202632,0.005024,0.047906,0.000640,0.130885,0.890402
0.416080,0.017505,0.202408,0.004864,0.048258,0.000768,0.174951,0.931556
0.416112,0.017728,0.202120,0.004992,0.048098,0.000576,0.128165,0.886339
0.420432,0.017921,0.202376,0.004800,0.049570,0.000800,0.137062,0.901379
0.420816,0.017697,0.202472,0.004896,0.048290,0.000800,0.134117,0.897859
0.437297,0.017824,0.202472,0.004865,0.047905,0.000832,0.130629,0.908195
0.415440,0.017697,0.202696,0.004768,0.048578,0.000864,0.145222,0.900707
0.420912,0.017889,0.203112,0.004832,0.048290,0.000832,0.133317,0.903427
0.416432,0.017664,0.202856,0.004832,0.047714,0.000640,0.132774,0.919140
0.420433,0.017632,0.202760,0.004801,0.048417,0.000768,0.144390,0.903651
0.416432,0.017633,0.202280,0.004800,0.048578,0.000864,0.139909,0.895907
0.419856,0.018497,0.202248,0.004768,0.048034,0.000768,0.131941,0.893571
0.434417,0.017537,0.202856,0.005248,0.048002,0.000576,0.128261,0.904899
0.420112,0.017857,0.202344,0.005216,0.048738,0.000800,0.134918,0.896291
0.417713,0.017729,0.202344,0.004800,0.049122,0.000576,0.132485,0.893283
0.420177,0.017633,0.202280,0.004800,0.048066,0.000800,0.137189,0.896835
0.420945,0.017568,0.203592,0.005249,0.049218,0.000576,0.143909,0.905668
0.416368,0.017889,0.202056,0.004832,0.047778,0.000800,0.147078,0.900931
0.420337,0.017697,0.203432,0.004832,0.048386,0.000800,0.142341,0.903396
0.433201,0.017920,0.202184,0.004993,0.049249,0.000769,0.153062,0.931268
0.421937,0.018016,0.205032,0.004833,0.048066,0.000832,0.149637,0.924516
0.416368,0.017697,0.202664,0.004928,0.047810,0.000768,0.139910,0.896707
0.416336,0.017697,0.202632,0.004864,0.049122,0.000768,0.142918,0.923236
0.416208,0.017569,0.203592,0.004800,0.048066,0.000800,0.146150,0.905283
0.420656,0.017729,0.203272,0.004992,0.048162,0.000832,0.152230,0.921124
0.416112,0.017569,0.202888,0.004896,0.048162,0.000768,0.144518,0.905635
0.446865,0.017601,0.202728,0.005440,0.047970,0.000800,0.148038,0.939524
0.420369,0.017697,0.203112,0.004960,0.047618,0.000768,0.152198,0.913284
0.420721,0.017824,0.202664,0.004833,0.047681,0.000640,0.142085,0.901827
0.415856,0.017665,0.202440,0.004832,0.046978,0.000832,0.168774,0.927044
0.418192,0.017569,0.203368,0.004832,0.047170,0.000832,0.141381,0.906659
0.415888,0.017633,0.202760,0.004960,0.048258,0.000832,0.150214,0.908163
0.420689,0.017537,0.202568,0.005056,0.048770,0.000800,0.154694,0.922053
0.443857,0.018048,0.202920,0.004992,0.049826,0.000864,0.140550,0.930404
0.416016,0.017697,0.202504,0.004832,0.048098,0.000800,0.133285,0.890306
