Layer[0],Layer[1],Layer[2],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416144,0.017601,0.202440,0.172487,0.048866,0.000576,0.013536,0.000384,0.001600,0.001376,0.000384,0.884674
0.415600,0.017729,0.202248,0.190151,0.048706,0.000576,0.013409,0.000352,0.001536,0.001728,0.000352,0.901827
0.415697,0.017569,0.202471,0.189512,0.048194,0.000608,0.013376,0.000384,0.001697,0.001312,0.000448,0.900420
0.433553,0.017729,0.202024,0.199911,0.048641,0.000576,0.013377,0.000384,0.001568,0.001184,0.000352,0.928356
0.415920,0.017601,0.201896,0.186311,0.048258,0.000608,0.013505,0.000416,0.001632,0.001184,0.000416,0.898115
0.416720,0.020513,0.202536,0.192456,0.048642,0.000640,0.013408,0.000448,0.001632,0.001376,0.000352,0.908355
0.415697,0.017920,0.220009,0.179431,0.048450,0.000608,0.013377,0.000384,0.001536,0.001088,0.000384,0.908292
0.415409,0.017568,0.202215,0.173511,0.048450,0.000640,0.013569,0.000416,0.001696,0.001120,0.000384,0.884803
0.417008,0.017440,0.202536,0.192360,0.048642,0.000832,0.013984,0.000384,0.001600,0.001312,0.000385,0.904612
0.417104,0.017697,0.202280,0.182567,0.048450,0.000576,0.013857,0.000384,0.001536,0.001152,0.000384,0.895235
0.430545,0.017857,0.201928,0.193255,0.047906,0.000640,0.013569,0.000384,0.001536,0.001088,0.000416,0.918404
0.415696,0.017761,0.201992,0.176839,0.048354,0.000608,0.013664,0.000416,0.001536,0.001088,0.000800,0.887811
0.415440,0.017984,0.202248,0.186280,0.048193,0.000640,0.013536,0.000384,0.001568,0.001024,0.000384,0.896963
0.415792,0.017793,0.219816,0.185032,0.048386,0.000768,0.013952,0.000416,0.001536,0.001088,0.000609,0.914692
0.415696,0.017728,0.201896,0.187208,0.048161,0.000672,0.013472,0.000384,0.001536,0.001024,0.000352,0.897187
0.415376,0.017697,0.203080,0.198824,0.048706,0.000608,0.013441,0.000384,0.001536,0.001024,0.000352,0.910980
0.415953,0.017537,0.202312,0.212584,0.048770,0.000448,0.013408,0.000416,0.001537,0.001056,0.000384,0.922629
0.415440,0.017825,0.202472,0.185447,0.048962,0.000576,0.013601,0.000416,0.001568,0.001216,0.000384,0.897699
0.416273,0.017952,0.202504,0.195240,0.048866,0.000800,0.013793,0.000416,0.001504,0.001056,0.000352,0.908516
0.416816,0.017824,0.202120,0.190696,0.049282,0.000832,0.013504,0.000384,0.001568,0.000993,0.000544,0.903972
0.415473,0.017728,0.217993,0.192744,0.048514,0.000800,0.013440,0.000384,0.001440,0.001024,0.000384,0.919396
0.416497,0.020865,0.202503,0.173767,0.048770,0.000608,0.013441,0.000384,0.001504,0.000928,0.000384,0.888387
0.416529,0.017824,0.202119,0.169351,0.048546,0.000576,0.013377,0.000416,0.001536,0.000896,0.000384,0.880515
0.416080,0.017889,0.202376,0.181767,0.048514,0.000608,0.013408,0.000384,0.001568,0.000896,0.000384,0.892323
0.451698,0.017792,0.202215,0.181032,0.048866,0.000608,0.013472,0.000384,0.001504,0.000960,0.000384,0.928868
0.415441,0.017760,0.202696,0.181384,0.048290,0.000576,0.013312,0.000416,0.001536,0.000896,0.000384,0.891267
0.415089,0.021184,0.201831,0.176775,0.048674,0.000640,0.013377,0.000416,0.001536,0.000928,0.000608,0.889283
0.417232,0.017953,0.221929,0.189415,0.050274,0.000544,0.013569,0.000448,0.001504,0.001152,0.000800,0.925764
0.416848,0.021121,0.202888,0.201096,0.049378,0.000640,0.013664,0.000416,0.001536,0.001024,0.000577,0.918628
0.416080,0.021057,0.202280,0.187495,0.048578,0.000512,0.013377,0.000416,0.001504,0.000960,0.000384,0.901635
0.416560,0.017505,0.202120,0.183175,0.048386,0.000608,0.013408,0.000384,0.001536,0.001056,0.000384,0.894051
0.432721,0.017857,0.202248,0.186759,0.048610,0.000608,0.013441,0.000416,0.001536,0.001056,0.000384,0.915172
0.416048,0.017473,0.202568,0.190503,0.049090,0.000576,0.013665,0.000416,0.001536,0.000928,0.000352,0.901859
0.416048,0.017313,0.201896,0.185287,0.048514,0.000608,0.013409,0.000416,0.001472,0.001088,0.000352,0.894371
0.416304,0.017697,0.217289,0.193383,0.048418,0.000576,0.013377,0.000416,0.001408,0.001024,0.000352,0.919172
0.415601,0.017760,0.201991,0.185864,0.050050,0.000672,0.013408,0.000384,0.001536,0.001153,0.000352,0.897636
0.416048,0.017377,0.202216,0.176807,0.049954,0.000576,0.013472,0.000384,0.001472,0.000992,0.000384,0.888130
0.416656,0.017793,0.201896,0.194472,0.048418,0.000576,0.013504,0.000384,0.001536,0.001120,0.000577,0.906724
0.428561,0.017537,0.202280,0.193319,0.048898,0.000576,0.013857,0.000416,0.001472,0.000896,0.000576,0.918692
0.415857,0.017696,0.202120,0.189608,0.048450,0.000608,0.013824,0.000384,0.001408,0.000896,0.000384,0.899556
0.416528,0.017760,0.202216,0.180711,0.048578,0.000640,0.013537,0.000384,0.001504,0.001088,0.000320,0.892035
0.416208,0.017761,0.215241,0.173446,0.048577,0.000672,0.013696,0.000416,0.001536,0.001056,0.000384,0.897443
0.416592,0.017601,0.201960,0.192392,0.049186,0.000608,0.013664,0.000352,0.001472,0.000992,0.000352,0.902915
0.416305,0.017568,0.202056,0.177991,0.049474,0.000608,0.013729,0.000352,0.001440,0.001024,0.000416,0.889059
0.416624,0.017761,0.202248,0.182823,0.048610,0.000576,0.013409,0.000384,0.001568,0.001088,0.000384,0.893187
0.428273,0.017441,0.202280,0.176679,0.048449,0.000608,0.013536,0.000384,0.001504,0.000992,0.000320,0.899075
0.415632,0.017440,0.202664,0.183143,0.049058,0.000640,0.013857,0.000416,0.001472,0.000960,0.000352,0.892643
0.416913,0.018145,0.202440,0.189223,0.049058,0.000576,0.013537,0.000416,0.001568,0.001184,0.000384,0.904068
0.416945,0.017760,0.204168,0.209929,0.050754,0.000608,0.013856,0.000384,0.001537,0.001024,0.000576,0.927621
0.415536,0.017729,0.202152,0.191976,0.048546,0.000608,0.013504,0.000416,0.001440,0.001120,0.000352,0.902179
0.415664,0.017953,0.202056,0.227273,0.048802,0.000576,0.013728,0.000448,0.001440,0.001248,0.000352,0.938180
0.415601,0.017632,0.202600,0.172999,0.049698,0.000608,0.013313,0.000416,0.001504,0.000992,0.000384,0.884707
0.433329,0.017920,0.203560,0.197160,0.048482,0.000608,0.013601,0.000448,0.001632,0.001216,0.000352,0.927524
0.415664,0.017857,0.202184,0.189127,0.048770,0.000608,0.013473,0.000416,0.001536,0.001184,0.000352,0.901155
0.415728,0.018017,0.202408,0.201128,0.048610,0.000672,0.013472,0.000384,0.001600,0.001536,0.000352,0.913347
0.415408,0.017857,0.219368,0.199304,0.049026,0.000608,0.013697,0.000416,0.001536,0.001376,0.000352,0.928420
0.415761,0.017345,0.201831,0.196775,0.049090,0.000608,0.013633,0.000384,0.001568,0.001088,0.000576,0.908580
0.416240,0.017792,0.202312,0.193640,0.048866,0.000576,0.013760,0.000416,0.001600,0.001056,0.000352,0.906948
0.415504,0.018049,0.202216,0.197128,0.048674,0.000608,0.014432,0.000416,0.001760,0.001313,0.000416,0.909284
0.415505,0.017952,0.202920,0.188104,0.048450,0.000608,0.013984,0.000416,0.001568,0.001217,0.000352,0.900004
0.416400,0.017729,0.202632,0.196712,0.048610,0.000608,0.013984,0.000416,0.001568,0.001248,0.000352,0.909251
0.415568,0.017889,0.202632,0.190791,0.048610,0.000576,0.013825,0.000480,0.001504,0.001056,0.000384,0.902243
