Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-8],Layer[9],Layer[10],classifier
0.416657,0.017792,0.204136,0.005057,0.048802,0.000576,0.013728,0.171495,0.001280,0.000352,0.887427
0.416945,0.017728,0.203112,0.004993,0.049761,0.000608,0.013696,0.182727,0.001216,0.000384,0.898915
0.420657,0.017985,0.203463,0.021760,0.048834,0.000896,0.013729,0.188199,0.001440,0.000352,0.925444
0.417072,0.017537,0.203592,0.005120,0.049186,0.000864,0.013473,0.184967,0.001312,0.000352,0.901667
0.416464,0.017601,0.204232,0.005152,0.048226,0.000800,0.013697,0.173127,0.001536,0.000640,0.889283
0.416848,0.017665,0.203816,0.005280,0.048450,0.000800,0.013505,0.190119,0.001312,0.000352,0.905923
0.433297,0.017537,0.205864,0.005088,0.048610,0.000832,0.013665,0.193831,0.001313,0.000352,0.928293
0.416529,0.017728,0.204552,0.004833,0.048609,0.000800,0.013888,0.177031,0.001408,0.000384,0.893443
0.421072,0.017601,0.204456,0.005024,0.047714,0.000800,0.013889,0.180807,0.001440,0.000352,0.900547
0.416496,0.017697,0.223337,0.005184,0.048834,0.000800,0.013568,0.185512,0.001216,0.000576,0.920932
0.419953,0.017793,0.203944,0.005088,0.048034,0.000864,0.013792,0.177927,0.001280,0.000321,0.896452
0.420433,0.017761,0.204232,0.005024,0.048674,0.000832,0.013408,0.180423,0.001312,0.000384,0.900004
0.416144,0.017696,0.203752,0.005056,0.048034,0.001024,0.013537,0.177639,0.001248,0.000384,0.892163
0.419952,0.017665,0.203976,0.005056,0.048354,0.000832,0.013568,0.174022,0.001248,0.000352,0.892930
0.417328,0.017761,0.204136,0.005120,0.048706,0.000832,0.013793,0.185063,0.001280,0.000320,0.902243
0.416368,0.017761,0.203464,0.005312,0.048866,0.000864,0.013825,0.181927,0.001408,0.000352,0.898403
0.416784,0.017569,0.223017,0.005408,0.048706,0.000832,0.013825,0.179975,0.001312,0.000416,0.916068
0.417329,0.017952,0.205000,0.005249,0.047970,0.000832,0.013760,0.182375,0.001408,0.000416,0.900132
0.416049,0.017600,0.203912,0.005057,0.048449,0.001024,0.013696,0.176807,0.001376,0.000416,0.892355
0.420337,0.017825,0.203944,0.005056,0.048322,0.001024,0.013664,0.158246,0.001248,0.000352,0.878179
0.417232,0.017600,0.204968,0.005249,0.049153,0.000801,0.013728,0.172039,0.001440,0.000384,0.890307
0.415569,0.017568,0.204072,0.005089,0.048130,0.000992,0.013728,0.179559,0.001248,0.000416,0.894307
0.421297,0.017632,0.204712,0.005056,0.047650,0.000864,0.013856,0.171175,0.001408,0.000352,0.891715
0.416944,0.017697,0.221128,0.005281,0.048673,0.000832,0.013889,0.168647,0.001408,0.000384,0.902884
0.417744,0.017697,0.204360,0.005152,0.048322,0.000768,0.013537,0.174982,0.001440,0.000416,0.891875
0.419824,0.017728,0.203784,0.005312,0.048514,0.000800,0.014561,0.172583,0.001472,0.000384,0.893155
0.418064,0.017633,0.205096,0.005024,0.047778,0.000800,0.013761,0.171398,0.001312,0.000384,0.888867
0.416304,0.017825,0.205288,0.005088,0.048162,0.000800,0.013569,0.165126,0.001408,0.000320,0.881954
0.417040,0.017600,0.203592,0.005248,0.048642,0.000832,0.013793,0.165574,0.001376,0.000352,0.881475
0.418256,0.017441,0.203624,0.005248,0.047618,0.000608,0.013729,0.172551,0.001344,0.000352,0.888419
0.419729,0.017760,0.222153,0.005120,0.048066,0.000832,0.013697,0.175431,0.001312,0.000320,0.912164
0.418033,0.017792,0.203720,0.005025,0.047457,0.000800,0.013664,0.171719,0.001344,0.000352,0.887715
0.421137,0.017472,0.204360,0.005249,0.048161,0.000864,0.013824,0.170887,0.001376,0.000352,0.891715
0.418929,0.017729,0.205192,0.005088,0.048258,0.000832,0.013664,0.175527,0.001280,0.000832,0.894755
0.451506,0.017760,0.207176,0.005025,0.048162,0.000832,0.013504,0.182951,0.001312,0.000384,0.936740
0.420656,0.017601,0.204520,0.005216,0.048322,0.000800,0.013985,0.172806,0.001440,0.000384,0.894211
0.420336,0.017697,0.205032,0.005024,0.047490,0.000864,0.013665,0.174406,0.001312,0.000384,0.894083
0.421777,0.017537,0.225896,0.005441,0.048546,0.000768,0.013472,0.179847,0.001280,0.000384,0.923460
0.416176,0.017313,0.203464,0.005056,0.049346,0.000800,0.013793,0.172710,0.001376,0.000353,0.887299
0.420784,0.017857,0.203656,0.005056,0.048290,0.000800,0.013441,0.175271,0.001408,0.000352,0.894915
0.417936,0.017761,0.203976,0.005088,0.048354,0.000928,0.013664,0.170407,0.001216,0.000352,0.886818
0.417616,0.017761,0.204840,0.005024,0.048386,0.000800,0.014112,0.167591,0.001248,0.000384,0.885890
0.416304,0.017441,0.205384,0.005312,0.048482,0.000832,0.013793,0.170951,0.001280,0.000416,0.888227
0.420209,0.017440,0.204584,0.005057,0.047586,0.000800,0.013600,0.170823,0.001312,0.000352,0.889859
0.416497,0.017889,0.233289,0.005216,0.048418,0.000832,0.013504,0.174183,0.001344,0.000320,0.920356
0.417680,0.017761,0.204968,0.005088,0.048610,0.000800,0.014561,0.177095,0.001344,0.000384,0.895779
0.417809,0.017505,0.204680,0.005024,0.048386,0.000768,0.013760,0.170247,0.001248,0.000320,0.887555
0.421873,0.017537,0.203272,0.005056,0.048930,0.000800,0.013760,0.180199,0.001280,0.000352,0.900964
0.416304,0.017441,0.203496,0.005216,0.048578,0.000800,0.013697,0.172518,0.001216,0.000384,0.887459
0.420080,0.017505,0.204616,0.005248,0.048226,0.000800,0.013473,0.173574,0.001248,0.000384,0.892643
0.420656,0.017633,0.203496,0.005280,0.048770,0.000576,0.013633,0.160006,0.001216,0.000352,0.879394
0.420624,0.017537,0.222217,0.005184,0.047810,0.000608,0.013504,0.180039,0.001280,0.000416,0.917731
0.417137,0.017728,0.203752,0.005249,0.047937,0.000864,0.013728,0.173607,0.001312,0.000384,0.888803
0.418448,0.017665,0.204360,0.005248,0.048322,0.000896,0.014497,0.181543,0.001344,0.000384,0.900099
0.418096,0.017569,0.204264,0.005088,0.048514,0.000832,0.014497,0.183367,0.001376,0.000672,0.903171
0.419920,0.017729,0.203784,0.005120,0.048386,0.000832,0.014081,0.185063,0.001408,0.000416,0.905667
0.416144,0.017537,0.203272,0.005056,0.048706,0.000768,0.013985,0.182055,0.001472,0.000352,0.897283
0.420240,0.017921,0.205032,0.005088,0.048130,0.000800,0.013953,0.178151,0.001376,0.000576,0.899971
0.420784,0.017601,0.222601,0.005248,0.048290,0.000800,0.013568,0.178567,0.001472,0.000609,0.918244
0.419953,0.017793,0.203720,0.005248,0.048802,0.000768,0.013952,0.179687,0.001377,0.000384,0.900676
0.419089,0.017601,0.203912,0.005216,0.048354,0.000800,0.013664,0.173159,0.001408,0.000320,0.891619
0.416048,0.017761,0.203592,0.005344,0.048002,0.000800,0.013696,0.178919,0.001440,0.000352,0.895683
0.416016,0.017569,0.203688,0.005376,0.049250,0.000864,0.013953,0.172710,0.001377,0.000384,0.889699
0.417777,0.017568,0.204104,0.005281,0.048322,0.000832,0.013632,0.179623,0.001408,0.000384,0.897411
0.420336,0.017536,0.203784,0.005056,0.048642,0.000832,0.013921,0.176743,0.001472,0.000384,0.897123
0.419952,0.017697,0.221737,0.005088,0.048642,0.000832,0.013760,0.177063,0.001281,0.000384,0.915524
0.415792,0.017857,0.204616,0.005248,0.048418,0.000832,0.013665,0.171303,0.001344,0.000352,0.887587
0.418353,0.017792,0.204104,0.005025,0.047682,0.000832,0.013408,0.181159,0.001312,0.000352,0.898403
0.415856,0.017793,0.203144,0.005056,0.048674,0.000800,0.013696,0.173191,0.001344,0.000384,0.886914
0.420208,0.017505,0.203240,0.005024,0.048450,0.000832,0.013857,0.174023,0.001280,0.000384,0.893827
0.416017,0.017889,0.203720,0.005024,0.048322,0.000800,0.013856,0.162183,0.001344,0.000384,0.878627
0.416624,0.017633,0.204104,0.005056,0.048450,0.000832,0.013793,0.178407,0.001312,0.000384,0.896163
0.421488,0.017793,0.223305,0.005184,0.048418,0.000832,0.013472,0.203431,0.001248,0.000352,0.943461
0.416304,0.017857,0.203880,0.005280,0.049186,0.000832,0.013537,0.174759,0.001248,0.000352,0.891299
0.415537,0.017728,0.204136,0.005057,0.048097,0.000576,0.013441,0.170023,0.001376,0.000384,0.883587
0.420753,0.017600,0.204296,0.005121,0.048161,0.000609,0.013408,0.173351,0.001248,0.000352,0.892579
0.420529,0.017569,0.203304,0.005056,0.047970,0.000576,0.013408,0.175079,0.001376,0.000384,0.892803
0.421232,0.017473,0.204040,0.005056,0.047074,0.000608,0.013409,0.169062,0.001344,0.000352,0.887074
0.420241,0.017505,0.204104,0.005024,0.047170,0.000608,0.013472,0.160359,0.001248,0.000416,0.877699
0.422576,0.017633,0.221001,0.005184,0.047074,0.000576,0.013344,0.174919,0.001280,0.000384,0.910947
0.422801,0.017569,0.204040,0.005216,0.047266,0.000800,0.013472,0.163143,0.001312,0.000384,0.883779
0.421713,0.017728,0.204872,0.005281,0.047233,0.001024,0.013568,0.174503,0.001440,0.000352,0.897443
0.422384,0.017793,0.203848,0.005056,0.046882,0.000576,0.013473,0.166470,0.001312,0.000352,0.885570
0.431920,0.017920,0.205064,0.005121,0.046913,0.000608,0.013441,0.175623,0.001248,0.000320,0.906531
0.420689,0.017600,0.204648,0.005249,0.046850,0.000576,0.013440,0.173415,0.001248,0.000352,0.891811
0.416433,0.017472,0.204840,0.005025,0.047041,0.000577,0.013504,0.174055,0.001248,0.000608,0.888611
0.420721,0.017536,0.222952,0.005248,0.047458,0.000576,0.013409,0.167398,0.001248,0.000352,0.904676
0.422545,0.017504,0.203464,0.005025,0.047009,0.000545,0.013568,0.170663,0.001280,0.000352,0.888643
0.416305,0.017536,0.204456,0.004865,0.046817,0.000608,0.013409,0.168359,0.001248,0.000352,0.881379
0.420848,0.017569,0.204008,0.005024,0.046850,0.000768,0.013441,0.169766,0.001312,0.000352,0.887714
0.437169,0.017537,0.203144,0.005248,0.047586,0.000576,0.013440,0.175174,0.001280,0.000353,0.909220
0.417809,0.017600,0.204552,0.005280,0.047106,0.000992,0.013792,0.177255,0.001344,0.000384,0.894147
0.424177,0.017281,0.204168,0.005024,0.047042,0.000544,0.013696,0.162471,0.001056,0.000352,0.882947
0.420465,0.017664,0.203048,0.005153,0.047234,0.000576,0.028129,0.175623,0.001376,0.000640,0.908100
0.417040,0.017569,0.204936,0.005216,0.046978,0.000576,0.013537,0.171974,0.001248,0.000640,0.886755
0.420176,0.017569,0.204008,0.005312,0.046818,0.000576,0.013441,0.171623,0.001568,0.000384,0.888803
0.415729,0.017440,0.203496,0.005089,0.046849,0.000608,0.013377,0.158470,0.001280,0.000384,0.869858
0.434417,0.017472,0.203688,0.005056,0.047138,0.000576,0.013729,0.167782,0.001312,0.000416,0.898244
0.420561,0.017856,0.203560,0.005185,0.047042,0.000576,0.013728,0.177575,0.001344,0.000352,0.896483
0.421968,0.017537,0.203528,0.005024,0.046914,0.000576,0.013441,0.164742,0.001344,0.000640,0.882914
0.420880,0.017697,0.203368,0.005152,0.046882,0.000800,0.013505,0.197575,0.001408,0.000416,0.915940
0.419152,0.017985,0.204776,0.005152,0.047938,0.000832,0.013761,0.180871,0.001344,0.000384,0.900963
0.416592,0.017633,0.204168,0.005120,0.048706,0.000800,0.014049,0.175687,0.001472,0.000608,0.892675
0.416081,0.017536,0.204360,0.005089,0.048225,0.000832,0.014721,0.175527,0.001312,0.000640,0.892227
0.435185,0.017537,0.203240,0.005088,0.048706,0.000832,0.014272,0.165831,0.001408,0.000384,0.900611
0.420464,0.017633,0.203912,0.005056,0.048994,0.000800,0.014497,0.178471,0.001568,0.000608,0.900675
0.416016,0.017857,0.204776,0.005280,0.048738,0.000832,0.014273,0.177895,0.001376,0.000416,0.896387
0.420817,0.017761,0.203560,0.005120,0.048450,0.000800,0.014016,0.207113,0.001536,0.000832,0.928165
0.416273,0.017600,0.203432,0.005345,0.048193,0.000608,0.013761,0.183399,0.001472,0.000640,0.899331
0.421073,0.017568,0.203688,0.005089,0.048898,0.000800,0.014400,0.174887,0.001408,0.000352,0.896163
0.416496,0.017825,0.204744,0.005088,0.048354,0.000800,0.014209,0.165510,0.001601,0.000608,0.884195
0.437233,0.017825,0.204328,0.005088,0.048290,0.000800,0.013953,0.181895,0.001408,0.000864,0.920292
0.420848,0.017792,0.204680,0.005185,0.048417,0.000833,0.014016,0.181895,0.001568,0.000384,0.904131
0.416816,0.017633,0.204136,0.005088,0.048162,0.000864,0.014049,0.182183,0.001792,0.000352,0.899171
0.416497,0.017697,0.203592,0.005056,0.066434,0.000864,0.013793,0.190375,0.001729,0.000320,0.925733
0.418193,0.017536,0.203624,0.005249,0.048385,0.000832,0.013920,0.175431,0.001408,0.000384,0.892835
0.420368,0.017697,0.204104,0.005120,0.048866,0.000832,0.014785,0.182631,0.001408,0.000384,0.905187
0.415696,0.017633,0.204104,0.005344,0.048322,0.000800,0.014209,0.175494,0.001409,0.000352,0.891299
0.441106,0.017696,0.204360,0.005281,0.047969,0.000832,0.013632,0.176135,0.001440,0.000416,0.917892
0.431889,0.017953,0.205480,0.005280,0.048450,0.000800,0.013633,0.180487,0.001344,0.000608,0.913860
0.417872,0.017697,0.203880,0.004992,0.048546,0.000800,0.013633,0.170310,0.001505,0.000672,0.888035
0.416240,0.017697,0.221224,0.005185,0.048833,0.000992,0.013600,0.180967,0.001248,0.000352,0.914820
0.416176,0.017633,0.203976,0.005024,0.048002,0.000832,0.013793,0.177639,0.001344,0.000352,0.892323
0.415728,0.017632,0.203720,0.005248,0.048578,0.000832,0.013697,0.181127,0.001504,0.000352,0.896035
0.416816,0.017665,0.203016,0.005280,0.049218,0.000832,0.013825,0.177159,0.001280,0.000352,0.893443
0.439249,0.017665,0.204424,0.005152,0.048482,0.000800,0.013729,0.168998,0.001216,0.000384,0.907459
0.421585,0.017728,0.203464,0.004961,0.048258,0.000768,0.013728,0.173191,0.001440,0.000384,0.893539
0.415664,0.017761,0.203880,0.005024,0.048162,0.000800,0.013664,0.168455,0.001344,0.000352,0.882114
0.422193,0.017729,0.221960,0.005281,0.048162,0.000832,0.013760,0.174471,0.001408,0.000384,0.914628
0.415985,0.017280,0.203560,0.005057,0.048385,0.000801,0.013536,0.168103,0.001440,0.000384,0.881955
0.421617,0.017633,0.204008,0.005344,0.048962,0.000576,0.013728,0.171015,0.001440,0.000352,0.892771
0.418608,0.018560,0.205288,0.005441,0.049858,0.000832,0.013632,0.180263,0.001440,0.000384,0.902851
0.439505,0.017792,0.204616,0.005153,0.048769,0.000833,0.014112,0.186631,0.001409,0.000416,0.927109
0.417136,0.017665,0.203752,0.005120,0.048290,0.000864,0.013537,0.175494,0.001472,0.000384,0.891427
0.416785,0.017505,0.204072,0.005120,0.048546,0.000768,0.013984,0.177031,0.001504,0.000352,0.894179
0.415984,0.017729,0.221352,0.005408,0.048610,0.000864,0.013856,0.171783,0.001408,0.000384,0.905475
0.420017,0.017760,0.204488,0.005025,0.048802,0.000800,0.013984,0.174279,0.001440,0.000384,0.895139
0.421777,0.017505,0.204168,0.005280,0.048034,0.000800,0.013824,0.172263,0.001344,0.000384,0.892419
0.418481,0.017729,0.203592,0.005024,0.048226,0.000800,0.013376,0.174951,0.001312,0.000384,0.890787
0.439313,0.017505,0.203880,0.005088,0.048482,0.000800,0.013729,0.168102,0.001344,0.000352,0.906243
0.421649,0.017697,0.204072,0.005024,0.047618,0.000800,0.013728,0.176711,0.001248,0.000352,0.896612
0.416817,0.018080,0.204648,0.005121,0.048257,0.000801,0.013728,0.180967,0.001408,0.000352,0.898723
