Layer[0],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.419859,0.255403,0.204937,0.005280,0.047747,0.000800,0.013472,0.000352,0.001440,0.000832,0.000256,0.958762
0.420850,0.224938,0.203401,0.005665,0.047042,0.000576,0.013408,0.000384,0.001441,0.001056,0.000416,0.927433
0.420754,0.206569,0.204169,0.005312,0.047810,0.000544,0.013473,0.000352,0.001408,0.000960,0.000416,0.910280
0.437171,0.229450,0.203625,0.005280,0.047651,0.000832,0.013472,0.000320,0.001440,0.000992,0.000576,0.949129
0.415186,0.236491,0.203145,0.005472,0.046946,0.000736,0.013473,0.000384,0.001440,0.000992,0.000384,0.932777
0.420434,0.200649,0.203433,0.009505,0.046882,0.000608,0.013472,0.000384,0.001376,0.000992,0.000384,0.907047
0.415314,0.212618,0.203625,0.005536,0.063843,0.000800,0.013536,0.000352,0.001536,0.000993,0.000384,0.927849
0.416466,0.212489,0.203176,0.005473,0.047458,0.000736,0.013473,0.000352,0.001440,0.000992,0.000608,0.911432
0.415442,0.212938,0.203561,0.005632,0.047298,0.000576,0.013505,0.000384,0.001440,0.000928,0.000352,0.910856
0.419635,0.240266,0.203593,0.009409,0.046946,0.000544,0.013473,0.000352,0.001376,0.000960,0.000384,0.945610
0.438035,0.220074,0.203625,0.009377,0.046850,0.000576,0.013472,0.000352,0.001408,0.000992,0.000576,0.943977
0.417106,0.217546,0.204137,0.005312,0.046914,0.000800,0.013537,0.000320,0.001472,0.000896,0.000608,0.918312
0.419603,0.223786,0.203593,0.005248,0.047266,0.000768,0.013473,0.000320,0.001440,0.001024,0.000352,0.924681
0.416179,0.212073,0.222858,0.008321,0.047042,0.000800,0.013440,0.000384,0.001472,0.000896,0.000352,0.934250
0.420722,0.212586,0.203209,0.005568,0.047042,0.000576,0.013473,0.000352,0.001440,0.000992,0.000416,0.914536
0.420083,0.208969,0.203113,0.005664,0.047074,0.000800,0.013440,0.000384,0.001536,0.000960,0.000608,0.911272
0.417426,0.203177,0.203785,0.005601,0.047010,0.000960,0.013472,0.000384,0.001473,0.001024,0.000576,0.904040
0.435539,0.212938,0.204297,0.005536,0.047490,0.000576,0.013441,0.000352,0.001312,0.000928,0.000608,0.931849
0.419666,0.265036,0.203721,0.009537,0.047170,0.000800,0.013408,0.000352,0.001536,0.000928,0.000608,0.971755
0.419603,0.203593,0.203977,0.005344,0.048034,0.000832,0.013505,0.000352,0.001408,0.001024,0.000384,0.906888
0.420370,0.228394,0.204393,0.005312,0.047970,0.000736,0.013473,0.000384,0.001472,0.000960,0.000352,0.931881
0.416051,0.224106,0.204585,0.009536,0.048738,0.000576,0.013505,0.000384,0.001408,0.000960,0.000352,0.929673
0.416851,0.207337,0.203337,0.005536,0.048130,0.000993,0.013408,0.000384,0.001440,0.000928,0.000640,0.907944
0.420626,0.221130,0.203465,0.005440,0.047586,0.000576,0.013473,0.000384,0.001440,0.000992,0.000576,0.924168
0.416530,0.239594,0.203369,0.005344,0.047715,0.000768,0.013376,0.000320,0.001408,0.000960,0.000384,0.938697
0.415730,0.266252,0.203753,0.005536,0.048290,0.000576,0.013504,0.000384,0.001504,0.000960,0.000352,0.965866
0.419826,0.233803,0.203785,0.005504,0.047842,0.000768,0.013473,0.000384,0.001408,0.000992,0.000544,0.936841
0.439475,0.219114,0.203305,0.005600,0.047458,0.000609,0.013696,0.000320,0.001408,0.000896,0.000384,0.939945
0.416531,0.232010,0.203657,0.005408,0.048642,0.000576,0.013889,0.000384,0.001408,0.000992,0.000608,0.932841
0.416178,0.204521,0.203945,0.005601,0.048162,0.000800,0.013537,0.000352,0.001536,0.000928,0.000352,0.905192
0.422483,0.212841,0.220426,0.005248,0.047810,0.000768,0.013761,0.000384,0.001504,0.000992,0.000352,0.935529
0.418962,0.248362,0.203977,0.005600,0.047618,0.000576,0.013569,0.000384,0.001440,0.000960,0.000352,0.949642
0.415986,0.206217,0.203465,0.005312,0.047395,0.000576,0.013696,0.000384,0.001408,0.000896,0.000320,0.903143
0.415506,0.200969,0.203561,0.005473,0.047298,0.000576,0.013504,0.000352,0.001408,0.000928,0.000385,0.898312
0.440115,0.225930,0.203497,0.009345,0.047906,0.000544,0.013505,0.000384,0.001440,0.000896,0.000352,0.953066
0.422451,0.214921,0.203561,0.005409,0.047938,0.000608,0.013696,0.000384,0.001472,0.001025,0.000352,0.921353
0.416658,0.203657,0.203977,0.005441,0.047202,0.000768,0.013568,0.000352,0.001408,0.001249,0.000352,0.903656
0.417042,0.224170,0.203497,0.005312,0.047714,0.000832,0.013633,0.000352,0.001472,0.001056,0.000448,0.923976
0.415923,0.215497,0.203593,0.005505,0.048418,0.000576,0.013568,0.000352,0.001568,0.000928,0.000320,0.915561
0.417331,0.212713,0.204297,0.005536,0.047490,0.000545,0.013600,0.000352,0.001408,0.000928,0.000352,0.912968
0.420818,0.222826,0.203945,0.005408,0.050083,0.000544,0.013856,0.000352,0.001408,0.001185,0.000352,0.929929
0.422418,0.209290,0.203913,0.005536,0.048322,0.000544,0.013761,0.000320,0.001408,0.001184,0.000384,0.916008
0.421331,0.246987,0.204297,0.005600,0.048450,0.000736,0.013697,0.000352,0.001440,0.000928,0.000352,0.952938
0.420658,0.214250,0.203849,0.005408,0.047170,0.000544,0.013505,0.000352,0.001472,0.000992,0.000352,0.917256
0.418451,0.291085,0.204521,0.005504,0.047426,0.000544,0.013569,0.000352,0.001408,0.000960,0.000352,0.992844
0.418067,0.209737,0.203465,0.005376,0.047554,0.000576,0.013601,0.000352,0.001408,0.000960,0.000320,0.911016
0.420018,0.216554,0.203753,0.005440,0.047746,0.000800,0.013409,0.000352,0.001440,0.001024,0.000608,0.919880
0.420370,0.231850,0.203817,0.005536,0.065603,0.000800,0.013537,0.000352,0.001408,0.000928,0.000352,0.953290
0.420114,0.208233,0.203401,0.005537,0.049154,0.000992,0.013504,0.000352,0.001440,0.000960,0.000608,0.913993
0.421683,0.232906,0.204137,0.005505,0.047810,0.000800,0.013408,0.000352,0.001408,0.000992,0.000384,0.937994
0.420242,0.217993,0.203849,0.005537,0.048386,0.000576,0.013760,0.000384,0.001408,0.000993,0.000608,0.922409
0.446227,0.220522,0.205417,0.005568,0.047234,0.000544,0.013792,0.000384,0.001440,0.000928,0.000544,0.952266
0.416851,0.212969,0.203977,0.005504,0.047427,0.000768,0.013440,0.000384,0.001408,0.000928,0.000416,0.911880
0.415602,0.213418,0.203561,0.005376,0.047554,0.000576,0.013569,0.000384,0.001472,0.000928,0.000384,0.911080
0.418674,0.209001,0.218026,0.004992,0.049090,0.001025,0.013632,0.000352,0.001440,0.000960,0.000384,0.925224
0.421586,0.217578,0.203465,0.005472,0.047842,0.000544,0.013537,0.000384,0.001440,0.001056,0.000608,0.922504
0.421875,0.220617,0.203977,0.005537,0.047330,0.000576,0.013472,0.000384,0.001505,0.001632,0.000352,0.926345
0.420210,0.241066,0.203241,0.005632,0.047683,0.000608,0.013408,0.000416,0.001504,0.001088,0.000576,0.943945
0.420179,0.210985,0.203689,0.005536,0.047971,0.000576,0.013696,0.000384,0.001600,0.001024,0.000352,0.915304
0.415923,0.210761,0.203497,0.005664,0.048035,0.000736,0.014048,0.000352,0.001568,0.001216,0.000576,0.910825
0.421074,0.215498,0.203305,0.005472,0.047266,0.000768,0.013825,0.000352,0.001472,0.001056,0.000608,0.919560
0.437491,0.219594,0.203529,0.005664,0.047971,0.000608,0.014112,0.000576,0.001472,0.001120,0.000416,0.941961
0.420147,0.217770,0.203145,0.009440,0.047330,0.000608,0.014113,0.000384,0.001504,0.001056,0.000576,0.925257
0.421107,0.260171,0.203177,0.005473,0.048450,0.000576,0.014016,0.000416,0.001568,0.001056,0.000608,0.965707
0.420210,0.221897,0.225706,0.005409,0.047202,0.000800,0.013824,0.000576,0.001537,0.001152,0.000576,0.947946
0.421555,0.229226,0.203209,0.009537,0.047554,0.000768,0.014112,0.000384,0.001536,0.001153,0.000576,0.939018
0.415859,0.222858,0.203465,0.009504,0.047618,0.001024,0.013633,0.000320,0.001664,0.001248,0.000416,0.927017
0.420275,0.225962,0.203433,0.005376,0.047586,0.000768,0.013505,0.000384,0.001504,0.001088,0.000384,0.929225
0.439187,0.216841,0.207337,0.009441,0.047522,0.000800,0.013537,0.000352,0.001952,0.001120,0.000384,0.948042
0.422322,0.223466,0.203785,0.005600,0.047810,0.000576,0.013408,0.000384,0.001504,0.001184,0.000384,0.929480
0.421170,0.217482,0.203337,0.005472,0.048546,0.000576,0.013473,0.000384,0.001472,0.001088,0.000384,0.921992
0.416723,0.243467,0.207369,0.005632,0.048162,0.000832,0.013537,0.000352,0.001504,0.001024,0.000576,0.947466
0.417202,0.223817,0.204137,0.009569,0.048002,0.000768,0.013473,0.000352,0.001472,0.001088,0.000544,0.929321
0.421395,0.221994,0.203401,0.009440,0.048162,0.000576,0.013601,0.000416,0.001696,0.000992,0.000384,0.931337
0.420819,0.223146,0.203337,0.005280,0.066115,0.000864,0.013536,0.000352,0.001441,0.000992,0.000576,0.945354
0.422258,0.221354,0.203529,0.005504,0.050851,0.000544,0.013888,0.000384,0.001536,0.001376,0.000416,0.931112
0.421650,0.220618,0.203753,0.005376,0.048002,0.000576,0.013569,0.000384,0.001568,0.001248,0.000352,0.926056
0.416723,0.218761,0.203592,0.005568,0.048226,0.000544,0.013569,0.000352,0.001504,0.001056,0.000352,0.918761
0.435539,0.213482,0.203337,0.006048,0.048482,0.000800,0.013377,0.000352,0.001440,0.001120,0.000352,0.933801
0.420979,0.217993,0.203752,0.005440,0.047458,0.000576,0.013441,0.000384,0.001472,0.001088,0.000384,0.921705
0.418098,0.230442,0.203528,0.005377,0.047842,0.000768,0.014273,0.000352,0.001472,0.001312,0.000384,0.932201
0.420594,0.245418,0.207242,0.005504,0.048514,0.000576,0.013665,0.000352,0.001504,0.000928,0.000320,0.953802
0.421363,0.209321,0.203721,0.005568,0.048451,0.000832,0.014496,0.000352,0.001536,0.001248,0.000448,0.916425
0.420562,0.230283,0.203209,0.005536,0.047778,0.000544,0.013793,0.000352,0.001376,0.001024,0.000448,0.934025
0.421267,0.208393,0.203657,0.005537,0.049378,0.000576,0.013632,0.000352,0.001473,0.001024,0.000384,0.914569
0.419954,0.214090,0.203465,0.009376,0.048675,0.000608,0.013600,0.000384,0.001440,0.001024,0.000352,0.922344
0.420211,0.232490,0.203081,0.009473,0.047810,0.000544,0.013825,0.000384,0.001760,0.000992,0.000384,0.939754
0.416851,0.252043,0.203721,0.009440,0.049539,0.000576,0.013440,0.000384,0.001696,0.001088,0.000352,0.958346
0.433203,0.230763,0.203561,0.005504,0.048194,0.000960,0.014081,0.000352,0.001568,0.000896,0.000320,0.948426
0.421010,0.211561,0.204329,0.005568,0.047490,0.000576,0.013441,0.000352,0.001504,0.000896,0.000320,0.915944
0.420082,0.208905,0.204233,0.005633,0.048354,0.000736,0.013664,0.000352,0.001472,0.001056,0.000320,0.913192
0.421651,0.201033,0.220649,0.009025,0.048226,0.000992,0.013761,0.000416,0.001440,0.000960,0.000320,0.927273
0.420018,0.244810,0.203337,0.005537,0.047714,0.000576,0.013792,0.000320,0.001376,0.000993,0.000384,0.947082
0.420147,0.226314,0.203529,0.009504,0.047523,0.000576,0.013408,0.000352,0.001376,0.001056,0.000608,0.933033
0.419923,0.247755,0.203369,0.005312,0.047714,0.000544,0.013633,0.000352,0.001472,0.000928,0.000384,0.950506
0.421011,0.224554,0.204201,0.005600,0.047458,0.000544,0.013889,0.000352,0.001440,0.000992,0.000576,0.929545
0.417842,0.224234,0.203657,0.005537,0.047906,0.000544,0.013664,0.000384,0.001601,0.000960,0.000384,0.925001
0.420595,0.226730,0.204009,0.005600,0.048611,0.000832,0.013696,0.000416,0.001440,0.000992,0.000416,0.932105
0.434899,0.230410,0.203529,0.009536,0.048194,0.000768,0.013953,0.000352,0.001408,0.000896,0.000320,0.953002
0.416402,0.241227,0.203337,0.005472,0.048162,0.000544,0.013537,0.000352,0.001440,0.001024,0.000352,0.941097
0.420371,0.217961,0.203497,0.005185,0.047554,0.000928,0.013440,0.000320,0.001408,0.000961,0.000352,0.920969
0.416146,0.265772,0.225322,0.008256,0.048483,0.000800,0.013472,0.000352,0.001440,0.000992,0.000384,0.990988
0.420467,0.224458,0.203689,0.005600,0.047490,0.000576,0.013441,0.000384,0.001440,0.000992,0.000352,0.927177
0.415666,0.218953,0.203913,0.005473,0.047362,0.000576,0.013472,0.000384,0.001504,0.001024,0.000352,0.918665
0.419794,0.208457,0.203817,0.005569,0.048610,0.000800,0.013472,0.000384,0.001409,0.000992,0.000384,0.912072
0.436851,0.237226,0.203369,0.005505,0.049474,0.000544,0.013504,0.000384,0.001505,0.001088,0.000608,0.959883
0.415826,0.228586,0.203049,0.005249,0.047202,0.000800,0.013376,0.000352,0.001472,0.000960,0.000384,0.925992
0.421138,0.247147,0.203305,0.005472,0.047906,0.000545,0.013472,0.000352,0.001408,0.000928,0.000576,0.951497
0.415987,0.254923,0.203721,0.005472,0.047874,0.000800,0.013793,0.000352,0.001504,0.000960,0.000608,0.954954
0.416850,0.212649,0.203433,0.005888,0.047522,0.000576,0.013377,0.000320,0.001440,0.000928,0.000672,0.911976
0.420274,0.230218,0.204073,0.005600,0.047682,0.000544,0.013441,0.000320,0.001504,0.000800,0.000384,0.933129
0.419954,0.232523,0.203689,0.005408,0.048098,0.000576,0.013441,0.000416,0.001472,0.001024,0.000384,0.936105
0.416499,0.220041,0.203336,0.005441,0.048130,0.000992,0.013473,0.000352,0.001440,0.000896,0.000384,0.919337
0.419602,0.213994,0.203529,0.005440,0.047714,0.000576,0.013473,0.000384,0.001440,0.000896,0.000288,0.915944
0.419762,0.211593,0.203881,0.005505,0.047650,0.000992,0.013440,0.000352,0.001408,0.000864,0.000352,0.914120
0.435187,0.222090,0.203593,0.005632,0.048002,0.000608,0.013473,0.000384,0.001440,0.000960,0.000384,0.940425
0.419890,0.219178,0.203433,0.005536,0.047842,0.000576,0.013665,0.000352,0.001440,0.000960,0.000384,0.921832
0.416306,0.216937,0.204265,0.005600,0.047554,0.000640,0.013536,0.000352,0.001472,0.001024,0.000352,0.916616
0.420242,0.232587,0.237354,0.005536,0.047874,0.000833,0.013440,0.000352,0.001472,0.001056,0.000352,0.971946
0.416370,0.214377,0.203081,0.005568,0.048898,0.000768,0.013473,0.000384,0.001440,0.000928,0.000576,0.913992
0.415347,0.217129,0.203369,0.005600,0.047587,0.000576,0.013504,0.000320,0.001440,0.000928,0.000288,0.914696
0.420210,0.229706,0.203177,0.005376,0.047138,0.000576,0.013409,0.000352,0.001504,0.000896,0.000384,0.931497
0.431891,0.232490,0.203241,0.005568,0.047106,0.000576,0.013505,0.000384,0.001440,0.000992,0.000576,0.946185
0.415026,0.210857,0.202985,0.005600,0.047298,0.001024,0.013505,0.000320,0.001504,0.000992,0.000576,0.908008
0.415730,0.263340,0.202857,0.005600,0.047010,0.000576,0.013473,0.000352,0.001536,0.001056,0.000384,0.960394
0.420850,0.282925,0.203593,0.005600,0.047426,0.000992,0.013409,0.000384,0.001504,0.000960,0.000384,0.987435
0.416019,0.221418,0.203017,0.009568,0.047618,0.000608,0.013729,0.000384,0.001568,0.000896,0.000384,0.923785
