Layer[0],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421617,0.767808,0.000736,0.002112,0.001248,0.000384,1.200721
0.422033,0.749823,0.000704,0.002240,0.001120,0.000352,1.183120
0.439250,0.772896,0.000768,0.002080,0.001152,0.000352,1.223218
0.416721,0.777152,0.000864,0.002208,0.001152,0.000416,1.206769
0.421905,0.770015,0.000800,0.002208,0.001184,0.000384,1.204305
0.421169,0.800225,0.000896,0.003456,0.001216,0.000352,1.235474
0.422737,0.762303,0.000992,0.002240,0.001184,0.000384,1.197457
0.422481,0.798976,0.000800,0.002176,0.001121,0.000352,1.233331
0.421073,0.758623,0.000704,0.002176,0.001120,0.000416,1.191537
0.416465,0.748319,0.000800,0.002912,0.001120,0.000416,1.176560
0.415537,0.784832,0.000768,0.001856,0.001056,0.000384,1.210993
0.420081,0.771904,0.000864,0.002016,0.001216,0.000384,1.203537
0.420529,0.781408,0.000960,0.002528,0.001248,0.000384,1.213330
0.441810,0.807233,0.000800,0.002336,0.001216,0.000608,1.261876
0.417073,0.769888,0.000832,0.002304,0.001248,0.000416,1.199025
0.421201,0.765632,0.000832,0.002336,0.001120,0.000576,1.199537
0.416113,0.772352,0.000832,0.002080,0.001088,0.000416,1.200273
0.420305,0.785280,0.000768,0.002016,0.000960,0.000416,1.215473
0.416241,0.794112,0.000672,0.002080,0.000960,0.000416,1.220274
0.420337,0.784384,0.000800,0.001952,0.001056,0.000384,1.215186
0.420114,0.760607,0.000928,0.002048,0.001088,0.000352,1.191249
0.420529,0.783520,0.000801,0.001760,0.000960,0.000352,1.213458
0.415633,0.764863,0.000768,0.001952,0.001024,0.000384,1.190577
0.419377,0.758751,0.000672,0.002080,0.001185,0.000352,1.189457
0.440434,0.762207,0.000768,0.002112,0.001024,0.000384,1.214065
0.419569,0.765440,0.000704,0.002112,0.001152,0.000352,1.196337
0.420721,0.766271,0.000768,0.002049,0.000992,0.000352,1.197681
0.420273,0.762047,0.000800,0.002144,0.001088,0.000352,1.193136
0.420785,0.771615,0.000737,0.003072,0.001184,0.000352,1.204945
0.415185,0.834690,0.000768,0.002112,0.000992,0.000352,1.261235
0.421553,0.766463,0.000704,0.001984,0.000992,0.000352,1.198865
0.416081,0.765695,0.000768,0.002145,0.001088,0.000384,1.192753
0.420305,0.812609,0.000864,0.002240,0.000992,0.000448,1.243730
0.420209,0.770720,0.000832,0.002176,0.000992,0.000448,1.202353
0.420882,0.766111,0.000832,0.002112,0.001088,0.000352,1.198193
0.441074,0.780608,0.000768,0.002368,0.001216,0.000384,1.234354
0.415857,0.800161,0.000896,0.002112,0.000992,0.000416,1.227506
0.421426,0.760735,0.000896,0.002304,0.001120,0.000384,1.193393
0.415537,0.776031,0.000769,0.002144,0.001024,0.000416,1.202385
0.420273,0.791392,0.000896,0.002816,0.000992,0.000320,1.223570
0.420305,0.790337,0.000832,0.002112,0.001088,0.000416,1.221682
0.422002,0.765983,0.000864,0.002912,0.001056,0.000608,1.199761
0.420465,0.772480,0.000832,0.002208,0.001184,0.000384,1.205009
0.415825,0.794081,0.000864,0.002176,0.000992,0.000352,1.221618
