Layer[0],Layer[1],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415633,0.017473,0.686203,0.048898,0.000608,0.013377,0.000416,0.001440,0.001248,0.000384,1.194032
0.415569,0.017440,0.701788,0.048962,0.000576,0.013505,0.000416,0.001472,0.001088,0.000352,1.209008
0.415665,0.017697,0.682715,0.047778,0.000576,0.013504,0.000416,0.001472,0.001152,0.000800,1.190511
0.417169,0.017952,0.694460,0.048194,0.000640,0.013569,0.000416,0.001536,0.001216,0.000352,1.204784
0.416336,0.017857,0.713084,0.049250,0.000576,0.013537,0.000448,0.001440,0.001184,0.000416,1.222736
0.415761,0.017633,0.679387,0.048162,0.000544,0.013408,0.000384,0.001472,0.001248,0.000352,1.186064
0.416753,0.017505,0.668474,0.048514,0.000608,0.013473,0.000416,0.001472,0.001184,0.000832,1.177519
0.433425,0.017633,0.675259,0.048162,0.000544,0.013472,0.000416,0.001536,0.001152,0.000384,1.200431
0.415729,0.017568,0.681563,0.048322,0.000576,0.013537,0.000384,0.001408,0.001120,0.000384,1.188591
0.416368,0.017601,0.672379,0.048706,0.000576,0.013440,0.000416,0.001505,0.001216,0.000384,1.181135
0.433713,0.017761,0.686619,0.048098,0.000576,0.013472,0.000417,0.001472,0.001152,0.000352,1.212048
0.416273,0.017921,0.670394,0.048770,0.000544,0.013505,0.000384,0.001536,0.001152,0.000352,1.179311
0.416080,0.017697,0.692891,0.047778,0.000608,0.013345,0.000384,0.001536,0.001152,0.000800,1.200495
0.418864,0.018017,0.688700,0.047585,0.000608,0.014304,0.000448,0.001568,0.001216,0.000800,1.201903
0.417009,0.017985,0.683963,0.048450,0.000576,0.014241,0.000384,0.001536,0.001216,0.000384,1.193360
0.416304,0.017697,0.737597,0.048577,0.000672,0.013568,0.000480,0.001536,0.001280,0.000352,1.246961
0.415952,0.017505,0.672699,0.048162,0.000576,0.013568,0.000352,0.001472,0.001184,0.000320,1.180687
0.415921,0.017728,0.669819,0.048578,0.000640,0.013473,0.000416,0.001504,0.001184,0.000352,1.178031
0.433745,0.017633,0.672570,0.048802,0.000608,0.013441,0.000480,0.001408,0.001088,0.000384,1.198799
0.416177,0.017536,0.687676,0.047874,0.000544,0.013600,0.000384,0.001504,0.001248,0.000352,1.194991
0.416657,0.017537,0.681819,0.048226,0.000608,0.013504,0.000416,0.001568,0.001056,0.000320,1.189775
0.432273,0.017729,0.679451,0.048962,0.000576,0.013505,0.000416,0.001536,0.001152,0.000320,1.203984
0.416337,0.017824,0.690428,0.048322,0.000576,0.013504,0.000384,0.001569,0.001184,0.000320,1.199728
0.416368,0.017601,0.679547,0.048642,0.000544,0.013792,0.000352,0.001824,0.001217,0.000320,1.207472
0.415824,0.017473,0.683707,0.048322,0.000672,0.013473,0.000416,0.001504,0.001152,0.000320,1.191983
0.417584,0.017920,0.687868,0.048097,0.000640,0.013344,0.000384,0.001504,0.001184,0.000416,1.197135
0.415600,0.017665,0.710012,0.048162,0.000608,0.013441,0.000416,0.001504,0.001056,0.000384,1.216944
0.415953,0.017281,0.679098,0.048161,0.000576,0.013536,0.000352,0.001568,0.001248,0.000352,1.186127
