Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.415920,0.017345,0.201992,0.005216,0.047618,0.000576,0.193959,0.002080,0.001280,0.000417,0.894435
0.420944,0.017313,0.201992,0.005344,0.047650,0.000576,0.192232,0.001984,0.001120,0.000352,0.897571
0.422064,0.017665,0.203912,0.004960,0.047618,0.000576,0.210504,0.002304,0.001152,0.000352,0.919716
0.416080,0.017537,0.202728,0.004960,0.047586,0.000576,0.192775,0.002113,0.001120,0.000384,0.894147
0.415985,0.017856,0.202600,0.005216,0.048897,0.000608,0.190696,0.002208,0.001120,0.000384,0.893763
0.416272,0.017537,0.202280,0.004992,0.047618,0.000608,0.190631,0.002144,0.001024,0.000352,0.891395
0.415728,0.017409,0.218312,0.005153,0.047778,0.000576,0.195239,0.001952,0.001120,0.000320,0.912163
0.417072,0.017568,0.202088,0.004992,0.047746,0.000576,0.191272,0.002016,0.001056,0.000352,0.892675
0.420401,0.017664,0.202760,0.005344,0.047522,0.000608,0.189928,0.002240,0.001088,0.000384,0.895811
0.415537,0.017792,0.202440,0.005345,0.047969,0.000576,0.189128,0.002144,0.001120,0.000384,0.890595
0.420464,0.017697,0.202504,0.005024,0.047874,0.000576,0.189448,0.002080,0.001120,0.000384,0.895363
0.415760,0.017504,0.202536,0.005312,0.048034,0.000544,0.187560,0.002208,0.001152,0.000384,0.889315
0.417904,0.017985,0.203816,0.005024,0.048258,0.000576,0.192872,0.002304,0.001216,0.000320,0.898595
0.451921,0.017569,0.202856,0.005056,0.048226,0.000608,0.189288,0.002112,0.001088,0.000352,0.927268
0.420912,0.017665,0.202504,0.004864,0.047682,0.000544,0.187816,0.002080,0.001184,0.000384,0.893443
0.417904,0.017825,0.202664,0.004992,0.048226,0.000576,0.186407,0.002016,0.001088,0.000320,0.890306
0.417104,0.017793,0.202152,0.005024,0.047458,0.000576,0.198184,0.002112,0.001152,0.000384,0.900003
0.415825,0.017505,0.202695,0.004896,0.046882,0.000608,0.201159,0.002080,0.000992,0.000416,0.900580
0.415889,0.017600,0.202472,0.005281,0.047425,0.000576,0.205224,0.002080,0.001088,0.000384,0.905636
